url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/ai-services/personalizer/concept-active-inactive-events,Active and inactive events,Active and inactive events - Personalizer - Foundry Tools,,This article discusses the use of active and inactive events within the Personalizer service.,"Important Starting 20 September 2023 you won’t be able to create new Personalizer resources. The Personalizer service is being retired 1 October 2026.
We recommend migrating to the open-sourcemicrosoft/learning-loop. Deferred activation of events allows you to create personalized websites or mailing campaigns, considering that the user may never actually see the page or open the email.
In these scenarios, the application might need to call Rank before it even knows if the result will be used or ",2026-01-23T23:20:00.000Z,concept-article,,0.3,False,"Active vs inactive events is a conceptual usage pattern; summary does not indicate specific configuration parameters, limits, or error mappings.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/personalizer/concept-active-learning,Learning policy,Learning policy - Personalizer - Foundry Tools,,Learning settings determine the *hyperparameters* of the model training. Two models of the same data that are trained on different learning settings will end up different.,"Important Starting 20 September 2023 you won’t be able to create new Personalizer resources. The Personalizer service is being retired 1 October 2026.
We recommend migrating to the open-sourcemicrosoft/learning-loop. Learning settings determine thehyperparametersof the model training. Two models of the same data that are trained on different learning settings will end up different. Learning policy and settingsare set on your Personalizer resource in the Azure portal.",2026-01-23T23:20:00.000Z,concept-article,,0.4,False,"Learning policy and hyperparameters are discussed conceptually; summary does not show concrete parameter tables, default values, or numeric ranges required for configuration or limits classification.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/personalizer/concept-apprentice-mode,Apprentice mode,Apprentice mode - Personalizer - Foundry Tools,,Learn how to use apprentice mode to gain confidence in a model without changing any code.,"Important Starting on the 20th of September, 2023 you won’t be able to create new Personalizer resources. The Personalizer service is being retired on the 1st of October, 2026. When deploying a new Personalizer resource, it's initialized with an untrained, or blank model. That is, it hasn't learned from any data and therefore won't perform well in practice. This is known as the ""cold start"" problem and is resolved over time by training the model with real data from your production environment.Ap",2024-08-28T16:59:00.000Z,concept-article,,0.45,False,"Apprentice mode concept article; while related to configuration, description emphasizes conceptual cold-start behavior rather than detailed setting tables.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/personalizer/concept-auto-optimization,Auto-optimization,Auto-optimize - Personalizer - Foundry Tools,,This article provides a conceptual overview of the auto-optimize feature for Azure AI Personalizer service.,"Important Starting 20 September 2023 you won’t be able to create new Personalizer resources. The Personalizer service is being retired 1 October 2026.
We recommend migrating to the open-sourcemicrosoft/learning-loop.",2026-01-23T23:20:00.000Z,concept-article,,0.1,False,"Auto-optimize feature is presented as a conceptual overview; no evidence of detailed configuration parameters, limits, or troubleshooting mappings.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/personalizer/concept-multi-slot-personalization,Multi-slot personalization,Multi-slot personalization - Foundry Tools,Choose between single-slot and multi-slot Personalizer,Learn where and when to use single-slot and multi-slot personalization with the Personalizer Rank and Reward APIs.,"Important Starting on the 20th of September, 2023 you won’t be able to create new Personalizer resources. The Personalizer service is being retired on the 1st of October, 2026. Multi-slot personalization (Preview) allows you to target content in web layouts, carousels, and lists where more than one action (such as a product or piece of content) is shown to your users. With Personalizer multi-slot APIs, you can have the AI models in Personalizer learn what user contexts and products drive certain",2024-08-28T16:59:00.000Z,how-to,decision-making,0.6,True,Explicitly about where and when to use single-slot vs multi-slot; likely includes scenario-based recommendations and trade-offs specific to Personalizer.,unchanged
https://learn.microsoft.com/en-us/azure/ai-services/personalizer/concept-rewards,Rewards,Reward score - Personalizer - Foundry Tools,,"The reward score indicates how well the personalization choice, RewardActionID, resulted for the user. The value of the reward score is determined by your business logic, based on observations of user","Important Starting on the 20th of September, 2023 you won’t be able to create new Personalizer resources. The Personalizer service is being retired on the 1st of October, 2026. The reward score indicates how well the personalization choice,RewardActionID, resulted for the user. The value of the reward score is determined by your business logic, based on observations of user behavior. Personalizer trains its machine learning models by evaluating the rewards. Learnhow toconfigure the default rewar",2024-08-28T16:59:00.000Z,concept-article,,0.35,False,"Reward score concept article; mainly business-logic guidance, not detailed configuration tables or numeric service limits.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/personalizer/concepts-exploration,Exploration,Exploration - Personalizer - Azure AI services,,"With exploration, Personalizer is able to continuously deliver good results, even as user behavior changes. Choosing an exploration setting is a business decision about the proportion of user interact","Important Starting 20 September 2023 you won’t be able to create new Personalizer resources. The Personalizer service is being retired 1 October 2026.
We recommend migrating to the open-sourcemicrosoft/learning-loop. With exploration, Personalizer is able to continuously deliver good results, even as user behavior changes. When Personalizer receives a Rank call, it returns a RewardActionID that either: Personalizer currently uses an algorithm calledepsilon greedyto explore.",2026-01-23T23:20:00.000Z,concept-article,,0.3,False,"Exploration concept (epsilon-greedy) is described at a high level; summary does not show concrete recommended values, ranges, or decision matrices with thresholds.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/personalizer/concepts-features,Context and Action Features,Features: Action and Context - Personalizer - Azure AI services,,"Personalizer uses features, information about actions and context, to make better ranking suggestions. Features can be generic, or specific to an item.","Important Starting on the 20th of September, 2023 you won’t be able to create new Personalizer resources. The Personalizer service is being retired on the 1st of October, 2026. Personalizer works by learning what your application should show to users in a given context. Context and actions are the two most important pieces of information that you pass into Personalizer. Thecontextrepresents the information you have about the current user or the state of your system, and theactionsare the options",2024-08-28T16:59:00.000Z,concept-article,,0.25,False,"Conceptual explanation of features, actions, and context; summary does not indicate numeric thresholds or configuration tables.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/personalizer/concepts-offline-evaluation,Offline evaluation,Use the Offline Evaluation method - Personalizer - Azure AI services,,This article will explain how to use offline evaluation to measure effectiveness of your app and analyze your learning loop.,"Important Starting on the 20th of September, 2023 you won’t be able to create new Personalizer resources. The Personalizer service is being retired on the 1st of October, 2026. Offline evaluation is a method that allows you to test and assess the effectiveness of the Personalizer Service without changing your code or affecting user experience. Offline evaluation uses past data, sent from your application to the Rank and Reward APIs, to compare how different ranks have performed. Offline evaluati",2024-08-28T16:59:00.000Z,concept-article,,0.45,False,Offline evaluation concept article; focuses on method explanation rather than detailed configuration matrices or numeric thresholds.,unchanged
https://learn.microsoft.com/en-us/azure/ai-services/personalizer/concepts-reinforcement-learning,Reinforcement learning,Reinforcement Learning - Personalizer - Azure AI services,,Personalizer uses information about actions and current context to make better ranking suggestions. The information about these actions and context are attributes or properties that are referred to as,"Important Starting 20 September 2023 you won’t be able to create new Personalizer resources. The Personalizer service is being retired 1 October 2026.
We recommend migrating to the open-sourcemicrosoft/learning-loop. Reinforcement Learning is an approach to machine learning that learns behaviors by getting feedback from its use. Reinforcement Learning works by: While there are many subtypes and styles of reinforcement learning, this is how the concept works in Personalizer: Unlike some approache",2026-01-23T23:20:00.000Z,concept-article,,0.0,False,"Reinforcement learning overview tailored to Personalizer but still conceptual; no numeric thresholds, configuration tables, or troubleshooting details.",unchanged
