url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/azure-large-instances/configure-azure-service-health-alerts,Configure Azure service health alerts,Configure Azure service health alerts - Azure Large Instances,,Explains how to configure Azure service health alerts.,"This article explains how to configure Azure Service Health alerts. You can get automatic notifications when there are planned maintenance events or unplanned
downtime that affects your infrastructure. Follow these steps to configure Service Health alerts: Sign in to theAzure portal. Search for “service health” in the search bar and selectService Healthfrom the results. In the Service Health Dashboard, selectHealth Alerts. SelectCreate service health alert. DeselectSelect allunderServices. Selec",2023-07-21T11:12:00.000Z,concept-article,,0.3,False,"Step-by-step portal instructions for creating Service Health alerts; no parameter tables, limits, or product-specific error mappings.",unchanged
https://learn.microsoft.com/en-us/azure/azure-large-instances/faq,FAQ,Azure Large Instances FAQ - Azure Large Instances,Resolve common Azure Large Instances Epic issues,Provides resolutions for common issues that arise in working with Azure Large Instances for the Epic workload.,This article provides answers to frequently asked questions about Azure Large Instances.,2023-07-19T22:24:00.000Z,faq,troubleshooting,0.65,True,FAQ for Epic workload likely includes concrete issues and resolutions specific to Azure Large Instances; categorized as troubleshooting due to focus on resolving common problems.,unchanged
https://learn.microsoft.com/en-us/azure/azure-large-instances/find-your-subscription-id,Find your subscription ID,Find your Azure Large Instances subscription ID - Azure Large Instances,,Explains how to find your Azure Large Instances subscription ID.,"This article explains how to find your Azure Large Instances subscription ID. ASubscription IDis a unique identifier for your service in Azure.
You need it when interacting with the Microsoft Support team.
To find your subscription ID, follow these steps:",2023-08-09T16:51:00.000Z,concept-article,,0.1,False,Simple guidance on locating a subscription ID in the portal; no expert-only configuration or limits.,unchanged
https://learn.microsoft.com/en-us/azure/azure-large-instances/onboarding-requirements,Onboarding requirements,Onboarding requirements for Azure Large Instances - Azure Large Instances,,Provides an overview of onboarding requirements for Azure Large Instances.,This article explains the actions to take after you receive an environment from the Microsoft Azure Large Instances team.,2023-07-19T22:24:00.000Z,concept-article,,0.3,False,"Onboarding overview; likely procedural steps but no clear indication of numeric limits, config parameter tables, or error mappings.",unchanged
https://learn.microsoft.com/en-us/azure/azure-large-instances/quality-checks,Quality checks of Azure Large Instances,Quality checks for Azure Large Instances - Azure Large Instances,,Provides an overview of Azure Large Instances for Epic quality checks.,"This article provides an overview of Azure Large Instances for Epic®quality checks. The Microsoft operations team performs a series of extensive quality checks to ensure that customers' requests to run Azure Large Instances for Epic are fulfilled accurately, and that infrastructure is healthy before handover.
However, customers are advised to perform their own checks to ensure services have been provided as requested, including the following: The following sections identify quality checks often ",2023-07-19T22:24:00.000Z,concept-article,,0.3,False,"Described as an overview of quality checks; summary does not show concrete thresholds, limits, or detailed diagnostic mappings.",unchanged
https://learn.microsoft.com/en-us/azure/azure-large-instances/what-is-azure-large-instances,What is Azure Large Instances?,What is Azure Large Instances? - Azure Large Instances,,Provides an overview of Azure Large Instances.,"While Microsoft Azure offers a cloud infrastructure with a wide range of integrated cloud services to meet your business needs, in some cases, you may need to run services on Azure large servers without a virtualization layer. You may also require root access and control over the operating system (OS). To meet these needs, Azure offers Azure Large Instances for several high-value, mission-critical applications. Azure Large Instances is comprised of dedicated large compute instances with the foll",2023-07-19T22:24:00.000Z,concept-article,,0.2,False,"High-level overview of Azure Large Instances; no specific limits, configs, error codes, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/azure-large-instances/work-with-azure-large-instances-in-azure-portal,Work with Azure Large Instances in the Azure portal,Work with Azure Large Instances in the Azure portal - Azure Large Instances,,Shows how to what you can do in the Azure portal with Azure Large Instances.,"In this article, you learn what to do in the Azure portal with your implementation of Azure Large Instances. Note For now, BareMetal Infrastructure and BareMetal Instances are being used as synonyms for Azure Large Instances.",2024-10-11T17:05:00.000Z,how-to,,0.3,False,"Portal how-to/navigation style content; no detailed configuration tables, limits, or product-specific troubleshooting.",unchanged
https://learn.microsoft.com/en-us/azure/azure-large-instances/workloads/epic/,Azure Large Instances for Epic workload,Azure Large Instances for Epic workload,,Learn how to use ALI for Epic.,Learn how to use Azure Large Instances for Epic.,2026-06-23T17:23:00Z,landing-page,,0.0,False,"Only a high-level description is available; no visible evidence of numeric limits, configuration tables, error-code-based troubleshooting, or other detailed expert knowledge per the defined categories.",unchanged
https://learn.microsoft.com/en-us/azure/azure-large-instances/workloads/epic/available-skus,Azure Large Instances SKUs for Epic workload,Available Azure Large Instances SKUs - Azure Large Instances for Epic,Review Azure Large Instances Epic SKU capacities,Provides a list of Azure Large Instances for Epic SKUs.,This article provides a list of available Azure Large Instances for Epic®workload SKUs.,2024-06-12T22:54:00.000Z,concept-article,limits-quotas,0.85,True,"Described as a list of available SKUs; such pages typically contain exact sizes, cores, memory, and other numeric constraints that function as limits/quotas.",unchanged
https://learn.microsoft.com/en-us/azure/azure-large-instances/workloads/epic/create-a-volume-group,Create a volume group,Create a volume group - Azure Large Instances for Epic,Create and tune Epic volume groups on Azure Large Instances,Explains how to create an ALI for Epic volume group.,"This article explains how to create an Azure Large Instances for Epic®volume group. Discover storage using the following command. [root@rhel101 ~]# lsblk -do KNAME,TYPE,SIZE,MODEL Create physical disk for database and journal using the WWIDs provided in the reference mapping above. [root@rhel101 ~]# pvcreate /dev/mapper/<WWID Create and extend the volume groups. Note The “-s 8M” physical extent size has been used for the environment and was tested to yield the best performance. Note Make the fil",2024-04-10T23:08:00.000Z,concept-article,integrations,0.7,True,"Contains specific Linux commands, use of WWIDs, and a concrete configuration value (-s 8M extent size) tested for best performance; this is a product-specific storage configuration/coding pattern.",unchanged
