url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/defender-for-iot/device-builders/concept-agent-based-security-alerts,Micro agent security alerts,Micro agent security alerts - Microsoft Defender for IoT,Use Defender micro agent built-in security alerts,"Learn about security alerts and recommended remediation using Defender for IoT device's features, and services.","Defender for IoT continuously analyzes your IoT solution using advanced analytics and threat intelligence to alert you to malicious activity.
In addition, you can create custom alerts based on your knowledge of expected device behavior.
An alert acts as an indicator of potential compromise, and should be investigated and remediated. Note Defender for IoT plans to retire the micro agent on August 1, 2025. In this article, you'll find a list of built-in alerts, which can be triggered on your IoT d",2026-04-28T17:57:00.000Z,concept-article,security,0.65,True,"Contains a list of built-in micro agent alerts with recommended remediation, which are product-specific security behaviors and mappings not derivable from generic knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/defender-for-iot/device-builders/concept-agent-portfolio-overview-os-support,Agent portfolio overview and OS support,Agent portfolio overview and OS support - Microsoft Defender for IoT,,Microsoft Defender for IoT provides a large portfolio of agents based on the device type.,"Microsoft Defender for IoT provides a large portfolio of agents based on the device type. Note Defender for IoT plans to retire the micro agent on August 1, 2025.",2026-04-28T17:57:00.000Z,overview,,0.25,False,"Agent portfolio and OS support overview; likely a conceptual mapping of agent types to OSes, not detailed config or limits.",unchanged
https://learn.microsoft.com/en-us/azure/defender-for-iot/device-builders/concept-customizable-security-alerts,Custom security alerts for IoT Hub,Custom security alerts for IoT Hub - Microsoft Defender for IoT,Define custom Defender for IoT Hub alerts,Learn about customizable security alerts and recommended remediation using Defender for IoT Hub's features and service.,"Defender for IoT continuously analyzes your IoT solution using advanced analytics and threat intelligence to alert you to malicious activity. Create custom alerts based on your knowledge of each expected device's behavior. These alerts act as the most efficient indicators of any potential changes to your organizational deployment, or landscape. The following lists of Defender for IoT alerts are definable by you based on your expected IoT Hub behavior. For more information about how to customize ",2026-04-28T17:57:00.000Z,reference,security,0.7,True,"Describes customizable alert types and conditions for IoT Hub, including product-specific alert definitions and behaviors.",unchanged
https://learn.microsoft.com/en-us/azure/defender-for-iot/device-builders/concept-data-processing,Data processing and residency,Data processing and residency - Microsoft Defender for IoT,Understand Defender for IoT data residency mapping,"Microsoft Defender for IoT data processing, and residency can occur in regions that are different than the IoT Hub's region.","Microsoft Defender for IoT is a separate service, which adds an extra layer of threat protection to the Azure IoT Hub, IoT Edge, and your devices. Defender for IoT may process, and store your data within a different geographic location than your IoT Hub. Mapping between the IoT Hub, and Microsoft Defender for IoT's regions is as follows: For a Hub located in Europe, the data is stored in theWest Europeregion. For a Hub located outside Europe, the data is stored in theEast USregion. Microsoft Def",2026-04-28T17:57:00.000Z,concept-article,limits-quotas,0.7,True,"Provides explicit mapping of IoT Hub regions to Defender for IoT data storage regions (for Europe vs non-Europe), which is a concrete service constraint not generally known from training.",unchanged
https://learn.microsoft.com/en-us/azure/defender-for-iot/device-builders/concept-event-aggregation,Micro agent event collection,Micro agent event collection - Microsoft Defender for IoT,,"Defender for IoT security agents collect data and system events from your local device, and send the data to the Azure cloud for processing, and analytics.","Defender for IoT security agents collect data and system events from your local device, and send the data to the Azure cloud for processing. Note Defender for IoT plans to retire the micro agent on August 1, 2025. If you've configured and connected a Log Analytics workspace, you'll see these events in Log Analytics. For more information, seeTutorial: Investigate security alerts. The Defender for IoT micro agent collects many types of device events including new processes, and all new connection ",2026-04-28T17:57:00.000Z,reference,,0.45,False,Explains event collection types and flow; likely lists event categories but not as configuration parameters or limits tables.,unchanged
https://learn.microsoft.com/en-us/azure/defender-for-iot/device-builders/concept-micro-agent-configuration,Micro agent configurations,Micro agent configurations - Microsoft Defender for IoT,Configure Defender for IoT micro agent behavior,The collector sends all current data immediately after any configuration change is made. The configuration changes are then applied.,"This article describes the different types of configurations that the micro agent supports. Customers can configure the micro agent to fit the needs of their devices, and network environments. Note Defender for IoT plans to retire the micro agent on August 1, 2025. The micro agent's behavior is configured by a set of module twin properties. You can configure the micro agent to best suit your needs. For example, you can turn off certain events to minimize power consumption, and reduce other resou",2026-04-28T17:57:00.000Z,concept-article,configuration,0.8,True,"Describes micro agent configuration via module twin properties, including specific property names and behaviors (for example, toggling event types to reduce resource usage), fitting configuration-reference criteria.",unchanged
https://learn.microsoft.com/en-us/azure/defender-for-iot/device-builders/concept-micro-agent-linux-dependencies,Micro agent linux dependencies,Micro agent Linux dependencies - Microsoft Defender for IoT,Review Linux OS dependencies for Defender micro agent,This article describes the different Linux OS dependencies for the Defender for IoT micro agent.,"This article describes the different Linux OS dependencies for the Defender for IoT micro agent. Note Defender for IoT plans to retire the micro agent on August 1, 2025.",2026-04-28T17:57:00.000Z,reference,configuration,0.7,True,"Linux dependency article typically lists specific packages, kernel versions, and capabilities required by the micro agent, which are product-specific configuration prerequisites.",unchanged
https://learn.microsoft.com/en-us/azure/defender-for-iot/device-builders/concept-recommendations,Security recommendations for IoT Hub,Security recommendations for IoT Hub - Microsoft Defender for IoT,Apply Defender for IoT Hub security recommendations,Learn about the concept of security recommendations and how they're used in the Defender for IoT Hub.,"Defender for IoT scans your Azure resources and IoT devices and provides security recommendations to reduce your attack surface.
Security recommendations are actionable and aim to aid customers in complying with security best practices. In this article, you will find a list of recommendations, which can be triggered on your IoT Hub.",2026-04-28T17:57:00.000Z,reference,security,0.7,True,"Lists concrete security recommendations that Defender can trigger on IoT Hub resources, which are product-specific secure-configuration guidance.",unchanged
https://learn.microsoft.com/en-us/azure/defender-for-iot/device-builders/concept-security-alerts,Built-in alerts for IoT Hub,Built-in & custom alerts list - Microsoft Defender for IoT,Use Defender for IoT Hub built-in alerts,Learn about security alerts and recommended remediation using Defender for IoT Hub's features and service.,"Defender for IoT continuously analyzes your IoT solution using advanced analytics and threat intelligence to alert you to malicious activity.
In addition, you can create custom alerts based on your knowledge of expected device behavior.
An alert acts as an indicator of potential compromise, and should be investigated and remediated. In this article, you will find a list of built-in alerts, which can be triggered on your IoT Hub.
In addition to built-in alerts, Defender for IoT allows you to defi",2026-04-28T17:57:00.000Z,reference,security,0.65,True,"Provides a list of built-in IoT Hub alerts and remediation guidance, which are specific to this service’s security model.",unchanged
https://learn.microsoft.com/en-us/azure/defender-for-iot/device-builders/concept-standalone-micro-agent-overview,Standalone micro agent overview,Standalone micro agent overview - Microsoft Defender for IoT,,The Microsoft Defender for IoT security agents allow you to build security directly into your new IoT devices and Azure IoT projects.,"Security is a near-universal concern for IoT implementers. IoT devices have unique needs for endpoint monitoring, security posture management, and threat detection – all with highly specific performance requirements. Note Defender for IoT plans to retire the micro agent on August 1, 2025. The Microsoft Defender for IoT security agent allows you to build security directly into your new IoT devices and Azure IoT projects. The micro agent has flexible deployment options, including the ability to de",2026-04-28T17:57:00.000Z,overview,,0.25,False,Standalone micro agent overview; conceptual description of capabilities and deployment options without deep technical tables.,unchanged
