url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/azure-sql/azure-hybrid-benefit?view=azuresql,Azure Hybrid Benefit,Azure Hybrid Benefit - Azure SQL Database & SQL Managed Instance,,Use existing SQL Server licenses for Azure SQL Database and SQL Managed Instance discounts.,"Applies to:Azure SQL DatabaseAzure SQL Managed Instance Azure Hybrid Benefitgrants you the ability to allocate your SQL Server license to Azure SQL Database and Azure SQL Managed Instance. You can save up to 30 percent or more on SQL Database and SQL Managed Instance by using your Software Assurance-enabled SQL Server licenses on Azure. ThePricing Calculatorallows you to determine Azure Hybrid Benefit savings at a service level. With Azure Hybrid Benefit, you get a discount on the allocation of ",2025-09-02T17:35:00.000Z,concept-article,,0.2,False,"Cost/benefit overview of Azure Hybrid Benefit; primarily pricing/marketing, no technical limits or configs.",unchanged
https://learn.microsoft.com/en-us/azure/azure-sql/azure-sql-decision-tree?view=azuresql,Azure SQL decision tree,Azure SQL Decision Tree - Azure SQL,Use Azure SQL decision tree to choose service,"Explore a decision tree of different options within the Azure SQL family of services: Azure SQL Database, Azure SQL Managed Instance, and SQL Server on Azure VM.",Applies to:Azure SQL DatabaseAzure SQL Managed InstanceSQL Server on Azure VM The Azure portal includes a decision tree in theAzure SQL hub at aka.ms/azuresqlhubto help youFind the right optionfor your application architecture in Azure SQL.,2026-03-18T11:48:00.000Z,article,decision-making,0.7,True,"Describes a product-specific decision tree in the Azure portal for selecting between Azure SQL Database, Managed Instance, and SQL Server on VM; this is concrete decision guidance unique to the product, even if much of the logic is embedded in the portal tool.",unchanged
https://learn.microsoft.com/en-us/azure/azure-sql/azure-sql-iaas-vs-paas-what-is-overview?view=azuresql,What is Azure SQL?,What Is Azure SQL? - Azure SQL,,"Learn about the different options within the Azure SQL family of services: Azure SQL Database, Azure SQL Managed Instance, and SQL Server on Azure VM.","Applies to:Azure SQL DatabaseAzure SQL Managed InstanceSQL Server on Azure VM Azure SQL is a family of managed, secure, and intelligent products that use the SQL Server database engine in the Azure cloud. Azure SQL is built upon the familiar SQL Server engine, so you can migrate applications with ease and continue to use the tools, languages, and resources you're familiar with. Your skills and experience transfer to the cloud, so you can do even more with what you already have. If you're new to ",2026-03-11T08:00:00.000Z,overview,,0.1,False,"High-level overview of Azure SQL family options without numeric limits, configuration tables, or concrete decision matrices; primarily conceptual/marketing content.",unchanged
https://learn.microsoft.com/en-us/azure/azure-sql/capacity-errors-troubleshoot?view=azuresql,Capacity errors during deployment,Resolve Capacity Errors with Azure SQL Resources - Azure SQL,Resolve Azure SQL capacity deployment and scaling errors,Learn how to resolve possible capacity errors when attempting to deploy or scale Azure SQL Database or Azure SQL Managed Instance resources.,"Applies to:Azure SQL DatabaseAzure SQL Managed Instance In this article, learn how to resolve capacity errors when deploying Azure SQL Database or Azure SQL Managed Instance resources.",2025-06-16T17:33:00.000Z,how-to,troubleshooting,0.8,True,"Article focuses on resolving capacity errors when deploying/scaling, likely including specific error codes/messages and prescribed actions, fitting troubleshooting.",unchanged
https://learn.microsoft.com/en-us/azure/azure-sql/database-watcher-alerts?view=azuresql,Alerts,Database watcher alerts - Azure SQL Database & SQL Managed Instance,Configure alerts on Azure SQL monitoring data with database watcher,A detailed description of Azure Monitor Alerts in database watcher,"Applies to:Azure SQL DatabaseAzure SQL Managed Instance After youcreate and configurea watcher, you can set upAzure Monitor Alertsto receive notifications about high resource usage, notable workload patterns, and other conditions across your Azure SQL estate that might require attention. To do this, you create alog search alert rulethat queries the data store of a watcher on a schedule. To help you create alert rules, database watcher includes templates for common alert conditions. Once an alert",2025-05-04T08:00:00.000Z,concept-article,configuration,0.7,True,Details creating Azure Monitor log search alert rules and templates for watcher; product-specific alert configuration.,unchanged
https://learn.microsoft.com/en-us/azure/azure-sql/database-watcher-analyze?view=azuresql,Analyze monitoring data,Analyze database watcher monitoring data - Azure SQL Database & SQL Managed Instance,Analyze Azure SQL monitoring data with KQL and T-SQL,Examples of analytical queries that use database watcher monitoring data,"Applies to:Azure SQL DatabaseAzure SQL Managed Instance In addition to usingdashboards in Azure portal, or building visualizations to view and analyze SQL monitoring data inPower BI,Grafana,Azure Data ExplorerorReal-Time Analytics in Microsoft Fabric, you can query your monitoring data store directly. This article contains examples ofKQLandT-SQLqueries that help you get started with analyzing collected monitoring data.",2025-05-04T08:00:00.000Z,how-to,best-practices,0.7,True,Provides concrete KQL and T-SQL query examples for analyzing watcher data; product-specific analytical patterns and queries.,unchanged
https://learn.microsoft.com/en-us/azure/azure-sql/database-watcher-data?view=azuresql,Data collection and datasets,Database watcher data collection and datasets - Azure SQL Database & SQL Managed Instance,Understand database watcher datasets and collected metrics,A detailed description of SQL monitoring data collected by database watcher,"Applies to:Azure SQL DatabaseAzure SQL Managed Instance Database watcher collects monitoring data from SQL system views and ingests it into the data store in the form ofdatasets. Each dataset is formed using the data from one or more SQL system views. For each dataset, there is a separate table in the data store.",2025-09-02T08:00:00.000Z,concept-article,configuration,0.8,True,Describes datasets and tables created from SQL system views; includes schema-level details of monitoring data collection.,unchanged
https://learn.microsoft.com/en-us/azure/azure-sql/database-watcher-faq?view=azuresql,FAQ,Database watcher FAQ - Azure SQL Database & SQL Managed Instance,Resolve common Azure SQL database watcher issues,Frequently asked questions about database watcher for Azure SQL,"Applies to:Azure SQL DatabaseAzure SQL Managed Instance This article provides answers to frequently asked questions about database watcher for Azure SQL. It is intended for readers who have a general understanding of Azure SQL, and are looking for answers to specific, commonly asked questions about database watcher. For an overview of database watcher, seeMonitor Azure SQL workloads with database watcher (preview).",2025-09-29T17:38:00.000Z,faq,troubleshooting,0.68,True,"FAQ pages for preview monitoring features typically include product-specific error messages, behavioral quirks, and targeted resolutions (for example, why data isn’t appearing, supported regions/limitations, and how to interpret watcher output). These symptom→cause→solution details are not generic SQL knowledge and qualify as troubleshooting-focused expert knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/azure-sql/database-watcher-manage?view=azuresql,Create and configure,Create and configure a watcher - Azure SQL Database & SQL Managed Instance,Configure Azure SQL Database watcher settings,Database watcher setup and configuration details,"Applies to:Azure SQL DatabaseAzure SQL Managed Instance This article contains detailed steps to create, configure, and start a watcher in the Azure portal for Azure SQL Database and Azure SQL Managed Instance. Database watcher does not require you to deploy and maintain any monitoring agents or other monitoring infrastructure. You can enable in-depth database monitoring of your Azure SQL resources in minutes. For a simplified step-by-step example to create and configure a watcher, seeQuickstart:",2026-06-16T08:00:00.000Z,how-to,configuration,0.68,True,"The article focuses on creating and configuring a database watcher, which implies product-specific configuration steps and options (watcher properties, enablement settings, and operational parameters) rather than just a conceptual overview. These configuration details (specific setting names and how to set them in the Azure portal) are not generic knowledge and qualify as expert, product-specific configuration guidance.",unchanged
https://learn.microsoft.com/en-us/azure/azure-sql/database-watcher-overview?view=azuresql,Database watcher overview,Monitor Azure SQL workloads with database watcher - Azure SQL Database & SQL Managed Instance,,"An overview of database watcher for Azure SQL, a managed monitoring solution for database services in the Azure SQL family.","Applies to:Azure SQL DatabaseAzure SQL Managed Instance Database watcher is a managed monitoring solution for database services in the Azure SQL family. It supportsAzure SQL DatabaseandAzure SQL Managed Instance. Database watcher collects in-depth workload monitoring data to give you a detailed view of database performance, configuration, and health. Monitoring data from the databases, elastic pools, and SQL managed instances you select iscollectedinto a central data store in your Azure subscrip",2025-07-30T08:00:00.000Z,overview,,0.2,False,"Database watcher article is an overview of a managed monitoring solution, describing what it is and what it collects; the summary does not show specific configuration parameters, limits, or diagnostic mappings, so it does not meet the bar for configuration, troubleshooting, or other expert-knowledge categories.",unchanged
https://learn.microsoft.com/en-us/azure/azure-sql/database-watcher-quickstart?view=azuresql,Quickstart,Create a watcher to monitor Azure SQL - Azure SQL Database & SQL Managed Instance,Create a database watcher with Entra auth and private connectivity,"Learn how to create a new watcher to monitor an Azure SQL database, elastic pool, or SQL managed instance using Microsoft Entra authentication and private connectivity.","This article shows you how to create a new watcher to monitor an Azure SQL database, elastic pool, or SQL managed instance. For an introduction to database watcher, seeMonitor Azure SQL workloads with database watcher. For a detailed description of database watcher setup and configuration, seeCreate and configure a watcher. Follow the steps to create a watcher and start monitoring your Azure SQL resources in minutes. The watcher you create uses Microsoft Entra authentication and private connecti",2025-05-04T08:00:00.000Z,quickstart,configuration,0.7,True,"Quickstart for creating a watcher; includes specific configuration choices (Entra auth, private connectivity) and Azure SQL–specific setup steps.",unchanged
https://learn.microsoft.com/en-us/azure/azure-sql/database/always-encrypted-landing?view=azuresql,Always Encrypted,Always Encrypted documentation - Azure SQL,,"Find Always Encrypted documentation for SQL Server, Azure SQL Database, and Azure SQL Managed Instance",Find documentation about Always Encrypted,2025-10-28T22:34:00Z,landing-page,,0.1,False,Landing page for Always Encrypted docs; no detailed content itself.,unchanged
https://learn.microsoft.com/en-us/azure/azure-sql/database/authentication-aad-configure?view=azuresql,Microsoft Entra authentication,Configure Microsoft Entra Authentication - Azure SQL Database & SQL Managed Instance & Azure Synapse Analytics,Configure Microsoft Entra authentication for Azure SQL,"Learn how to connect to Azure SQL Database, Azure SQL Managed Instance, and Azure Synapse Analytics using the Microsoft Entra authentication.","Applies to:Azure SQL DatabaseAzure SQL Managed InstanceAzure Synapse Analytics This article shows you how to useMicrosoft Entra ID for authenticationwithAzure SQL Database,Azure SQL Managed Instance, andAzure Synapse Analytics. Note Microsoft Entra IDwas previously known as Azure Active Directory (Azure AD). Alternatively, you can alsoconfigure Microsoft Entra authentication for SQL Server on Azure Virtual Machines.",2026-05-15T08:00:00.000Z,how-to,security,0.78,True,"Configuration article for Entra (Azure AD) authentication to Azure SQL and Synapse; likely includes specific authentication modes, connection string parameters, and role/permission details that are product-specific security configuration.",unchanged
https://learn.microsoft.com/en-us/azure/azure-sql/database/authentication-aad-directory-readers-role-tutorial?view=azuresql,Directory Readers role for groups,Assign Directory Readers Role to a Microsoft Entra Group and Manage Role Assignments - Azure SQL Database & Azure SQL Managed Instance & Azure Synapse Analytics,Assign Directory Readers role for Azure SQL identities,"This article guides you through enabling the Directory Readers role using Microsoft Entra groups to manage Microsoft Entra role assignments with Azure SQL Database, Azure SQL Managed Instance, and Azu","Applies to:Azure SQL DatabaseAzure SQL Managed InstanceAzure Synapse Analytics This article guides you through creating a group in Microsoft Entra ID (formerly Azure Active Directory), and assigning that group theDirectory Readersrole. The Directory Readers permissions allow the group owners to add additional members to the group, such as amanaged identityofAzure SQL Database,Azure SQL Managed Instance, andAzure Synapse Analytics. This bypasses the need for aPrivileged Role Administratorto assig",2025-06-30T08:00:00.000Z,tutorial,security,0.8,True,Walkthrough for assigning Directory Readers to Entra groups and using them with managed identities for Azure SQL; includes specific role names and permission behaviors.,unchanged
https://learn.microsoft.com/en-us/azure/azure-sql/database/authentication-aad-directory-readers-role?view=azuresql,Directory Readers role,Directory Readers Role in Microsoft Entra ID for Azure SQL - Azure SQL Database & Azure SQL Managed Instance,Configure Directory Readers and permissions for Azure SQL identities,Learn about the directory reader's role in Microsoft Entra for Azure SQL.,"Applies to:Azure SQL DatabaseAzure SQL Managed InstanceAzure Synapse Analytics Microsoft Entra ID (formerly Azure Active Directory) has introducedusing groups to manage role assignments. This allows for Microsoft Entra roles to be assigned to groups. Note WithMicrosoft Graphsupport for Azure SQL, the Directory Readers role can be replaced with using lower level permissions. For more information, seeManaged identities in Microsoft Entra for Azure SQL. When enabling amanaged identityfor Azure SQL ",2025-07-18T17:35:00.000Z,concept-article,security,0.8,True,Explains Directory Readers role and alternative lower-level permissions for managed identities; contains specific role names and security configuration guidance.,unchanged
https://learn.microsoft.com/en-us/azure/azure-sql/database/authentication-aad-guest-users?view=azuresql,Microsoft Entra guest users and set as a Microsoft Entra admin,Create Microsoft Entra Guest Users - Azure SQL Database & Azure SQL Managed Instance,Create and use Microsoft Entra guest admins for Azure SQL,"How to create Microsoft Entra guest users and set them as Microsoft Entra admin in Azure SQL Database, Azure SQL Managed Instance, and Azure Synapse Analytics","Applies to:Azure SQL DatabaseAzure SQL Managed InstanceSQL Server on Azure VM Note This feature applies to SQL Server 2022 and later on Azure Virtual Machines and Arc enabled SQL Server. Guest userswith Microsoft Entra B2B collaboration are users that have accounts in an external Microsoft Entra organization or an external identity provider (for example, Outlook, Windows Live Mail, or Gmail), which isn't managed within your Microsoft Entra tenant. Guest user accounts are created when those indiv",2026-02-25T18:37:00.000Z,how-to,security,0.8,True,Describes creating Entra guest users and assigning them as Azure SQL admins; includes role mappings and security behavior specific to Azure SQL.,unchanged
