url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/azure-edge-hardware-center/azure-edge-hardware-center-contact-microsoft-support,Open Support ticket,Log support ticket for Azure Edge Hardware Center orders,,Learn how to log support request for issues related to orders created via Azure Edge Hardware Center.,"This article applies to orders created by Azure Edge Hardware Center service. If you encounter any issues with your service, you can create a service request for technical support. This article walks you through:",2022-02-03T12:08:00.000Z,how-to,,0.3,False,Describes how to open a support ticket; process guidance rather than technical troubleshooting or configuration.,unchanged
https://learn.microsoft.com/en-us/azure/azure-edge-hardware-center/azure-edge-hardware-center-create-order,Create order,Tutorial to create an order using Azure Edge Hardware Center,,The tutorial about creating an Azure Edge Hardware Center via the Azure portal.,"Azure Edge Hardware Center service lets you explore and order a variety of hardware from the Azure hybrid portfolio including Azure Stack Edge devices. This tutorial describes how to create an order using the Azure Edge Hardware Center via the Azure portal. In this tutorial, you'll:",2022-06-06T22:09:00.000Z,tutorial,,0.3,False,Step-by-step portal tutorial for creating an order; lacks detailed configuration tables or product-specific edge cases.,unchanged
https://learn.microsoft.com/en-us/azure/azure-edge-hardware-center/azure-edge-hardware-center-faq,FAQ,Azure Edge Hardware Center FAQ,,"Contains frequently asked questions and answers for Azure Edge Hardware Center, a service that lets you order hardware devices as per your business need.",Use Azure Edge Hardware Center service to order from a variety of hardware or devices as per your business need. This FAQ contains questions and answers that you may have when you use the Azure Edge Hardware Center in the Azure portal.,2026-06-03T05:14:00.000Z,faq,,0.2,False,"FAQ description suggests general Q&A about using Azure Edge Hardware Center and ordering devices, but doesn't indicate presence of numeric limits, configuration parameter tables, error-code-based troubleshooting, or other detailed expert content. Likely high-level usage and process information rather than the specific technical details required by any sub-skill type.",unchanged
https://learn.microsoft.com/en-us/azure/azure-edge-hardware-center/azure-edge-hardware-center-manage-order,"Track, cancel, return order",Manage Azure Edge Hardware Center orders,,Describes how to use the Azure portal to manage orders created via Azure Edge Hardware Center.,"This article describes how to manage the orders created by Azure Edge Hardware Center. You can use the Azure portal to track and cancel orders created via the Edge Hardware Center. In this article, you learn how to:",2022-06-06T22:09:00.000Z,how-to,,0.3,False,Covers managing and tracking orders in portal; appears procedural without expert-only configuration or limits.,unchanged
https://learn.microsoft.com/en-us/azure/azure-edge-hardware-center/azure-edge-hardware-center-overview,What is Azure Edge Hardware Center?,Azure Edge Hardware Center overview,,Describes Azure Edge Hardware Center - an Azure service that lets you order all Azure hardware and manage and track those orders,"Azure Edge Hardware Center is a new Azure service that lets you order a variety of hardware or devices from the Azure hybrid portfolio. You can also use this service to see and track all your order related information at one place. The first party hardware that you order can then be used to build and run hybrid apps across datacenters, edge locations, remote offices, and the cloud.",2022-02-03T12:08:00.000Z,overview,,0.2,False,"High-level service overview and benefits; no detailed limits, configs, or error mappings.",unchanged
https://learn.microsoft.com/en-us/azure/azure-edge-hardware-center/azure-edge-hardware-center-resource-move-subscription-resource-group,Move order resource,"Move Azure Edge Hardware Center resource across subscriptions, resource groups",Move Azure Edge Hardware Center resources across subscriptions,Use the Azure portal to move an Azure Edge Hardware Center resource to another subscription or a resource group.,"This article explains how to move an Azure Edge Hardware Center resource across Azure subscriptions, or to another resource group in the same subscription using the Azure portal. Both the source group and the target group are locked during the move operation. Write and delete operations are blocked on the resource groups until the move completes. This lock means you can't add, update, or delete resources in the resource groups. It doesn't mean the resources are frozen.The lock can last for a max",2022-02-03T12:08:00.000Z,how-to,limits-quotas,0.7,True,Mentions move-operation locking behavior and a maximum lock duration; this is a product-specific operational limit that qualifies as limits-quotas.,unchanged
https://learn.microsoft.com/en-us/azure/azure-edge-hardware-center/azure-edge-hardware-center-troubleshoot-order,Troubleshoot orders,Troubleshoot Azure Edge Hardware Center issues via the Azure portal,Troubleshoot Azure Edge Hardware Center ordering issues,Describes how to troubleshoot Azure Edge Hardware Center ordering issues.,This article describes how to troubleshoot Azure Edge Hardware Center ordering issues.,2022-02-03T12:08:00.000Z,troubleshooting,troubleshooting,0.7,True,Explicit troubleshooting article for ordering issues; likely maps portal symptoms and errors to causes and resolutions.,unchanged
https://learn.microsoft.com/en-us/azure/databox-gateway/data-box-gateway-1905-release-notes,1905,Azure Data Box Gateway 1905 release notes,Azure Data Box Gateway 1905 GA release known issues,Describes critical open issues and resolutions for the Azure Data Box Gateway 1905 running general availability release.,,2024-09-08T11:22:00.000Z,release-notes,troubleshooting,0.7,True,GA release notes with critical issues and fixes; used for diagnosing problems on that release.,unchanged
https://learn.microsoft.com/en-us/azure/databox-gateway/data-box-gateway-1906-release-notes,1906,Azure Data Box Gateway & Azure Data Box Edge 1906 release notes,Azure Data Box Edge and Gateway 1906 release issues,Describes critical open issues and resolutions for the Azure Data Box Gateway and Azure Data Box Edge running 1906 release.,"The following release notes identify the critical open issues and the resolved issues for the 1906 release for Azure Data Box Edge and Azure Data Box Gateway. The release notes are continuously updated, and critical issues requiring a workaround are added as they're discovered. Before you deploy your Data Box Edge/Data Box Gateway, carefully review the information contained in the release notes. This release corresponds to the software versions: Note Update 1906 can be applied only to Data Box E",2024-09-08T11:22:00.000Z,release-notes,troubleshooting,0.75,True,Release notes for 1906 release; contains known issues and resolutions for troubleshooting.,unchanged
https://learn.microsoft.com/en-us/azure/databox-gateway/data-box-gateway-1911-release-notes,1911,Azure Stack Edge & Azure Data Box Gateway 1911 release notes,Azure Stack Edge and Data Box Gateway 1911 release issues,Describes critical open issues and resolutions for the Azure Stack Edge and Data Box Gateway running 1911 release.,"The following release notes identify the critical open issues and the resolved issues for the 1911 release for Azure Stack Edge and Data Box Gateway. The release notes are continuously updated, and as critical issues requiring a workaround are discovered, they are added. Before you deploy your Azure Stack Edge/Data Box Gateway, carefully review the information contained in the release notes. This release corresponds to the software versions: Note Update 1911 can be applied only to all devices th",2020-12-03T23:02:00.000Z,release-notes,troubleshooting,0.75,True,Release notes with critical issues and workarounds; specialized troubleshooting content.,unchanged
