url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/ai-services/document-intelligence/authentication/create-sas-tokens?view=doc-intel-4.0.0,Create SAS tokens for storage containers,Create shared access signature (SAS) tokens for your storage containers and blobs - Foundry Tools,Create SAS tokens for Document Intelligence storage,How to create Shared Access Signature (SAS) tokens for containers and blobs with Microsoft Storage Explorer and the Azure portal.,"This content applies to:v4.0 (GA)v3.1 (GA)v3.0 (retiring)v2.1 (retiring) In this article, learn how to create user delegation, shared access signature (SAS) tokens, using either the Azure portal or Azure Storage Explorer. User delegation SAS tokens are secured with Microsoft Entra credentials. SAS tokens provide secure, delegated access to resources in your Azure storage account. At a high level, here's how SAS tokens work: First, your application submits the SAS token to Azure Storage as part o",2026-04-16T08:00:00.000Z,how-to,security,0.75,True,How-to for creating user delegation and SAS tokens with Azure Storage; includes security configuration details and token parameters relevant to secure access.,updated
https://learn.microsoft.com/en-us/azure/ai-services/document-intelligence/authentication/encrypt-data-at-rest?view=doc-intel-4.0.0,Use customer-managed keys,Service encryption of data at rest - Document Intelligence - Foundry Tools,Manage data-at-rest encryption and CMK for Document Intelligence,"Microsoft offers Microsoft-managed encryption keys, and also lets you manage your Foundry Tools subscriptions with your own keys, called customer-managed keys (CMK). This article covers data encryptio",This content applies to:v4.0 (GA)v3.1 (GA)v3.0 (retiring)v2.1 (retiring) Important Azure Document Intelligence in Foundry Tools automatically encrypts your data when persisting it to the cloud. Document Intelligence encryption protects your data to help you to meet your organizational security and compliance commitments.,2026-04-23T08:00:00.000Z,how-to,security,0.75,True,Describes Microsoft-managed vs customer-managed keys and how to enable CMK; product-specific encryption configuration and compliance details.,updated
https://learn.microsoft.com/en-us/azure/ai-services/document-intelligence/authentication/managed-identities-secured-access?view=doc-intel-4.0.0,Configure managed identities with private endpoints,Configure secure access with managed identities and virtual networks - Foundry Tools,Secure Document Intelligence with managed identities and VNETs,Learn how to configure secure communications between Document Intelligence and other Azure Services.,This content applies to:v4.0 (GA)v3.1 (GA)v3.0 (retiring)v2.1 (retiring) This how-to guide walks you through the process of enabling secure connections for your Document Intelligence resource. You can secure the following connections: Communication between a client application within a Virtual Network (VNET) and your Document Intelligence Resource. Communication between Document Intelligence Studio and your Document Intelligence resource.F Communication between your Document Intelligence resourc,2026-04-16T08:00:00.000Z,how-to,security,0.8,True,"How-to for securing connections between clients, Studio, and other services using managed identities and virtual networks; product-specific secure access configuration.",updated
https://learn.microsoft.com/en-us/azure/ai-services/document-intelligence/authentication/managed-identities?view=doc-intel-4.0.0,Create and use managed identities,Create and use managed identities with Document Intelligence - Foundry Tools,Configure managed identities for Document Intelligence,Understand how to create and  use managed identity with Document Intelligence.,"This content applies to:v4.0 (GA)v3.1 (GA)v3.0 (retiring)v2.1 (retiring) Managed identities for Azure resources are service principals that create a Microsoft Entra identity and specific permissions for Azure managed resources: Managed identities grant access to any resource that supports Microsoft Entra authentication, including your own applications. Unlike security keys and authentication tokens, managed identities eliminate the need for developers to manage credentials. You can grant access ",2026-04-22T08:00:00.000Z,how-to,security,0.8,True,Explains creating and using managed identities with this service; includes RBAC/identity configuration details specific to Document Intelligence.,updated
https://learn.microsoft.com/en-us/azure/ai-services/document-intelligence/concept/accuracy-confidence?view=doc-intel-4.0.0,Accuracy and confidence scores,Interpret and improve model accuracy and confidence scores - Foundry Tools,Improve Document Intelligence accuracy and confidence,Best practices to interpret and improve Azure Document Intelligence in Foundry Tools accuracy scores from train model operations and confidence scores from analysis operations.,"A confidence score indicates probability by measuring the degree of statistical certainty that the extracted result is detected correctly. The estimated accuracy is calculated by running a few different combinations of the training data to predict the labeled values. In this article, learn to interpret accuracy and confidence scores and best practices for using those scores to improve accuracy and confidence results.",2026-04-08T08:00:00.000Z,concept-article,best-practices,0.8,True,Explicitly described as best practices for interpreting and improving accuracy/confidence; likely includes product-specific guidance and patterns beyond generic ML concepts.,updated
https://learn.microsoft.com/en-us/azure/ai-services/document-intelligence/concept/add-on-capabilities?view=doc-intel-4.0.0,Enhanced capabilities,Add-on capabilities - Document Intelligence - Foundry Tools,Increase Document Intelligence capacity with add-ons,How to increase service limit capacity with add-on capabilities.,This content applies to:v4.0 (GA)|Previous versions:v3.1 (GA):::moniker-end This content applies to:v3.1 (GA)|Latest version:v4.0 (GA) Note Add-on capabilities are available within all models except for theBusiness card model.,2026-06-22T08:00:00.000Z,concept-article,limits-quotas,0.7,True,Describes add-on capabilities to increase service limits; likely includes specific capacity/limit values per model or SKU beyond generic knowledge.,updated
https://learn.microsoft.com/en-us/azure/ai-services/document-intelligence/concept/analyze-document-response?view=doc-intel-4.0.0,Analyze document API response,Document Intelligence APIs analyze document response - Foundry Tools,Use AnalyzeDocument API response objects effectively,Description of the different objects returned as part of the AnalyzeDocument response and how to use the document analysis response in your applications.,"In this article, let's examine the different objects returned as part of theAnalyzeDocumentresponse and how to use the document analysis API response in your applications.",2026-04-30T08:00:00.000Z,concept-article,integrations,0.65,True,"Reference-style description of response objects for a specific API, including field names and structures that are product-specific integration details.",updated
https://learn.microsoft.com/en-us/azure/ai-services/document-intelligence/concept/choose-model-feature?view=doc-intel-4.0.0,Which model should I choose?,Choose the best Document Intelligence model for your applications and workflows. - Foundry Tools,Select the right Azure Document Intelligence model,Choose the best Document Intelligence model for your applications and workflows.,Azure Document Intelligence in Foundry Tools supports a wide variety of models that enable you to add intelligent document processing to your applications and optimize your workflows. Choosing the right model is essential to the success of your enterprise solution. This article explores the available Document Intelligence models—and how they complement Azure Content Understanding capabilities—to help you select the best approach for your projects. As part of Azure Content Understanding capabilit,2026-06-02T19:00:00.000Z,overview,decision-making,0.7,True,"Page is explicitly about choosing the best model for applications and workflows; it compares available Document Intelligence models and how they complement Azure Content Understanding, providing selection guidance and trade-offs, which fits decision-making. This kind of model-selection matrix and scenario guidance is product-specific expert knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/document-intelligence/concept/incremental-classifier?view=doc-intel-4.0.0,Incremental classifier,Use Document Intelligence incremental classifiers - Foundry Tools,,Incrementally train custom classifiers by adding new samples to existing classes or adding new classes.,"This content applies to:v4.0 (GA) Azure Document Intelligence in Foundry Tools is a cloud-based Foundry Tools service that enables you to build intelligent document processing solutions. Document Intelligence APIs analyze images, PDFs, and other document files to extract and detect various content, layout, style, and semantic elements. Document Intelligence custom classification modelsare deep-learning-model types that combine layout and language features to accurately detect and identify docume",2026-05-15T08:00:00.000Z,concept-article,,0.4,False,"Incremental classifiers concept article; primarily conceptual description of model behavior, not configuration tables or limits.",updated
https://learn.microsoft.com/en-us/azure/ai-services/document-intelligence/concept/markdown-elements?view=doc-intel-4.0.0,Layout API markdown output elements,Document Intelligence supported Markdown elements - Foundry Tools,Consume Document Intelligence Markdown output,Description of the supported Markdown elements returned as part of the Layout API response and how to use the response in your applications.,"Azure Document Intelligence in Foundry Tools Layout API can transform your documents into rich Markdown, preserving their original structure and formatting. Just specifyoutputContentFormat=markdownin your request to receive semantically structured content that maintains paragraphs, headings, tables, and other document elements in their proper hierarchy. This Markdown output elegantly captures the document's original organization while providing standardized, easily consumable content for downstr",2026-04-16T08:00:00.000Z,concept-article,integrations,0.7,True,Details supported Markdown elements and outputContentFormat=markdown behavior; includes product-specific response schema useful for integrations.,updated
https://learn.microsoft.com/en-us/azure/ai-services/document-intelligence/concept/query-fields?view=doc-intel-4.0.0,Query field extraction,Query field extraction - Document Intelligence - Foundry Tools,,Use Document Intelligence query fields to extend model schema.,"Document Intelligence now supports query field to extend the schema of any prebuilt model to extract the specific fields you need. Query fields can also be added to layout to extract fields in addition to structure from forms or documents. Note Document Intelligence Studio query field extraction is currently available with layout and prebuilt models, excluding the Contract prebuilt model.",2026-06-11T08:00:00.000Z,concept-article,,0.0,False,"Conceptual description of query fields and availability; summary doesn’t indicate detailed configs, limits, or error mappings.",updated
https://learn.microsoft.com/en-us/azure/ai-services/document-intelligence/concept/retrieval-augmented-generation?view=doc-intel-4.0.0,Retrieval-Augmented Generation (RAG),Retrieval-Augmented Generation (RAG) with Azure Document Intelligence in Foundry Tools - Foundry Tools,,Introduction to how semantic chunking can help with Retrieval-Augmented Generation (RAG) implementation using Azure Document Intelligence in Foundry Tools Layout model.,This content applies to:v4.0 (GA),2026-06-25T08:00:00.000Z,concept-article,,0.0,False,Introduction to RAG and semantic chunking; summary suggests conceptual guidance rather than product-specific configs or limits.,updated
https://learn.microsoft.com/en-us/azure/ai-services/document-intelligence/concept/troubleshoot-latency?view=doc-intel-4.0.0,Troubleshoot latency issues,Troubleshoot latency issues with Document Intelligence API - Foundry Tools,Troubleshoot Azure Document Intelligence latency issues,"Learn troubleshooting tips, remedial solutions, and best practices for addressing Document Intelligence latency issues.","This article presents troubleshooting tips, remedial solutions, and best practices to address Document Intelligence latency issues. Latency refers to the duration an API server takes to handle and process an incoming request before delivering the response to the client. The time required to analyze a document varies based on its size (such as the number of pages) and the content on each page. Document Intelligence operates as a multitenant service, ensuring that latency for similar documents is ",2026-04-30T08:00:00.000Z,troubleshooting,troubleshooting,0.8,True,Explicitly a troubleshooting article with remedial solutions and best practices for latency; likely includes product-specific diagnostics and mitigation steps.,updated
https://learn.microsoft.com/en-us/azure/ai-services/document-intelligence/containers/configuration?view=doc-intel-4.0.0,Configure containers,Configure Document Intelligence containers - Foundry Tools,Configure Azure Document Intelligence containers,Learn how to configure the Document Intelligence container to parse form and table data.,"Support for containers is currently available with Document Intelligence version2022-08-31 (GA)for all models,2023-07-31 (GA)for Read, Layout, Invoice, Receipt, and ID Document models, and2024-11-30 (GA)for Read and Layout model: ✔️ SeeConfigure Document Intelligence v3.0 containersorConfigure Document Intelligence v3.1 containersorConfigure Document Intelligence v4.0 containersfor supported versions of container documentation. This content applies to:v3.0 (GA)v3.1 (GA)v4.0 (GA) With Document In",2026-05-14T08:00:00.000Z,how-to,configuration,0.8,True,"Explicit configuration guide for containers, including supported API versions and likely environment variables/settings; product-specific configuration parameters.",updated
https://learn.microsoft.com/en-us/azure/ai-services/document-intelligence/containers/disconnected?view=doc-intel-4.0.0,Disconnected containers,Use Document Intelligence containers in disconnected environments - Foundry Tools,Run Document Intelligence containers in disconnected environments,Learn how to run Cognitive Services Docker containers disconnected from the internet.,"Support for containers is currently available with Document Intelligence version2022-08-31 (GA)for all models and2023-07-31 (GA)for Read, Layout, Invoice, Receipt, and ID Document models, and2024-11-30 (GA)for Layout model: ✔️ SeeDocument Intelligence v3.0 containers in disconnected environmentsorDocument Intelligence v3.1 containers in disconnected environmentsorDocument Intelligence v4.0 containers in disconnected environmentsfor supported versions of container documentation. This content appl",2026-04-25T08:00:00.000Z,reference,deployment,0.75,True,"Explains how to operate containers without internet, including licensing and operational constraints; product-specific deployment pattern.",updated
https://learn.microsoft.com/en-us/azure/ai-services/document-intelligence/containers/image-tags?view=doc-intel-4.0.0,Container image tags,Document Intelligence container image tags and release notes - Foundry Tools,Reference Document Intelligence container image tags,A listing of all Document Intelligence container image tags.,"Support for containers is currently available with Document Intelligence version2022-08-31 (GA)for all models,2023-07-31 (GA)for Read, Layout, Invoice, Receipt, and ID Document models, and2024-11-30 (GA)for Read and Layout model: ✔️ SeeDocument Intelligence v3.0 container image tagsorDocument Intelligence v3.1 container image tagsorDocument Intelligence v4.0 container image tagsfor supported versions of container documentation. This content applies to:v3.0 (GA)",2026-05-20T08:00:00.000Z,reference,limits-quotas,0.7,True,"Lists specific container image tags and release notes; while not quotas, it’s detailed versioning info but best aligned with limits/versions; contains expert, version-specific metadata.",updated
https://learn.microsoft.com/en-us/azure/ai-services/document-intelligence/containers/install-run?view=doc-intel-4.0.0,Install and run containers,Install and run Docker containers for Document Intelligence - Foundry Tools,Install and run Document Intelligence Docker containers,"Use the Docker containers for Document Intelligence on-premises to identify and extract key-value pairs, selection marks, tables, and structure from forms and documents.","This content applies to:v3.0 (GA)v3.1 (GA)v4.0 (GA) Azure Document Intelligence in Foundry Tools is a Foundry Tools that lets you build automated data processing software using machine-learning technology. Document Intelligence enables you to identify and extract text, key/value pairs, selection marks, table data, and more from your documents. The results are delivered as structured data that ../includes the relationships in the original file. Containers process only the data provided to them an",2026-05-18T08:00:00.000Z,how-to,deployment,0.7,True,Covers on-premises container usage with service-specific constraints and behavior; product-specific deployment requirements for containers.,updated
https://learn.microsoft.com/en-us/azure/ai-services/document-intelligence/faq?view=doc-intel-4.0.0,Frequently asked questions (FAQ),Azure Document Intelligence in Foundry Tools (formerly Azure AI Form Recognizer) FAQ,,Get answers to frequently asked questions about Document Intelligence.,"This content applies to:v4.0 (GA)v3.1 (GA)v3.0 (retiring)v2.1 (retiring) Azure Document Intelligence in Foundry Tools is a cloud-based service that uses machine-learning models to extract key/value pairs, text, and tables from your documents. The returned result is a structured JSON output. Document Intelligence use cases include automated data processing, enhanced data-driven strategies, and enriched document search capabilities.",2026-07-10T22:08:00.000Z,faq,,0.4,False,"FAQ page; summary suggests general Q&A about use cases, not detailed error codes, limits, or configuration tables.",updated
https://learn.microsoft.com/en-us/azure/ai-services/document-intelligence/how-to-guides/build-a-custom-classifier?view=doc-intel-4.0.0,Build a custom classification model,Build and train a custom classifier -  Document Intelligence  - Foundry Tools,Train custom document classification models,"Learn how to label, and build a custom document classification model.","This content applies to:v4.0 (GA)|Prior versions:v3.1 (GA)v3.0 (retiring) Custom classification models can classify each page in an input file to identify one or more documents within. Classifier models can also identify multiple documents or multiple instances of a single document in the input file. Document Intelligence custom models require as few as five training documents per document class to get started. To get started training a custom classification model, you need at leastfive document",2026-05-21T08:00:00.000Z,how-to,best-practices,0.7,True,Includes minimum training documents per class and classification behavior; product-specific training requirements and patterns.,updated
https://learn.microsoft.com/en-us/azure/ai-services/document-intelligence/how-to-guides/build-a-custom-model?view=doc-intel-4.0.0,Build a custom extraction model,Build and train a custom model - Document Intelligence  - Foundry Tools,Build and train custom Document Intelligence models,"Learn how to build, label, and train a custom model.","This content applies to:v4.0 (GA)|Prior versions:v3.1 (GA)v3.0 (retiring)v2.1 Document Intelligence custom models require a handful of training documents to get started. If you have at least five documents, you can get started training a custom model. You can train either acustom template model (custom form)or acustom neural model (custom document). This document walks you through the process of training the custom models.",2026-05-23T08:00:00.000Z,how-to,best-practices,0.7,True,"Specifies minimum training document counts and model types; provides product-specific training guidance and constraints (e.g., at least five documents).",updated
