url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/load-balancer/admin-state-overview,Administrative state,Administrative State (Admin State) in Azure Load Balancer - Azure Load Balancer,,Overview of Administrative State (Admin State) in Azure Load Balancer.,"Administrative state (Admin state) is a feature of Azure Load Balancer that allows you to override the Load Balancer's health probe behavior on a per backend pool instance basis. This feature is useful in scenarios where you would like to take down your backend instance for maintenance, patching, or testing.",2026-01-07T08:00:00.000Z,concept-article,,0.3,False,Explains the Admin State concept and scenarios; likely descriptive without detailed parameter tables or numeric ranges.,unchanged
https://learn.microsoft.com/en-us/azure/load-balancer/backend-pool-management,Backend Pool management,Backend Pool Management - Azure Load Balancer,Configure Azure Load Balancer backend pools by IP,Get started learning how to configure and manage the backend pool of an Azure Load Balancer.,"The backend pool is a critical component of the load balancer. The backend pool defines the group of resources that serve traffic for a given load-balancing rule. There are two ways of configuring a backend pool: Network Interface Card (NIC) IP address To preallocate a backend pool with an IP address range that will contain virtual machines and Virtual Machine Scale Sets, configure the pool by IP address and virtual network ID.
This article focuses on configuration of backend pools by IP address",2026-01-07T08:00:00.000Z,how-to,configuration,0.7,True,Backend pool management article focusing on configuration by IP address and VNet ID; includes product-specific backend pool configuration options and behaviors.,unchanged
https://learn.microsoft.com/en-us/azure/load-balancer/components,Components,Azure Load Balancer components,,Understand Azure Load Balancer's key components and configurations to effectively manage traffic and maintain application reliability.,"Azure Load Balancer includes a few key components. These components can be configured in your subscription through the Azure portal, Azure CLI, Azure PowerShell, an Azure Resource Manager Template or appropriate alternatives.",2026-02-19T23:10:00.000Z,concept-article,,0.35,False,"Explains key components (frontends, backend pools, rules) conceptually; not primarily a detailed configuration parameter reference.",unchanged
https://learn.microsoft.com/en-us/azure/load-balancer/concepts,Load balancing algorithm,Azure Load Balancer concepts,,"Discover the concepts behind Azure Load Balancer, including its five-tuple algorithm, session affinity modes, and traffic distribution strategies.","Azure Load Balancer is Azure's most performant Load Balancer all while keeping latency ultra-low. To learn more about Azure Load Balancer, visitAzure Load Balancer overviewor Azure Load balancercomponents. Azure Load Balancer uses a tuple-based hashing as the load-balancing algorithm.",2026-01-07T08:00:00.000Z,concept-article,,0.3,False,"Concepts article about algorithms and traffic distribution; mostly conceptual rather than configuration, limits, or troubleshooting.",unchanged
https://learn.microsoft.com/en-us/azure/load-balancer/configure-inbound-nat-rules-vm-scale-set,Configure inbound NAT rules for Virtual Machine Scale Sets,Configure Inbound NAT Rules for Virtual Machine Scale Sets,Configure inbound NAT rules for VM scale sets,"Learn how to configure, update, and delete inbound NAT Rules for Virtual Machine Scale Set instances. Azure offers two options for Inbound NAT rules.","In this article, you'll learn how to configure, update, and delete inbound NAT Rules for Virtual Machine Scale Set instances. Azure offers two options for inbound NAT rules. The first option is the ability to add a single inbound NAT rule to a single backend resource. The second option is the ability to create a group of inbound NAT rules for a backend pool. It's recommended to use the second option for inbound NAT rules when using Virtual Machine Scale Sets, since this option provides better fl",2024-02-14T08:00:00.000Z,how-to,best-practices,0.65,True,Explains two inbound NAT rule options and explicitly recommends the group option for VM scale sets due to better flexibility; this is product-specific guidance on which option to choose.,unchanged
https://learn.microsoft.com/en-us/azure/load-balancer/configure-vm-scale-set-portal,Use Virtual Machine Scale Set instance with an existing Azure Load Balancer,Configure Virtual Machine Scale Set with an existing Azure Load Balancer - Azure portal/CLI/PowerShell,,"Learn to configure a Virtual Machine Scale Set with an existing Azure standard Load Balancer using the Azure portal, Azure CLI, or Azure PowerShell.","In this article, you'll learn how to configure a Virtual Machine Scale Set with an existing Azure Load Balancer. With an existing virtual network and standard sku load balancer, you can deploy a Virtual Machine Scale Set with a few clicks in the Azure portal, or with a few lines of code in the Azure CLI, or Azure PowerShell using the following tabs.",2024-09-12T17:07:00.000Z,how-to,,0.3,False,"Shows how to attach a VM scale set to an existing load balancer via portal/CLI/PowerShell; mostly deployment steps, not configuration reference or limits.",unchanged
https://learn.microsoft.com/en-us/azure/load-balancer/create-custom-http-health-probe-howto,Create a custom HTTP/HTTPS health probe,Create a custom HTTP/HTTPS health probe for Azure Load Balancer - Azure Load Balancer,Implement custom HTTP/HTTPS health probes with Python,Learn to create a custom HTTP/HTTPS health probe for Azure Load Balancer using python and FLASK restful server library.,"In this article, you learn to create a custom API for HTTPhealth probesusing Python, FLASK, and psutil. Health checks are performed on backend instances using HTTP GET and marked as healthy or unhealthy based on the response. The custom probe in this article marks instances as unhealthy if their CPU usage is over 75%. HTTP health probes can be used for many purposes, not just CPU utilization, when combine with your own logic and health checks.",2024-09-30T08:00:00.000Z,troubleshooting,best-practices,0.8,True,"Shows a concrete pattern using Python, Flask, and psutil to mark instances unhealthy when CPU > 75%; this is a product-specific, quantified health probe implementation pattern.",unchanged
https://learn.microsoft.com/en-us/azure/load-balancer/cross-region-overview,Global load balancer overview,Global load balancer - Azure Load Balancer,,Overview of global load balancer tier for Azure Load Balancer.,Azure Standard Load Balancer supports global load balancing enabling geo-redundant high availability scenarios such as: The frontend IP configuration of your global load balancer is static and advertised acrossmost Azure regions. Note The backend port of your load balancing rule on global load balancer should match the frontend port of the load balancing rule/inbound nat rule on regional standard load balancer. Configure regional redundancy by seamlessly linking a global load balancer to your ex,2026-01-29T08:00:00.000Z,concept-article,,0.2,False,"Global load balancer overview describing capabilities and basic configuration rule; no detailed limits, decision matrices, or config tables.",unchanged
https://learn.microsoft.com/en-us/azure/load-balancer/cross-subscription-how-to-attach-backend,Attach a cross-subscription backend to an Azure Load Balancer,Attach a cross-subscription backend to an Azure Load Balancer - Azure Load Balancer,Configure cross-subscription backends for Azure Load Balancer,Learn how to attach a cross-subscription backend to an Azure Load Balancer.,"In this article, you learn how to attach a cross-subscription backend to an Azure Load Balancer by creating a cross-subscription backend pool and attaching cross-subscription network interfaces to the backend pool of the load balancer. Across-subscription load balancercan reference a virtual network that resides in a different subscription other than the load balancers. This feature allows you to deploy a load balancer in one subscription and reference a virtual network in another subscription.",2024-11-06T23:02:00.000Z,how-to,configuration,0.65,True,How-to guide for attaching cross-subscription backends; includes specific resource relationships and configuration steps unique to cross-subscription backend pools.,unchanged
https://learn.microsoft.com/en-us/azure/load-balancer/cross-subscription-how-to-attach-frontend,Attach a cross-subscription frontend to an Azure Load Balancer,Attach a cross-subscription frontend to an Azure Load Balancer - Azure Load Balancer,Attach cross-subscription frontend IPs to Azure Load Balancer,Learn how to create a load balancer in one Azure subscription and attach a frontend IP address from another subscription in Azure Load Balancer.,"In this article, you learn how to create a load balancer in one Azure subscription and attach a frontend IP address from another subscription. You create a resource group for the load balancer and then create a load balancer with a frontend IP address. You also create a backend address pool, health probe, and load balancer rule. Across-subscription load balancercan reference a virtual network that resides in a different subscription other than the load balancers. This feature allows you to deplo",2024-10-17T08:00:00.000Z,how-to,configuration,0.65,True,Describes creating a load balancer in one subscription and attaching a frontend IP from another; product-specific configuration pattern for cross-subscription frontends.,unchanged
