url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/cost-management-billing/benefits/caco/manage-conditional-credit-offer,Manage a Conditional Azure Credit Offer,Manage a Conditional Azure Credit Offer (CACO) Resource - Microsoft Cost Management,,"Learn how to manage your Conditional Azure Credit Offer (CACO) resource, including moving it across resource groups or subscriptions.","When you accept a Conditional Azure Credit Offer (CACO) in a Microsoft Customer Agreement, Microsoft creates a CACO commitment and one or more provisional (not spendable) credit resources. The commitment and provisional credit resources are placed in a subscription and a resource group. They follow the same setup as other credit resources, as described inManage an Azure credit resource under a subscription. The provisional credit resources turn into awarded credits if you meet the spending targe",2026-03-20T22:11:00.000Z,how-to,,0.3,False,Describes how CACO commitments and provisional credits are represented as resources; appears to mirror generic credit-resource behavior without detailed config or limits.,unchanged
https://learn.microsoft.com/en-us/azure/cost-management-billing/benefits/caco/track-conditional-credit-offer,Track your Conditional Azure Credit Offer,Track Your Conditional Azure Credit Offer (CACO) - Microsoft Cost Management,,Learn how to track your Conditional Azure Credit Offer (CACO) for a Microsoft Customer Agreement.,"A Conditional Azure Credit Offer (CACO) is a contractual agreement in which your organization commits to specific, predefined spending targets within set time periods and receives Azure credits for meeting these targets. A CACO has multiple milestones with specific spending targets and an associated Azure Credit Offer (ACO) award at the end of each milestone. If you meet a milestone by its due date, you receive the award. If you don't meet a milestone by its due date, the system forfeits the awa",2026-03-20T22:11:00.000Z,how-to,,0.35,False,"Explains CACO concept and milestone behavior at a high level; summary does not expose specific numeric thresholds, configuration parameters, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/cost-management-billing/benefits/credits/manage-azure-credits,Manage a Microsoft Azure credit resource,Manage an Azure Credit Resource Under a Subscription - Microsoft Cost Management,,"Learn how to manage your Azure credit resource, including moving it across resource groups or subscriptions.","When you accept Azure credit under a Microsoft Customer Agreement, the credit is assigned to asubscriptionand a resource group. The associated resource holds metadata such as status, credit amount, currency, start date, and end date. You can access this information in the Azure portal. Note This article applies to credits accepted afterAugust 2025for Azure Credit Offers, Azure prepayments, End Customer Investment Funds (ECIF), and support. Credits accepted earlier aren't listed as resources unde",2026-03-20T22:11:00.000Z,how-to,,0.3,False,"Explains that an Azure credit is represented as a resource with metadata fields; no detailed configuration tables, limits, or security role mappings beyond generic portal usage.",unchanged
https://learn.microsoft.com/en-us/azure/cost-management-billing/benefits/credits/mca-check-azure-credits-balance,Track credits for Microsoft Customer Agreement,Track Your Azure Credit Balance for a Microsoft Customer Agreement - Microsoft Cost Management,Check Azure credit balance and required roles,Learn how to check the Azure credit balance for a Microsoft Customer Agreement.,"You can check the Azure credit balance for your billing account for a Microsoft Customer Agreement in the Azure portal or through REST APIs. In the billing account for a Microsoft Customer Agreement, credits are assigned to a billing profile. Each billing profile has its own credits that are automatically applied to the charges on its invoice. To view the Azure credit balance for a billing profile, you must have one of these roles: To learn more about the roles, seeUnderstand Microsoft Customer ",2026-03-20T22:11:00.000Z,how-to,security,0.65,True,Describes how to view Azure credit balance for MCA billing profiles and explicitly lists which Azure roles are required; role-to-action mapping is product-specific security/authorization knowledge.,unchanged
https://learn.microsoft.com/en-us/azure/cost-management-billing/benefits/discounts/manage-azure-discount,Manage a Microsoft discount resource,Manage a Discount Resource Under a Subscription - Microsoft Cost Management,,"Learn how to manage your discount resource, including moving it across resource groups or subscriptions.","When you accept a discount as part of a Microsoft Customer Agreement, the discount is allotted to a subscription and resource group. The resulting discount resource contains descriptive metadata that includes the discount status, discount type, product family, discount percentage, start date, and end date. Although the discount resource stores relevant metadata, it doesn't affect eligibility. Discounts are applicable to a billing account and apply automatically to eligible charges on any subscri",2026-03-20T22:11:00.000Z,how-to,,0.3,False,"Describes discount resource metadata and behavior conceptually; lacks specific numeric thresholds, configuration parameters, or troubleshooting mappings.",unchanged
https://learn.microsoft.com/en-us/azure/cost-management-billing/benefits/macc/manage-consumption-commitment,Manage a Microsoft Azure Consumption Commitment,Manage a Microsoft Azure Consumption Commitment Resource - Microsoft Cost Management,,"Learn how to manage your Microsoft Azure Consumption Commitment (MACC) resource, including moving it across resource groups or subscriptions.","When you accept a Microsoft Azure Consumption Commitment (MACC) in a Microsoft Customer Agreement, the MACC resource is placed in a subscription and a resource group. The resource contains the metadata for the MACC. This metadata includes the status of the commitment, commitment amount, start date, end date, and system ID. You can view the metadata in the Azure portal.",2026-03-20T22:11:00.000Z,how-to,,0.3,False,"Describes MACC as a resource with metadata fields; no detailed configuration options, limits, or troubleshooting content evident from the summary.",unchanged
https://learn.microsoft.com/en-us/azure/cost-management-billing/benefits/macc/track-consumption-commitment,Track your Microsoft Azure Consumption Commitment,Track Your Microsoft Azure Consumption Commitment (MACC) - Microsoft Cost Management,,Learn how to track your Microsoft Azure Consumption Commitment (MACC) for a Microsoft Customer Agreement.,"A Microsoft Azure Consumption Commitment (MACC) is a contractual agreement in which your organization commits to a specified level of Azure spending over a defined period. If your organization has a MACC associated with a Microsoft Customer Agreement or Enterprise Agreement billing account, you can track key details through the Azure portal or REST APIs. These details include start and end dates, remaining balance, and eligible spending. MACC functionality in the Azure portal is available only t",2026-03-20T22:11:00.000Z,how-to,,0.3,False,"Defines MACC and notes that you can track dates, balance, and eligible spending; summary does not show concrete limits, role mappings, or configuration tables.",unchanged
https://learn.microsoft.com/en-us/azure/cost-management-billing/benefits/overview,Overview,Billing Benefits Overview - Microsoft Cost Management,,Learn about the types of billing benefits that Microsoft offers.,"Abilling benefitis any offer that provides customers with financial advantages by changing the effective cost associated with service usage or purchases. These offers can include discounts, credits, and cost-optimizing commitments. Billing benefits can help customers reduce spending, plan capacity confidently, and align purchasing with business needs. Azure models billing benefits as Azure Resource Manager resources to enable consistent lifecycle management across the Azure portal, APIs, and SDK",2026-03-20T22:11:00.000Z,concept-article,,0.1,False,"Conceptual overview of billing benefits; no numeric limits, decision matrices, or detailed configuration/troubleshooting content.",unchanged
https://learn.microsoft.com/en-us/azure/cost-management-billing/cost-management-billing-faq,Cost Management + Billing FAQ,Cost Management + Billing frequently asked questions (FAQ) - Microsoft Cost Management,,Frequently asked questions and answers.,,2025-09-26T22:10:00Z,faq,,0.4,False,"General Cost Management + Billing FAQ; likely broad Q&A without deep numeric limits, configs, or detailed troubleshooting mappings.",unchanged
https://learn.microsoft.com/en-us/azure/cost-management-billing/cost-management-billing-overview,What is Billing?,Overview of Billing - Microsoft Cost Management,,"You use Billing features to manage billing accounts, invoices, and purchased products. You also use the features to monitor and control Azure spending and to optimize Azure resource use.","Billing is where you can manage your accounts, invoices, and payments. Billing is available to anyone with access to a billing account or other billing scope, like billing profiles and invoice sections. The cloud finance team and organizational leaders are typically included. A few examples of what you can do in Billing include:",2025-06-27T08:00:00.000Z,overview,,0.1,False,"Overview of billing capabilities; conceptual and descriptive without product-specific numeric limits, configs, or troubleshooting content.",unchanged
