url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/stream-analytics/automation-powershell,Using PowerShell for auto pausing,Automatically pause an Azure Stream Analytics with PowerShell - Azure Stream Analytics,,This article describes how to automatically pause an Azure Stream Analytics job on a schedule by using PowerShell.,"Some applications require a stream processing approach (such as throughAzure Stream Analytics) but don't strictly need to run continuously. The reasons include: The benefit of not running these jobs continuously is cost savings, because Stream Analytics jobs arebilledper Streaming Unit over time. This article explains how to set up automatic pausing for an Azure Stream Analytics job. You configure a task that automatically pauses and resumes a job on a schedule. The termpausemeans that the jobst",2024-03-01T18:05:00.000Z,how-to,,0.3,False,"Primarily a how-to automation/tutorial for pausing jobs with PowerShell; unlikely to contain detailed config tables, limits, or error mappings beyond generic scripting steps.",unchanged
https://learn.microsoft.com/en-us/azure/stream-analytics/azure-cosmos-db-output,Azure Cosmos DB output overview,Azure Cosmos DB output from Azure Stream Analytics - Azure Stream Analytics,Configure Azure Cosmos DB as Stream Analytics output,This article describes how to output data from Azure Stream Analytics to Azure Cosmos DB.,"Azure Cosmos DBis a globally distributed database service that offers limitless elastic scale around the globe, rich query, and automatic indexing over schema-agnostic data models. To learn about Azure Cosmos DB container options for Stream Analytics, see theStream Analytics with Azure Cosmos DB as outputarticle. Azure Cosmos DB output from Stream Analytics is currently not available in Microsoft Azure operated by 21Vianet and Azure Germany (T-Systems International). Note Azure Stream Analytics ",2022-10-12T14:45:00.000Z,concept-article,configuration,0.7,True,"Output adapter page typically includes sink-specific property tables (e.g., account, key, collection, partition key, batching options) and constraints unique to Cosmos DB output, which are not generic knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/stream-analytics/azure-data-explorer-managed-identity,Azure Data Explorer,Use Managed Identity for Azure Data Explorer Output - Azure Stream Analytics,Configure managed identity for Azure Data Explorer outputs,This article describes how to use managed identities to authenticate your Azure Stream Analytics job to an Azure Data Explorer output.,"Azure Stream Analytics supports managed identity authentication for Azure Data Explorer output. Managed identity for Azure resources is a cross-Azure feature that enables you to create a secure identity associated with the deployment under which your application code runs. You can then associate that identity with access-control roles that grant custom permissions for accessing specific Azure resources that your application needs. With managed identities, the Azure platform manages this runtime ",2026-02-12T18:37:00.000Z,how-to,security,0.9,True,Describes using managed identities for Azure Data Explorer outputs; involves specific security settings and role assignments unique to this integration.,unchanged
https://learn.microsoft.com/en-us/azure/stream-analytics/azure-database-explorer-output,Azure Data Explorer,Azure Data Explorer output from Azure Stream Analytics - Azure Stream Analytics,Configure Azure Data Explorer as Stream Analytics output,This article describes using Azure Data Explorer as an output for Azure Stream Analytics.,"You can useAzure Data Exploreras an output for analyzing large volumes of diverse data from any data source, such as websites, applications, and Internet of Things (IoT) devices. Azure Data Explorer is a fast and highly scalable data exploration service for log and telemetry data. It helps you handle the many data streams that modern software emits, so you can collect, store, and analyze data. This data is used for diagnostics, monitoring, reporting, machine learning, and additional analytics ca",2023-06-23T17:03:00.000Z,conceptual,configuration,0.65,True,"Output article for a specific sink generally contains property/setting tables (cluster URI, database, table, batching) and constraints that are product-specific configuration knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/stream-analytics/azure-functions-output,Azure Functions,Azure Functions output from Azure Stream Analytics - Azure Stream Analytics,Connect Azure Stream Analytics outputs to Azure Functions,This article describes Azure functions as output for Azure Stream Analytics.,"Azure Functions is a serverless compute service that you can use to run code on-demand without having to explicitly provision or manage infrastructure. It lets you implement code that's triggered by events occurring in Azure or partner services. This ability of Azure Functions to respond to triggers makes it a natural output for Azure Stream Analytics. This output adapter enables users to connect Stream Analytics to Azure Functions, and run a script or piece of code in response to a variety of e",2021-12-14T12:04:00.000Z,conceptual,configuration,0.65,True,"Describes an output adapter to Functions; such pages usually define binding parameters, payload formats, and configuration fields unique to this integration.",unchanged
https://learn.microsoft.com/en-us/azure/stream-analytics/azure-synapse-analytics-output,Azure Synapse Analytics,Azure Synapse Analytics output from Azure Stream Analytics - Azure Stream Analytics,Configure Azure Synapse Analytics dedicated SQL pool as Stream Analytics output,This article describes Azure Synapse Analytics as output for Azure Stream Analytics.,Azure Synapse Analyticsis a limitless analytics service that brings together enterprise data warehousing and Big Data analytics. Azure Stream Analytics jobs can output to a dedicated SQL pool table in Azure Synapse Analytics and can process throughput rates up to 200MB/sec. This supports the most demanding real-time analytics and hot-path data processing needs for workloads such as reporting and dashboarding. The dedicated SQL pool table must exist before you can add it as output to your Stream ,2021-05-18T11:04:00.000Z,concept-article,configuration,0.75,True,Describes using a dedicated SQL pool as output with throughput characteristics and table requirements; includes product-specific output configuration details.,unchanged
https://learn.microsoft.com/en-us/azure/stream-analytics/blob-output-managed-identity,Azure Blob Storage & Azure Data Lake Gen2,Authenticate blob output with Managed Identity Azure Stream Analytics - Azure Stream Analytics,Configure managed identity auth for Stream Analytics Blob output,This article describes how to use managed identities to authenticate your Azure Stream Analytics job to Azure Blob storage output.,"When you usemanaged identity authenticationfor output to Azure Blob storage, Stream Analytics jobs get direct access to a storage account without using a connection string. This feature improves security and enables you to write data to a storage account in a virtual network (VNET) within Azure. This article shows you how to enable managed identity for the Blob outputs of a Stream Analytics job through the Azure portal and through an Azure Resource Manager deployment.",2026-04-30T17:19:00.000Z,how-to,security,0.7,True,"Covers using managed identities for Blob output, which typically includes specific role assignments (for example, Storage Blob Data Contributor), scope details, and portal/ARM configuration steps unique to Stream Analytics-to-Blob authentication.",unchanged
https://learn.microsoft.com/en-us/azure/stream-analytics/blob-storage-azure-data-lake-gen2-output,Azure Blob and Data Lake output overview,Azure Blob Storage and Data Lake Storage Gen2 output - Azure Stream Analytics,Configure Blob Storage and Data Lake Gen2 outputs for Stream Analytics,This article describes Azure Blob Storage and Azure Data Lake Gen2 as output for an Azure Stream Analytics job.,Azure Data Lake Storage Gen2 makes Azure Storage the foundation for building enterprise data lakes on Azure. Data Lake Storage Gen2 is designed to service multiple petabytes of information while sustaining hundreds of gigabits of throughput. You can use it to easily manage massive amounts of data. A fundamental part of Data Lake Storage Gen2 is the addition of a hierarchical namespace to Azure Blob Storage. Blob Storage offers a cost-effective and scalable solution for storing large amounts of u,2024-06-07T05:36:00.000Z,conceptual,configuration,0.75,True,"Explains using Blob and ADLS Gen2 as outputs, including capabilities and likely configuration options for output paths and formats.",unchanged
https://learn.microsoft.com/en-us/azure/stream-analytics/capture-event-hub-data-delta-lake,Capture Event Hubs data in Delta Lake format,Capture data from Event Hubs into Azure Data Lake Storage Gen2 in Delta Lake format - Azure Stream Analytics,,Learn how to use the no code editor to automatically capture the streaming data in Event Hubs in an Azure Data Lake Storage Gen2 account in Delta Lake format.,This article explains how to use the no-code editor to automatically capture streaming data in Event Hubs to an Azure Data Lake Storage Gen2 account in Delta Lake format.,2026-04-30T17:19:00.000Z,how-to,,0.3,False,"Primarily a step-by-step no-code tutorial for capturing Event Hubs data to Data Lake in Delta Lake format; unlikely to contain detailed configuration tables, limits, or product-specific error mappings beyond generic how-to instructions.",unchanged
https://learn.microsoft.com/en-us/azure/stream-analytics/capture-event-hub-data-parquet,Capture Event Hubs data in Parquet format,Event Hubs Data Capture to Azure Data Lake Parquet - Azure Stream Analytics,,Learn how to use the node code editor to automatically capture the streaming data in Event Hubs in an Azure Data Lake Storage Gen2 account in Parquet format.,This article explains how to use the no code editor to automatically capture streaming data in Event Hubs in an Azure Data Lake Storage Gen2 account in the Parquet format.,2026-03-26T08:00:00.000Z,how-to,,0.2,False,"Tutorial-style how-to for capturing Event Hubs data to Data Lake in Parquet using the no-code editor. It primarily walks through steps rather than listing configuration parameter tables, limits, quotas, or product-specific error codes. No clear best-practices, decision matrices, or detailed configuration references that meet the expert-knowledge criteria.",unchanged
