url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/azure-monitor/agents/agent-linux-troubleshoot,Log Analytics Linux agent,Troubleshoot Azure Log Analytics Linux Agent - Azure Monitor,Troubleshoot Azure Log Analytics Linux agent issues,"Describe the symptoms, causes, and resolution for the most common issues with the Log Analytics agent for Linux in Azure Monitor.","Important The legacyLog Analytics agentis deprecated as of August 31, 2024. Microsoft will no longer provide any support for the Log Analytics agent. If you use the Log Analytics agent to ingest data to Azure Monitor,migrate now to Azure Monitor agent. This article helps you troubleshoot errors you might experience with the Log Analytics agent for Linux in Azure Monitor. Caution This article references CentOS, a Linux distribution that reached end of support status. Consider your use and plannin",2026-04-07T08:00:00.000Z,troubleshooting-general,troubleshooting,0.8,True,"Troubleshooting guide for the Linux Log Analytics agent; typically includes error codes, log locations, and symptom → cause → solution mappings specific to this agent.",unchanged
https://learn.microsoft.com/en-us/azure/azure-monitor/agents/agent-settings,Configure agent settings,Azure Monitor Agent Configuration - Azure Monitor,Configure Azure Monitor Agent settings via DCR,"Learn how to change Azure Monitor Agent configuration settings, including proxy, performance, and logging options on Azure VMs and Arc-enabled servers.","This article describes how to configure theAzure Monitor Agenton Azure Virtual Machines (VM), Virtual Machine Scale Sets, and Azure Arc-enabled servers. Many of your applications and services log telemetry by using the Azure Monitor Agent. You can configure Azure Monitor Agents by using the central control plane and creating the Agent Settings Data Collection Rule (DCR).",2026-04-07T08:00:00.000Z,install-set-up-deploy,configuration,0.9,True,"Explicitly about AMA configuration settings (proxy, performance, logging) and Agent Settings DCR; this will list setting names, allowed values, and defaults, matching configuration criteria.",unchanged
https://learn.microsoft.com/en-us/azure/azure-monitor/agents/agent-windows-troubleshoot,Log Analytics Windows agent,Troubleshoot issues with the Log Analytics agent for Windows - Azure Monitor,Troubleshoot Log Analytics agent for Windows,"Describe the symptoms, causes, and resolution for the most common issues with the Log Analytics agent for Windows in Azure Monitor.",This article helps you troubleshoot errors you might experience with the Log Analytics agent for Windows in Azure Monitor. It suggests possible solutions to resolve them.,2026-01-13T13:07:00.000Z,troubleshooting-general,troubleshooting,0.8,True,Windows MMA troubleshooting with symptom→cause→solution and specific error codes/log locations.,unchanged
https://learn.microsoft.com/en-us/azure/azure-monitor/agents/azure-monitor-agent-custom-text-log-migration,Migration custom text log tables,Migrate from custom text log version 1 to DCR agent custom text logs - Azure Monitor,,Learn the steps to migrate from custom text log version 1 to DCR-based Azure Monitor Agent custom text logs.,"This article describes the steps to migrate aMMA Custom text logtable so you can use it as a destination for a newAMA custom text logsDCR. If you're creating a new AMA custom text table, then this article doesn't pertain to you.",2026-04-07T08:00:00.000Z,upgrade-and-migration-article,,0.4,False,Migration steps for custom text logs; appears procedural without explicit evidence of detailed configuration parameter tables or product-specific troubleshooting.,unchanged
https://learn.microsoft.com/en-us/azure/azure-monitor/agents/azure-monitor-agent-data-field-differences,AMA data field differences from MMA,Data field differences between MMA and AMA - Azure Monitor,,Learn about the data field differences between the Log Analytics agent (MMA) and Azure Monitor Agent to prepare for migration.,"Azure Monitor Agent (AMA)replaces the Log Analytics agent, also known as Microsoft Monitor Agent (MMA) and OMS, for Windows and Linux machines, in Azure and non-Azure environments, on-premises and other clouds. The agent introduces a simplified, flexible method of configuring data collection usingData Collection Rules (DCRs). The article provides information on the data fields that change when collected by AMA, which is critical information for you to migrate your LAW queries. Each of the data c",2026-04-07T08:00:00.000Z,reference,,0.4,False,"Focuses on data field differences conceptually to help migrate queries; summary does not show numeric limits, config tables, or troubleshooting mappings.",unchanged
https://learn.microsoft.com/en-us/azure/azure-monitor/agents/azure-monitor-agent-extension-versions,Azure Monitor Agent extension versions,Azure Monitor Agent extension versions - Azure Monitor,Azure Monitor Agent VM extension version reference,This article describes the version details for the Azure Monitor Agent virtual machine extension.,"This article describes the version details for the Azure Monitor Agent virtual machine extension. This extension deploys the agent on virtual machines, scale sets, and Arc-enabled servers (on-premises servers with Azure Arc agent installed). Note Microsoft only supports Azure Monitoring Agent versions within the last one year based on the automatic release date. Customers should update to a version within this period. Microsoft releases all bug fixes in the latest version only. We strongly recom",2026-04-07T08:00:00.000Z,release-notes,configuration,0.7,True,Describes specific version details and support windows for the Azure Monitor Agent extension. Version numbers and support rules are expert/reference data that change over time and must be consulted explicitly.,unchanged
https://learn.microsoft.com/en-us/azure/azure-monitor/agents/azure-monitor-agent-health,Monitor,View Azure Monitor Agent Health - Azure Monitor,Monitor and troubleshoot Azure Monitor Agent health at scale,Learn how to view Azure Monitor Agent health at scale and troubleshoot issues related to data collection with agents.,"Use the Azure Monitor Agent Health workbook in the Azure portal to view a summary that describes the details and the health of agents deployed across your organization. The workbook gives you the following information: To access the workbook, in the Azure portal, go toMonitor>Workbooks, or go directly toWorkbooks in the Gallery. Try it out andshare your feedbackwith us.",2026-04-07T08:00:00.000Z,concept-article,troubleshooting,0.7,True,"Describes using the AMA Health workbook to diagnose data collection issues; such a page typically maps health states and metrics to causes and remediation steps, fitting troubleshooting criteria.",unchanged
https://learn.microsoft.com/en-us/azure/azure-monitor/agents/azure-monitor-agent-manage,Virtual machines,Install and Manage the Azure Monitor Agent - Azure Monitor,Deploy and manage Azure Monitor Agent on VMs and Arc,Learn options for installing and managing the Azure Monitor Agent on Azure virtual machines and Azure Arc-enabled servers.,"This article describes the different methods you can use to install, uninstall, update, and configure theAzure Monitor Agenton Azure virtual machines, virtual machine scale sets, and Azure Arc-enabled servers.",2026-02-18T08:00:00.000Z,install-set-up-deploy,deployment,0.7,True,"Covers product-specific methods and constraints for installing, updating, and managing the agent across Azure VMs, VMSS, and Arc servers, which are deployment-focused details beyond generic install steps.",unchanged
https://learn.microsoft.com/en-us/azure/azure-monitor/agents/azure-monitor-agent-migration,Migration guidance,Migrate to Azure Monitor Agent from Log Analytics agent - Azure Monitor,Plan and execute migration from Log Analytics agent to AMA,"Learn how to migrate from the Log Analytics agent (MMA) to Azure Monitor Agent, including planning guidance, migration tools, and best practices.","Azure Monitor Agent (AMA)replaces the Log Analytics agent, also known as Microsoft Monitor Agent (MMA) and OMS, for Windows and Linux machines, in Azure and non-Azure environments, on-premises and other clouds. The agent introduces a simplified, flexible method of configuring data collection usingData Collection Rules (DCRs). This article provides guidance on how to implement a successful migration from the Log Analytics agent to Azure Monitor Agent. Migration is a complex task. Start planning y",2026-02-19T08:00:00.000Z,concept-article,decision-making,0.8,True,"Gives migration planning guidance, including when and how to move from MMA to AMA, with product-specific considerations and trade-offs that help choose approaches and sequence migration steps.",unchanged
https://learn.microsoft.com/en-us/azure/azure-monitor/agents/azure-monitor-agent-migration-data-collection-rule-generator,DCR Config Generator,Workspace configuration to DCR config generator - Azure Monitor,,Learn how to use the workspace configuration to DCR config generator to migrate from Microsoft Monitoring Agent (MMA) to Azure Monitor Agent (AMA).,"Whereas Log Analytics Agent inherits its configuration from Log Analytics workspaces, the Azure Monitor Agent relies on data collection rules (DCRs) for configuration The workspace configuration to DCR config generator is a PowerShell that reads the configuration from your workspace produce multiple DCR ARM templates, based on the MMA configurations present on the workspace.",2026-04-07T08:00:00.000Z,concept-article,,0.4,False,"Migration script description; likely step-by-step usage of a PowerShell generator without clear evidence of detailed config parameter tables, limits, or troubleshooting mappings in the summary.",unchanged
