url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/cloud-services-extended-support/available-sizes,Available VM sizes,Available sizes for Azure Cloud Services (extended support),VM size options and capacities for Cloud Services instances,Available sizes for Azure Cloud Services (extended support) deployments,"Important As of March 31, 2025, cloud Services (extended support) is deprecated and will be fully retired on March 31, 2027.Learn moreabout this deprecation andhow to migrate. This article describes the available virtual machine sizes for Cloud Services (extended support) instances. Note ACUs marked with a * use Intel® Turbo technology to increase CPU frequency and provide a performance boost. The amount of the boost can vary based on the VM size, workload, and other workloads running on the sam",2025-04-11T11:11:00.000Z,concept-article,limits-quotas,0.9,True,Describes available VM sizes with ACUs and other numeric characteristics; this is a limits/quotas style capacity reference with specific values per size.,unchanged
https://learn.microsoft.com/en-us/azure/cloud-services-extended-support/certificates-and-key-vault,Certificates,Store and use certificates in Azure Cloud Services (extended support),Securely store and use certificates with Key Vault in Cloud Services,Processes for storing and using certificates in Azure Cloud Services (extended support),"Important As of March 31, 2025, cloud Services (extended support) is deprecated and will be fully retired on March 31, 2027.Learn moreabout this deprecation andhow to migrate. Key Vault is used to store certificates that are associated to Cloud Services (extended support). Key Vaults can be created through theAzure portalandPowerShell. Add the certificates to Key Vault, then reference the certificate thumbprints in Service Configuration file. You also need to enable Key Vault for appropriate per",2025-04-11T11:11:00.000Z,how-to,security,0.8,True,"Describes using Key Vault for certificates, referencing thumbprints in .cscfg, and enabling Key Vault permissions; product-specific security configuration.",unchanged
https://learn.microsoft.com/en-us/azure/cloud-services-extended-support/cloud-services-guestos-family-1-retirement,Family 1 retirement notice,Guest OS family 1 retirement notice,Guest OS Family 1 retirement dates and deployment impact,Provides information about when the Azure Guest OS Family 1 retirement happened and how to determine if its retirement affects you.,"Important As of March 31, 2025, cloud Services (extended support) is deprecated and will be fully retired on March 31, 2027.Learn moreabout this deprecation andhow to migrate. The retirement of OS Family 1 was first announced on June 1, 2013. Sept 2, 2014The Azure Guest operating system (Guest OS) Family 1.x, which is based on the Windows Server 2008 operating system, was officially retired. All attempts to deploy new services or upgrade existing services using Family 1 fail with an error messag",2025-04-08T11:16:00.000Z,concept-article,limits-quotas,0.7,True,Provides specific retirement dates and behavior (deploy/upgrade failures) for OS Family 1; time-based constraints on what can be deployed.,unchanged
https://learn.microsoft.com/en-us/azure/cloud-services-extended-support/cloud-services-guestos-family-2-3-4-retirement,"Family 2, 3, 4 retirement notice","Guest OS family 2, 3, and 4 retirement notice",Guest OS Families 2–4 retirement timelines and impact,"Information about when the Azure Guest OS Family 2, 3, and 4 retirement happened and how to determine if their retirement affects you.","Important As of March 31, 2025, cloud Services (extended support) is deprecated and will be fully retired on March 31, 2027.Learn moreabout this deprecation andhow to migrate. The retirement of Azure Guest OS Families 2, 3, and 4 was announced in July 2024, with the following end-of-life dates: If you have questions, visit theMicrosoft question page for Cloud Servicesorcontact Azure support.",2025-04-08T11:16:00.000Z,concept-article,limits-quotas,0.7,True,"Lists announced retirement dates for OS Families 2, 3, and 4; these are concrete time-based constraints affecting deployments.",unchanged
https://learn.microsoft.com/en-us/azure/cloud-services-extended-support/cloud-services-guestos-microsoft-security-response-center-releases,Guest OS patches,List of updates applied to the Azure Guest OS,,This article lists the Microsoft Security Response Center updates applied to different Azure Guest OS. See if an update applies to your Guest OS.,"Important As of March 31, 2025, cloud Services (extended support) is deprecated and will be fully retired on March 31, 2027.Learn moreabout this deprecation andhow to migrate. The following tables show the Microsoft Security Response Center (MSRC) updates applied to the Azure Guest OS. Search this article to determine if a particular update applies to your Guest OS. Updates always carry forward for the particularfamilythey were introduced in.",2026-04-14T08:00:00.000Z,concept-article,,0.0,False,"Primarily a listing of MSRC updates applied to Azure Guest OS images; it’s version/update history, not limits, configuration parameters, error codes, or decision matrices. No numeric limits, quotas, config tables, or troubleshooting mappings that fit the defined sub-skill types.",unchanged
https://learn.microsoft.com/en-us/azure/cloud-services-extended-support/cloud-services-guestos-retirement-policy,Retirement policy,Supportability and retirement policy guide for Azure Guest OS,Understand support and retirement policy for Azure Guest OS,Provides information about what Microsoft supports regarding the Azure Guest OS used by Cloud Services.,"Important As of March 31, 2025, cloud Services (extended support) is deprecated and will be fully retired on March 31, 2027.Learn moreabout this deprecation andhow to migrate. The information on this page relates to the Azure Guest operating system (Guest OS) for Cloud Services worker and web roles (PaaS). It doesn't apply to Virtual Machines (IaaS). Microsoft has a publishedsupport policy for the Guest OS. This page describes how the policy is implemented. The policy is: At times, more than two",2025-05-09T08:00:00.000Z,concept-article,security,0.65,True,Details supportability and retirement policy implementation for Guest OS families; includes policy thresholds and constraints relevant to secure operations.,unchanged
https://learn.microsoft.com/en-us/azure/cloud-services-extended-support/cloud-services-guestos-update-matrix,Guest OS release news,Learn about the latest Azure Guest OS Releases,Plan Azure Cloud Services Guest OS upgrade path,The latest release news and SDK compatibility for Azure Cloud Services Guest OS.,"Important As of March 31, 2025, cloud Services (extended support) is deprecated and will be fully retired on March 31, 2027.Learn moreabout this deprecation andhow to migrate. Provides you with up-to-date information about the latest Azure Guest OS releases for Cloud Services. This information helps you plan your upgrade path before a Guest OS is disabled. If you configure your roles to useautomaticGuest OS updates as described inAzure Guest OS Update Settings, it isn't vital that you read this ",2026-04-14T08:00:00.000Z,concept-article,decision-making,0.7,True,"The page provides a detailed Guest OS update matrix and SDK compatibility information for Azure Cloud Services (extended support), including which Guest OS versions are current, deprecated, or disabled and their corresponding SDK support. This is product- and version-specific data that changes over time and isn't inferable from general training. It directly supports upgrade and migration decisions based on specific OS/SDK combinations, fitting the decision-making category better than others.",unchanged
https://learn.microsoft.com/en-us/azure/cloud-services-extended-support/cloud-services-model-and-package,Config files and packaging,What is the Azure Cloud Service (extended support) model and package,"Understand Cloud Services model, config, and package files","Describes the cloud service (extended support) model (.csdef, .cscfg) and package (.cspkg) in Azure","Important As of March 31, 2025, cloud Services (extended support) is deprecated and will be fully retired on March 31, 2027.Learn moreabout this deprecation andhow to migrate. A cloud service is created from three components, the service definition(.csdef), the service config(.cscfg), and a service package(.cspkg). Both theServiceDefinition.csdefandServiceConfig.cscfgfiles are XML-based and describe the structure of the cloud service and its configuration. We collectively call these files the mo",2024-07-24T08:00:00.000Z,concept-article,configuration,0.7,True,"Describes .csdef, .cscfg, and .cspkg structure; these schema/model details are product-specific configuration knowledge beyond generic LLM training.",unchanged
https://learn.microsoft.com/en-us/azure/cloud-services-extended-support/configure-scaling,Configure scaling,Configure scaling for Azure Cloud Services (extended support),Configure autoscaling rules for Cloud Services deployments,How to enable scaling options for Azure Cloud Services (extended support),"Important As of March 31, 2025, cloud Services (extended support)is deprecated and will be fully retired on March 31, 2027.Learn moreabout this deprecation andhow to migrate. Conditions can be configured to enable Cloud Services (extended support) deployments to scale in and out. These conditions can be based on CPU usage, disk load, and network load. Consider the following information when configuring scaling of your Cloud Service deployments:",2025-04-08T11:16:00.000Z,how-to,best-practices,0.7,True,"Provides considerations and conditions for scaling based on CPU, disk, and network; includes product-specific guidance and likely recommended thresholds.",unchanged
https://learn.microsoft.com/en-us/azure/cloud-services-extended-support/deploy-portal,Deploy the cloud service - Portal,Deploy Azure Cloud Services (extended support) - Azure portal,,Deploy Azure Cloud Services (extended support) by using the Azure portal.,"Important As of March 31, 2025, cloud Services (extended support) is deprecated and will be fully retired on March 31, 2027.Learn moreabout this deprecation andhow to migrate. This article shows you how to use the Azure portal to create an Azure Cloud Services (extended support) deployment.",2025-04-08T11:16:00.000Z,quickstart,,0.3,False,Portal deployment walkthrough; primarily step-by-step UI instructions without deployment matrices or tier-specific constraints.,unchanged
