url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/cloud-shell/cloud-shell-predictive-intellisense,Predictive IntelliSense in Cloud Shell,Predictive IntelliSense in Azure Cloud Shell,,Azure Cloud Shell uses Predictive IntelliSense,"Beginning January 2023 Azure Cloud Shell uses the version ofPSReadLinethat has Predictive
IntelliSense enabled by default. We've also installed and enabled the Azure PowerShell predictorAz.Tools.Predictormodule. Together, these changes enhance the command-line experience by
providing suggestions that help new and experienced users of Azure discover, edit, and execute
complete commands.",2026-04-01T08:00:00.000Z,feature-guide,,0.3,False,"Explains that Predictive IntelliSense is enabled by default and mentions specific modules, but does not provide configuration parameter tables, limits, or structured troubleshooting content.",unchanged
https://learn.microsoft.com/en-us/azure/cloud-shell/faq-troubleshooting,FAQ & Troubleshooting,Azure Cloud Shell Frequently Asked Questions (FAQ),Troubleshoot common Azure Cloud Shell issues and FAQs,This article answers common questions and explains how to troubleshoot Cloud Shell issues.,This article answers common questions and explains how to troubleshoot Cloud Shell issues.,2026-02-09T08:00:00.000Z,troubleshooting,troubleshooting,0.7,True,"Explicitly an FAQ plus troubleshooting article; likely organized by common issues with causes and resolutions specific to Cloud Shell, matching symptom→solution guidance.",unchanged
https://learn.microsoft.com/en-us/azure/cloud-shell/features,Features & tools,Azure Cloud Shell features,,Overview of features in Azure Cloud Shell,"Azure Cloud Shell is a browser-based terminal that provides an authenticated, preconfigured shell
experience for managing Azure resources. Cloud Shell comes with the tools you need, already
installed. Azure Cloud Shell runs onAzure Linux, Microsoft's Linux distribution for cloud infrastructure
edge products and services. You can choose Bash or PowerShell as your default shell.",2025-12-03T08:00:00.000Z,overview,,0.2,False,"Feature overview without numeric limits, configuration tables, or product-specific troubleshooting; primarily conceptual description of capabilities.",unchanged
https://learn.microsoft.com/en-us/azure/cloud-shell/get-started/classic,Get started (Classic),Get started with Azure Cloud Shell,,Learn how to start using Azure Cloud Shell.,This document details how to get started using Azure Cloud Shell.,2025-01-28T23:09:00.000Z,how-to,,0.2,False,"Getting started guide; likely step-by-step usage without detailed limits, configuration matrices, or troubleshooting mappings in the summary.",unchanged
https://learn.microsoft.com/en-us/azure/cloud-shell/get-started/ephemeral,Get started (New UI),Get started with Azure Cloud Shell ephemeral sessions,,Learn how to start using Azure Cloud Shell without a storage account.,"Using Cloud Shell ephemeral sessions is the fastest way to start using Cloud Shell. Ephemeral
sessions don't require a storage account. When your Cloud Shell session ends, which occurs shortly
after the window is closed or when Cloud Shell is restarted, all files you saved are deleted and
don't persist across sessions.",2024-05-29T17:18:00.000Z,how-to,,0.2,False,"Explains ephemeral sessions conceptually (no persistence after session ends) but no numeric limits, config tables, or error mappings are indicated.",unchanged
https://learn.microsoft.com/en-us/azure/cloud-shell/get-started/existing-storage,Get started with existing storage account (New UI),Get started with Azure Cloud Shell using existing storage,,Learn how to start using Azure Cloud Shell with existing storage.,"The first time you start Cloud Shell you have the choice to continue with or without storage. This
article shows you how to start Cloud Shell using an existing storage account for persistent file
storage.",2024-01-22T23:04:00.000Z,how-to,,0.2,False,How-to for using existing storage; appears procedural without detailed configuration option tables or numeric constraints in the summary.,unchanged
https://learn.microsoft.com/en-us/azure/cloud-shell/get-started/new-storage,Get started with new storage account (New UI),Get started with Azure Cloud Shell using persistent storage,,Learn how to start using Azure Cloud Shell with persistent storage.,"The first time you start Cloud Shell you have the choice to continue with or without storage.
Creating a storage account allows you to create files that are persisted across sessions. This
article shows you how to start Cloud Shell with a newly created storage account for persistent file
storage.",2024-01-22T23:04:00.000Z,how-to,,0.2,False,"Tutorial for starting Cloud Shell with persistent storage; summary does not show specific configuration parameters, limits, or troubleshooting content.",unchanged
https://learn.microsoft.com/en-us/azure/cloud-shell/overview,What is Azure Cloud Shell?,What is Azure Cloud Shell?,Azure Cloud Shell session and storage limits,Overview of the Azure Cloud Shell.,"Azure Cloud Shell is an interactive, authenticated, browser-accessible terminal for managing Azure
resources. It provides the flexibility of choosing the shell experience that best suits the way you
work, either Bash or PowerShell. Cloud Shell runs on a temporary host provided on a per-session, per-user basis. Your Cloud Shell
session times out after 20 minutes without interactive activity. Cloud Shell persists your files in
your$HOMElocation using a 5-GB file share.",2026-04-01T08:00:00.000Z,overview,limits-quotas,0.8,True,Overview page but includes concrete expert-only limits: 20-minute inactivity timeout and 5-GB file share size for $HOME persistence. These are specific numerical constraints that qualify as limits-quotas.,unchanged
https://learn.microsoft.com/en-us/azure/cloud-shell/persisting-shell-storage,Persist files in storage,Persist files in Azure Cloud Shell,,Walkthrough of how Azure Cloud Shell persists files.,"The first time you start Cloud Shell, you're prompted to select your storage options. If you want
store files that can be used every time you use Cloud Shell, you must create new or choose existing
storage resources. Cloud Shell uses a Microsoft Azure Files share to persist files across sessions.",2024-06-19T22:02:00.000Z,how-to,,0.3,False,"Explains persistence via Azure Files; summary does not expose numeric limits, configuration parameters, or security roles.",unchanged
https://learn.microsoft.com/en-us/azure/cloud-shell/pricing,Azure Cloud Shell pricing,Azure Cloud Shell pricing,,Overview of pricing of Azure Cloud Shell,Cloud Shell is a free service. You only pay for the underlying Azure resources that are consumed.,2024-07-07T11:20:00.000Z,conceptual,,0.2,False,"Pricing overview stating Cloud Shell is free; no detailed tier matrices, numeric cost comparisons, or decision criteria are shown.",unchanged
https://learn.microsoft.com/en-us/azure/cloud-shell/release-notes,Release notes,Azure Cloud Shell release notes,,This article lists the new features and changes released in Azure Cloud Shell.,"The following article outlines the changes to Azure Cloud Shell. Changes can include new or updated
features and tools, security updates, and bug fixes. Cloud Shell regularly updates Azure CLI and Azure PowerShell, including breaking change releases.
For more information about upcoming breaking changes, see the following articles: For a tool to be included in Cloud Shell, it must meet certain criteria. For security compliance,
tool packages become deprecated when they're no longer actively maint",2026-05-12T17:16:00.000Z,release-notes,,0.2,False,"Release notes list changes, features, and deprecations but the summary does not indicate detailed limits, configuration tables, error-code mappings, or other structured expert data as defined by the sub-skill types.",updated
https://learn.microsoft.com/en-us/azure/cloud-shell/security/how-to-support-multiple-users,Allow multiple users to use a single storage account and file share,Allow multiple users to use a single storage account and file share,Configure Cloud Shell storage for multiple users securely,This article explains changes required to allow multiple Azure Cloud Shell users to use a single storage account and file share.,"By default, the storage resources created by Azure Cloud Shell are intended for a single user. A
single-user deployment is the most secure configuration because each user can only access their own
file share. However, you might have a need to allow multiple users access to a single deployment. To
support access for multiple users, you need to make the following changes: Warning Using the configuration steps in this article grants each user you configure access to the all the
files in the file sh",2025-02-05T23:02:00.000Z,how-to,security,0.8,True,"Describes non-default security configuration to allow multiple users to share a storage account/file share, including security implications and required changes—product-specific IAM/storage security guidance.",unchanged
https://learn.microsoft.com/en-us/azure/cloud-shell/use-cloud-shell-editor-classic,Use the Cloud Shell editor (Classic UI),How to use the Azure Cloud Shell editor (Classic),,Overview of how to use the Azure Cloud Shell editor.,"Azure Cloud Shell includes an integrated file editor built from the open-sourceMonaco Editor. The Cloud Shell editor supports features such as language highlighting, the
command palette, and a file explorer.",2026-04-01T17:25:00.000Z,how-to,,0.1,False,"Classic editor overview; only general feature description without specific numeric constraints, config parameters, or diagnostic guidance.",unchanged
https://learn.microsoft.com/en-us/azure/cloud-shell/use-cloud-shell-editor-new,Use the Cloud Shell editor (New UI),How to use the Azure Cloud Shell editor (New),,Overview of how to use the Azure Cloud Shell editor in the new interface.,"Azure Cloud Shell includes an integrated file editor built from the open sourceMonaco Editor.
The Cloud Shell editor supports features such as language highlighting, the command palette, and a
file explorer.",2026-04-01T17:25:00.000Z,how-to,,0.1,False,"Describes the integrated editor and its features at a high level; lacks numeric limits, config tables, or product-specific troubleshooting details.",unchanged
https://learn.microsoft.com/en-us/azure/cloud-shell/use-the-shell-window-classic,Use the window (Classic UI),How to use the Azure Cloud Shell window (Classic),,Overview of how to use the Azure Cloud Shell window in the Classic interface.,This document explains how to use the Cloud Shell window.,2026-04-01T17:25:00.000Z,how-to,,0.1,False,"Classic UI usage overview; no expert-only limits, configuration matrices, or error-code-based troubleshooting.",unchanged
https://learn.microsoft.com/en-us/azure/cloud-shell/use-the-shell-window-new,Use the window (New UI),How to use Azure Cloud Shell in the new user interface,,Overview of how to use Azure Cloud Shell in the new user interface.,"This document explains how to use the Cloud Shell window. Cloud Shell recently updated the user
interface for the Cloud Shell terminal window. The new toolbar uses text-based menu items rather
than icons, making it easier to find the desired action.",2026-05-12T17:16:00.000Z,how-to,,0.1,False,"Page is an interface usage overview for the Cloud Shell window; it describes how to use the new UI, not product-specific limits, configuration parameters, troubleshooting codes, or decision matrices.",updated
