url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/synapse-analytics/backuprestore/restore-sql-pool,Restore a dedicated SQL pool,Restore an existing dedicated SQL pool - Azure Synapse Analytics,,How-to guide for restoring an existing dedicated SQL pool.,"Tip Microsoft Fabric Data Warehouseis an enterprise scale relational warehouse on a data lake foundation, with a future-ready architecture, built-in AI, and new features. If you're new to data warehousing, start with Fabric Data Warehouse. Existingdedicated SQL pool workloads can upgrade to Fabricto access new capabilities across data science, real-time analytics, and reporting. In this article, you learn how to restore an existing dedicated SQL pool in Azure Synapse Analytics using Azure portal",2026-06-11T17:23:00.000Z,how-to,,0.2,False,"Appears to be a step-by-step how-to for restoring a dedicated SQL pool via the Azure portal without clear indication of numeric limits, configuration parameter tables, error-code-based troubleshooting, or decision matrices. Based on the summary, it is primarily procedural guidance rather than detailed expert reference content.",unchanged
https://learn.microsoft.com/en-us/azure/synapse-analytics/backuprestore/restore-sql-pool-from-deleted-workspace,Restore a SQL pool from a deleted workspace,Restore a dedicated SQL pool from a dropped workspace - Azure Synapse Analytics,,How-to guide for restoring a dedicated SQL pool from a dropped workspace.,"Tip Microsoft Fabric Data Warehouseis an enterprise scale relational warehouse on a data lake foundation, with a future-ready architecture, built-in AI, and new features. If you're new to data warehousing, start with Fabric Data Warehouse. Existingdedicated SQL pool workloads can upgrade to Fabricto access new capabilities across data science, real-time analytics, and reporting. In this article, you learn how to restore a dedicated SQL pool in Azure Synapse Analytics after an accidental drop of ",2026-06-11T17:23:00.000Z,how-to,,0.0,False,"How-to guide for restoring a dedicated SQL pool from a dropped workspace; based on the summary, it describes the restore process but does not indicate presence of numeric limits, configuration parameter tables, error-code-based troubleshooting, or other expert-only details as defined in the sub-skill types.",unchanged
https://learn.microsoft.com/en-us/azure/synapse-analytics/backuprestore/sqlpool-create-restore-point,Create restore points,Create a user defined restore point for a dedicated SQL pool - Azure Synapse Analytics,,Learn how to use the Azure portal to create a user-defined restore point for dedicated SQL pool in Azure Synapse Analytics.,"Tip Microsoft Fabric Data Warehouseis an enterprise scale relational warehouse on a data lake foundation, with a future-ready architecture, built-in AI, and new features. If you're new to data warehousing, start with Fabric Data Warehouse. Existingdedicated SQL pool workloads can upgrade to Fabricto access new capabilities across data science, real-time analytics, and reporting. In this article, you'll learn to create a new user-defined restore point for a dedicated SQL pool in Azure Synapse Ana",2026-05-03T11:12:00.000Z,how-to,,0.4,False,"Step-by-step portal how-to for creating restore points; lacks detailed configuration tables, limits, or product-specific decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/synapse-analytics/catalog-and-governance/how-to-access-secured-purview-account,Access a secured Microsoft Purview account,Access a secured Microsoft Purview account - Azure Synapse Analytics,Access firewall-protected Purview from Synapse securely,Learn about how to access a a firewall protected Microsoft Purview account through private endpoints from Synapse,This article describes how to access a secured Microsoft Purview account from Azure Synapse Analytics for different integration scenarios.,2022-08-23T22:02:00.000Z,how-to,security,0.75,True,Explicitly about accessing a secured Purview account via private endpoints; likely details network security configuration and required permissions.,unchanged
https://learn.microsoft.com/en-us/azure/synapse-analytics/catalog-and-governance/how-to-discover-connect-analyze-azure-purview,"Discover, connect and explore data in Synapse using Microsoft Purview","Discover, connect, and explore data in Synapse using Microsoft Purview - Azure Synapse Analytics",,"Guide on how to discover data, connect them and explore them in Synapse","In this document, you will learn the type of interactions that you can perform when registering a Microsoft Purview Account into Synapse.",2022-08-14T11:04:00.000Z,how-to,,0.4,False,Describes interaction types when Purview is registered; appears more conceptual/usage-oriented than configuration-heavy.,unchanged
https://learn.microsoft.com/en-us/azure/synapse-analytics/catalog-and-governance/quickstart-connect-azure-purview,Connect a Microsoft Purview Account,Connect Synapse workspace to Microsoft Purview - Azure Synapse Analytics,Connect Synapse workspace to Microsoft Purview,Connect a Synapse workspace to a Microsoft Purview account.,"In this quickstart, you will register a Microsoft Purview Account to a Synapse workspace. That connection allows you to discover Microsoft Purview assets, interact with them through Synapse capabilities, and push lineage information to Microsoft Purview. You can perform the following tasks in Synapse:",2022-08-23T17:34:00.000Z,quickstart,configuration,0.7,True,"Connection quickstart between Synapse and Purview; typically includes specific configuration steps, permissions, and connection settings.",unchanged
https://learn.microsoft.com/en-us/azure/synapse-analytics/cicd/continuous-integration-delivery,Continuous integration and delivery,Continuous integration & delivery in Azure Synapse Analytics - Azure Synapse Analytics,Implement CI/CD for Azure Synapse workspaces,Learn how to use continuous integration and continuous delivery (CI/CD) to deploy changes between environments in an Azure Synapse Analytics workspace.,"Continuous integration (CI) is the process of automating the build and testing of code every time a team member commits a change to version control. Continuous delivery (CD) is the process of building, testing, configuring, and deploying from multiple testing or staging environments to a production environment. In an Azure Synapse Analytics workspace, CI/CD moves all entities from one environment (development, test, production) to another environment. Promoting your workspace to another workspac",2024-11-06T08:00:00.000Z,how-to,deployment,0.75,True,CI/CD article describes how to promote Synapse workspaces between environments; this is product-specific deployment guidance with environment-movement patterns.,unchanged
https://learn.microsoft.com/en-us/azure/synapse-analytics/cicd/source-control,Source control,Source control in Synapse Studio - Azure Synapse Analytics,Configure Git source control for Synapse Studio,Learn how to configure source control in Azure Synapse Studio. This guide includes best practices and troubleshooting steps.,"By default, Synapse Studio authors directly against the Synapse service. If you have a need for collaboration using Git for source control, Synapse Studio allows you to associate your workspace with a Git repository, Azure DevOps, or GitHub. This article outlines how to configure and work in a Synapse workspace with git repository enabled. And we also highlight some best practices and a troubleshooting guide. Note To use GitHub in Azure Gov and Microsoft Azure operated by 21Vianet, you can bring",2024-11-15T08:00:00.000Z,how-to,best-practices,0.7,True,Source control article explicitly includes best practices and troubleshooting; contains product-specific guidance and likely concrete configuration patterns for Git integration.,unchanged
https://learn.microsoft.com/en-us/azure/synapse-analytics/concepts-data-flow-overview,Data Flow,Data flows - Azure Synapse Analytics,,An overview of data flows in Azure Synapse Analytics,"Data flows are visually designed data transformations in Azure Synapse Analytics. Data flows allow data engineers to develop data transformation logic without writing code. The resulting data flows are executed as activities within Azure Synapse Analytics pipelines that use scaled-out Apache Spark clusters. Data flow activities can be operationalized using existing Azure Synapse Analytics scheduling, control, flow, and monitoring capabilities. Data flows provide an entirely visual experience wit",2024-12-11T08:00:00.000Z,concept-article,,0.35,False,"Data flows overview; describes capabilities and visual design, not specific configuration values or limits.",unchanged
https://learn.microsoft.com/en-us/azure/synapse-analytics/data-integration/concepts-data-factory-differences,Differences from Azure Data Factory,Differences from Azure Data Factory - Azure Synapse Analytics,Compare Synapse data integration with Azure Data Factory,Learn how the data integration capabilities of Azure Synapse Analytics differ from those of Azure Data Factory,"In Azure Synapse Analytics, the data integration capabilities such as Synapse pipelines and data flows are based upon those of Azure Data Factory. For more information, seewhat is Azure Data Factory. Check below table for features availability: Get started with data integration in your Synapse workspace by learning how toingest data into an Azure Data Lake Storage gen2 account.",2025-02-14T23:44:00.000Z,concept-article,decision-making,0.7,True,Explicitly a differences article with a feature availability table; this is service-comparison guidance used for technology selection.,unchanged
https://learn.microsoft.com/en-us/azure/synapse-analytics/data-integration/data-integration-data-lake,With the copy activity,Ingest into Azure Data Lake Storage Gen2 - Azure Synapse Analytics,,Learn how to ingest data into Azure Data Lake Storage Gen2 in Azure Synapse Analytics,"In this article, you'll learn how to ingest data from one location to another in an Azure Data Lake Gen 2 (Azure Data Lake Gen 2) storage account using Azure Synapse Analytics.",2024-12-11T08:00:00.000Z,conceptual,,0.4,False,Ingest into ADLS Gen2; appears to be a general how-to without expert-only configuration or troubleshooting content.,unchanged
