url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/container-registry/allow-access-trusted-services,Allow access by trusted services,Access Network-Restricted Registry By Trusted Azure Service - Azure Container Registry,Allow trusted Azure services to access network-restricted ACR,Enable a trusted Azure service instance to securely access a network-restricted container registry to pull or push images,"With Azure Container Registry, you can allow select trusted Azure services to access a registry that's configured with network access rules. When you allow trusted services, a trusted service instance can securely bypass the registry's network rules and perform operations such as pulling or pushing images. This article explains how to enable and use trusted services with a network-restricted Azure container registry. Use the Azure Cloud Shell or a local installation of the Azure CLI to run the c",2025-03-20T22:01:00.000Z,how-to,security,0.8,True,Explains enabling trusted services bypass for network rules; product-specific security configuration and behavior.,unchanged
https://learn.microsoft.com/en-us/azure/container-registry/anonymous-pull-access,Enable unauthenticated anonymous pull access,Enable Unauthenticated Anonymous Pull Access in Azure Container Registry - Azure Container Registry,Enable anonymous pull access for Azure Container Registry,Optionally enable unauthenticated anonymous pull access to make content in your Azure container registry publicly available,"By default, access to pull or push content from an Azure container registry is only available toauthenticatedusers. Enabling anonymous (unauthenticated) pull access makes all registry content publicly available for read (pull) actions. Use anonymous pull access in scenarios that don't require user authentication, such as distributing public container images. Anonymous pull access is available in the Standard and Premiumservice tiers. To configure anonymous pull access, update a registry using th",2025-05-04T05:21:00.000Z,how-to,security,0.8,True,"Describes enabling unauthenticated pull, tier constraints (Standard/Premium), and security implications; product-specific security setting.",unchanged
https://learn.microsoft.com/en-us/azure/container-registry/artifact-cache-acr-to-acr-cli,Enable artifact cache from another ACR registry,Enable artifact cache to cache artifacts from another Azure Container Registry - Azure Container Registry,Configure ACR-to-ACR artifact caching with managed identity,Learn how to cache container images from one Azure Container Registry in another using managed identity authentication with Azure CLI and Bicep.,"In this article, you will learn how to enable theartifact cache featurein your Azure Container Registry (ACR) to cache images from another Azure Container Registry. The downstream registry authenticates to the upstream registry using a managed identity, so you don't need to store credentials in Azure Key Vault. In addition to the prerequisites listed here, you need an Azure account with an active subscription.Create an account for free.",2026-04-20T22:10:00.000Z,how-to,integrations,0.68,True,"How-to article for enabling artifact cache between two Azure Container Registries using managed identity and Azure CLI/Bicep. While the summary doesn’t show tables, this scenario involves product-specific configuration (cache rule properties, upstream registry settings, identity usage) and CLI/Bicep parameters that are unique to ACR artifact caching, fitting the integrations & coding patterns category better than generic tutorials.",unchanged
https://learn.microsoft.com/en-us/azure/container-registry/artifact-cache-cli,Enable artifact cache - CLI,Enable artifact cache in your Azure Container Registry with Azure CLI - Azure Container Registry,Configure artifact cache in ACR using Azure CLI,"Learn how to use Azure CLI to cache container images in Azure Container Registry, improving performance and efficiency.","In this article, you learn how to use Azure CLI to enable theartifact cache featurein your Azure Container Registry (ACR) with or without authentication. In addition to the prerequisites listed here, you need an Azure account with an active subscription.Create an account for free.",2025-05-12T22:00:00.000Z,how-to,configuration,0.7,True,CLI-focused article for enabling artifact cache with/without auth; likely includes specific parameters and allowed values for configuration.,unchanged
https://learn.microsoft.com/en-us/azure/container-registry/artifact-cache-overview,Artifact cache overview,Optimize image pulls with artifact cache in Azure Container Registry - Azure Container Registry,,"Artifact cache is a feature that allows you to cache container images in Azure Container Registry, improving performance and efficiency.",The artifact cache feature of Azure Container Registry lets you cache container images in both public and private repositories. Artifact cache enables faster and morereliable pull operationsthrough Azure Container Registry (ACR). It uses features like geo-replication and availability zone support for higher availability and faster image pulls. You can access cached registries over private networks to align with your firewall configurations and compliance standards. Artifact cache addresses the c,2026-04-14T22:12:00.000Z,concept-article,,0.3,False,"Overview of artifact cache benefits and behavior; summary suggests conceptual description (performance, availability, private access) without specific numeric limits, configuration parameter tables, or error codes.",unchanged
https://learn.microsoft.com/en-us/azure/container-registry/artifact-cache-portal,Enable artifact cache - Portal,Enable artifact cache in your Azure Container Registry with Azure portal - Azure Container Registry,,"Learn how to use the Azure portal to cache container images in Azure Container Registry, improving performance and efficiency.","In this article, you learn how to use the Azure portal to enable theartifact cache featurein your Azure Container Registry (ACR). In addition to the prerequisites listed here, you need an Azure account with an active subscription.Create an account for free.",2025-05-12T22:00:00.000Z,how-to,,0.4,False,"Portal how-to for enabling artifact cache; likely step-by-step UI instructions without detailed config tables, limits, or product-specific edge-case guidance.",unchanged
https://learn.microsoft.com/en-us/azure/container-registry/authenticate-aks-cross-tenant,Cross-tenant authentication from AKS,Cross-Tenant Authentication from AKS to ACR - Azure Container Registry,Configure cross-tenant AKS authentication to Azure Container Registry,Configure an AKS cluster's service principal with permissions to access your Azure container registry in a different Microsoft Entra tenant.,"If you have an Azure Kubernetes Service (AKS) cluster in one Microsoft Entra tenant, and an Azure container registry in a different tenant, you can configure cross-tenant authentication to enable the AKS cluster to pull images from the container registry. This article walks through the steps to enable cross-tenant authentication by using the AKS service principal credential to pull from the container registry. In this article, we refer to the tenant containing the AKS cluster asTenant A, and the",2026-01-07T23:12:00.000Z,how-to,security,0.8,True,"Details cross-tenant auth setup using AKS service principal; includes tenant-specific configuration and permissions, a security configuration scenario.",unchanged
https://learn.microsoft.com/en-us/azure/container-registry/authenticate-kubernetes-options,Kubernetes authentication scenarios,Kubernetes Authentication Scenarios for ACR - Azure Container Registry,Select Kubernetes authentication options for Azure Container Registry,Overview of options and scenarios to authenticate to an Azure container registry from a Kubernetes cluster to pull container images,"You can use an Azure container registry as a source of container images for Kubernetes. This setup can include clusters you manage, managed clusters hosted inAzure Kubernetes Service (AKS)or other clouds, and ""local"" Kubernetes configurations such asminikubeandkind. To pull images to your Kubernetes cluster from an Azure container registry, you need to establish an authentication and authorization mechanism. Depending on your cluster environment, choose one of the following methods:",2026-01-07T23:12:00.000Z,concept-article,decision-making,0.7,True,"Compares multiple auth mechanisms for different Kubernetes environments and scenarios; helps choose between options with scenario-based guidance, fitting decision-making.",unchanged
https://learn.microsoft.com/en-us/azure/container-registry/buffer-gate-public-content,Manage public images,Manage Public Content in Private Container Registry - Azure Container Registry,Manage public image dependencies using ACR,Practices and workflows in Azure Container Registry to manage dependencies on public images from Docker Hub and other public content,"This article provides an overview of practices and workflows to use a local registry, such as anAzure container registryto maintain copies of public content, including container images in Docker Hub.",2025-05-01T05:22:00.000Z,how-to,best-practices,0.7,True,Describes concrete practices and workflows for mirroring public content into a private ACR; product-specific operational guidance.,unchanged
https://learn.microsoft.com/en-us/azure/container-registry/container-registry-access-selected-networks,Configure public registry access,Configure Public Registry Access in Azure - Azure Container Registry,Restrict Azure Container Registry public access by IP rules,Configure IP rules to enable access to an Azure container registry from selected public IP addresses or address ranges.,An Azure container registry by default accepts connections over the internet from hosts on any network. This article shows how to configure your container registry to allow access from only specific public IP addresses or address ranges. It provides equivalent steps using the Azure CLI and Azure portal. IP network rules are configured on the public registry endpoint. IP network rules don't apply to private endpoints configured withPrivate Link. Configuring IP access rules is available in thePrem,2025-03-12T22:01:00.000Z,how-to,security,0.8,True,"Shows configuring IP network rules on the public endpoint, including tier constraints; network security configuration.",unchanged
