url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/backup/about-azure-vm-restore,About Azure VM restore,About the Azure Virtual Machine restore process - Azure Backup,,Learn how the Azure Backup service restores Azure virtual machines,This article describes how theAzure Backup servicerestores Azure virtual machines (VMs). There are many restore options. Let's discuss the various scenarios they support.,2026-03-02T12:12:00.000Z,overview,,0.3,False,"Describes restore options and scenarios for Azure VM backups at a conceptual/process level. The summary does not indicate presence of numeric limits, configuration parameter tables, error-code-based troubleshooting, or decision matrices with quantified trade-offs. Appears to be an overview of restore behaviors rather than expert configuration or troubleshooting content.",unchanged
https://learn.microsoft.com/en-us/azure/backup/about-restore-microsoft-azure-recovery-services,Overview,Restore options with Microsoft Azure Recovery Services (MARS) agent - Azure Backup,,Learn about the restore options available with the Microsoft Azure Recovery Services (MARS) agent.,"This article describes the restore options available with the Microsoft Azure Recovery Services (MARS) agent, including how to recover data in various scenarios to ensure business continuity. You learn about Windows Server System State backups restore, recovery of all files in a volume, specific files and folders restore using PowerShell, and using Instant Restore for quick access to individual files. The article also covers Cross Region Restore, which enables recovery from a secondary Azure reg",2025-09-24T11:10:00.000Z,overview,,0.4,False,"Describes restore options and scenarios for the MARS agent (System State, volume, file restore, Cross Region Restore); summary suggests scenario descriptions and how-to steps, not detailed error mappings, configuration tables, or numeric limits.",unchanged
https://learn.microsoft.com/en-us/azure/backup/active-directory-backup-restore,Active Directory domain controllers backup /restore,Back up and restore Active Directory using Azure Backup - Azure Backup,Configure Azure Backup for Active Directory domain controllers,Learn how to back up and restore Active Directory domain controllers for Azure VM and on-premises servers using Azure Backup.,"This article describes how to back up and restore Active Directory domain controllers using Azure Backup, either running on Azure virtual machines (VMs) or on-premises servers. You can use the recommended procedures to protect your Active Directory environment and recover domain controllers during corruption, compromise, or disaster. For guidance on choosing the right restore scenario for your needs, seethe Active Directory Forest Recovery Guide. Note This article doesn't discuss restoring items",2025-12-02T23:11:00.000Z,how-to,configuration,0.65,True,"The article describes how to back up and restore Active Directory domain controllers using Azure Backup, including recommended procedures. Such how-to guidance for a specific workload usually includes product-specific configuration steps (backup policies, protection settings, restore options) and workload-specific nuances that constitute expert knowledge beyond generic backup or AD restore concepts.",unchanged
https://learn.microsoft.com/en-us/azure/backup/aks-backup-faq,FAQ-Azure Backup for AKS,Frequently asked questions about Azure Backup for Azure Kubernetes Service - Azure Backup,Azure Backup for AKS FAQs and constraints,Get answers to frequently asked questions about Azure Backup for Azure Kubernetes Service,"This article answers frequently asked questions about Azure Backup for Azure Kubernetes Service. For more information on theAzure Backup for AKSregion availability, supported scenarios, and limitations, see thesupport matrix.",2026-04-27T06:12:00.000Z,faq,limits-quotas,0.65,True,"FAQ for Azure Backup for AKS is likely to document concrete constraints such as supported cluster sizes, object limits, backup frequency, retention constraints, and other numeric or capability limits that are specific to this integration, fitting the limits-quotas category.",unchanged
https://learn.microsoft.com/en-us/azure/backup/archive-tier-support,Overview,Azure Backup - Archive tier overview - Azure Backup,,Learn about Archive tier support for Azure Backup.,"Customers rely on Azure Backup to store backup data including their Long-Term Retention (LTR) backup data as per the retention needs defined by the organization's compliance rules. In most cases, the older backup data is rarely accessed and is only stored for compliance needs. Azure Backup supports backup of Long-Term Retention points in the archive tier, in addition to Snapshots and the Standard tier.",2025-12-16T18:11:00.000Z,overview,,0.4,False,"High-level overview of Archive tier support; summary suggests conceptual description without numeric limits, config tables, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/backup/automation-backup,Overview,Automation in Azure Backup - Azure Backup,Automate Azure Backup operations with scripts and APIs,Provides a summary of automation capabilities offered by Azure Backup.,"Efficient automation is essential as the Azure environment grows to include a wide range of workloads. Automating key backup tasks, such as configuring protection for new resources, monitoring backup health, and responding to issues, help you consistently meet your backup objectives while minimizing manual effort and errors. Azure Backup supports automation for most backup operations through various programmatic methods. This article outlines the automation tools available in Azure Backup and pr",2026-01-30T08:00:00.000Z,how-to,configuration,0.65,True,"Summarizes automation capabilities and tools for Azure Backup; likely includes references to specific cmdlets, REST APIs, and parameters unique to Azure Backup.",unchanged
https://learn.microsoft.com/en-us/azure/backup/azure-backup-architecture-for-sap-hana-backup,Architecture,Azure Backup architecture for SAP HANA Backup - Azure Backup,Understand Azure Backup architecture for SAP HANA,Learn about Azure Backup architecture for SAP HANA backup.,"Azure Backup serviceallows you to back up data from SAP HANA databases in an application in consistent manner. This article describes the Azure Backup architecture components and processes. To learn about the supported SAP HANA database backup and restore scenarios, region availability, and limitations, see thesupport matrix. For common questions, see thefrequently asked questions.",2026-02-16T08:00:00.000Z,overview,architecture-patterns,0.6,True,"Describes architecture components and processes for SAP HANA backup with Azure Backup. This is product-specific architecture guidance, detailing how components interact for this workload, which is specialized design knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/backup/azure-backup-glossary,Azure Backup terminology,Azure Backup glossary - Azure Backup,,This article defines terms helpful for use with Azure Backup.,This glossary of terms can be helpful when using Azure Backup. Note,2024-12-30T08:00:00.000Z,reference,,0.1,False,"A glossary defines terminology and concepts but does not typically contain limits, configuration parameters, error codes, or prescriptive patterns; it is reference/overview content rather than expert operational knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/backup/azure-backup-pricing,Pricing calculator,Azure Backup pricing - Azure Backup,Estimate and plan Azure Backup costs for different workloads,Learn how to estimate your costs for budgeting Azure Backup pricing.,"This article describes how to estimate and understand the costs associated with using Azure Backup. You learn about the available pricing tools, key parameters that affect backup costs, and how to use the Azure Backup pricing estimator to budget for different workloads and scenarios. To learn about Azure Backup pricing, visit theAzure Backup pricing page.",2025-09-19T11:11:00.000Z,how-to,decision-making,0.7,True,"Guides cost estimation and budgeting for Azure Backup with workload-specific pricing considerations, supporting service/tier selection decisions.",unchanged
https://learn.microsoft.com/en-us/azure/backup/azure-data-lake-storage-backup-configure-quickstart-arm-bicep,Configure Azure Data Lake Storage vaulted backup using ARM/ Bicep template,Quickstart - Configure vaulted backup for Azure Data Lake Storage using ARM or Bicep template - Azure Backup,,Learn how to configure vaulted backup for Azure Data Lake Storage using ARM or Bicep template.,This quickstart describes how to configurevaulted backup for Azure Data Lake Storageusing an Azure Resource Manager (ARM) template.,2025-11-18T08:00:00.000Z,tutorial,,0.35,False,"ARM/Bicep quickstart for Data Lake Storage vaulted backup; template usage tutorial, not limits or decision guidance.",unchanged
https://learn.microsoft.com/en-us/azure/backup/azure-data-lake-storage-backup-create-policy-quickstart,Create a vaulted backup policy for Azure Data Lake Storage using Azure portal/ PowerShell/ Azure CLI,"Quickstart - Create a vaulted backup  policy for Azure Data Lake Storage using Azure portal, PowerShell, or Azure - Azure Backup",,"Learn how to create a vaulted backup policy for Azure Data Lake Storage using Azure portal, PowerShell, or Azure.",This quickstart describes how to create a vaulted backup policy forAzure Data Lake Storagefrom the Azure portal.,2025-11-18T08:00:00.000Z,tutorial,,0.35,False,"Quickstart to create a vaulted backup policy for Data Lake Storage; likely a single example policy, not a detailed configuration reference.",unchanged
https://learn.microsoft.com/en-us/azure/backup/azure-data-lake-storage-backup-manage,Manage,Manage Backup for Azure Data Lake Storage using Azure portal - Azure Backup,Manage backup protection for Azure Data Lake Storage,Learn how to manage backup for Azure Data Lake Storage using Azure portal.,This article describes how to manage backup for Azure Data Lake Storage using Azure portal.,2025-11-18T08:00:00.000Z,how-to,configuration,0.6,True,"Managing ADLS backups in the portal includes enabling/disabling protection, changing policies, and retention—concrete configuration operations.",unchanged
