url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/azure-resource-manager/managed-applications/approve-just-in-time-access,Approve just-in-time access,Approve just-in-time access - Azure Managed Applications,Approve publisher just-in-time access to managed apps,Describes how consumers of Azure Managed Applications approve requests for just-in-time access to a managed application.,"As a consumer of a managed application, you might not be comfortable giving the publisher permanent access to the managed resource group. To give you greater control over granting access to managed resources, Azure Managed Applications provides a feature called just-in-time (JIT) access. It enables you to approve when and for how long the publisher has access to the resource group. The publisher can make required updates during that time, but when that time is over, the publisher's access expire",2024-06-24T08:00:00.000Z,article,security,0.7,True,"Covers consumer-side approval of JIT access, including duration and scope of access; product-specific access control workflow.",unchanged
https://learn.microsoft.com/en-us/azure/azure-resource-manager/managed-applications/artifacts-location,Reference linked artifacts and templates,Reference linked templates and artifacts - Azure Managed Applications,Configure artifactsLocation parameters for managed apps,Describes how publishers can refer to linked files in their Azure Applications offer packages.,This article shows you how to refer to linked artifacts in an Azure Application offer using the_artifactsLocationand_artifactsLocationSasTokenparameters in themainTemplate.jsonfile. Solution Template and Managed Application offers that are published through Partner Center or Service Catalog must now use these parameters to reference linked artifacts in their offer package. An artifact is any additional file that you include in your offer package aside from themainTemplate.jsonandcreateUIDefiniti,2025-05-19T17:08:00.000Z,how-to,configuration,0.8,True,Explains use of _artifactsLocation and _artifactsLocationSasToken parameters in mainTemplate.json; these are specific configuration parameters with required usage patterns.,unchanged
https://learn.microsoft.com/en-us/azure/azure-resource-manager/managed-applications/concepts-built-in-policy,Azure Policy for associations,Deploy associations for managed application using Azure Policy - Azure Managed Applications,Use Azure Policy to associate managed applications,Learn about deploying associations for a managed application using Azure Policy.,"Azure policies can be used to deploy associations to associate resources to a managed application. In this article, we describe a built-in policy that deploys associations and how you can use that policy.",2024-06-24T22:06:00.000Z,article,security,0.6,True,Describes a built-in policy for deploying associations to managed apps; built-in policy definitions and their use are product-specific security/governance configuration.,unchanged
https://learn.microsoft.com/en-us/azure/azure-resource-manager/managed-applications/concepts-delegated-managed-identity-resource-id,Delegated managed identity resource ID,Overview of the delegatedManagedIdentityResourceId property - Azure Managed Applications,Configure delegatedManagedIdentityResourceId for cross-tenant apps,Describes the concept of the delegatedManagedIdentityResourceId property for Azure Managed Applications.,"In Azure, thedelegatedManagedIdentityResourceIdproperty is used to properly assign roles to managed identities across different tenants. This assignment is useful when dealing with managed applications published in Azure Marketplace where the publisher and the customer exist in separate tenants.",2025-02-12T23:02:00.000Z,overview,security,0.7,True,Covers delegatedManagedIdentityResourceId property semantics for cross-tenant managed identities; this is product-specific identity configuration detail.,unchanged
https://learn.microsoft.com/en-us/azure/azure-resource-manager/managed-applications/concepts-view-definition,View definition artifact,Overview of view definition - Azure Managed Applications,,Describes the concept of creating view definition for Azure Managed Applications.,View definition is an optional artifact in Azure Managed Applications. It allows you to customize the overview page and add more views such as Metrics and Custom resources. This article provides an overview of view definition artifact and its capabilities.,2024-06-24T08:00:00.000Z,overview,,0.2,False,Conceptual overview of view definition artifact; lacks detailed configuration tables or constraints in the summary.,unchanged
https://learn.microsoft.com/en-us/azure/azure-resource-manager/managed-applications/create-storage-customer-managed-key,Create storage with customer-managed key,Create Azure Managed Application that deploys storage account encrypted with customer-managed key - Azure Managed Applications,Deploy storage with customer-managed keys in managed apps,This article describes how to create an Azure Managed Application that deploys a storage account encrypted with a customer-managed key.,"This article describes how to create an Azure Managed Application that deploys a storage account encrypted using a customer-managed key. Storage account, Cosmos DB, and Azure Database for Postgres support data encryption at rest using customer-managed keys or Microsoft-managed keys. You can use your own encryption key to protect the data in your storage account. When you specify a customer-managed key, that key is used to protect and control access to the key that encrypts your data. Customer-ma",2024-06-24T08:00:00.000Z,how-to,security,0.75,True,Shows how to deploy a storage account encrypted with customer-managed keys via managed applications; includes product-specific encryption configuration patterns.,unchanged
https://learn.microsoft.com/en-us/azure/azure-resource-manager/managed-applications/create-ui-definition-collection-functions,Collection functions,Create UI definition collection functions - Azure Managed Applications,Use collection functions in UI definitions,"Describes the functions to use when working with collections, like arrays and objects.","These functions can be used with collections, like JSON strings, arrays and objects.",2024-06-24T08:00:00.000Z,reference,configuration,0.75,True,Documents collection functions (arrays/objects) for createUiDefinition.json; function names and behaviors are product-specific configuration language details.,unchanged
https://learn.microsoft.com/en-us/azure/azure-resource-manager/managed-applications/create-ui-definition-conversion-functions,Conversion functions,Create UI definition conversion functions - Azure Managed Applications,Use conversion functions in UI definitions,Describes the functions to use when converting values between data types and encodings.,These functions can be used to convert values between JSON data types and encodings.,2024-06-21T08:00:00.000Z,reference,configuration,0.75,True,Documents conversion functions between JSON data types/encodings for createUiDefinition.json; specific function set is expert configuration knowledge.,unchanged
https://learn.microsoft.com/en-us/azure/azure-resource-manager/managed-applications/create-ui-definition-date-functions,Date functions,Create UI definition date functions - Azure Managed Applications,Use date functions in UI definitions,Describes the functions to use when working with date values.,The functions to use when working with date values.,2024-06-21T08:00:00.000Z,reference,configuration,0.75,True,Lists date-related functions for createUiDefinition.json; function names and semantics are specific to this configuration DSL.,unchanged
https://learn.microsoft.com/en-us/azure/azure-resource-manager/managed-applications/create-ui-definition-logical-functions,Logical functions,Create UI definition logical functions - Azure Managed Applications,Use logical functions in UI definitions,Describes the functions to perform logical operations.,These functions can be used in conditional expressions. Some functions might not support all JSON data types.,2024-06-24T22:06:00.000Z,reference,configuration,0.75,True,Documents logical functions for conditional expressions in createUiDefinition.json; these are specific configuration constructs.,unchanged
