url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/ai-services/translator/containers/configuration,Container configuration guide,Configure containers - Azure Translator - Foundry Tools,Configure Azure Translator containers with docker run settings,The Azure Translator container runtime environment is configured using the `docker run` command arguments. There are both required and optional settings.,Foundry Tools offer a unified configuration framework for all containers. You can easily configure your Translator containers to create a Translator application architecture that's optimized for both robust cloud features and edge locality deployment. TheAzure Translatorcontainer runtime environment is configured using thedocker runcommand arguments. This container includes both required and optional settings. The required settings specific to the container are the billing settings.,2025-11-18T08:00:00.000Z,how-to,configuration,0.85,True,"Explicitly about container configuration using docker run arguments, including required billing settings and optional parameters; this matches configuration with parameter names and allowed values.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/translator/containers/deploy-user-managed-glossary,Deploy user-managed glossary,Deploy a user-managed glossary in Azure Translator container - Foundry Tools,Deploy and manage user glossaries in Translator containers,How to deploy a user-managed glossary in the Azure Translator container environment.,"Azure Translator in Foundry Tools containers allow you to use many of the Translator's features within your own environment, making them ideal for meeting specific security and data governance needs. Sometimes, when operating a container with a complex ingestion process, you may encounter the need to update sentence or phrase files. Because the default sentence and phrase files are encrypted and loaded directly into memory at runtime, you need a rapid engineering solution to allow for dynamic up",2025-11-18T08:00:00.000Z,how-to,best-practices,0.7,True,"Covers dynamic updating of sentence/phrase files in container environments, which involves product-specific operational patterns and edge cases, fitting best practices for this service.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/translator/containers/faq,Translator container FAQ,Azure Translator containers frequently asked questions (FAQ),Resolve common issues with Azure Translator containers,Translator container Frequently asked questions,Discover answers to frequently asked questions regarding key concepts associated with Azure Translator containers.,2026-06-05T22:11:00.000Z,faq,troubleshooting,0.65,True,"FAQ for containers likely includes container-specific error messages, configuration pitfalls, and resolutions, fitting a troubleshooting pattern for this product.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/translator/containers/install-run,Install and run containers,Install and run Translator container using Docker API - Foundry Tools,Install and run Azure Translator containers with Docker,Use the Translator container and API to translate text and documents.,"Containers enable you to host the Azure Translator API on your own infrastructure. The container image includes all libraries, tools, and dependencies needed to run an application consistently in any private, public, or personal computing environment. If your security or data governance requirements can't be fulfilled by calling Azure Translator API remotely, containers are a good option. In this article, learn how to install and run the Translator container online with Docker API. The Azure Tra",2025-12-05T08:00:00.000Z,how-to,deployment,0.65,True,"Describes running Translator containers via Docker API; likely includes container image names, port mappings, and runtime requirements specific to this product, which are deployment-focused details.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/translator/containers/overview,What are Azure Translator containers?,What are Azure Translator containers? - Foundry Tools,,Translate text and documents using Azure Translator containers.,"Azure Translator in Foundry Tools containers enable you to build translator application architecture that's optimized for both robust cloud capabilities and edge locality. A container is an active running instance of an executable software image that contains everything needed—such as all libraries, tools, and dependencies—to run your application consistently and reliably in any environment, whether it's private, public, or personal. Containers are isolated, lightweight, portable, making them id",2025-11-18T15:37:00.000Z,overview,,0.3,False,High-level overview of Translator containers and container concepts; primarily conceptual without detailed configuration tables or limits.,unchanged
https://learn.microsoft.com/en-us/azure/ai-services/translator/containers/translate-document-parameters,Container: Translate documents ,Container: Translate document - Foundry Tools,Call Translator container document translation API,"Understand the parameters, headers, and body request/response messages for the Azure Translator container translate document operation.",Translate document with source language specified.,2026-06-02T08:00:00.000Z,reference,integrations,0.85,True,"Explicitly about parameters, headers, and request/response bodies for the container operation; this is a detailed API/SDK integration reference with specific parameter names and constraints.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/translator/containers/translate-text-parameters,Container: Translate text,Container: Translate text - Foundry Tools,Translator container translate text API parameters,"Understand the parameters, headers, and body messages for the Azure Translator container translate document operation.",Translate text.,2025-11-18T08:00:00.000Z,reference,integrations,0.8,True,"Documents parameters, headers, and body schema for the container translate text operation; these are detailed API integration settings unique to the containerized service.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/translator/containers/transliterate-text-parameters,Container: Transliterate text ,Container: Transliterate text - Foundry Tools,Use transliterate text parameters for Translator containers,"Understand the parameters, headers, and body messages for the Azure Translator container transliterate text operation.",Convert characters or letters of a source language to the corresponding characters or letters of a target language.,2025-11-18T08:00:00.000Z,reference,integrations,0.78,True,"The page documents the transliterate text operation for the Azure Translator container, including operation-specific parameters, headers, and request/response body schemas. These are product- and API-specific integration details (parameter names, required/optional fields, request structure) that go beyond generic knowledge and match the integrations & coding patterns category.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/translator/custom-translator/beginners-guide,Custom Translator portal for beginners,Custom Translator for beginners - Foundry Tools,,A user guide for understanding the end-to-end customized machine translation process.,"Custom Translatorenables you to a build translation system that reflects your business, industry, and domain-specific terminology and style. Training and deploying a custom system is easy and doesn't require any programming skills. The customized translation system seamlessly integrates into your existing applications, workflows, and websites and is available on Azure through the same cloud-basedMicrosoft Text translation APIservice that powers billions of translations every day. The platform en",2026-06-02T08:00:00.000Z,overview,,0.3,False,"Beginner’s guide explaining end-to-end process conceptually; does not focus on numeric limits, detailed configs, or error mappings.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/translator/custom-translator/concepts/bleu-score,Bilingual Evaluation Understudies (BLEU) score,What is a BLEU score? - Custom Translator - Foundry Tools,,BLEU is a measurement of the differences between machine translation and human-created reference translations of the same source sentence.,BLEU (Bilingual Evaluation Understudy)is a measurement of the difference between an automatic translation and human-created reference translations of the same source sentence.,2026-06-02T08:00:00.000Z,concept-article,,0.2,False,"General explanation of BLEU score; this is standard ML knowledge, not product-specific expert configuration or limits.",unchanged
