url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/bastion/bastion-connect-to-aks-private-cluster,Connect to an AKS cluster,Connect to AKS Private Cluster Using Azure Bastion (Preview) - Azure Bastion,Connect to AKS private clusters via Azure Bastion,Learn how to securely connect to Azure Kubernetes Service (AKS) private clusters using Azure Bastion's native client tunneling. Step-by-step guide with prerequisites and commands to establish secure a,"This article shows you how to connect to Azure Kubernetes Service (AKS) private clusters securely using Azure Bastion's native client tunneling feature. You learn to establish secure connections to AKS private clusters in Azure virtual networks without exposing endpoints to the public internet, eliminating the need for additional client software or agents. Azure Bastion provides secure connectivity to all resources in the virtual network in which it's provisioned. Using Azure Bastion protects yo",2025-12-19T18:11:00.000Z,how-to,integrations,0.7,True,"Integration pattern between Bastion and AKS private clusters, likely with specific commands and configuration parameters for tunneling.",unchanged
https://learn.microsoft.com/en-us/azure/bastion/bastion-connect-vm-linux-rdp,RDP connection,Connect to a Linux VM using RDP - Azure Bastion,,Learn how to use Azure Bastion to connect to a Linux VM using RDP via the Azure portal or a specified IP address.,"This article describes how to create a secure RDP connection to your Linux virtual machines using Azure Bastion. You can connect through the Azure portal (browser-based) or via a specified IP address. When you use Azure Bastion, your virtual machines don't require a client, agent, or additional software (other than xrdp on the Linux VM). Azure Bastion securely connects to all virtual machines in the virtual network without exposing RDP/SSH ports to the public internet. For more information, seeW",2026-03-17T06:14:00.000Z,how-to,,0.2,False,"How-to guide for connecting to a Linux VM using RDP via Azure Bastion. It focuses on procedural steps and prerequisites (like xrdp) without detailed limits, configuration matrices, or error-code mappings that would qualify as expert knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/bastion/bastion-connect-vm-rdp-windows,RDP connection,Connect to a Windows VM using RDP - Azure Bastion,,"Learn how to use Azure Bastion to connect to a Windows VM using RDP via the Azure portal, a specified IP address, or a native client.","This article describes how to create a secure RDP connection to your Windows virtual machines using Azure Bastion. You can connect through the Azure portal (browser-based), via a specified IP address, or using a native client on your local Windows computer. When you use Azure Bastion, your virtual machines don't require a client, agent, or additional software. Azure Bastion securely connects to all virtual machines in the virtual network without exposing RDP/SSH ports to the public internet. For",2026-03-11T05:11:00.000Z,how-to,,0.3,False,"Primarily a step-by-step tutorial on connecting via RDP through Bastion using portal or native client. It’s generic how-to usage without detailed configuration tables, limits, or product-specific diagnostic/security parameters.",unchanged
https://learn.microsoft.com/en-us/azure/bastion/bastion-connect-vm-scale-set,Connect to a VM scale set,Connect to a virtual machine scale set using Azure Bastion,Connect to VM scale sets using Azure Bastion,Learn how to connect to an Azure virtual machine scale set using Azure Bastion.,"This article shows you how to securely and seamlessly connect to your virtual machine scale set instance in an Azure virtual network directly from the Azure portal using Azure Bastion. When you use Azure Bastion, VMs don't require a client, agent, or additional software. For more information about Azure Bastion, see theOverview. For more information about virtual machine scale sets, seeWhat are virtual machine scale sets?",2025-01-23T23:10:00.000Z,how-to,integrations,0.6,True,"Integration between Bastion and VM scale sets, likely with specific portal or API options unique to this combination.",unchanged
https://learn.microsoft.com/en-us/azure/bastion/bastion-connect-vm-ssh-linux,SSH connection,Connect to a Linux VM using SSH - Azure Bastion,,"Learn how to use Azure Bastion to connect to a Linux VM using SSH via the Azure portal, a specified IP address, or a native client.","This article describes how to create a secure SSH connection to your Linux virtual machines using Azure Bastion. You can connect through the Azure portal (browser-based), via a specified IP address, or using a native client on your local computer. When you use Azure Bastion, your virtual machines don't require a client, agent, or additional software. Azure Bastion securely connects to all virtual machines in the virtual network without exposing RDP/SSH ports to the public internet. For more info",2026-03-17T11:12:00.000Z,how-to,,0.3,False,"Connection how-to for SSH to Linux VMs via Bastion is a procedural tutorial; summary does not show product-specific error-code mappings, config parameter tables, or numeric limits that would qualify as expert knowledge under the defined categories.",unchanged
https://learn.microsoft.com/en-us/azure/bastion/bastion-connect-vm-ssh-windows,SSH connection,Connect to a Windows VM using SSH - Azure Bastion,,Learn how to use Azure Bastion to connect to a Windows VM using SSH via the Azure portal.,"This article describes how to create a secure SSH connection to your Windows virtual machines using Azure Bastion. You can connect through the Azure portal (browser-based). When you use Azure Bastion, your virtual machines don't require a client, agent, or additional software. Azure Bastion securely connects to all virtual machines in the virtual network without exposing RDP/SSH ports to the public internet. For more information, seeWhat is Azure Bastion? For RDP connections to a Windows virtual",2026-03-17T06:14:00.000Z,how-to,,0.2,False,"Task-focused how-to for connecting to a Windows VM over SSH via Azure Bastion. It describes steps in the Azure portal but does not expose product-specific limits, configuration parameter tables, error-code-based troubleshooting, or other expert-only details.",unchanged
https://learn.microsoft.com/en-us/azure/bastion/bastion-create-host-powershell,Azure PowerShell,Deploy Bastion:PowerShell - Azure Bastion,,Learn how to deploy Azure Bastion using PowerShell.,"This article shows you how to deploy Azure Bastion using PowerShell. Azure Bastion is a PaaS service that's maintained for you, not a bastion host that you install on your VM and maintain yourself. An Azure Bastion deployment is per virtual network, not per subscription/account or virtual machine. For more information about Azure Bastion, seeWhat is Azure Bastion? Once you deploy Bastion to your virtual network, you can connect to your VMs via private IP address. This seamless RDP/SSH experience",2025-03-03T08:00:00.000Z,how-to,,0.25,False,PowerShell deployment how-to; step-by-step deployment rather than config reference or troubleshooting.,unchanged
https://learn.microsoft.com/en-us/azure/bastion/bastion-entra-id-authentication,Configure Microsoft Entra ID authentication,Configure Microsoft Entra ID authentication - Azure Bastion,Configure Microsoft Entra ID auth for Azure Bastion,"Learn how to configure Microsoft Entra ID authentication for RDP and SSH connections through Azure Bastion, including role assignments, virtual machine extensions, and connection steps.","Microsoft Entra ID authentication forAzure Bastionlets you sign in to your virtual machines using your organizational identity instead of local virtual machine credentials. With Entra ID authentication, you can enforcemultifactor authentication (MFA), applyconditional access policies, and centralize identity management across your Azure virtual machines. Note Microsoft Entra ID authentication forRDPconnections in the portal is inpublic preview. Microsoft Entra ID authentication forSSHconnections",2026-03-09T22:17:00.000Z,how-to,security,0.76,True,"Entra ID authentication setup for Bastion will include specific RBAC role names, required permissions, and configuration steps for RDP/SSH, which are product-specific security settings and identity configuration details not derivable from general knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/bastion/bastion-faq,Bastion FAQ,Azure Bastion FAQ,,Learn about frequently asked questions for Azure Bastion.,,2026-01-20T23:26:00.000Z,faq,,0.3,False,"FAQ description is generic; without explicit mention of error codes, limits, or configs, it’s likely high-level Q&A.",unchanged
https://learn.microsoft.com/en-us/azure/bastion/bastion-nsg,Work with NSGs,Configure NSG rules for Azure Bastion,Configure Azure Bastion NSG rules for secure access,"Learn how to configure required network security group rules for Azure Bastion to protect your deployment, prevent unauthorized access, and keep your Bastion host healthy.","Azure Bastion supports NSGs on the AzureBastionSubnet and target VM subnets. Applying NSGs lets you enforce least-privilege network access, restrict traffic to only the ports and sources Bastion requires, and prevent unauthorized lateral movement within your virtual network. If you apply an NSG, you must configure all required ingress and egress rules. Omitting any rule can prevent Bastion from receiving platform updates and block VM connectivity. For more information about NSGs, seeSecurity gro",2026-03-18T22:20:00.000Z,concept-article,security,0.8,True,"NSG configuration for Bastion necessarily involves specific inbound/outbound rules, ports, and possibly service tags that are product-specific security settings; this matches the security category with concrete configuration guidance.",unchanged
