url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/extended-zones/arc-enabled-workloads-arc-enabled-aks-cluster,Create Arc-Enabled AKS Clusters in Extended Zones,Create an Arc-enabled AKS cluster in an Extended Zone,,Learn how to creat an Arc-enabled AKS cluster in an Extended Zone.,"In this article, you'll learn how to create an Arc-enabled AKS cluster in an Extended Zone, which helps you deploy PaaS services through Arc. Refer toWhat is Azure Extended Zones? | Servicesfor currently supported PaaS workloads.",2025-05-07T22:03:00.000Z,how-to,,0.35,False,"How-to for creating an Arc-enabled AKS cluster; appears to be a deployment tutorial without detailed configuration parameter tables, limits, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/extended-zones/arc-enabled-workloads-container-apps,ContainerApps,Deploy Arc-enabled workloads in an Extended Zone: ContainerApps,,Learn how to deploy arc-enabled ContainerApps in an Extended Zone.,"In this article, you'll learn how to deploy an Arc-enabled ContainerApp in an Extended Zone. Refer toWhat is Azure Extended Zones? | Servicesfor currently supported PaaS workloads.
Feel free to exploreContainer Apps on Azure Arc Overview | Microsoft Learnto become more familiar with Container Apps on Azure Arc.",2026-02-25T23:33:00.000Z,how-to,,0.35,False,"Tutorial for deploying Arc-enabled Container Apps; summary suggests step-by-step instructions, not a configuration reference or troubleshooting guide with expert-only details.",unchanged
https://learn.microsoft.com/en-us/azure/extended-zones/arc-enabled-workloads-managed-sql,ManagedSQL,Deploy Arc-enabled workloads in an Extended Zone: Managed SQL Instance,,Learn how to deploy Arc-enabled Managed SQL Instance in an Extended Zone.,"In this article, you'll learn how to deploy an Arc-enabled Managed SQL Instance in an Extended Zone. Refer toWhat is Azure Extended Zones? | Servicesfor currently supported PaaS workloads.",2026-02-26T23:12:00.000Z,how-to,,0.35,False,"Tutorial for deploying Arc-enabled Managed SQL Instance; likely procedural content without extensive configuration tables, limits, or error-code-based troubleshooting.",unchanged
https://learn.microsoft.com/en-us/azure/extended-zones/backup-virtual-machine,Back up a virtual machine,Tutorial: Back up an Azure Extended Zone VM,,Learn how to back up a virtual machine (VM) in Azure Extended Zones using the Azure portal.,"You can protect your data by taking backups at regular intervals. Azure Backup creates recovery points that can be stored in geo-redundant recovery vaults. In this article, you learn how to back up an existing virtual machine (VM) using the Azure portal. In this tutorial, you learn how to:",2026-02-25T08:00:00.000Z,tutorial,,0.2,False,"Tutorial for backing up a VM; summary suggests procedural portal steps without specific backup limits, quotas, or detailed configuration parameter tables.",unchanged
https://learn.microsoft.com/en-us/azure/extended-zones/create-azure-policy,Create a custom Azure Policy in an Extended Zone,Deploy a Custom Azure Policy in an Azure Extended Zone,Create custom Azure Policy definitions for Extended Zones,Learn how to deploy a custom Azure policy in an Azure extended zone.,"In this article, you learn how to create and deploy a custom Azure policy in an Azure extended zone. Note Azure Policy is supported in Azure Extended Zones with custom policies. Built-in Azure Policy definitions aren't supported in extended zones yet. To enforce governance in extended zones, you must create and deploy custom Azure Policy definitions that are tailored to the unique characteristics of these zones. Examples areextendedLocation,extendedLocation.name, andextendedLocation.type. You mi",2026-03-31T06:10:00.000Z,how-to,configuration,0.8,True,"Explains that only custom policies are supported and references specific policy fields like extendedLocation, extendedLocation.name, and extendedLocation.type; these are product-specific configuration parameters.",unchanged
https://learn.microsoft.com/en-us/azure/extended-zones/create-storage-account,Deploy a storage account in an Extended Zone,Deploy a Storage Account in an Azure Extended Zone,,Learn how to deploy a storage account in an Azure extended zone.,"In this article, you learn how to create an Azure storage account in an extended zone.",2026-03-31T06:10:00.000Z,how-to,,0.4,False,Tutorial for creating a storage account in an extended zone; likely basic wizard steps without configuration matrices or quotas specific enough to qualify.,unchanged
https://learn.microsoft.com/en-us/azure/extended-zones/deploy-aks-cluster,Deploy an AKS cluster in an Extended Zone,Deploy an Azure Kubernetes Service (AKS) Cluster in an Extended Zone,,Learn how to deploy an Azure Kubernetes Service (AKS) cluster in an Azure extended zone by using the Azure portal.,"Azure Kubernetes Service (AKS) is a managed Kubernetes service that lets you quickly deploy and manage clusters. In this article, you learn how to create an AKS cluster in extended zones. If you don't have an Azure subscription, create afree accountbefore you begin.",2026-03-31T06:10:00.000Z,how-to,,0.4,False,"Tutorial for creating an AKS cluster in an extended zone via portal; summary suggests step-by-step guidance without detailed config tables, limits, or specialized patterns.",unchanged
https://learn.microsoft.com/en-us/azure/extended-zones/deploy-azure-firewall,Deploy Azure Firewall in an Extended Zone (Preview),Deploy Azure Firewall in Azure Extended Zones,Configure Azure Firewall deployment in Extended Zones,"Learn how to deploy Azure Firewall in Azure Extended Zones using ARM templates, including routing configuration, firewall rules, and deployment validation.","In this article, you learn how to deployAzure FirewallinAzure Extended Zonesusing ARM templates. It provides setup instructions, including ARM template snippets and deployment validation steps. Azure Firewall in Azure Extended Zones behaves the same as Azure Firewall in global Azure regions — same SKUs (Standard and Premium), Firewall Policy and rule collections, autoscaling, and availability. The difference is in the setup and deployment. The firewall and its associated resources are created wi",2026-04-17T22:08:00.000Z,how-to,configuration,0.68,True,"The article includes ARM template snippets and specific routing and firewall rule configuration details for Azure Firewall in Azure Extended Zones. These are product-specific configuration patterns and parameters (template properties, routing setup, validation steps) that go beyond generic deployment guidance and represent expert knowledge about how this service must be configured in this specialized environment.",unchanged
https://learn.microsoft.com/en-us/azure/extended-zones/deploy-vm-arm-template,Deploy a VM in an Extended Zone - ARM template,Deploy a virtual machine in an Extended Zone - ARM template,,Learn how to deploy a virtual machine in an Azure Extended Zone using an Azure Resource Manager template (ARM template).,"In this quickstart, you learn how to deploy a virtual machine (VM) in an Extended Zone using an Azure Resource Manager template (ARM template). AnAzure Resource Manager templateis a JavaScript Object Notation (JSON) file that defines the infrastructure and configuration for your project. The template uses declarative syntax. You describe your intended deployment without writing the sequence of programming commands to create the deployment. You can also complete this quickstart using theAzure por",2026-02-25T08:00:00.000Z,quickstart-arm,,0.2,False,"ARM template deployment quickstart; focuses on example template usage rather than exhaustive configuration references, limits, or best-practice guidance.",unchanged
https://learn.microsoft.com/en-us/azure/extended-zones/deploy-vm-cli,Deploy a VM in an Extended Zone - Azure CLI,Deploy a virtual machine in an Extended Zone using Azure CLI,,Learn how to deploy a virtual machine in an Azure Extended Zone using Azure CLI.,"In this quickstart, you learn how to deploy a virtual machine (VM) in an Extended Zone using Azure CLI. AnAzure Resource Manager templateis a JavaScript Object Notation (JSON) file that defines the infrastructure and configuration for your project. The template uses declarative syntax. You describe your intended deployment without writing the sequence of programming commands to create the deployment. You can also complete this quickstart using theAzure portal. If you don't have an Azure subscrip",2025-09-25T22:12:00.000Z,quickstart,,0.2,False,"Quickstart for deploying a VM using CLI/ARM; primarily tutorial content, not a catalog of configuration options, limits, or decision criteria.",unchanged
https://learn.microsoft.com/en-us/azure/extended-zones/deploy-vm-portal,Deploy a VM in an Extended Zone - Portal,Quickstart: Deploy a virtual machine in an Extended Zone - Azure portal,,Learn how to deploy a virtual machine (VM) in an Azure Extended Zone using the Azure portal.,"In this quickstart, you learn how to deploy a virtual machine (VM) to an Extended Zone using the Azure portal. Note Access theExtended Zones-specific VM Creation Portal experience hereto follow along this qickstart tutorial. If you don't have an Azure subscription, create afree accountbefore you begin.",2025-12-08T08:00:00.000Z,quickstart,,0.2,False,"Quickstart for deploying a VM via portal; likely step-by-step UI instructions without detailed configuration parameter tables, limits, or product-specific troubleshooting mappings.",unchanged
https://learn.microsoft.com/en-us/azure/extended-zones/faq,Extended Zones FAQ,Azure Extended Zones FAQ,,This article provides answers to some of the frequently asked questions about Azure Extended Zones.,This article provides answers to some of the frequently asked questions about Azure Extended Zones.,2026-03-31T06:10:00.000Z,concept-article,,0.3,False,"FAQ-style content but summary does not indicate specific error codes, limits, or configuration tables; likely conceptual and eligibility/usage Q&A.",unchanged
