url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/container-instances/azure-container-instances-support-policy,Support Policy for ACI,Support Policy for Azure Container Instances - Azure Container Instances,,Outline of the support policies on Azure Container Instances,"This article explains the support policies forAzure Container Instances (ACI).It explains how Microsoft manages the container runtime and infrastructure, clarifies what customers are responsible for, and defines what is and isn't supported for networking, third-party software, and security or patch management in a serverless setup.",2025-11-17T08:00:00.000Z,concept-article,,0.4,False,"Support policy and responsibilities overview; likely descriptive without detailed config tables, numeric thresholds, or error-code troubleshooting matrices.",unchanged
https://learn.microsoft.com/en-us/azure/container-instances/big-containers,Big Containers,Big containers on Azure container instances - Azure Container Instances,Use Big Containers with ACI vCPU and memory limits,Capabilities and benefits of Big Containers on Azure Container Instances.,"This article outlines the capabilities and benefits of Big Containers on Azure Container Instances. Customers can now deploy workloads with higher vCPU and memory for standard containers, confidential containers, containers with virtual networks, as well as containers utilizing virtual nodes to connect to AKS. This setup supports vCPU counts greater than 4 and memory capacities of 16 GB, with a maximum of 31 vCPU and 240 GB per standard container group and 31 vCPU and 180 GB per confidential con",2025-11-17T08:00:00.000Z,concept-article,limits-quotas,0.85,True,"Describes Big Containers capabilities with explicit numeric maximums (e.g., up to 31 vCPU and 240 GB/180 GB); these are product-specific limits.",unchanged
https://learn.microsoft.com/en-us/azure/container-instances/confidential-containers-attestation-concepts,Attestation in Confidential containers,Attestation in Confidential containers on Azure Containers Instances - Azure Container Instances,,Full attestation of container groups in confidential containers on Azure Container Instances,"Attestation is an essential part of confidential computing. Attestation appears in the definition by the Confidential Computing Consortium: “Confidential Computing is the protection of data in use by performing computation in a hardware-based, attested Trusted Execution Environment."" According to theRemote ATtestation procedureS (RATS) ArchitectureIn remote attestation, “one peer (the ""Attester"") produces believable information about itself (""Evidence"") to enable a remote peer (the ""Relying Part",2025-11-17T08:00:00.000Z,concept-article,,0.4,False,"Attestation concepts; mostly conceptual explanation of attestation in confidential computing, not ACI-specific configuration or error-code troubleshooting.",unchanged
https://learn.microsoft.com/en-us/azure/container-instances/container-instance-ngroups/container-instances-about-ngroups,About NGroups,Introduction to NGroups - Azure Container Instances,,Introduction to NGroups and its features describing how customers can manage N instances of containers with NGroups.,"Containers became the standard for packaging, deploying, and managing cloud applications, and effectively managing these containers is as crucial as running the apps themselves.Azure Container Instances(ACI) is a flexible and scalable serverless computing service that allows you to run containerized applications without managing infrastructure. NGroups provides you with advanced capabilities for managing multiple related container groups. Supported features include: The NGroups feature builds up",2025-11-17T08:00:00.000Z,how-to,,0.3,False,Introduction to NGroups; high-level feature overview without detailed configuration parameters or numeric thresholds.,unchanged
https://learn.microsoft.com/en-us/azure/container-instances/container-instance-ngroups/container-instances-rolling-update,NGroups Rolling Update,NGroups Rolling Update - Customer Documentation - Azure Container Instances,,Introduction to NGroups Rolling Update,,2025-11-17T08:00:00.000Z,how-to,,0.4,False,"Rolling update intro for NGroups; likely conceptual or procedural, not a detailed configuration or limits reference.",unchanged
https://learn.microsoft.com/en-us/azure/container-instances/container-instances-application-gateway,Expose static IP with App Gateway,Static IP address for container group - Azure Container Instances,Expose Azure Container Instances via Application Gateway static IP,Create a container group in a virtual network and use an Azure application gateway to expose a static frontend IP address to a containerized web app.,"This article shows one way to expose a static, public IP address for acontainer groupby using an Azureapplication gateway. Follow these steps when you need a static entry point for an external-facing containerized app that runs in Azure Container Instances. In this article, you use the Azure CLI to create the resources for this scenario: As long as the application gateway runs and the container group exposes a stable private IP address in the network's delegated subnet, the container group is ac",2025-11-17T08:00:00.000Z,how-to,architecture-patterns,0.65,True,"Describes a specific architecture pattern combining ACI, VNet, and Application Gateway to provide static public IP, with concrete resource wiring and constraints.",unchanged
https://learn.microsoft.com/en-us/azure/container-instances/container-instances-best-practices-and-considerations,Best practices and considerations,Best practices and considerations - Azure Container Instances,Apply Azure Container Instances workload best practices,Best practices and considerations for customers to account for in their Container Instances workloads.,"Azure Container Instances (ACI) allow you to package, deploy, and manage cloud applications without having to manage the underlying infrastructure. Common scenarios that run on ACI include burst workloads, task automation, and build jobs. You can use ACI by defining the resources they need per container group, including vCPU and memory. ACI is a great solution for any scenario that can operate in isolated container. ACI provides fast start-up times, hyper-visor level security, custom container s",2025-11-17T08:00:00.000Z,concept-article,best-practices,0.7,True,"Explicitly a best practices article; likely includes ACI-specific recommendations, gotchas, and configuration guidance beyond generic container advice.",unchanged
https://learn.microsoft.com/en-us/azure/container-instances/container-instances-confidential-overview,Confidential container groups,Confidential containers on Azure Container Instances - Azure Container Instances,,Learn more about confidential container groups.,"This article introduces how confidential containers on Azure Container Instances (ACI) can enable you to secure your workloads running in the cloud. This article provides background about the feature set, scenarios, limitations, and resources. Confidential containers on Azure Container Instances enable customers to run Linux containers within a hardware-based and attested Trusted Execution Environment (TEE). Customers can lift and shift their containerized Linux applications or build new confide",2025-11-17T08:00:00.000Z,concept-article,,0.45,False,"Overview of confidential containers; describes feature set, scenarios, and limitations at a high level, but not detailed config parameters or numeric thresholds.",unchanged
https://learn.microsoft.com/en-us/azure/container-instances/container-instances-config-map,Use config maps,Config Maps for Azure Container Instances - Azure Container Instances,Use config maps to manage settings in Azure Container Instances,Learn how to use config maps with Azure Container Instances.,A config map is a property that you can use to apply container configurations similar to environment variables and secret volumes. The process is unlike using environment variables or secret volumes where you must restart the pod to apply the settings. Using a config map to apply settings doesn't require any restarts for the changes to take effect. You can use Azure Container Instances to create container instances with or without config maps. You can also update them at any point after creation,2025-11-21T05:55:00.000Z,how-to,configuration,0.7,True,"Describes ACI-specific config map properties and update behavior, with concrete configuration fields and patterns distinct from generic environment variable usage.",unchanged
https://learn.microsoft.com/en-us/azure/container-instances/container-instances-container-group-automatic-ssl,Enable automatic HTTPS with Caddy as reverse proxy,Enable automatic HTTPS with Caddy as a sidecar container - Azure Container Instances,Configure automatic HTTPS for Azure Container Instances using Caddy,This guide describes how Caddy can be used as a reverse proxy to enhance your application with automatic HTTPS,"This article describes how Caddy can be used as a sidecar container in acontainer groupand act as a reverse proxy to provide an automatically managed HTTPS endpoint for your application. Caddy is a powerful, enterprise-ready, open source web server with automatic HTTPS written in Go and represents an alternative to Nginx. The automatization of certificates is possible because Caddy supports the ACMEv2 API (RFC 8555) that interacts withLet's Encryptto issue certificates. In this example, only the",2025-11-17T08:00:00.000Z,how-to,security,0.7,True,"Details a product-specific sidecar pattern with Caddy, ACME/Let’s Encrypt integration, and container group configuration for automatic HTTPS.",unchanged
