url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/confidential-ledger/about-microsoft-signing-transparency-ledger,About Microsoft's Signing Transparency Ledger,About Microsoft's Signing Transparency Ledger - Azure Confidential Ledger,,"Learn about Microsoft's Signing Transparency Ledger, a workload of Confidential Computing Ledger that enhances software supply chain security through transparent, auditable signing records.","Microsoft's Signing Transparency is a workload ofConfidential Computing Ledger. It's a cloud-managed service that enhances trust and security in software supply chains. The service is generally available; verification through Microsoft's Signing Transparency is currently scoped to specific Microsoft services. The service addresses software supply chain threats that traditional code signing alone can't fully prevent. It builds on the Zero Trust principle of ""never trust, always verify."" It uses a",2026-06-14T12:35:00.000Z,overview,,0.25,False,"Overview of Microsoft's Signing Transparency Ledger and its benefits; primarily conceptual and marketing-style without detailed configs, limits, or troubleshooting.",unchanged
https://learn.microsoft.com/en-us/azure/confidential-ledger/architecture,Architecture,Architecture,,"Architecture of Azure confidential ledger, the shared confidential computing platform that underlies Confidential Computing Ledger workloads.","This article describes the architecture of the confidential computing platform that underlies bothConfidential Computing Ledgerworkloads:Azure confidential ledgerandMicrosoft's Signing Transparency Ledger. The platform is a REST API service that lets clients interact with the ledger through administrative and functional API calls. When data is recorded to the ledger, it's sent to permissioned blockchain nodes that are replicas backed by hardware-based secure enclaves. The replicas follow a conse",2026-06-14T12:35:00.000Z,concept-article,,0.3,False,"Architecture description is conceptual (REST API, enclaves, replicas) without decision matrices, thresholds, or product-specific configuration tables.",unchanged
https://learn.microsoft.com/en-us/azure/confidential-ledger/authenticate-ledger-nodes,Authenticate ledger nodes,Authenticating Azure confidential ledger nodes,Authenticate and attest Azure Confidential Ledger nodes securely,"Learn how to authenticate Azure confidential ledger nodes to establish trust before exchanging data, including TLS certificate verification and Intel SGX attestation.","Azure confidential ledger runs on hardware-backed secure enclaves that provide strong isolation and protection for your data. Before exchanging sensitive data with the ledger, you should verify the authenticity of the ledger nodes to ensure you're communicating with legitimate Azure confidential ledger instances and not a malicious actor. This article explains the trust model behind Azure confidential ledger node authentication, walks through the service identity certificate retrieval process, a",2026-04-01T22:14:00.000Z,how-to,security,0.8,True,"Explains the product-specific trust model, TLS certificate retrieval, and Intel SGX attestation steps for Azure Confidential Ledger nodes. Contains concrete security configuration and verification flows unique to this service, matching the security sub-skill.",unchanged
https://learn.microsoft.com/en-us/azure/confidential-ledger/authentication-azure-ad,User authentication and authorization,Microsoft Entra authentication with Azure confidential ledger,Configure Microsoft Entra authentication for Azure confidential ledger,Microsoft Entra authentication with Azure confidential ledger,"The recommended way to access Azure confidential ledger is by authenticating to theMicrosoft Entra IDservice; doing so guarantees that Azure confidential ledger never gets the accessing principal's directory credentials. To do so, the client performs a two-steps process: Azure confidential ledger then executes the request on behalf of the security principal for which Microsoft Entra ID issued the access token. All authorization checks are performed using this identity. In most cases, the recomme",2025-04-14T08:00:00.000Z,overview,security,0.7,True,"Describes product-specific authentication via Microsoft Entra ID, including how tokens are used and how authorization checks are performed; this is concrete identity configuration guidance for this service.",unchanged
https://learn.microsoft.com/en-us/azure/confidential-ledger/create-blob-managed-app,Create a managed application to store blob digests,Create a Managed Application to Store Blob Digests,Integrate Blob Storage digests with Azure Confidential Ledger,Learn how to create a managed application that stores blob digests to Azure confidential ledger.,"You can use the Azure Blob Storage digest backed by the Azure confidential ledger managed application to help ensure that the blobs within a blob container are trusted and not tampered with. After the application is connected to a storage account, it tracks all blobs that are added to every container in the storage account in real time. It also calculates and stores the digests in confidential ledger. You can perform audits at any time to check the validity of the blobs and to ensure that the bl",2025-12-05T23:18:00.000Z,how-to,integrations,0.75,True,"Describes a managed application that tracks blobs and stores digests in the ledger, including product-specific configuration and integration behavior.",unchanged
https://learn.microsoft.com/en-us/azure/confidential-ledger/create-client-certificate,Create a client certificate,Creating a Client Certificate with Microsoft Azure confidential ledger,Create and configure client certificates for Confidential Ledger,Creating a Client Certificate with Microsoft Azure confidential ledger,"Caution This article references CentOS, a Linux distribution that is End Of Life (EOL) status. Please consider your use and planning accordingly. For more information, see theCentOS End Of Life guidance. The Azure confidential ledger APIs require client certificate-based authentication. Only those certificates added to an allowlist during ledger creation or a ledger update can be used to call the confidential ledger Functional APIs. You need a certificate in PEM format. You can create more than ",2025-04-14T08:00:00.000Z,overview,security,0.75,True,"Details PEM certificate requirements, allowlisting behavior, and authentication constraints specific to confidential ledger APIs.",unchanged
https://learn.microsoft.com/en-us/azure/confidential-ledger/create-power-automate-workflow,Data ingress and egress from Azure confidential ledger using Power Automate Connector,Data Ingress and Egress from Azure confidential ledger by Using a Power Automate Connector,Integrate Azure confidential ledger with Power Automate and Cosmos DB,Learn to ingress and egress data from Azure confidential ledger by using a Power Automate connector.,A Power Automate connector is now available for interacting with Azure confidential ledger. This article explains how to build a workflow that adds an entry into a confidential ledger instance and saves the transaction ID in Azure Cosmos DB.,2025-12-05T23:18:00.000Z,overview,integrations,0.7,True,Shows how to use a specific Power Automate connector with Azure confidential ledger and store transaction IDs in Cosmos DB; contains product-specific integration workflow and parameters beyond generic tutorial content.,unchanged
https://learn.microsoft.com/en-us/azure/confidential-ledger/data-organization,Data organization,Data Organization in Azure confidential ledger,Organize and access data in Azure confidential ledger,How to organize data in Azure confidential ledger.,"Data is structured within the Azure confidential ledger in two primary ways: Transaction ID, and Collection ID (or Subledger ID). Each write operation generates a unique transaction ID, which can be used to retrieve entries, obtain receipts, or perform other operations. Collection IDs are user-specified keys (optional) that help group or uniquely identify entries, allowing for more efficient data retrieval and management. This page shows examples demonstrating how to create ledger entries, retri",2026-06-12T08:00:00.000Z,concept-article,integrations,0.65,True,Explains product-specific data organization using transaction IDs and collection IDs with concrete usage patterns and examples for creating and retrieving entries; these are detailed usage patterns unique to this service.,unchanged
https://learn.microsoft.com/en-us/azure/confidential-ledger/data-residency,Data residency,Data residency for Azure confidential ledger,,Describes data residency posture for Azure confidential ledger.,This article describes the data residency and resiliency behavior for Azure confidential ledger.,2026-06-14T12:35:00.000Z,reliability-article,,0.3,False,"Describes data residency and resiliency behavior at a high level; typically policy/behavioral description without configuration parameters, limits, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/confidential-ledger/faq,FAQ,Frequently asked questions - Azure confidential ledger,,Get answers to frequently asked questions about Azure confidential ledger,This article answers frequently asked questions about Azure confidential ledger.,2026-06-14T12:35:00.000Z,faq,,0.35,False,"FAQ page; likely mixes conceptual and general Q&A without structured limits tables, configuration references, or detailed troubleshooting mappings required for expert classification.",unchanged
