url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/copilot/agents-preview,Overview,Agents (preview) in Azure Copilot,,"Agents (preview) in Azure Copilot provides an agentic, multi-modal cloud interface to help you migrate, operate, and optimize your workloads.","Agents (preview) in Azure Copilot extends the current capabilities of Azure Copilot to provide an agentic, multi-modal cloud interface. By integrating agents into your daily workflows, Azure Copilot can help you migrate, operate, and optimize your workloads to help streamline your cloud adoption and deployment journey. Unlike a patchwork of disconnected AI and automation tools, Azure Copilot is natively built into the Azure platform, bringing together agents, context, and governance. Azure agent",2026-03-10T08:00:00.000Z,overview,,0.2,False,"High-level overview of Agents (preview) in Azure Copilot describing capabilities and value; no concrete limits, configuration parameters, error codes, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/copilot/ai-shell-overview,Use Azure Copilot with AI Shell,Use Azure Copilot with AI Shell,,Learn about the things you can do with Azure Copilot from the command line.,"AI Shell introduced a seamless way to access Azure Copilot directly from your command-line
interface (CLI). This enhancement allows developers, administrators, and DevOps teams to generate
Azure CLI and PowerShell commands faster and more intuitively, using natural language to interact
with Azure Copilot right in your preferred terminal environment.",2025-11-20T08:00:00.000Z,concept-article,,0.25,False,Overview of using Copilot via AI Shell; summary does not indicate detailed parameter tables or constraints beyond generic CLI usage.,unchanged
https://learn.microsoft.com/en-us/azure/copilot/analyze-cost-management,Analyze costs,"Analyze, estimate and optimize cloud costs using Azure Copilot",Use Azure Copilot to analyze and optimize cloud costs,Learn about scenarios where Azure Copilot can use Microsoft Cost Management to help you manage your costs.,"Azure Copilot can help you analyze, estimate and optimize cloud costs. Ask questions using natural language to get information and recommendations based onMicrosoft Cost Management. When you ask Azure Copilot  questions about your costs, it automatically pulls context based on the last scope that you accessed using Cost Management. If the context isn't clear, you'll be prompted to select a scope or provide more context. For OpenAI token-based models, Azure Copilot can provide simulations that es",2025-11-18T16:11:00.000Z,how-to,decision-making,0.65,True,"Uses Cost Management and mentions simulations for token-based models; likely includes product-specific cost estimation behavior and guidance for cost decisions, fitting decision-making.",unchanged
https://learn.microsoft.com/en-us/azure/copilot/author-api-management-policies,Author API Management policies,Author API Management policies using Azure Copilot,Author Azure API Management policies using Copilot,Learn about how Azure Copilot can generate Azure API Management policies based on your requirements.,"Azure Copilot can authorAzure API Management policiesbased on your requirements. By using Azure Copilot, you can create policies quickly, even if you're not sure what code you need. This can be especially helpful when creating complex policies with many requirements. To get help authoring API Management policies, start from theDesigntab of an API you previously imported to your API Management instance. Be sure to use thecode editor view. Ask Azure Copilot to generate policy definitions for you, ",2025-11-25T23:09:00.000Z,how-to,integrations,0.7,True,Shows how to generate APIM policies from requirements; involves product-specific policy syntax and configuration patterns.,unchanged
https://learn.microsoft.com/en-us/azure/copilot/bring-your-own-storage,Manage conversation storage,Bring your own storage for conversation history in Azure Copilot,Configure Cosmos DB storage for Azure Copilot conversations,Azure Copilot gives tenant administrators the option to store conversation history in their own Cosmos DB instance.,"By default, Azure Copilotconversation data is managed by Microsoft. However, organizations can choose to store Azure Copilot conversation history in their ownAzure Cosmos DBinstance. TheBring your own storageoption lets tenant administrators retain all Azure Copilot conversations in a Cosmos DB instance selected and managed by the tenant. Organizations maintain an audit trail of all Azure Copilot conversations across all tenant users, including the user-submitted prompts and all Azure Copilot re",2026-03-12T22:17:00.000Z,concept-article,configuration,0.7,True,"Explains how to use a tenant-managed Azure Cosmos DB instance for Azure Copilot conversation history. This is product-specific configuration, likely including required settings, resource types, and possibly parameter details for enabling 'bring your own storage'.",unchanged
https://learn.microsoft.com/en-us/azure/copilot/capabilities,Capabilities,Azure Copilot capabilities,,Learn about the things you can do with Azure Copilot.,"Azure Copilot amplifies your impact by using AI-enhanced operations. You can ask Azure Copilot for help with designing, operating, optimizing, and troubleshooting your Azure apps and infrastructure. Azure Copilot helps you gain new insights, discover more benefits of the cloud, and orchestrate data across both the cloud and the edge. To access Azure Copilot, sign in to the Microsoft Azure portal. Select theCopiloticon in the page header to open the Copilot pane. You can then enter your prompts i",2025-12-12T23:13:00.000Z,concept-article,,0.2,False,"Capabilities overview and how to open Copilot; no detailed configs, limits, or troubleshooting content.",unchanged
https://learn.microsoft.com/en-us/azure/copilot/copilot-networking,"Design, troubleshoot, and secure networks","Design, troubleshoot, and secure networks with Azure Copilot",Design and troubleshoot Azure networks with Copilot,"Learn how Azure Copilot can assist you in planning, designing, operating, and troubleshooting your Azure network with ease and efficiency.","The networking capabilities in Azure Copilot help you design, migrate, monitor, optimize, and troubleshoot your Azure network infrastructure. Azure Copilot provides intelligent assistance for Azure networking services, offering contextual responses and actionable insights based on Microsoft's extensive networking knowledge and your specific Azure environment. Tip The tasks and sample prompts listed here show a few of the areas where Azure Copilot can be especially helpful. However, this isn't a ",2025-11-25T18:14:00.000Z,how-to,architecture-patterns,0.6,True,"Covers design, migration, monitoring, optimization, and troubleshooting of Azure networking; likely includes product-specific networking patterns and guidance.",unchanged
https://learn.microsoft.com/en-us/azure/copilot/deploy-vms-effectively,Deploy and manage VMs,Deploy and manage virtual machines effectively using Azure Copilot,Choose and deploy cost-efficient Azure VMs with Copilot,Learn how Azure Copilot can help you deploy cost-efficient VMs.,"Azure Copilot can help you deployvirtual machines in Azurethat are efficient and effective. You can get suggestions for different options to save costs and choose the right size for your VMs. When you ask Azure Copilot for help with a VM, it automatically pulls context when possible, based on the current conversation or on the page you're viewing in the Azure portal. For example, if you start from theCreate a virtual machinepage, Azure Copilot will provide suggestions for the new VM you're creat",2025-11-18T16:11:00.000Z,how-to,decision-making,0.7,True,Focuses on selecting right VM sizes and cost-saving options; likely includes product-specific recommendations and trade-offs for VM deployment decisions.,unchanged
https://learn.microsoft.com/en-us/azure/copilot/deploy-workload-templates,Discover workloads,Discover and deploy workload templates from Azure Copilot,Find and deploy workload templates using Azure Copilot,Learn how Azure Copilot can provide workload templates for your scenario.,"Azure Copilot can help you find workload deployment templates that suit your needs by quickly searching through extensive repositories to identify the best matches. It provides recommendations based on the latest best practices and industry standards, helping you effectively deploy your workloads. Tip The tasks and sample prompts listed here show a few of the areas where Azure Copilot can be especially helpful. However, this isn't a complete list of all the things you can do. We encourage you to",2025-11-18T16:11:00.000Z,how-to,decision-making,0.65,True,Helps select appropriate workload templates based on best practices; supports deployment choice and trade-off decisions.,unchanged
https://learn.microsoft.com/en-us/azure/copilot/deployment-agent,Deployment,Deployment agent capabilities in Agents (preview) in Azure Copilot,,Agents (preview) in Azure Copilot lets you complete deployment tasks using intelligent agent capabilities.,"Agents (preview) in Azure Copilotintelligently surfaces the right agent to help with your tasks. The deployment capabilities of Agents (preview) in Azure Copilot serve as a virtual cloud solution architect, guiding you through the entire infrastructure planning and deployment process with simplicity and precision. When you ask for help deploying workloads, Azure Copilot helps you translate high-level goals into actionable deployment plans by applyingAzure Well-Architected Frameworkbest practices",2025-11-18T16:11:00.000Z,concept-article,,0.3,False,Describes deployment agent conceptually and references Well-Architected best practices but does not list concrete product-specific configs or numeric thresholds.,unchanged
