url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/ai-services/computer-vision/category-taxonomy,Category taxonomy,Taxonomy of image categories - Azure Vision in Foundry Tools - Foundry Tools,Reference taxonomy categories for Azure Vision,Get the 86 categories of taxonomy for Azure Vision in Foundry Tools API in Foundry Tools.,abstract_ abstract_net abstract_nonphoto abstract_rect abstract_shape abstract_texture animal_ animal_bird animal_cat animal_dog animal_horse animal_panda building_ building_arch building_brickwall building_church building_corner building_doorwindows building_pillar building_stair building_street dark_ drink_ drink_can dark_fire dark_fireworks dark_light food_ food_bread food_fastfood food_grilled food_pizza indoor_ indoor_churchwindow indoor_court indoor_doorwindows indoor_marketstore indoor_ro,2025-09-26T08:00:00.000Z,concept-article,limits-quotas,0.85,True,Provides the full list of 86 category identifiers; this is a definitive capability reference (enumerated set) that functions as a limit/coverage catalog.,unchanged
https://learn.microsoft.com/en-us/azure/ai-services/computer-vision/computer-vision-how-to-install-containers,Install and run containers,Azure Vision in Foundry Tools 3.2 GA Read OCR container - Foundry Tools,Install and run Azure Vision Read OCR container,"Use the Read 3.2 OCR containers from Azure Vision in Foundry Tools to extract text from images and documents, on-premises.","Containers let you run Azure Vision in Foundry Tools APIs in your own environment and can help you meet specific security and data governance requirements. In this article you learn how to download, install, and run the Azure Vision Read (OCR) container. The Read container allows you to extract printed and handwritten text from images and documents in JPEG, PNG, BMP, PDF, and TIFF file formats. For more information on the Read service, see theRead API how-to guide.",2025-11-18T15:37:00.000Z,how-to,deployment,0.65,True,"Container install/run article typically documents container image names, supported platforms, required ports, and run constraints specific to this product, which are deployment-focused details for running the Read OCR container on-premises.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/computer-vision/computer-vision-resource-container-config,Configure containers,Configure Read containers - Azure Vision in Foundry Tools - Foundry Tools,Configure Azure Vision Read OCR containers,This article shows you how to configure both required and optional settings for Read optical character recognition (OCR) containers in Azure Vision in Foundry Tools.,"You can configure Azure Vision in Foundry Tools Read OCR container's runtime environment by using thedocker runcommand arguments. This container has some required settings, along with a few optional settings. Severalexamplesof the command are available. The container-specific settings are the billing settings.",2025-09-26T08:00:00.000Z,how-to,configuration,0.85,True,"Explicitly about configuring required and optional container settings via docker run arguments; such pages normally list environment variables, billing settings, and their allowed values/defaults, which are product-specific configuration parameters.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/computer-vision/concept-background-removal,Background removal (preview),Background removal - Image Analysis - Foundry Tools,,"Learn about background removal, an operation of Image Analysis","Important This feature is now retired. On March 31, 2025, the Azure AI Image Analysis 4.0 Segment API and background removal service were retired. API calls to these services will fail. The segmentation feature of the open-sourceFlorence 2 modelmight meet your needs. It returns an alpha map marking the difference between foreground and background, but it doesn't edit the original image to remove the background. Install the Florence 2 model and try out its Region to segmentation feature. For full",2026-03-31T08:00:00.000Z,concept-article,,0.1,False,"Conceptual/retirement notice for background removal and Segment API; summary does not show detailed configuration, limits, or error-code-based troubleshooting.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/computer-vision/concept-brand-detection,Brand detection,Brand detection - Azure Vision in Foundry Tools - Foundry Tools,,"Learn about brand and logo detection, a specialized mode of object detection, using Azure Vision in Foundry Tools API.","Brand detection is a specialized mode ofobject detectionthat uses a database of thousands of global corporate logos to identify commercial brands in images or video. You can use this feature, for example, to discover which brands are most popular on social media or most prevalent in media product placement.",2025-11-18T15:37:00.000Z,concept-article,,0.3,False,"Conceptual description of brand detection; summary does not indicate numeric limits, configuration parameters, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/computer-vision/concept-categorizing-images,Image categorization,Image categorization - Azure Vision in Foundry Tools - Foundry Tools,Understand Image Analysis 3.2 categorization taxonomy limits,Learn concepts related to the image categorization feature of the Image Analysis API.,"In addition to tags and a description, Image Analysis 3.2 can return the taxonomy-based categories detected in an image. Unlike tags, categories are organized in a parent/child hierarchy, and there are fewer of them (86, as opposed to thousands of tags). All category names are in English. Categorization can be done by itself or in the same API call as the newer tags model.",2025-11-18T15:37:00.000Z,concept-article,limits-quotas,0.7,True,States there are 86 categories vs thousands of tags; this is a specific numeric taxonomy limit and thus a limits-quotas style capability constraint.,unchanged
https://learn.microsoft.com/en-us/azure/ai-services/computer-vision/concept-describe-images-40,Image captions,Image captions - Image Analysis 4.0 - Foundry Tools,,Concepts related to the image captioning feature of the Image Analysis 4.0 API.,Image captions in Image Analysis 4.0 are available through theCaptionandDense Captionsvisual features. The Caption feature generates a one-sentence description of all the image contents. Dense Captions provides more detail by generating one-sentence descriptions of up to 10 different regions of the image in addition to describing the whole image. Dense Captions also returns bounding box coordinates of the described image regions. Both of these features use the latest Florence-based AI models. Im,2026-02-25T02:49:00.000Z,concept-article,,0.35,False,"Concepts for image captions and dense captions; mostly descriptive of behavior, not detailed configuration or limits.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/computer-vision/concept-describing-images,Image descriptions,Image descriptions - Azure Vision in Foundry Tools - Foundry Tools,,Concepts related to the image description feature of Azure Vision in Foundry Tools API.,"Azure Vision in Foundry Tools can analyze an image and generate a human-readable phrase that describes its contents. The service returns several descriptions based on different visual features, and each description is given a confidence score. The final output is a list of descriptions ordered from highest to lowest confidence. English is the only supported language for image descriptions.",2026-02-25T02:49:00.000Z,concept-article,,0.35,False,Conceptual description of image descriptions and confidence scores; no explicit numeric limits or configuration parameters.,unchanged
https://learn.microsoft.com/en-us/azure/ai-services/computer-vision/concept-detecting-adult-content,Adult content detection,"Detect Adult, racy, or gory content - Azure Vision in Foundry Tools - Foundry Tools",Interpret adult content detection scores and thresholds,Concepts related to detecting adult content in images using Azure Vision in Foundry Tools API.,"Azure Vision in Foundry Tools can detect adult material in images so that developers can restrict the display of these images in their software. Content flags are applied with a score between zero and one so developers can interpret the results according to their own preferences. Tip Azure AI Content Safety is the latest offering in AI content moderation. For more information, see theAzure AI Content Safety overview.",2026-02-25T02:49:00.000Z,concept-article,limits-quotas,0.65,True,"Mentions content flags with scores between zero and one; this is a specific numeric scoring range that defines how results are interpreted, fitting limits/quotas.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/computer-vision/concept-detecting-color-schemes,Color scheme detection,Color scheme detection - Azure Vision in Foundry Tools - Foundry Tools,,Concepts related to detecting the color scheme in images using Azure Vision in Foundry Tools API.,Azure Vision in Foundry Tools can analyze the colors in an image and return various attributes that describe those colors.,2025-11-18T15:37:00.000Z,concept-article,,0.35,False,Conceptual color scheme detection description; summary does not indicate numeric limits or detailed configuration parameters.,unchanged
