url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/confidential-computing/application-development,App enclaves overview,Azure confidential computing development tools,Use development tools for Intel SGX enclaves on Azure,Use tools and libraries to develop applications for confidential computing on Intel SGX,"Application enclaves, such as Intel SGX, are isolated environments that protect specific code and data. When creating enclaves, you must determine what part of the application runs within the enclave. When you create or manage enclaves, be sure to use compatible SDKs and frameworks for the chosen deployment stack. Note If you haven't already read theintroduction to Intel SGX VMs and enclaves, do so before continuing.",2024-04-28T11:16:00.000Z,concept-article,integrations,0.7,True,Discusses SDKs/frameworks and how to structure applications for SGX enclaves on Azure; product-specific coding and integration patterns.,unchanged
https://learn.microsoft.com/en-us/azure/confidential-computing/attestation,Attesting application enclaves,Attestation for SGX enclaves,Configure attestation for Azure SGX enclaves,You can use attestation to verify that your Azure confidential computing SGX enclave is secure.,"Azure confidential computing offers Intel SGX-based virtual machines (VMs) for isolating a portion of your code or data. When youbuild with SGX enclaves, you can verify and validate that your trusted environment is secure. This verification is the process of attestation.",2022-08-22T22:06:00.000Z,concept-article,security,0.7,True,Describes how to verify SGX enclave security via attestation in Azure; product-specific security/attestation configuration and flows.,unchanged
https://learn.microsoft.com/en-us/azure/confidential-computing/attestation-solutions,Attestation,Attestation Types and Scenarios,Use attestation types for Azure confidential workloads,Learn what attestation is and how to use it at Microsoft.,"Computing is an essential part of our daily lives. It powers everything from our smartphones to critical infrastructure. Increasingly strict regulatory environments, the prevalence of cyberattacks, and the growing sophistication of attackers make it difficult to trust the authenticity and integrity of the computing technologies that we depend on. Attestation is a technique to verify the software and hardware components of a system. It's a critical process for establishing and ensuring that the c",2025-05-07T17:04:00.000Z,concept-article,security,0.65,True,Details Microsoft-specific attestation approaches and when to use them; product-specific security/attestation configuration guidance.,unchanged
https://learn.microsoft.com/en-us/azure/confidential-computing/choose-confidential-containers-offerings,Container solutions overview,Choose container offerings for confidential computing,Select Azure confidential container offerings,"How to choose the right confidential container offerings to meet your security, isolation and developer needs.","This document is designed to help you guide through the process of selecting a container offering on Azure Confidential Computing that best suits your workload requirements and security posture. To make the most of the guide, we recommend the following prereads.",2024-02-06T23:04:00.000Z,concept-article,decision-making,0.75,True,"Explicitly a selection guide for confidential container offerings, helping choose between options based on workload and security posture. This is service-comparison and choice guidance, fitting decision-making.",unchanged
https://learn.microsoft.com/en-us/azure/confidential-computing/concept-skr-attestation,SKR with Azure Confidential Computing Concept,Secure Key Release with Azure Key Vault and Azure Confidential Computing,Use Secure Key Release with Azure Key Vault and confidential computing,Concept guide on what SKR is and its usage with Azure Confidential Computing Offerings,"Secure Key Release (SKR) is a functionality of Azure Key Vault (AKV) Managed HSM and Premium offering. Secure key release enables the release of an HSM protected key from AKV to an attested Trusted Execution Environment (TEE), such as a secure enclave, VM based TEEs etc. SKR adds another layer of access protection to your data decryption/encryption keys where you can target an application + TEE runtime environment with known configuration get access to the key material. The SKR policies defined ",2023-08-22T21:55:00.000Z,concept-article,security,0.8,True,"Explains SKR policies, how keys are released only to attested TEEs, and how to target specific runtimes; product-specific security mechanism.",unchanged
https://learn.microsoft.com/en-us/azure/confidential-computing/confidential-ai,Confidential AI,Confidential AI - Azure Confidential Computing,Apply confidential computing to AI workloads on Azure,Confidential Foundry Tools and solutions,"AI has been shaping several industries such as finance, advertising, manufacturing, and healthcare well before the recent progress in generative AI. Generative AI models have the potential to create an even larger impact on society. Microsoft has been at the forefront of defining theprinciples of Responsible AIto serve as a guardrail for responsible use of AI technologies. Confidential computing and confidential AI are a key tool to enable security and privacy in the Responsible AI toolbox.",2023-05-23T14:25:00.000Z,concept-article,architecture-patterns,0.6,True,Connects confidential computing with AI scenarios and responsible AI; includes Azure-specific patterns for securing AI training and inference.,unchanged
https://learn.microsoft.com/en-us/azure/confidential-computing/confidential-clean-rooms,Azure Confidential Clean Room,Perform Protected Multiparty Data Collaboration on Azure,,Learn how Azure Confidential Clean Rooms enables multiparty collaborations while preventing outside access to the data.,"Azure Confidential Clean Rooms offers a protected environment, called aclean room, that helps organizations overcome the security and privacy challenges of using sensitive data. Organizations can collaborate and analyze data in the clean room using advanced privacy-enhancing features like protected governance and audit, verifiable trust, and controlled access enabled by confidential computing. Typical scenarios include multi-party big-data analytics on combined datasets, machine learning (ML) tr",2026-06-03T17:25:00.000Z,concept-article,,0.2,False,"Page appears to be a conceptual/overview description of Azure Confidential Clean Rooms and scenarios; no clear indication of numeric limits, detailed configuration tables, error-code-based troubleshooting, or other product-specific expert details per the defined categories.",unchanged
https://learn.microsoft.com/en-us/azure/confidential-computing/confidential-computing-deployment-models,Deploying solutions on confidential computing,Choose Between Deployment Models,Choose Azure confidential computing deployment models,Choose between deployment models in Azure confidential computing.,Azure confidential computing supports multiple deployment models. These models support the wide variety of customer security requirements for modern cloud computing.,2024-12-04T23:05:00.000Z,concept-article,decision-making,0.7,True,Explicitly focused on selecting between deployment models based on security requirements; provides decision guidance rather than just how-to steps.,unchanged
https://learn.microsoft.com/en-us/azure/confidential-computing/confidential-computing-enclaves,Enclave development overview,Build with SGX enclaves - Azure Virtual Machines,,Learn about Intel SGX hardware to enable your confidential computing workloads.,"Intel SGX technology allows customers to create enclaves that protect data, and keep data encrypted while the CPU processes the data. Enclaves are secured portions of the hardware's processor and memory. You can't view data or code inside the enclave, even with a debugger. If untrusted code tries to change content in enclave memory, SGX disables the environment and denies the operations. These unique capabilities help you protect your secrets from being accessible in the clear. Think of an encla",2022-08-22T22:06:00.000Z,concept-article,,0.4,False,Conceptual explanation of SGX enclaves and their properties; lacks detailed Azure-specific configuration or decision matrices.,unchanged
https://learn.microsoft.com/en-us/azure/confidential-computing/confidential-computing-solutions,Building confidential computing solutions,Building Azure confidential solutions,Design solutions with Azure confidential computing options,Learn how to build solutions on Azure confidential computing,"Azure confidential computing offers various options for building confidential solutions. The spectrum of option ranges from enabling ""lift and shift"" scenarios of existing applications, to a full control of various features of security. These features include control on the level of access. You set the host provider or guest operator access levels to data and code. You can also control other rootkit or malware access that may compromise the integrity of workloads running in the cloud.",2022-08-22T22:06:00.000Z,concept-article,architecture-patterns,0.7,True,"Covers spectrum from lift-and-shift to fully controlled security features, with guidance on choosing patterns based on access levels and threat models.",unchanged
