url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/health-bot/audit-trails,Audit Trails,Audit Trails - Healthcare agent service,,This article explains how the Audit Trails work in the healthcare agent service,"The audit trails page contains all of the audit logs of the healthcare agent service.
The Audit trails contain tracking of several sections that anyone makes in the bot.",2024-10-20T15:42:00.000Z,conceptual,,0.45,False,"Explains that audit trails contain logs of changes; summary does not expose detailed event schemas, retention, or configuration parameters.",unchanged
https://learn.microsoft.com/en-us/azure/health-bot/authentication_providers,Authentication Providers,Authentication Providers - Healthcare agent service,Configure authentication providers for healthcare bot integrations,This article explains how the Authentication providers work in the healthcare agent service,"The healthcare agent service is a highly configurable and extensible bot building platform. One of the core capabilities is the ability to integrate authenticated third party services into your scenarios flows.
To build such integrations, we provide an authentication layer on top ofthe regular data connection objectwhich allows you to make HTTPS calls to third-party API providers or your own API endpoints. Before an authenticated connection accesses personal resources, end users could be prompte",2025-01-21T09:57:00.000Z,conceptual,integrations,0.7,True,Explains an authentication layer on top of data connections for third-party APIs; product-specific integration pattern for authenticated HTTP calls.,unchanged
https://learn.microsoft.com/en-us/azure/health-bot/automatic_welcome_howto,Configure an automatic welcome option,Automatic Welcome - Healthcare agent service,Configure automatic welcome messages in healthcare bots,This article explains how to set up automatic welcome options,"In cases, your healthcare agent service needs to display the first message to the end-user you should use one of the automatic welcome options. Typically you would like the bot to display a welcome message that greets the end-user, show a disclaimer, or give the end-user some instructions and guidance on the kind of services and information that the bot can provide. There are different strategies for configuring the bot to show the first message. The first message is displayed when a new convers",2024-10-20T15:42:00.000Z,conceptual,configuration,0.6,True,Describes strategies and options for first-message behavior; product-specific conversation-start configuration.,unchanged
https://learn.microsoft.com/en-us/azure/health-bot/backups,Backup your bot,Back up and restore - Healthcare agent service,,This article explains how you can back up and restore the healthcare agent service,"The healthcare agent service backup and restore feature supports multiple use cases. The backup files contain all the information required to recreate a complete bot instance allowing you to easily restore your bot instance to a previous point in time or roll back to a previous working version. Backups also improve the management experience and deployment processes for tenants with multiple bot instances. For example, you can use backups to replicate a bot and test small changes, or transfer new",2023-10-13T06:25:00.000Z,conceptual,,0.45,False,"Explains backup and restore capabilities and use cases; summary does not expose concrete backup formats, limits, or configuration parameters.",unchanged
https://learn.microsoft.com/en-us/azure/health-bot/bot_docs/cancelling,Cancelling an active scenario,Cancelling a scenario - Healthcare agent service,Configure scenario cancellation behavior in healthcare agents,This article explains how you can cancel an active scenario,"Some bot scenarios include multiple steps. Multi-step scenarios force the user to provide specific responses and don't typically allow the user to leave the flow of the scenario conversation.
In some cases, the user may want to force the scenario to end so they can start the current scenario again or begin a different scenario. The user can use the “cancel” command to end the current scenario.",2023-10-12T10:49:00.000Z,conceptual,configuration,0.6,True,Describes how the cancel command terminates active scenarios; likely includes specific behavior and configuration options.,unchanged
https://learn.microsoft.com/en-us/azure/health-bot/bot_docs/consent,Providing End-user consent,Providing consent - Healthcare agent service,Configure end-user consent and compliance in healthcare bots,This page contains information on how you can configure end-user consent in the healthcare agent service,"You can enable the consent mechanism, via theConfiguration - Compliancescreen. When this is enabled end users will be prompted to acknowledge your terms of service and privacy policy before interacting with the bot. The terms and privacy policy are displayed at the beginning of the chat thread. Instruct users to select through to the agreements and then acknowledge them by providing an affirmative answer to the bot using natural language.
The bot confirms they accepted the terms and then return ",2023-10-13T06:25:00.000Z,conceptual,security,0.7,True,"Covers enabling consent mechanisms and compliance settings, which are product-specific security/compliance configurations.",unchanged
https://learn.microsoft.com/en-us/azure/health-bot/bot_docs/credible_sources,Credible Sources,Credible Source - Healthcare agent service,,This page provides an overview of the different credible sources in the healthcare agent service,"Built-in medical intelligence is a key pillar of the healthcare agent service platform.
The service empowers healthcare organizations with out-of-the-box conversational medical content which can be customized or extended to support your organization's use cases. The healthcare agent service contains multiple credible sources that can be used within the platform. Currently we supportUS National Library of Medicine,The Centers for Disease Control and Prevention,The U.S. Food and Drug Administratio",2025-10-17T07:10:00.000Z,conceptual,,0.4,False,Overview of credible medical sources; lists sources but not configuration parameters or decision matrices.,unchanged
https://learn.microsoft.com/en-us/azure/health-bot/bot_docs/deleting_data,Deleting your data,Deleting personal data - Healthcare agent service,Enable end-user deletion of personal data in healthcare bots,This page provides information how end-user can be forgotten in the healthcare agent service.,"End users can interact with the bot via different channels, such as the WebChat. Throughout the interaction, users can provide personal information, which is used by the service.
For example, the end user might provide their age for use in medical triage protocols. Two types of information can be stored and associated with the end user. Both the user variables and conversation history can be deleted by the end user by using a special system command that is built into all instances of the healthc",2025-01-21T09:57:00.000Z,conceptual,security,0.7,True,"Explains built-in commands to delete user variables and conversation history, a product-specific privacy/security feature.",unchanged
https://learn.microsoft.com/en-us/azure/health-bot/bot_docs/feedback,Leaving feedback,Leaving feedback - Healthcare agent service,Configure end-user feedback collection in healthcare bots,This page contains information on how you can collect end-user feedback in the healthcare agent service.,"Users can leave feedback about their experience with your bot instance. Receiving feedback can help you improve custom scenarios to better serve your customers. Users wishing to leave feedback about their interaction with the bot can use the ""feedback"" command.
Users can leave feedback at any point during the interaction with your bot. The bot prompts the user for feedback and provides the details in the feedback reports available in the tenant portal. The default feedback card can be configured",2025-01-21T09:57:00.000Z,conceptual,configuration,0.6,True,"Describes feedback command, prompts, and reports; product-specific configuration of feedback mechanisms.",unchanged
https://learn.microsoft.com/en-us/azure/health-bot/bot_docs/help,Help intent,Asking for help - Healthcare agent service,Configure help command behavior in healthcare agents,This page contains information on how you can customize the Help function in the healthcare agent service,"Users will interact with your healthcare agent service instance via web chat or through a mobile chat application. Chatting is a natural and intuitive interface for engaging customers, however in some cases it will not be apparent to your users how they can interact with your bot. If the user is unsure what actions your bot can perform, they can type the“help”command to see a helpful summary. The help summary is a configurable list of commands that are understood by your bot. By default, the sum",2024-10-20T15:42:00.000Z,conceptual,configuration,0.65,True,Explains configurable help summary and default behavior; likely includes specific settings for customizing help responses.,unchanged
https://learn.microsoft.com/en-us/azure/health-bot/bot_docs/interruptions,Interrupting an active scenario,Interrupting a scenario - Healthcare agent service,Configure interruptible scenarios in healthcare conversations,This page explains how interrupting scenarios work in the healthcare agent service,"In human conversation it's natural to temporarily discuss a different article and then return to the previous subject. In some cases, your bot is able to mimic this behavior. The bot allows scenarios to temporarily interrupt the conversation flow. For example, an end user in a triage scenario will not understand a medical term being used. The user can ask the bot for the medical definition (interrupting the scenario) and then return to complete the triage. In complex cases, multiple interruption",2023-10-13T06:25:00.000Z,conceptual,configuration,0.6,True,Explains how scenarios can be interrupted and resumed; product-specific conversation flow configuration.,unchanged
https://learn.microsoft.com/en-us/azure/health-bot/bot_docs/scenario-templates,Scenario Template Catalog,Scenario Templates - Healthcare agent service,,how to use the Azure AI Health template catalog,"Scenario templates enable you to quickly build outcustom scenariosfor popular Healthcare Use cases. When you import a template into your healthcare agent service instance it will automatically create the assets required for that scenario, such as language models and data connections. Templates are a great starting point for building out your healthcare agent service and you can easily customize and extend any part of the scenario after import. All scenario templates can be accessed via the Templ",2024-10-20T15:42:00.000Z,conceptual,,0.3,False,"Scenario templates catalog; mainly describes using templates, not detailed config parameters or limits.",unchanged
https://learn.microsoft.com/en-us/azure/health-bot/bot_docs/terms,Viewing terms,Viewing terms - Healthcare agent service,Configure terms and privacy links for healthcare agents,This page contains information on how you can configure the Terms in the healthcare agent service.,"When users interact with your healthcare agent service, the service is subject to your terms and privacy policy. The links to your terms and policies are configured in the portal and specific to your bot instance. In some cases, you will also explicitly require that end users acknowledge and agree to the terms before interacting with the bot.Learn more about providing consent Typically, the terms of service and privacy policy are displayed at the beginning of new interactions with the bot. If th",2024-10-20T15:42:00.000Z,conceptual,configuration,0.65,True,"Describes configuring terms and privacy policy links per bot instance, a product-specific configuration area.",unchanged
https://learn.microsoft.com/en-us/azure/health-bot/bot_docs/triage_symptom_checking,Triage and symptom checking,Built-in Medical Intelligence - Healthcare agent service,,This page provides information about the Built-in Medical Intelligence in the healthcare agent service,"Built-in medical intelligence is a key pillar of the healthcare agent service platform. The service empowers healthcare organizations with out-of-the-box conversational medical skills which can be customized or extended to support your organization's clinical use cases. The healthcare agent service enables you to build an intelligent, white labeled, virtual health assistant that can perform sophisticated tasks such as triaging, checking symptoms or answering questions about medical conditions an",2024-11-27T16:01:00.000Z,conceptual,,0.4,False,Overview of built-in medical intelligence; mostly descriptive of capabilities rather than detailed configuration or limits.,unchanged
https://learn.microsoft.com/en-us/azure/health-bot/bot_docs/viewing_data,View and export your data,Viewing and exporting personal data - Healthcare agent service,Allow users to view and export personal data from healthcare bots,This page contains information how users can ask what the healthcare agent service knows about them,"End users can interact with the bot via web chat or other channels. Throughout the interaction, users can provide personal information, which is used by the service. For example, the end user might provide their age for use in medical triage protocols. There are two types of information can be stored and associated with the end user. Both the user variables and conversation history can be viewed and saved by the end user by using special system commands that are built into all instances of the h",2025-01-21T09:57:00.000Z,conceptual,security,0.7,True,"Describes how users can retrieve stored personal data via system commands, tied to privacy and data access controls.",unchanged
https://learn.microsoft.com/en-us/azure/health-bot/channels/directline,Direct Line,DirectLine Channel in healthcare agent service - Healthcare agent service,Configure Direct Line channel for healthcare agent service,This page provides information and configuration on the Direct Line Channel in the healthcare agent service,,2024-10-20T15:42:00.000Z,conceptual,integrations,0.7,True,Explicitly a configuration page for Direct Line channel; Direct Line setup involves product-specific channel parameters and constraints.,unchanged
https://learn.microsoft.com/en-us/azure/health-bot/channels/facebook,Facebook,Facebook Channel in healthcare agent service - Healthcare agent service,Connect healthcare bot to Facebook Messenger and Workplace,This page explains how you can connect your healthcare agent service to Facebook,"Your bot can be connected to both Facebook Messenger and Facebook Workplace, so that it can communicate with users on both platforms. The following tutorial shows how to connect a bot to these channels step by step. Sign-in to the healthcare agent service Management Portal In the left menu blade, selectChannelsunderIntegration. Select the activate toggle of theFacebookchannel. Follow the detailed instructions toConnect your bot to Facebook Messenger. The instructions guide you through creating a",2024-10-20T15:42:00.000Z,conceptual,integrations,0.7,True,Channel configuration for Facebook platforms with specific activation and connection steps; product-specific integration pattern.,unchanged
https://learn.microsoft.com/en-us/azure/health-bot/channels/main,Overview,Channels - Healthcare agent service,,This page explains how the healthcare agent service Channels work,"A channel is a connection between the healthcare agent service and communication apps. You can configure the bot to connect to the channels you want it to be available on through the healthcare agent service Management portal. The healthcare agent service use Azure Bot Service to connect your bot to these channels and facilitates communication between your bot and the user. When selecting a channel of communication, it's recommended you use a channel that meets accessibility standards, such as t",2024-10-20T15:42:00.000Z,conceptual,,0.45,False,Conceptual overview of channels and accessibility recommendation; summary does not show channel-specific configuration parameters or constraints.,unchanged
https://learn.microsoft.com/en-us/azure/health-bot/channels/oc_channel,Dynamics Omnichannel,Microsoft Dynamics Omnichannel - Healthcare agent service,Integrate healthcare agent service with Dynamics Omnichannel,This page provides information on how to connect the healthcare agent service to Microsoft Dynamics Omnichannel,Build and connect your healthcare agent service to interact with Microsoft Dynamics Omnichannel users naturally through chat.,2024-10-20T15:42:00.000Z,conceptual,integrations,0.65,True,Channel integration with Microsoft Dynamics Omnichannel; involves product-specific configuration to enable chat interactions.,unchanged
https://learn.microsoft.com/en-us/azure/health-bot/channels/teams,Microsoft Teams,Teams Channel in healthcare agent service - Healthcare agent service,Connect healthcare agent service to Microsoft Teams,This page explains how to connect your healthcare agent service to Microsoft Teams,Build and connect your healthcare agent service to interact with Microsoft Teams users naturally through chat.,2024-10-20T15:42:00.000Z,conceptual,integrations,0.7,True,Channel configuration for Teams; involves product-specific integration steps and settings beyond generic bot-to-Teams knowledge.,unchanged
