url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/iot-operations/connect-to-cloud/concept-dataflow-enrich,Enrich data,Enrich data by using data flows - Azure IoT Operations,,Use contextualization datasets to enrich data in Azure IoT Operations data flows.,"Tip Data flow graphs support enrichment with expanded capabilities including enrichment in filter and branch transforms. For new projects that use MQTT, Kafka, or OpenTelemetry endpoints, seeEnrich with external data in data flow graphs. You can enrich data by using thecontextualization datasetsfunction. When incoming records are processed, you can query these datasets based on conditions that relate to the fields of the incoming record. This capability allows for dynamic interactions. Data from",2026-05-18T08:00:00.000Z,concept-article,,0.4,False,Conceptual description of enrichment using contextualization datasets; summary does not indicate detailed configuration tables or numeric constraints.,unchanged
https://learn.microsoft.com/en-us/azure/iot-operations/connect-to-cloud/concept-dataflow-graphs,Overview,Data flow graphs overview - Azure IoT Operations,,"Learn about data flow graphs in Azure IoT Operations, including built-in transforms for mapping, filtering, branching, windowing, and enrichment.","Data flow graphs give you a flexible way to process data as it moves through Azure IoT Operations. A standarddata flowfollows a fixed enrich, filter, map sequence. A data flow graph lets you compose transforms in any order, branch into parallel paths, and aggregate data over time windows. A data flow graph is defined by theDataflowGraphKubernetes custom resource. Inside it, you wire together sources, transforms, and destinations to build processing pipelines that match your scenario. Important D",2026-06-19T22:18:00.000Z,concept-article,,0.2,False,"An overview of data flow graphs and transforms; summary suggests conceptual description of sources, transforms, destinations, and the custom resource, without explicit mention of parameter tables, limits, or error codes.",unchanged
https://learn.microsoft.com/en-us/azure/iot-operations/connect-to-cloud/concept-dataflow-graphs-expressions,Expressions reference,Expressions reference for data flows - Azure IoT Operations,Reference expressions for Azure IoT data flow transforms,"Reference for the expression language used in data flow and data flow graph transforms in Azure IoT Operations. Covers operators, functions, data types, metadata, and conditionals.","This reference applies to bothdata flowsanddata flow graphs. Both use the same expression language for map, filter, and enrichment transforms. Data flow graphs also support branch and window (accumulate) transforms, which are noted where applicable.",2026-06-23T08:00:00.000Z,reference,configuration,0.82,True,"An expressions reference for the data flow expression language, including operators, functions, data types, and metadata. This is a configuration/reference page defining specific syntax and functions unique to this product’s expression engine, which qualifies as expert configuration knowledge.",updated
https://learn.microsoft.com/en-us/azure/iot-operations/connect-to-cloud/concept-dataflow-graphs-schema,Schemas,Use schemas in data flow graphs - Azure IoT Operations,Configure input and output schemas on data flow graph node connections,Configure input and output schemas on node connections in data flow graphs in Azure IoT Operations.,"Data flow graphs handle schemas differently from classic data flows. Instead of setting the schema on the source or transformation, you configure schemas on thenode connectionsbetween nodes in the graph. For information about message schema definitions, formats (JSON, Delta), and how to upload schemas, seeUnderstand message schemas.",2026-04-02T18:15:00.000Z,how-to,configuration,0.7,True,"Explains schema configuration on node connections rather than sources, which is a specific configuration model unique to this product.",unchanged
https://learn.microsoft.com/en-us/azure/iot-operations/connect-to-cloud/concept-dataflow-mapping,Map data,Map data by using data flows - Azure IoT Operations,,Learn about the data flow mapping language for transforming data in Azure IoT Operations.,"Tip Data flow graphs offer an expanded mapping language with additional functions, composable transforms, and features like conditional routing and time-based aggregation. For new projects that use MQTT, Kafka, or OpenTelemetry endpoints, seeTransform data with map in data flow graphs. Use the data flow mapping language to transform data in Azure IoT Operations. The syntax is a simple, yet powerful, way to define mappings that transform data from one format to another. This article provides an o",2026-06-26T22:12:00.000Z,concept-article,,0.3,False,"Appears to be a conceptual description of the data flow mapping language syntax and capabilities; summary doesn't indicate specific configuration tables, limits, or product-unique gotchas beyond general mapping concepts.",updated
https://learn.microsoft.com/en-us/azure/iot-operations/connect-to-cloud/concept-schema-registry,Schemas,Understand message schemas - Azure IoT Operations,,Learn how the schema registry stores and manages message schemas for data flows in Azure IoT Operations.,"The schema registry, a feature of Azure Device Registry, is a synchronized repository in the cloud and at the edge. It stores definitions of messages coming from edge assets and exposes an API to access those schemas at the edge. Data flows use schemas in three places: Note For data flow graphs, schemas are configured differently. SeeUse schemas in data flow graphs.",2026-06-26T22:12:00.000Z,concept-article,,0.3,False,"Describes what the schema registry is and how schemas are used; summary suggests a conceptual overview without detailed configuration parameters, limits, or troubleshooting content.",updated
https://learn.microsoft.com/en-us/azure/iot-operations/connect-to-cloud/howto-configure-adlsv2-endpoint,Azure Data Lake Storage Gen2,Configure data flow endpoints for Azure Data Lake Storage Gen2 - Azure IoT Operations,Configure Azure Data Lake Gen2 endpoints for IoT Operations data flows,Learn how to configure data flow endpoints for Azure Data Lake Storage Gen2 in Azure IoT Operations.,"Send data to Azure Data Lake Storage Gen2 in Azure IoT Operations by configuring a data flow endpoint. This configuration allows you to specify the destination endpoint, authentication method, table, and other settings.",2026-06-10T08:00:00.000Z,how-to,configuration,0.7,True,"Covers configuring ADLS Gen2 as a destination endpoint, including authentication method and table/target settings. These are concrete configuration options specific to Azure IoT Operations.",unchanged
https://learn.microsoft.com/en-us/azure/iot-operations/connect-to-cloud/howto-configure-adx-endpoint,Azure Data Explorer,Configure data flow endpoints for Azure Data Explorer - Azure IoT Operations,Configure Azure Data Explorer endpoints for Azure IoT Operations,Learn how to configure data flow endpoints for Azure Data Explorer in Azure IoT Operations.,"To send data to Azure Data Explorer in Azure IoT Operations, you can configure a data flow endpoint. This configuration allows you to specify the destination endpoint, authentication method, table, and other settings.",2026-06-10T08:00:00.000Z,how-to,configuration,0.7,True,"Shows how to configure ADX as a destination endpoint, including authentication and table/ingestion settings. These are specific configuration parameters for this service combination.",unchanged
https://learn.microsoft.com/en-us/azure/iot-operations/connect-to-cloud/howto-configure-dataflow-destination,Destination,Configure a data flow destination - Azure IoT Operations,Configure destinations and dynamic topics for IoT data flows,"Configure destination endpoints, data destinations, and dynamic topic routing for data flows and data flow graphs in Azure IoT Operations.","The destination is where a data flow or data flow graph sends processed data. You configure the destination by specifying an endpoint reference and a data destination (topic, container, or table). This page applies to bothdata flowsanddata flow graphs. For data flows, the destination is an operation in theDataflowresource. For data flow graphs, the destination is aDestinationnode in theDataflowGraphresource. Important Data flows support all endpoint types as destinations: MQTT, Kafka, Azure Data",2026-06-23T08:00:00.000Z,how-to,configuration,0.78,True,"Covers configuring destination endpoints and data destinations (topics, containers, tables) for data flows and data flow graphs, including endpoint types supported and how to set dynamic topic routing. This is detailed product configuration (endpoint references, destination node settings) rather than just conceptual guidance.",updated
https://learn.microsoft.com/en-us/azure/iot-operations/connect-to-cloud/howto-configure-dataflow-endpoint,Overview,Configure data flow endpoints in Azure IoT Operations - Azure IoT Operations,Choose and configure Azure IoT Operations data flow endpoints,Configure data flow endpoints to create connection points for data sources.,"To get started with data flows, first create data flow endpoints. A data flow endpoint is the connection point for the data flow. You can use an endpoint as a source, a destination, or both. Some endpoint types can be used as both sources and destinations, while others are for destinations only. Use the following table to choose the endpoint type to configure: Important Data flow graphs limitation:Data flow graphs (WASM)currently only support MQTT, Kafka, and OpenTelemetry endpoints. OpenTelemet",2026-06-10T08:00:00.000Z,how-to,decision-making,0.65,True,"The page includes a table of endpoint types, their capabilities (source vs destination), and a stated limitation for data flow graphs (WASM) supporting only specific endpoint types. This is product-specific decision guidance on which endpoint to use and when, including constraints.",unchanged
