url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/automation/add-user-assigned-identity,Using user-assigned managed identity,Using a user-assigned managed identity for an Azure Automation account,Configure user-assigned managed identity for Azure Automation,This article describes how to set up a user-assigned managed identity for Azure Automation accounts.,"This article shows you how to add a user-assigned managed identity for an Azure Automation account and how to use it to access other resources. For more information on how managed identities work with Azure Automation, seeManaged identities. Note It is not possible to use a User Assigned Managed Identity on a Hybrid Runbook Worker when a Managed Identity (either System or User assigned) has been created for the Automation Account. If Managed Identity has not been assigned to the Automation Accou",2026-04-14T08:00:00.000Z,how-to,security,0.8,True,"Describes setting up user-assigned managed identities and includes a specific constraint about Hybrid Runbook Worker usage; involves identity configuration and product-specific limitations, fitting security.",unchanged
https://learn.microsoft.com/en-us/azure/automation/automation-alert-metric,Monitor runbooks with metric alert,Monitor Azure Automation runbooks with metric alerts,Configure metric alerts for Azure Automation runbooks,This article describes how to setup a metric alert based on runbook completion status.,"In this article, you learn how to create ametric alertbased on runbook completion status.",2023-01-18T18:06:00.000Z,how-to,configuration,0.65,True,"Describes setting up metric alerts based on runbook completion; likely includes metric names, dimensions, and threshold settings unique to Automation.",unchanged
https://learn.microsoft.com/en-us/azure/automation/automation-availability-zones,Availability zones,Availability zones support for Azure Automation,Use availability zones for resilient Azure Automation deployments,This article provides an overview of Azure availability zones and regions for Azure Automation,"Azure availability zonesprovides an improved resiliency and high availability to a service instance in a specific Azure region. Azure Automation now supports Availability zones to provide improved resiliency and reliability high availability to the service, runbooks, and other automation assets. Azure availability zones is a high-availability offering that protects your applications and data from data center failures. Availability zones are unique physical locations within an Azure region and ea",2025-11-17T08:00:00.000Z,conceptual,deployment,0.6,True,"Describes availability zone support and regional behavior for Automation, relevant to deployment and high-availability planning.",unchanged
https://learn.microsoft.com/en-us/azure/automation/automation-child-runbooks,Create modular runbooks,Create modular runbooks in Azure Automation,Design modular parent-child runbooks in Azure Automation,This article explains how to create a runbook that another runbook calls.,"It's a good practice in Azure Automation to write reusable, modular runbooks with a discrete function that other runbooks call. A parent runbook often calls one or more child runbooks to perform required functionality. There are two ways to call a child runbook: inline or through a cmdlet. The following table summarizes the differences to help you decide which way is better for your scenarios.",2025-11-17T08:00:00.000Z,how-to,best-practices,0.8,True,Provides a comparison table of inline vs cmdlet-based child runbook calls and guidance on when to use each; clear product-specific best practices.,unchanged
https://learn.microsoft.com/en-us/azure/automation/automation-config-aws-account,Configure authentication with Amazon Web Services,Authenticate Azure Automation runbooks with Amazon Web Services,Configure Azure Automation runbooks to authenticate with AWS,This article tells how to authenticate runbooks with Amazon Web Services.,You can automate common tasks with resources in Amazon Web Services (AWS) using Automation runbooks in Azure. You can automate many tasks in AWS using Automation runbooks similar to the resources in Azure. Ensure that you have the Azure subscription to authenticate.,2025-11-17T08:00:00.000Z,conceptual,integrations,0.7,True,Product-specific integration between Azure Automation and AWS; likely includes connection/credential parameters and patterns unique to this cross-cloud scenario.,unchanged
https://learn.microsoft.com/en-us/azure/automation/automation-connections,Manage connections,Manage connections in Azure Automation,Configure and use connection assets in Azure Automation,This article tells how to manage Azure Automation connections to external services or applications and how to work with them in runbooks.,"An Azure Automation connection asset contains the information listed below. This information is required for connection to an external service or application from a runbook or DSC configuration. The connection asset keeps together all properties for connecting to a particular application, making it unnecessary to create multiple variables. You can edit the values for a connection in one place, and you can pass the name of a connection to a runbook or DSC configuration in a single parameter. The ",2025-11-17T08:00:00.000Z,how-to,configuration,0.7,True,Describes Automation connection asset schema and usage; likely includes property names and constraints for external service connections.,unchanged
https://learn.microsoft.com/en-us/azure/automation/automation-create-alert-triggered-runbook,Trigger runbook from Azure alert,Use an alert to trigger an Azure Automation runbook,Trigger Azure Automation runbooks from Azure Monitor alerts,This article tells how to trigger a runbook to run when an Azure alert is raised.,You can useAzure Monitorto monitor base-level metrics and logs for most services in Azure. You can call Azure Automation runbooks by usingaction groupsto automate tasks based on alerts. This article shows you how to configure and run a runbook by using alerts.,2025-11-17T08:00:00.000Z,how-to,configuration,0.65,True,Shows wiring alerts to runbooks via action groups; likely includes specific action group settings and runbook linkage parameters unique to this integration.,unchanged
https://learn.microsoft.com/en-us/azure/automation/automation-create-standalone-account,Create Automation account - Azure portal,Create a standalone Azure Automation account,,This article tells how to create a standalone Azure Automation account.,"This article shows you how to create an Azure Automation account using the Azure portal. You can use the Automation account to evaluate and learn about Automation without using additional management features or integrating with Azure Monitor Logs. You can add management features or integrate with Azure Monitor Logs for advanced monitoring of runbook jobs at any point in the future. With an Automation account, you can authenticate runbooks by managing resources in either Azure Resource Manager or",2025-11-17T08:00:00.000Z,how-to,,0.35,False,How-to for creating a standalone Automation account; mostly portal steps without detailed configuration matrices.,unchanged
https://learn.microsoft.com/en-us/azure/automation/automation-deploy-template-runbook,Deploy Resource Manager template with runbook,Deploy an Azure Resource Manager template in an Azure Automation PowerShell runbook,Deploy ARM templates from Azure Automation PowerShell runbooks,This article describes how to deploy an Azure Resource Manager template stored in Azure Storage from a PowerShell runbook.,"You can write anAutomation PowerShell runbookthat deploys an Azure resource by using anAzure Resource Manager template. Templates allow you to use Azure Automation to automate deployment of your Azure resources. You can maintain your Resource Manager templates in a central, secure location, such as Azure Storage. In this article, we create a PowerShell runbook that uses a Resource Manager template stored inAzure Storageto deploy a new Azure Storage account. If you don't have an Azure subscriptio",2025-11-17T08:00:00.000Z,how-to,integrations,0.7,True,"Describes deploying ARM templates stored in Azure Storage; likely includes storage access patterns, template deployment cmdlets, and parameter handling specific to Automation.",unchanged
https://learn.microsoft.com/en-us/azure/automation/automation-disaster-recovery,Disaster recovery for Automation accounts,Disaster recovery for Azure Automation,Plan disaster recovery for Azure Automation accounts,This article details on disaster recovery strategy to handle service outage or zone failure for Azure Automation,"Applies to:✔️ Linux VMs ✔️ Windows VMs This article explains the disaster recovery strategy to handle a region-wide or zone-wide failure. You must have a disaster recovery strategy to handle a region-wide service outage or zone-wide failure to help reduce the impact and effects arising from unpredictable events on your business and customers. You're responsible to set up disaster recovery of Automation accounts, and its dependent resources such as Modules, Connections, Credentials, Certificates,",2025-11-17T08:00:00.000Z,how-to,deployment,0.8,True,"Provides DR strategy for Automation accounts and dependent resources, including product-specific deployment and recovery patterns.",unchanged
https://learn.microsoft.com/en-us/azure/automation/automation-dsc-cd-chocolatey,Set up continuous deployment with Chocolatey,Set up Azure Automation continuous deployment with Chocolatey,Set up continuous deployment with DSC and Chocolatey,This article tells how to set up continuous deployment with State Configuration and the Chocolatey package manager.,"Note Azure Automation State Configuration will be retired on September 30, 2027, please transition toAzure Machine Configurationby that date. For more information, see theblog postannouncement. The Azure Machine Configuration service combines features of DSC Extension, Azure
Automation State Configuration, and the most commonly requested features from customer feedback.
Azure Machine Configuration also includes hybrid machine support throughArc-enabled servers. Important TheAdd,Compose configura",2025-11-17T08:00:00.000Z,how-to,deployment,0.65,True,Shows continuous deployment pipeline using State Configuration and Chocolatey; likely includes concrete DSC resource usage and deployment patterns specific to Azure Automation.,unchanged
https://learn.microsoft.com/en-us/azure/automation/automation-dsc-compile,Compile DSC configurations,Compile DSC configurations in Azure Automation State Configuration,Compile DSC configurations in Azure Automation,This article tells how to compile Desired State Configuration (DSC) configurations for Azure Automation.,"Note Azure Automation State Configuration will be retired on September 30, 2027, please transition toAzure Machine Configurationby that date. For more information, see theblog postannouncement. The Azure Machine Configuration service combines features of DSC Extension, Azure
Automation State Configuration, and the most commonly requested features from customer feedback.
Azure Machine Configuration also includes hybrid machine support throughArc-enabled servers. Important TheAdd,Compose configura",2026-04-15T08:00:00.000Z,how-to,configuration,0.7,True,"Compiling DSC configurations in Azure Automation involves specific compilation job settings, parameters, and possibly limits on configuration data. The article is about how to perform and configure compilation, fitting the configuration sub-skill best.",unchanged
https://learn.microsoft.com/en-us/azure/automation/automation-dsc-config-data-at-scale,Configure data at scale,Configure data at scale for Azure Automation State Configuration,Configure DSC data at scale in Azure Automation,This article tells how to configure data at scale for Azure Automation State Configuration.,"Applies to:✔️ Windows PowerShell 5.1 Note Azure Automation State Configuration will be retired on September 30, 2027, please transition toAzure Machine Configurationby that date. For more information, see theblog postannouncement. The Azure Machine Configuration service combines features of DSC Extension, Azure
Automation State Configuration, and the most commonly requested features from customer feedback.
Azure Machine Configuration also includes hybrid machine support throughArc-enabled server",2025-11-17T08:00:00.000Z,how-to,configuration,0.65,True,"Focuses on configuring data at scale for State Configuration, likely including specific configuration patterns and structures.",unchanged
https://learn.microsoft.com/en-us/azure/automation/automation-dsc-config-from-server,Create config from existing servers,Create configurations from existing servers for Azure Automation State Configuration,Generate DSC configurations from existing servers,This article tells how to create configurations from existing servers for Azure Automation State Configuration.,"Applies to:✔️ Windows PowerShell 5.1 Note Azure Automation State Configuration will be retired on September 30, 2027, please transition toAzure Machine Configurationby that date. For more information, see theblog postannouncement. The Azure Machine Configuration service combines features of DSC Extension, Azure
Automation State Configuration, and the most commonly requested features from customer feedback.
Azure Machine Configuration also includes hybrid machine support throughArc-enabled server",2025-11-17T08:00:00.000Z,how-to,configuration,0.65,True,"Covers creating configurations from existing servers, which involves detailed DSC configuration constructs and mappings.",unchanged
https://learn.microsoft.com/en-us/azure/automation/automation-dsc-configuration-based-on-stig,Configure data based on STIG,Configure data based on STIG for Azure Automation State Configuration,Configure STIG-based DSC data in Azure Automation,This article tells how to configure data based on DoD STIG for Azure Automation State Configuration.,"Applies To: Windows PowerShell 5.1 Note Azure Automation State Configuration will be retired on September 30, 2027, please transition toAzure Machine Configurationby that date. For more information, see theblog postannouncement. The Azure Machine Configuration service combines features of DSC Extension, Azure
Automation State Configuration, and the most commonly requested features from customer feedback.
Azure Machine Configuration also includes hybrid machine support throughArc-enabled servers.",2025-11-17T08:00:00.000Z,conceptual,configuration,0.65,True,STIG-based configuration data for State Configuration implies detailed configuration structures and parameters unique to this feature.,unchanged
https://learn.microsoft.com/en-us/azure/automation/automation-dsc-create-composite,Convert configurations to composite resources,Convert configurations to composite resources for Azure Automation State Configuration,Convert DSC configurations to composite resources,This article tells how to convert configurations to composite resources for Azure Automation State Configuration.,"Applies to:✔️ Windows PowerShell 5.1 Note Azure Automation State Configuration will be retired on September 30, 2027, please transition toAzure Machine Configurationby that date. For more information, see theblog postannouncement. The Azure Machine Configuration service combines features of DSC Extension, Azure
Automation State Configuration, and the most commonly requested features from customer feedback.
Azure Machine Configuration also includes hybrid machine support throughArc-enabled server",2025-11-17T08:00:00.000Z,how-to,configuration,0.65,True,"Describes converting configurations to composite resources, a DSC-specific configuration pattern with concrete structure details.",unchanged
https://learn.microsoft.com/en-us/azure/automation/automation-dsc-diagnostics,Integrate with Azure Monitor Logs,Integrate Azure Automation State Configuration with Azure Monitor Logs,Send State Configuration data to Azure Monitor Logs,This article tells how to send Desired State Configuration reporting data from Azure Automation State Configuration to Azure Monitor Logs.,"Note Azure Automation State Configuration will be retired on September 30, 2027, please transition toAzure Machine Configurationby that date. For more information, see theblog postannouncement. The Azure Machine Configuration service combines features of DSC Extension, Azure
Automation State Configuration, and the most commonly requested features from customer feedback.
Azure Machine Configuration also includes hybrid machine support throughArc-enabled servers. Important TheAdd,Compose configura",2025-11-17T08:00:00.000Z,how-to,configuration,0.7,True,"Integration with Azure Monitor Logs; likely includes workspace settings, diagnostic configuration, and table names unique to this integration.",unchanged
