url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/devops/boards/backlogs/add-link?view=azure-devops,Link work items to objects,Link work items to objects - Azure Boards,,"Learn how to link work items to user stories, bugs, remote work items, a git branch, and other elements in Azure Boards.","Azure DevOps Services | Azure DevOps Server | Azure DevOps Server 2022 Work item links are associations between two work items or a work item and another object. Links describe the relationship between objects. You can use work item links to track dependencies and related work for traceability, share information, manage complex projects that involve multiple teams or products, track code changes, tests, and more.",2026-02-28T08:00:00.000Z,how-to,,0.35,False,"Describes linking work items to other objects; focuses on relationships and traceability, not on configuration tables, quotas, or error handling.",unchanged
https://learn.microsoft.com/en-us/azure/devops/boards/backlogs/automate-work-item-state-transitions?view=azure-devops,Automate work item state transitions,Set work item automation rules for your team - Azure Boards,,"Learn how to set rules to update the state of your team's work items automatically, according to the state of the child tasks.","Azure DevOps Services Note Work item automation rules are only available in Azure DevOps Services (cloud). This feature isn't available in Azure DevOps Server. Automatically update the state of a work item according to the state of its child tasks. For example, if one task is changed toDoing, the parent gets set toDoing. If all tasks are inClosedstate, the parent getsClosed. Establish rules at the team backlog level. These rules apply to all work items at that specific level. You can establish t",2026-02-04T22:06:00.000Z,how-to,,0.45,False,"Describes automation rules for work item state transitions; product-specific behavior but mostly conceptual and UI-based, no numeric limits or error codes.",unchanged
https://learn.microsoft.com/en-us/azure/devops/boards/backlogs/backlogs-overview?view=azure-devops,About backlogs,Use backlogs to manage projects - Azure Boards,,"Learn about how to plan, track, and organize user stories, features, and bugs using backlogs and multiple teams in Azure Boards.","Azure DevOps Services | Azure DevOps Server | Azure DevOps Server 2022 Abacklogis the prioritized list of work that drives every sprint. In Azure Boards, backlogs help your team capture user stories and requirements, rank them by value, and turn them into the work that ships. Each team owns its own product, portfolio, and sprint backlogs, and team-level settings control which work items appear on each one. Tip You can use AI to help with Azure DevOps tasks. SeeEnable AI assistance with Azure Dev",2026-06-03T20:26:00.000Z,overview,,0.1,False,"High-level overview of Azure Boards backlogs and concepts (product, portfolio, sprint backlogs). No numeric limits, configuration tables, error codes, or product-specific decision matrices.",updated
https://learn.microsoft.com/en-us/azure/devops/boards/backlogs/bulk-modify-work-items?view=azure-devops,Bulk modify (web),Edit user stories and other work items in bulk - Azure Boards,,Learn how to make the same change to many work items in Azure Boards using the bulk modify feature in Azure Boards.,"Azure DevOps Services | Azure DevOps Server | Azure DevOps Server 2022 Use bulk modify when you need to quickly make the same change to many work items. For example, you might want to change the priority of several bugs or reassign several tasks to the same team member. Use the web portal to quickly modify one or more fields for work items that contain the same value. Tip To add work items in bulk or update multiple fields with different values, useCSV Import. You can't complete a bulk add of wo",2026-03-04T02:02:00.000Z,tutorial,,0.3,False,"Task-focused how-to for bulk editing work items; no product-specific limits, configuration tables, or error-code-based troubleshooting.",unchanged
https://learn.microsoft.com/en-us/azure/devops/boards/backlogs/configure-your-backlog-view?view=azure-devops,Configure your backlog view,Configure your backlog view in Azure Boards - Azure Boards,,"Learn how to set your backlog level, view options, and column options to support your project management tasks in Azure Boards and Azure DevOps.","Azure DevOps Services | Azure DevOps Server | Azure DevOps Server 2022 Backlogs help teams define, prioritize, and organize work hierarchically while assigning tasks to iterations and forecasting progress. Each backlog is a shared team resource where changes to items, priorities, and parent-child links are instantly visible to all team members. This article shows you how to configure your backlog view options—including backlog levels, view settings, column options, and filtering—to align with yo",2025-07-02T03:04:00.000Z,how-to,,0.35,False,Shows how to configure backlog view options; UI configuration steps without detailed parameter tables or expert-only constraints.,unchanged
https://learn.microsoft.com/en-us/azure/devops/boards/backlogs/copy-clone-work-items?view=azure-devops,Copy or clone work items,Copy or clone work items - Azure Boards,,"Learn how to copy or clone single or multiple Azure Boards work items, and add lists of work items to emails or other apps.","Azure DevOps Services | Azure DevOps Server | Azure DevOps Server 2022 This article describes how to create copies of Azure Boards work items or their details, and how to copy and add lists of work items to emails or other apps. Tip You canuse AI to help with this tasklater in this article, or seeEnable AI assistance with Azure DevOps MCP Serverto get started. In Azure DevOps Server, you can alsoclonean exact copy of an existing work item, including all fields and attachments, but with a new ID.",2026-05-12T17:04:00.000Z,how-to,,0.2,False,"Describes how to copy/clone work items and use AI assistance; appears to be procedural UI guidance without limits, configuration matrices, or troubleshooting mappings.",unchanged
https://learn.microsoft.com/en-us/azure/devops/boards/backlogs/create-your-backlog?view=azure-devops,Create your backlog,Create and manage your product backlog - Azure Boards,,"Create and prioritize your product backlog in Azure Boards. Add work items, estimate effort, and organize requirements to guide your team's development work.","Azure DevOps Services | Azure DevOps Server | Azure DevOps Server 2022 The product backlog is your project plan, which shows what your team intends to deliver. It contains user stories, backlog items, or requirements that you add to it. Your backlog is a flat list of work items, as the following image illustrates, which shows a Scrum process for Azure Boards. For the Agile, Basic, and Capability Maturity Model Integration (CMMI) process models, theBacklog itemsselection appears asStories,Issues,",2026-03-04T02:02:00.000Z,how-to,,0.2,False,Backlog creation and management overview/tutorial; mainly conceptual Scrum/Azure Boards usage without expert-only numeric or config details.,unchanged
https://learn.microsoft.com/en-us/azure/devops/boards/backlogs/create-your-backlog?view=azure-devops,Set up your backlogs & boards,Create and manage your product backlog - Azure Boards,,"Create and prioritize your product backlog in Azure Boards. Add work items, estimate effort, and organize requirements to guide your team's development work.","Azure DevOps Services | Azure DevOps Server | Azure DevOps Server 2022 The product backlog is your project plan, which shows what your team intends to deliver. It contains user stories, backlog items, or requirements that you add to it. Your backlog is a flat list of work items, as the following image illustrates, which shows a Scrum process for Azure Boards. For the Agile, Basic, and Capability Maturity Model Integration (CMMI) process models, theBacklog itemsselection appears asStories,Issues,",2026-03-04T02:02:00.000Z,how-to,,0.2,False,"Covers creating and managing a product backlog; general process and UI usage without specific limits, configuration ranges, or troubleshooting details.",unchanged
https://learn.microsoft.com/en-us/azure/devops/boards/backlogs/define-features-epics?view=azure-devops,Define features & epics,Define features and epics to organize backlog items - Azure Boards,,Learn about features and epics in Azure Boards and how to use them to organize your product and portfolio backlogs.,"Azure DevOps Services | Azure DevOps Server | Azure DevOps Server 2022 When you have a list of work items, it can be helpful to group related items into a hierarchical structure by breaking down major features or scenarios into smaller, more manageable deliverables. If you have an existing backlog, you can organize it with features and epics. For more information, seeOrganize your backlog and map child work items to parents. Tip You canuse AI to help with this tasklater in this article, or seeEn",2026-05-08T17:05:00.000Z,how-to,,0.1,False,"Explains how to define and use features and epics conceptually. Tutorial/usage guidance without specific configuration parameters, limits, or troubleshooting mappings.",updated
https://learn.microsoft.com/en-us/azure/devops/boards/backlogs/delete-test-artifacts?view=azure-devops,Delete test artifacts,"Delete test plans, test cases, and other test artifacts in Azure Boards - Azure Boards",Manage and restore deleted Azure Boards test artifacts,"Learn how to delete test plans, test cases, test results, & other test artifacts in Azure Boards.","Azure DevOps Services | Azure DevOps Server | Azure DevOps Server 2022 Test artifacts such as test plans, test suites, and test cases are all considered work items in Azure DevOps. However, the method for deleting test artifacts differs from the method for deleting nontest work items. Azure DevOps Services supports a soft-deletion model, where Test Plans and Test Suites are in a soft-delete state for 14 days after they are deleted. While they are in the soft-delete state, they can be restored.
W",2025-07-17T19:00:00.000Z,how-to,limits-quotas,0.7,True,"Includes a specific soft-delete retention period of 14 days for test plans and suites, which is a concrete numeric limit not generally known.",unchanged
https://learn.microsoft.com/en-us/azure/devops/boards/backlogs/display-rollup?view=azure-devops,Display rollup progress bars or totals,"Display rollup columns to show progress, counts, or totals in Azure Boards - Azure Boards",,"Learn how to add rollup columns that automatically sum child work item values to display progress bars, counts, and totals on parent items in Azure Boards.","Azure DevOps Services | Azure DevOps Server | Azure DevOps Server 2022 Rollup automatically sums child work item values to display totals on parent items. Use it to track work estimates, effort, size, or story points across your backlog hierarchy. Learn how to add rollup columns to backlogs, sprint planning, and taskboards. Important In the following example,Progress by Work Itemsshows progress bars based on the percentage of closed descendant items. For Epics, this includes all child Features a",2025-07-17T19:00:00.000Z,how-to,,0.45,False,"Rollup columns usage; describes behavior and examples but no explicit numeric limits, config tables, or error mappings.",unchanged
https://learn.microsoft.com/en-us/azure/devops/boards/backlogs/filter-backlogs-boards-plans?view=azure-devops,Filter your board,"Filter backlogs, boards, and plans for focused work management - Azure Boards",,"Streamline your workflow with powerful filtering capabilities across Azure Boards tools. Learn to apply field, keyword, tag, and parent filters effectively.","Azure DevOps Services | Azure DevOps Server | Azure DevOps Server 2022 By using interactive filtering in Azure Boards, you can focus your work management. You can narrow down large sets of work items across all board tools using built-in fields, tags, parent work items, and custom fields. Each Azure Boards tool comes with built-in filters that provide relevant starting points: To access advanced filtering capabilities, select theFiltericon in any Azure Boards tool. By using interactive filtering",2026-05-12T21:05:00.000Z,how-to,,0.2,False,"How-to usage of filtering in Azure Boards; no numeric limits, configuration tables, error codes, or product-specific thresholds. Primarily UI guidance, not expert-only reference data.",unchanged
https://learn.microsoft.com/en-us/azure/devops/boards/backlogs/manage-bugs?view=azure-devops,Manage bugs,"Define, capture, triage, and manage bugs in Azure Boards - Azure Boards",,"Effectively define, capture, triage, and manage bugs and code defects using Azure Boards to maintain high software quality and control technical debt.","Azure DevOps Services | Azure DevOps Server | Azure DevOps Server 2022 Azure Boards provides aBugwork item type to capture, prioritize, assign, and track code defects in ways that align with your Agile practices. Bug work items include all the standard work item features plus: For an overview of standard work item features, seeAbout work items and work item types. Note The Basic process doesn't include a Bug work item type. Instead, it tracks bugs as Issues. To learn more about process-specific ",2026-04-03T13:05:00.000Z,how-to,,0.2,False,"Content is about defining and managing bugs as a work item type in Azure Boards; appears to be process guidance and feature overview without product-specific numeric limits, configuration parameter tables, or error-code-based troubleshooting.",unchanged
