url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/quotas/add-remove-subscriptions-quota-group,Add or remove subscriptions,Add or remove subscriptions from an Azure Quota Group - Azure Quotas,,Learn how to add and or remove subscriptions from an Azure Quota Group.,You can add or remove subscriptions from an Azure Quota Group after the group is created.,2025-07-23T22:09:00.000Z,how-to,,0.2,False,Simple add/remove subscriptions operation for Quota Groups; no indication of expert-level numeric limits or specialized configuration details.,unchanged
https://learn.microsoft.com/en-us/azure/quotas/create-quota-groups,Create and delete Quota Groups,Create and delete Azure Quota Groups to manage quota for a group of subscriptions - Azure Quotas,,Learn how to create and delete Azure Quota Group objects to manage quota for a group of subscriptions.,An Azure Quota Group is an Azure Resource Manager (ARM) object that can be used to manage quota at the group level. This object can self-distribute quota between subscriptions added to the group.,2025-07-23T22:09:00.000Z,how-to,,0.3,False,How-to for creating/deleting Quota Group ARM objects; appears procedural without exposing specific numeric limits or configuration ranges.,unchanged
https://learn.microsoft.com/en-us/azure/quotas/how-to-guide-monitoring-alerting,Create and manage alerts,Create alerts for quotas - Azure Quotas,,Learn how to create alerts for quotas,You can create alerts for quotas and manage them.,2024-09-19T17:07:00.000Z,how-to,,0.2,False,"Generic guidance on creating alerts for quotas; summary lacks specific threshold values, parameter tables, or product-unique configuration details.",unchanged
https://learn.microsoft.com/en-us/azure/quotas/monitoring-alerting,Monitoring and alerts,Quota monitoring & alerting - Azure Quotas,,Learn about monitoring and alerting for quota usage.,"Monitoring and alerting in Azure provides real-time insights into resource utilization, enabling proactive issue resolution and resource optimization. Use monitoring and alerting to help detect anomalies and potential issues before they impact services. To view the features onQuotaspage, sign in to theAzure portaland enter ""quotas"" into the search box, then selectQuotas. Note When monitoring and alerting is enabled for your account, the Quotas inMyQuotaswill be highlighted and clickable.",2024-09-19T17:07:00.000Z,how-to,,0.2,False,"Describes monitoring and alerting conceptually; summary lacks specific thresholds, configuration parameters, or numeric guidance.",unchanged
https://learn.microsoft.com/en-us/azure/quotas/networking-quota-requests,Increase networking quotas,Increase networking quotas - Azure Quotas,,Learn how to request a networking quota increase in the Azure portal.,"This article shows how to request increases for networking quotas fromAzure Homeor fromMy quotas, a centralized location where you can view your quota usage and request quota increases. For quick access to request an increase, selectQuotason the Azure Home page. If you don't seeQuotason Azure Home, type ""quotas"" in the search box, then selectQuotas. TheQuotasicon will then appear on your Home page the next time you visit. You can also use the following options to view your network quota usage an",2024-09-19T17:07:00.000Z,how-to,,0.3,False,How-to for requesting networking quota increases via portal; appears procedural without listing specific numeric networking limits.,unchanged
https://learn.microsoft.com/en-us/azure/quotas/per-vm-quota-requests,Increase vCPU family quotas,Increase VM-family vCPU quotas - Azure Quotas,,"Learn how to request an increase in the vCPU quota limit for a VM family in the Azure portal, which increases the total regional vCPU limit by the same amount.","Azure Resource Manager enforces two types of vCPU quotas for virtual machines: Standard vCPU quotas apply to pay-as-you-go VMs and reserved VM instances. They're enforced at two tiers, for each subscription, in each region: This article shows how to request increases for VM-family vCPU quotas. You can also request increases forvCPU quotas by regionorspot vCPU quotas.",2025-01-22T08:00:00.000Z,how-to,,0.4,False,"Focuses on how to request VM-family vCPU quota increases; summary references quota types but not specific numeric limits, ranges, or tier tables.",unchanged
https://learn.microsoft.com/en-us/azure/quotas/quickstart-increase-quota-portal,Request a quota increase,Quickstart - Request a quota increase in the Azure portal - Azure Quotas,,This quickstart shows you how to increase a quota in the Azure portal.,"This article guides you through requesting a quota increase. For more information about quotas, seeQuotas overview.",2026-05-27T06:06:00.000Z,how-to,,0.2,False,"Quickstart focuses on the process of requesting a quota increase in the Azure portal, not on listing specific numerical limits, tier-based quotas, or detailed configuration parameters. It is primarily a procedural UI guide without expert-only numeric or configuration details.",unchanged
https://learn.microsoft.com/en-us/azure/quotas/quota-group-limit-increase,Quota Group limit increase request,Submit an Azure Quota Group limit increase request - Azure Quotas,,Learn how to submit an Azure Quota Group limit increase request.,"One of the key benefits of the Azure Quota Group offering is the ability to submit limit requests at the Quota Group level, rather than per subscription level. If your group limit request is approved, you can self-distribute cores from the group to target subscriptions for a given region and Virtual Machine (VM) family.",2025-07-23T22:09:00.000Z,how-to,,0.3,False,Explains submitting Quota Group limit increase requests; appears focused on process rather than listing specific numeric limits or tiered quotas.,unchanged
https://learn.microsoft.com/en-us/azure/quotas/quota-groups,Overview,Share Quota Across Subscriptions with Azure Quota Groups - Azure Quotas,,Learn how to share quota across Azure subscriptions with Azure Quota Groups to reduce the number of quota transactions.,"Azure Quota Groups allow you to share quota among a group of subscriptions, reducing the number of quota transactions. This feature elevates the quota construct from a subscription level to a Quota Group Azure Resource Management (ARM) object, enabling customers to self-manage their procured quota within a group without needing approvals.",2025-10-07T08:00:00.000Z,how-to,,0.3,False,"Conceptual description of Azure Quota Groups and sharing quota; no numeric limits, decision matrices, or detailed configuration parameters evident from summary.",unchanged
https://learn.microsoft.com/en-us/azure/quotas/quotas-overview,About Azure Quotas,Quotas overview - Azure Quotas,,Learn about to view quotas and request increases in the Azure portal.,"Many Azure services have quotas, which are the assigned number of resources for your Azure subscription. Each quota represents a specific countable resource, such as the number of virtual machines you can create, the number of storage accounts you can use concurrently, the number of networking resources you can consume, or the number of API calls to a particular service you can make. The concept of quotas is designed to help protect customers from things like inaccurately resourced deployments a",2025-03-25T08:00:00.000Z,how-to,,0.3,False,"High-level conceptual overview of quotas and how they work; summary does not show concrete numeric limits, tier tables, or timeout ranges.",unchanged
