url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/cyclecloud/api?view=cyclecloud-8,REST API Reference,API Reference - Azure CycleCloud,Use Azure CycleCloud REST API endpoints,"Read the Azure CycleCloud REST API Reference. Review commands for operations and resources, such as getting cluster nodes or getting the status of the cluster.","Azure CycleCloud provides a REST API for managing clusters, nodes, and related resources programmatically. Use these API operations to query cluster state, create and manage nodes, and track long-running operations. This reference lists the available endpoints, parameters, and response formats to help you automate and integrate CycleCloud cluster management into your workflows.",2026-06-19T08:00:00.000Z,reference,integrations,0.78,True,"REST API reference with endpoint paths, parameters, and response schemas is product-specific integration detail beyond generic LLM knowledge.",updated
https://learn.microsoft.com/en-us/azure/cyclecloud/cli?view=cyclecloud-8,CycleCloud CLI,Azure CycleCloud CLI Reference - Azure CycleCloud,Manage Azure CycleCloud with CLI commands,"Reference for the Azure CycleCloud command-line interface (CLI), including available commands and how to use them.",The Azure CycleCloud CLI allows you to manage your installation from a console or script file.,2026-06-19T08:00:00.000Z,reference,integrations,0.72,True,"CLI reference with specific commands, arguments, and behaviors is product-specific API surface not known generically.",updated
https://learn.microsoft.com/en-us/azure/cyclecloud/cluster-references/cluster-init-reference?view=cyclecloud-8,Cluster-Init,Azure CycleCloud Cluster-Init Parameter Reference - Azure CycleCloud,Configure cluster-init specs and project sources in Azure CycleCloud,See a reference for cluster-init objects to be used with Azure CycleCloud. A cluster-init object defines the CycleCloud project specifications to run on a node.,"Cluster-init sections are subordinate tonodeandnodearraysections.
The[[[cluster-init]]]section defines theCycleCloud projectspecs to run on a node.
The section uses a shorthand notation to reference the fully qualified spec: By default, projects are assumed to be stored in thelockeralready. However, if you're using a project defined in GitHub, you can indicate that with thecyclecloud/prefix: This section tells CycleCloud to download the project files from GitHub and upload them to your locker in",2026-06-19T08:00:00.000Z,reference,configuration,0.9,True,"Reference for [[[cluster-init]]] sections, shorthand spec notation, and GitHub/locker prefixes; contains concrete parameter names and behaviors unique to CycleCloud.",unchanged
https://learn.microsoft.com/en-us/azure/cyclecloud/cluster-references/cluster-reference?view=cyclecloud-8,Cluster,Cluster Reference Docs - Azure CycleCloud,Configure the cluster section in Azure CycleCloud templates,"Reference for the cluster section of an Azure CycleCloud cluster template, including the required inline name attribute.",A cluster template file must have at least one[cluster]section with an inline name attribute. This section is the only required section of the file.,2026-06-19T08:00:00.000Z,reference,configuration,0.8,True,Reference for the [cluster] section including required attributes; provides exact configuration keys and semantics specific to CycleCloud.,unchanged
https://learn.microsoft.com/en-us/azure/cyclecloud/cluster-references/cluster-template-reference?view=cyclecloud-8,Cluster Template Overview,Cluster Template Reference Overview - Azure CycleCloud,Understand Azure CycleCloud cluster template structure and hierarchy,"View reference information on cluster templates in Azure CycleCloud. See cluster template file hierarchy, object attributes, parameters, and template objects.",You define CycleCloud clusters in declarative and hierarchical text files called templates. You candownloadseveral example CycleCloud cluster templates. Note The CycleCloud cluster template file is case insensitive.,2026-06-19T08:00:00.000Z,reference,configuration,0.8,True,"Reference for template file hierarchy, object attributes, and parameters; contains detailed configuration constructs unique to CycleCloud templates.",unchanged
https://learn.microsoft.com/en-us/azure/cyclecloud/cluster-references/configuration-reference?view=cyclecloud-8,Cluster Configuration,Azure CycleCloud Cluster Configuration Reference - Azure CycleCloud,Configure Azure CycleCloud cluster configuration objects,Read reference information about configuring clusters in Azure CycleCloud. Configuration objects define the configurable properties subordinate to node and nodearray.,Configuration objects are rank 3 and subordinate tonodeandnodearray. These objects define the configurable properties for the configuration code that runs on thenodesandCycleCloud Projectconfigurations.,2026-06-19T08:00:00.000Z,reference,configuration,0.78,True,"A 'configuration reference' for CycleCloud clusters is typically a parameter/attribute catalog. The description mentions 'configuration objects define the configurable properties subordinate to node and nodearray', which implies specific setting names and their meanings rather than conceptual guidance. This matches the configuration sub-skill (detailed config options and properties).",unchanged
https://learn.microsoft.com/en-us/azure/cyclecloud/cluster-references/environment-reference?view=cyclecloud-8,Environment,Cluster Template Reference - Environment - Azure CycleCloud,Define environment objects in CycleCloud cluster templates,Environment reference for cluster templates for use with Azure CycleCloud,"Environment is rank 1. An environment corresponds to aResource Manager Deployment. CycleCloud can now manage Azure Resource Manager deployments with ARM templates. You can refer to these environments from within CycleCloud template objects. While environment is rank 1, a cluster object is required in the cluster template file.",2026-06-19T08:00:00.000Z,reference,configuration,0.7,True,"An 'Environment reference' for cluster templates that maps to ARM deployments is a schema-style reference. It likely lists environment object attributes and how to reference them from templates, which is product-specific configuration detail rather than general concepts.",unchanged
https://learn.microsoft.com/en-us/azure/cyclecloud/cluster-references/input-endpoint-reference?view=cyclecloud-8,Input-Endpoint,Cluster Template Reference - Endpoints - Azure CycleCloud,Configure input endpoints and ports in Azure CycleCloud templates,Read a reference guide for input endpoints to be used with Azure CycleCloud. See an attribute reference and an example.,Input endpoint objects have a lower rank thannodeandnodearray. Use an input endpoint to expose ports inside a virtual machine scale set and to configure the network security group on a node.,2026-06-19T08:00:00.000Z,reference,configuration,0.85,True,Reference for input endpoint objects to expose ports and configure NSGs; includes specific attributes and usage patterns unique to CycleCloud.,unchanged
https://learn.microsoft.com/en-us/azure/cyclecloud/cluster-references/network-interface-reference?view=cyclecloud-8,Network Interface,Cluster Template Reference - Network Interface Objects - Azure CycleCloud,Configure network-interface objects in Azure CycleCloud templates,Network Interface reference for cluster templates for use with Azure CycleCloud,"Network Interface objects are rank 3 and subordinate tonodeornodearray. Thenetwork-interfaceobject represents an Azure Network Interface. You can attach multiple network interfaces to a single node for multi-homed VMs. To find the maximum number of NICs for the VM version you choose, see theVM Sizesdocumentation. Nodes get a single network interface by default. Adding a[[[network-interface]]]section to a node lets you override the defaults. You can also add extra NICs and attach them to a VM. Th",2026-06-19T08:00:00.000Z,reference,configuration,0.85,True,"Details network-interface object attributes, default NIC behavior, and how to add extra NICs; product-specific configuration parameters.",unchanged
https://learn.microsoft.com/en-us/azure/cyclecloud/cluster-references/node-nodearray-reference?view=cyclecloud-8,Node and Nodearray,Cluster Template Reference - Nodes - Azure CycleCloud,Configure nodes and nodearrays in Azure CycleCloud templates,Attributes for nodes and nodearrays within cluster templates for use with Azure CycleCloud,"Node and nodearray objects are rank 2 objects that subordinate tocluster. A node represents a single virtual machine, whereas a nodearray can represent a collection of virtual machines or at least one virtual machine scale set.",2026-06-19T08:00:00.000Z,reference,configuration,0.85,True,Reference for node and nodearray attributes; includes specific parameter names and behaviors for VM and scale set configuration.,unchanged
https://learn.microsoft.com/en-us/azure/cyclecloud/cluster-references/noderef-reference?view=cyclecloud-8,Noderef,Cluster Template Reference - Network - Azure CycleCloud,Use NodeRef objects in CycleCloud cluster templates,Noderef reference for cluster templates for use with Azure CycleCloud,NodeRef is rank 1. NodeRef is an internal reference to another CycleCloud node.,2026-06-19T08:00:00.000Z,reference,configuration,0.68,True,"The page is a 'Noderef reference' for templates, describing NodeRef as an internal reference to another node. As a reference page, it likely enumerates properties/fields of NodeRef, which are configuration parameters specific to CycleCloud templates.",unchanged
https://learn.microsoft.com/en-us/azure/cyclecloud/cluster-references/parameter-reference?view=cyclecloud-8,Cluster Parameters,Cluster Template Reference - Parameters - Azure CycleCloud,Configure parameters in Azure CycleCloud cluster templates,"Read reference material for cluster template parameters to be used with Azure CycleCloud. See examples, an attribute reference, and a parameter type reference.","Parameters are multirank objects 1, 2, ... n that you can subordinate to[parameters]. [parameter], singular, is a parameter object that other objects can reference.[parameters], plural, is a section. The nested parameter structure exists only to render the parameter selection menus. Don't mix parameter ranks in a single template. Mixing ranks adversely affects UI rendering.",2026-06-19T08:00:00.000Z,reference,configuration,0.8,True,"This is a parameter reference with attribute and type references, plus structural rules (multi-rank parameters, [parameters] section). That is detailed, product-specific configuration behavior and schema, fitting the configuration sub-skill.",unchanged
https://learn.microsoft.com/en-us/azure/cyclecloud/cluster-references/special-parsing?view=cyclecloud-8,Cluster Parameter Special Parsing,Special Parsing for Parameters - Azure CycleCloud,Apply special parameter parsing in Azure CycleCloud,Read about special parsing for parameters. Azure CycleCloud is able to resolve parameter values and perform logical evaluation of functions.,CycleCloud resolves parameter values and performs logical evaluation of functions.,2026-06-19T08:00:00.000Z,reference,configuration,0.7,True,"Describes how CycleCloud resolves parameter values and evaluates functions. This is specialized behavior of the template/parameter engine, likely with specific function names and syntax, which is configuration/DSL-specific expert knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/cyclecloud/cluster-references/volume-reference?view=cyclecloud-8,Volume,Cluster Template Reference - Volumes - Azure CycleCloud,Define and configure volume objects in Azure CycleCloud templates,Read reference material for including volumes in cluster templates to be used with Azure CycleCloud. A volume represents an Azure Disk.,Volumeobjects are rank 3 and subordinate tonodeandnodearrayobjects. A volume represents an Azure Disk.,2026-06-19T08:00:00.000Z,reference,configuration,0.85,True,Reference for volume objects representing Azure Disks; includes specific attributes and allowed values for disk configuration.,unchanged
https://learn.microsoft.com/en-us/azure/cyclecloud/concepts/clusters?view=cyclecloud-8,Clusters & Nodes,Clusters and Node Concepts - Azure CycleCloud,,"Learn about Azure CycleCloud clusters, nodes, node arrays, and cluster templates. Prepare, configure, and orchestrate nodes.","In CycleCloud, the termclusterdescribes a group of connected computers (nodes) working together as a single system. Clusters can be nested. For example, a compute cluster consisting of a Grid Engine scheduler headnode and compute nodes can mount a BeeGFS cluster consisting of several metadata and storage servers. Both compute and storage clusters coalesce under a single parent HPC cluster or system.",2026-06-19T08:00:00.000Z,concept-article,,0.1,False,"Conceptual explanation of clusters, nodes, and templates; no indication of configuration tables, limits, or troubleshooting content.",unchanged
https://learn.microsoft.com/en-us/azure/cyclecloud/concepts/core?view=cyclecloud-8,Core,CycleCloud Architecture Concepts - Azure CycleCloud,,"Learn the core concepts of Azure CycleCloud, including clusters, nodes, schedulers, and how HPC resources fit together.","At its most basic, a High Performance Computing (HPC) system is a pool of computational resources backed by performant file systems and interconnected by low-latency networks. HPC schedulers, software applications that schedule jobs, usually manage these computational resources. Building individual HPC systems on Azure from basic infrastructure units such as virtual machines, disks, and network interfaces can be cumbersome, especially if these resources are ephemeral — existing only for the time",2026-06-19T08:00:00.000Z,concept-article,,0.1,False,"Conceptual architecture overview of HPC and CycleCloud core concepts without product-specific numeric thresholds, configs, or error mappings.",unchanged
