url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/active-directory-b2c/aad-sspr-technical-profile,Microsoft Entra SSPR,Microsoft Entra ID SSPR technical profiles in custom policies - Azure AD B2C,Configure SSPR technical profiles in Azure AD B2C custom policies,Custom policy reference for Microsoft Entra ID SSPR technical profiles in Azure AD B2C.,"Note In Azure Active Directory B2C,custom policiesare designed primarily to address complex scenarios. For most scenarios, we recommend that you use built-inuser flows. If you've not done so, learn about custom policy starter pack inGet started with custom policies in Active Directory B2C. Important Effective May 1, 2025, Azure AD B2C will no longer be available to purchase for new customers.Learn more in our FAQ. Azure Active Directory B2C (Azure AD B2C) provides support for verifying an email ",2025-05-01T11:17:00.000Z,reference,configuration,0.78,True,Covers configuration of self-service password reset technical profiles with specific parameters and claims—detailed config reference.,unchanged
https://learn.microsoft.com/en-us/azure/active-directory-b2c/access-tokens,Request access token,Request an access token in Azure Active Directory B2C,Request and use access tokens from Azure AD B2C,Learn how to request an access token from Azure Active Directory B2C.,"Important Effective May 1, 2025, Azure AD B2C will no longer be available to purchase for new customers.Learn more in our FAQ. Anaccess tokencontains claims that you can use in Azure Active Directory B2C (Azure AD B2C) to identify the granted permissions to your APIs. To call a resource server, the HTTP request must include an access token. An access token is denoted asaccess_tokenin the responses from Azure AD B2C. This article shows you how to request an access token for a web application and ",2025-02-17T08:00:00.000Z,concept-article,integrations,0.7,True,Shows how to request access tokens with specific parameters and HTTP patterns for web and native apps; product-specific integration details.,unchanged
https://learn.microsoft.com/en-us/azure/active-directory-b2c/active-directory-technical-profile,Microsoft Entra ID,Define a Microsoft Entra technical profile in a custom policy - Azure AD B2C,Configure Microsoft Entra technical profiles in Azure AD B2C,Define a Microsoft Entra technical profile in a custom policy in Azure Active Directory B2C.,"Important Effective May 1, 2025, Azure AD B2C will no longer be available to purchase for new customers.Learn more in our FAQ. Note In Azure Active Directory B2C,custom policiesare designed primarily to address complex scenarios. For most scenarios, we recommend that you use built-inuser flows. If you've not done so, learn about custom policy starter pack inGet started with custom policies in Active Directory B2C. Azure Active Directory B2C (Azure AD B2C) provides support for the Microsoft Entra",2024-01-11T08:00:00.000Z,reference,configuration,0.83,True,Details configuration of Entra-based technical profiles with protocol-specific parameters and metadata unique to Azure AD B2C.,unchanged
https://learn.microsoft.com/en-us/azure/active-directory-b2c/add-api-connector,Modify sign-up experiences,Add API connectors to sign up user flows,Add and configure API connectors in Azure AD B2C sign-up flows,Configure an API connector to be used in a sign-up user flow.,"Important Effective May 1, 2025, Azure AD B2C will no longer be available to purchase for new customers.Learn more in our FAQ. Before you begin, use theChoose a policy typeselector at the top of this page to choose the type of policy you’re setting up. Azure Active Directory B2C offers two methods to define how users interact with your applications: through predefineduser flowsor through fully configurablecustom policies. The steps required in this article are different for each method. As a dev",2024-01-24T08:00:00.000Z,how-to,configuration,0.8,True,"Provides configuration fields (endpoint URL, authentication type, claims mapping) and how to attach connectors to specific steps in user flows.",unchanged
https://learn.microsoft.com/en-us/azure/active-directory-b2c/add-api-connector-token-enrichment,Enrich tokens with external claims,Token enrichment  - Azure Active Directory B2C,Configure token enrichment with external APIs in Azure AD B2C,Enrich tokens with claims from external identity data sources using APIs or outbound webhooks.,"Important Effective May 1, 2025, Azure AD B2C will no longer be available to purchase for new customers.Learn more in our FAQ. Before you begin, use theChoose a policy typeselector at the top of this page to choose the type of policy you’re setting up. Azure Active Directory B2C offers two methods to define how users interact with your applications: through predefineduser flowsor through fully configurablecustom policies. The steps required in this article are different for each method. Azure Ac",2023-01-18T18:06:00.000Z,how-to,configuration,0.8,True,"Describes how to configure outbound calls and claims mapping to enrich tokens, including specific policy elements and settings unique to Azure AD B2C.",unchanged
https://learn.microsoft.com/en-us/azure/active-directory-b2c/add-captcha,Enable CAPTCHA,Enable CAPTCHA in Azure Active Directory B2C,Enable CAPTCHA protection in Azure AD B2C user flows and policies,Learn how to enable CAPTCHA in Azure AD B2C for user flows and custom policies to protect sign-in and sign-up flows from automated attacks.,"Important Effective May 1, 2025, Azure AD B2C will no longer be available to purchase for new customers.Learn more in our FAQ. Before you begin, use theChoose a policy typeselector at the top of this page to choose the type of policy you’re setting up. Azure Active Directory B2C offers two methods to define how users interact with your applications: through predefineduser flowsor through fully configurablecustom policies. The steps required in this article are different for each method. Azure Ac",2025-02-04T12:06:00.000Z,how-to,security,0.8,True,"How-to article for enabling CAPTCHA in B2C, with specific settings for user flows vs custom policies and configuration parameters. Product-specific security configuration.",unchanged
https://learn.microsoft.com/en-us/azure/active-directory-b2c/add-identity-provider,Add an identity provider,Add an identity provider - Azure AD B2C,Add external identity providers to Azure AD B2C tenant,Learn how to add an identity provider to your Active Directory B2C tenant.,"Important Effective May 1, 2025, Azure AD B2C will no longer be available to purchase for new customers.Learn more in our FAQ. You can configure Azure AD B2C to allow users to sign in to your application with credentials from external social or enterprise identity providers (IdP). Azure AD B2C supports external identity providers like Facebook, Microsoft account, Google, X, and any identity provider that supports OAuth 1.0, OAuth 2.0, OpenID Connect, and SAML protocols. With external identity pr",2025-05-01T11:17:00.000Z,how-to,configuration,0.7,True,"Shows how to configure various external IdPs; typically includes configuration fields, endpoints, and protocol-specific parameters.",unchanged
https://learn.microsoft.com/en-us/azure/active-directory-b2c/add-native-application,Register native client (for mobile and desktop),Add a native client application - Azure Active Directory B2C,Add and configure native client apps in Azure AD B2C,Learn how to add a native client application to your Active Directory B2C tenant.,"Important Effective May 1, 2025, Azure AD B2C will no longer be available to purchase for new customers.Learn more in our FAQ. Native client resources need to be registered in your tenant before your application can communicate with Azure Active Directory B2C. To register an application in your Azure AD B2C tenant, you can use our new unifiedApp registrationsexperience or our legacyApplications (Legacy)experience.Learn more about the new experience.",2025-05-01T11:17:00.000Z,how-to,configuration,0.65,True,"Native client registration requires specific configuration like public client flags, redirect URI schemes, and platform selection, which are concrete Azure AD B2C settings rather than conceptual content.",unchanged
https://learn.microsoft.com/en-us/azure/active-directory-b2c/add-password-change-policy,Self-service password change,Set up password change by using custom policies - Azure AD B2C,Configure Azure AD B2C custom policy for password change,Learn how to set up a custom policy so users can change their password in Azure Active Directory B2C.,"Important Effective May 1, 2025, Azure AD B2C will no longer be available to purchase for new customers.Learn more in our FAQ. Before you begin, use theChoose a policy typeselector at the top of this page to choose the type of policy you’re setting up. Azure Active Directory B2C offers two methods to define how users interact with your applications: through predefineduser flowsor through fully configurablecustom policies. The steps required in this article are different for each method. You can ",2026-03-24T17:13:00.000Z,how-to,configuration,0.7,True,"The article describes concrete, product-specific configuration steps for enabling password change via Azure AD B2C custom policies, including specific policy XML elements, technical profile names, and settings unique to Azure AD B2C custom policy schema. This is detailed configuration knowledge rather than conceptual guidance.",unchanged
https://learn.microsoft.com/en-us/azure/active-directory-b2c/add-password-reset-policy,Self-service password reset,Set up a password reset flow - Azure AD B2C,Configure password reset user flows in Azure AD B2C,Learn how to set up a password reset flow in Azure Active Directory B2C (Azure AD B2C).,"Important Effective May 1, 2025, Azure AD B2C will no longer be available to purchase for new customers.Learn more in our FAQ. Before you begin, use theChoose a policy typeselector at the top of this page to choose the type of policy you’re setting up. Azure Active Directory B2C offers two methods to define how users interact with your applications: through predefineduser flowsor through fully configurablecustom policies. The steps required in this article are different for each method. In asign",2025-01-05T08:00:00.000Z,how-to,configuration,0.75,True,"Password reset flows require specific policy configuration, endpoint names, and token behavior settings that are concrete and product-specific.",unchanged
