url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/energy-data-services/concepts-authentication,Authentication,Authentication concepts in Microsoft Azure Data Manager for Energy,,This article describes various concepts of authentication in Azure Data Manager for Energy.,"Authentication confirms the identity of users. The access flows can be user triggered, system triggered, or system API communication. In this article, you learn about service principals and authorization tokens.",2024-01-12T18:04:00.000Z,conceptual,,0.45,False,Authentication concepts; likely explains flows and service principals at a high level without detailed parameter tables.,unchanged
https://learn.microsoft.com/en-us/azure/energy-data-services/concepts-csv-parser-ingestion,CSV parser ingestion,Microsoft Azure Data Manager for Energy csv parser ingestion workflow concept,,Learn how to use CSV parser ingestion.,"A CSV (comma-separated values) file is a comma delimited text file that is used to save data in a table structured format. A CSV ParserDAGallows a customer to load data into Microsoft Azure Data Manager for Energy instance based on a custom schema that is, a schema that doesn't match theOSDU®Well Known Schema (WKS). Customers must create and register the custom schema using the Schema service before loading the data. A CSV Parser DAG implements an ELT (Extract Load and Transform) approach to dat",2023-06-27T17:04:00.000Z,conceptual,,0.4,False,Conceptual description of CSV parser ingestion workflow; summary does not show concrete config tables or limits.,unchanged
https://learn.microsoft.com/en-us/azure/energy-data-services/concepts-ddms,Domain Data Management Services (DDMS),Domain data management services concepts,,Learn how to use Domain Data Management Services,Domain Data Management Service (DDMS)– is a platform component that extendsOSDU®core data platform with domain specific model and optimizations. DDMS is a mechanism of a platform extension that: OSDU® Technical Standard defines the following types of OSDU® application types:,2024-04-28T11:16:00.000Z,conceptual,,0.3,False,"DDMS concepts article; conceptual extension model, not concrete config or troubleshooting.",unchanged
https://learn.microsoft.com/en-us/azure/energy-data-services/concepts-entitlements,Entitlements,Entitlement concepts in Azure Data Manager for Energy,,This article describes various concepts of the entitlement service in Azure Data Manager for Energy.,"Access management is a critical function for any service or resource. The entitlement service lets you control who can use your Azure Data Manager for Energy instance, what they can see or change, and which services or data they can use.",2024-02-13T23:32:00.000Z,conceptual,,0.45,False,Entitlement concepts; conceptual access management overview without specific RBAC role names or scopes in the summary.,unchanged
https://learn.microsoft.com/en-us/azure/energy-data-services/concepts-index-and-search,Indexing and search,Microsoft Azure Data Manager for Energy - index and search workflow concepts,,Learn how to use indexing and search workflows,All data and associated metadata ingested into the platform are indexed to enable search. The metadata is accessible to ensure awareness even when the data isn't available.,2024-04-28T11:16:00.000Z,conceptual,,0.3,False,"Index and search workflow concepts; high-level behavior, not configuration or limits.",unchanged
https://learn.microsoft.com/en-us/azure/energy-data-services/concepts-manifest-ingestion,Manifest ingestion,Microsoft Azure Data Manager for Energy manifest ingestion concepts,,This article describes manifest ingestion concepts,Manifest-based file ingestion provides end-users and systems a robust mechanism for loading metadata about datasets in Azure Data Manager for Energy instance. This metadata is indexed by the system and allows the end-user to search the datasets. Manifest-based file ingestion is an opaque ingestion that do not parse or understand the file contents. It creates a metadata record based on the manifest and makes the record searchable.,2023-06-27T17:04:00.000Z,conceptual,,0.4,False,Manifest ingestion concepts; appears conceptual without detailed parameters or quotas.,unchanged
https://learn.microsoft.com/en-us/azure/energy-data-services/concepts-reference-data-values,Syncing Reference data values,Reference Data Value in Microsoft Azure Data Manager for Energy,,This article describes Reference Values and how Reference Data Values are automatically loaded in Azure Data Manager.,"This article provides an overview of reference data values in OSDU® Data Platform, and explains how Azure Data Manager for Energy helps you synchronize them with OSDU® community standards.",2026-03-23T17:14:00.000Z,overview,,0.2,False,"Described as an overview of reference data values and synchronization with OSDU standards; no indication of numeric limits, configuration parameter tables, error codes, or other product-specific expert details.",unchanged
https://learn.microsoft.com/en-us/azure/energy-data-services/concepts-tier-details,Tier details,Microsoft Azure Data Manager for Energy tier concepts - Developer and Standard SKU,Choose between Developer and Standard ADME tiers,This article describes tier concepts,Azure Data Manager for Energy is available in two tiers; Standard and Developer.,2025-10-10T22:10:00.000Z,conceptual,decision-making,0.7,True,Tier concepts for Developer vs Standard SKU; typically includes comparison of capabilities and constraints to guide tier selection.,unchanged
https://learn.microsoft.com/en-us/azure/energy-data-services/faq-energy-data-services,FAQ,Microsoft Azure Data Manager for Energy FAQ,,Get answers to common questions about Azure Data Manager for Energy.,This article answers commonly asked questions about Azure Data Manager for Energy.,2026-02-11T18:17:00Z,faq,,0.3,False,"FAQ pages are often high-level and mixed; the summary does not indicate detailed limits tables, configuration parameters, or error-code-based troubleshooting. Likely general Q&A rather than concentrated expert configuration/troubleshooting content.",unchanged
https://learn.microsoft.com/en-us/azure/energy-data-services/how-to-add-more-data-partitions,Manage data partitions,How to manage partitions,Add and manage data partitions in ADME,This is a how-to article on managing data partitions using the Microsoft Azure Data Manager for Energy instance UI.,"The concept of ""data partitions"" is picked fromOSDU®where single deployment can contain multiple partitions. In the following how-to article, you learn about how to add new data partitions to an existing Azure Data Manager for Energy instance. Each partition provides the highest level of data isolation within a single deployment. All access rights are governed at a partition level. Data is separated in a way that allows for the partition's life cycle and deployment to be handled independently. (",2023-06-29T11:24:00.000Z,how-to,configuration,0.65,True,How-to for managing data partitions; likely includes specific partition configuration fields and constraints.,unchanged
