url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/static-web-apps/add-api,Add an API,Add an API to Azure Static Web Apps with Azure Functions,,Get started with Azure Static Web Apps by adding a Serverless API to your static web app using Azure Functions.,You can add serverless APIs to Azure Static Web Apps powered by Azure Functions. This article demonstrates how to add and deploy an API to an Azure Static Web Apps site. Note The functions provided by default in Static Web Apps are pre-configured to provide secure API endpoints and only support HTTP-triggered functions. SeeAPI support with Azure Functionsfor information on how they differ from standalone Azure Functions apps.,2026-06-02T22:37:00.000Z,how-to,,0.2,False,"The page is a getting-started tutorial for adding an Azure Functions API to Azure Static Web Apps. It focuses on step-by-step instructions and basic concepts, without detailed limits, configuration parameter tables, error-code-based troubleshooting, or product-specific decision matrices. It does not meet the criteria for any expert-knowledge sub-skill type.",unchanged
https://learn.microsoft.com/en-us/azure/static-web-apps/add-authentication,2 - Add authentication,Add authentication to your static site in Azure Static Web Apps,,Learn to add authentication to your static site with Azure Static Web Apps.,"This article is part two in a series that show you how to deploy your first site to Azure Static Web Apps. Previously, you created and deployed a static site with theweb frameworkof your choice. In this article, you add authentication to your site and run the site locally before deploying to the cloud.",2024-07-04T05:39:00.000Z,tutorial,,0.4,False,Tutorial for adding authentication; summary suggests a walkthrough rather than detailed RBAC role tables or auth configuration parameters.,unchanged
https://learn.microsoft.com/en-us/azure/static-web-apps/add-mongoose,Mongoose.js and Azure Cosmos DB,Access data in Azure Cosmos DB using Mongoose with Azure Static Web Apps,Use Mongoose with Azure Cosmos DB in Static Web Apps,Learn to access data in Azure Cosmos DB using Mongoose from an Azure Static Web Apps API function.,"Mongooseis the most popular ODM (Object Document Mapping) client for Node.js. Mongoose allows you to design a data structure and enforce validation, and provides all the tooling necessary to interact with databases that support the MongoDB API.Cosmos DBsupports the necessary MongoDB APIs and is available as a back-end server option on Azure.",2022-10-13T22:04:00.000Z,tutorial,integrations,0.7,True,Shows concrete Node.js/Mongoose patterns against Cosmos DB’s MongoDB API from Static Web Apps functions; includes product-specific code and configuration usage.,unchanged
https://learn.microsoft.com/en-us/azure/static-web-apps/apex-domain-azure-dns,Set up the apex domain,Set up an apex domain with Azure DNS in Azure Static Web Apps,Configure apex domains with Azure DNS for Static Web Apps,Configure the root domain with Azure DNS in Azure Static Web Apps,"Domain names without a subdomain are known as apex or root domains. For example, the domainwww.example.comis thewwwsubdomain joined with theexample.comapex domain. This guide demonstrates how to useTXTandALIASrecords to configure your apex domain in Azure DNS. The following procedure requires you to copy settings from an Azure DNS zone you create and your existing static web app. Consider opening the Azure portal in two different windows to make it easier to switch between the two services. Note",2025-01-28T23:09:00.000Z,how-to,configuration,0.8,True,Details using TXT and ALIAS records for apex domains; includes DNS record types and mapping behavior specific to Static Web Apps.,unchanged
https://learn.microsoft.com/en-us/azure/static-web-apps/apex-domain-external,Set up the apex domain,Set up an apex domain in Azure Static Web Apps,Configure apex/root domains with external registrars for Static Web Apps,Configure the root domain in Azure Static Web Apps,"Domain names without a subdomain are known as apex or root domains. For example, the domainwww.example.comis thewwwsubdomain joined with theexample.comapex domain. Some domain registrars (like Google and GoDaddy) don't allow you to point the apex domain to an existing URL. If your registrar doesn't supportALIASorANAMErecords, or doesn't allowCNAMEflattening, consider the following options: Using anArecord directs your traffic to a single regional host of your static web app. When enabled, your s",2025-01-28T23:09:00.000Z,how-to,configuration,0.8,True,Discusses ALIAS/ANAME/CNAME flattening and A records for apex domains; these are concrete DNS configuration patterns tied to Static Web Apps behavior.,unchanged
https://learn.microsoft.com/en-us/azure/static-web-apps/apis-api-management,Azure API Management,API support in Azure Static Web Apps with Azure API Management,Configure Azure API Management integration with Static Web Apps,Learn how to use Azure API Management with Azure Static Web Apps,"Azure API Managementis a service that allows you to create a modern API gateway for existing back end services. When you link your Azure API Management service to your static web app, any requests to your static web app with a route that starts with/apiare proxied to the same route in the Azure API Management service. An Azure API Management service can be linked to multiple static web apps at the same time. An API Management product is created for each linked static web app. Any APIs added to t",2023-05-10T11:21:00.000Z,how-to,configuration,0.7,True,"Details how routes starting with /api are proxied, how products are created per app, and multi-app linkage; these are concrete integration behaviors and settings.",unchanged
https://learn.microsoft.com/en-us/azure/static-web-apps/apis-app-service,Azure App Service,API support in Azure Static Web Apps with Azure App Service,Link Azure App Service backends to Azure Static Web Apps,Learn how to use Azure App Service with Azure Static Web Apps,"Azure App Serviceis a managed platform for hosting web applications that execute code on servers. Azure App Service supports many runtimes and frameworks including Node.js, ASP.NET Core, PHP, Java, and Python. When you link your Azure App Service web app to your static web app, any requests to your static web app with a route that starts with/apiare proxied to the same route on the Azure App Service app. By default, when an App Service app is linked to a static web app, the App Service app only ",2023-05-10T11:21:00.000Z,conceptual,configuration,0.7,True,Explains /api route proxying and default access restrictions when linking App Service; product-specific integration configuration.,unchanged
https://learn.microsoft.com/en-us/azure/static-web-apps/apis-container-apps,Azure Container Apps,API support in Azure Static Web Apps with Azure Container Apps,Integrate Azure Container Apps as APIs for Static Web Apps,Learn how to use Azure Container Apps with Azure Static Web Apps,"Azure Container Appsis a managed platform for hosting serverless containers and microservices. When you link your container app to your static web app, any requests to your static web app with a route that starts with/apiare proxied to the same route on the container app. By default, when a container app is linked to a static web app, the container app only accepts requests that are proxied through the linked static web app. A container app can be linked to a single static web app at a time. API",2023-05-10T11:21:00.000Z,concept-article,configuration,0.7,True,"Describes /api proxying, one-to-one linking, and default access restrictions; concrete integration behavior and configuration.",unchanged
https://learn.microsoft.com/en-us/azure/static-web-apps/apis-functions,Integration options,API support in Azure Static Web Apps with Azure Functions,Choose managed vs bring-your-own Azure Functions for Static Web Apps,Learn how to use Azure Functions with Azure Static Web Apps.,"Front end web applications often callback end APIs for data and services. By default, Azure Static Web Apps provides built-in serverless API endpoints viaAzure Functions. Azure Functions APIs in Static Web Apps are available in two possible configurations depending on thehosting plan: Managed functions:  By default, the API of a static web app is an Azure Functions application managed and deployed by Azure Static Web Apps associated with some restrictions. Bring your own functions: Optionally, y",2024-11-11T23:02:00.000Z,concept-article,decision-making,0.7,True,Explains two API configurations with associated restrictions and plan dependencies; helps decide between options with product-specific constraints.,unchanged
https://learn.microsoft.com/en-us/azure/static-web-apps/apis-overview,Overview,Overview of API support in Azure Static Web Apps,,Learn what API features Azure Static Web Apps supports,Front end web applications often call back end APIs for data and services. Azure Static Web Apps provides built-in serverless API endpoints via integration with Azure services. Key features of Azure Static Web Apps APIs include: Integrated securitywith direct access to userauthentication and role-based authorizationdata. Seamless routingthat makes the back-end/apiroute available to the front-end web app without requiring custom CORS rules.,2024-10-02T08:00:00.000Z,conceptual,,0.3,False,API overview; describes features like integrated security and routing conceptually without detailed configuration or limits.,unchanged
https://learn.microsoft.com/en-us/azure/static-web-apps/application-settings,App settings,Configure application settings for Azure Static Web Apps,Set application settings for Static Web Apps backend APIs,Learn how to configure application settings for Azure Static Web Apps.,"Application settings hold configuration values that may change, such as database connection strings. Adding application settings allows you to modify the configuration input to your app, without having to change application code. Application settings: The application settings described in this article only apply to the backend API of an Azure Static Web App. To configure environment variables required to build your frontend web application, seeBuild configuration.",2026-01-23T18:22:00.000Z,how-to,configuration,0.75,True,"Covers application settings and environment variables for backend APIs; likely includes setting names, scopes, and behavior specific to Static Web Apps.",unchanged
https://learn.microsoft.com/en-us/azure/static-web-apps/assign-roles-microsoft-graph,Set user roles programmatically,Tutorial: Assign Azure Static Web Apps roles with Microsoft Graph (preview),Assign Static Web Apps roles using Microsoft Graph and Entra ID,Learn to use a serverless function to assign custom user roles based on Entra ID group membership.,"This article demonstrates how to use a function to queryMicrosoft Graphand assign custom roles to a user based on their Entra ID group membership. In this tutorial, you learn to: Note This tutorial requires you touse a function to assign roles. Function-based role management is currently in preview. The permission level required to complete this tutorial is ""User.Read.All"". There's a function namedGetRolesin the app's API. This function uses the user's access token to query Entra ID from Microso",2024-12-13T08:00:00.000Z,tutorial,security,0.7,True,Tutorial uses a function plus Microsoft Graph to assign custom roles based on Entra ID groups; includes specific permission scope and role-assignment pattern.,unchanged
https://learn.microsoft.com/en-us/azure/static-web-apps/authentication-authorization,Authentication and authorization,Authenticate and authorize Static Web Apps,Configure authentication and authorization for Azure Static Web Apps,Learn to use different authorization providers to secure your Azure Static Web Apps.,"Azure Static Web Apps provides a streamlined authentication experience, where no extra configuration is required to use GitHub and Microsoft Entra ID for authentication. All features listed in this article are available in all Static Web Apps plans. In this article, learn about default behavior, how to set up sign-in and sign-out, how to block an authentication provider, and more. To read the auth details for a specific use, seeAccess user information. You canregister a custom provider, which di",2026-01-23T18:22:00.000Z,how-to,security,0.8,True,"Details Static Web Apps auth behavior, provider setup, and auth-related configuration unique to the service; includes provider-specific settings and flows.",unchanged
https://learn.microsoft.com/en-us/azure/static-web-apps/authentication-custom,Custom authentication,Custom authentication in Azure Static Web Apps,Configure custom authentication providers for Azure Static Web Apps,Learn to configure custom authentication for Azure Static Web Apps,"Azure Static Web Apps providesmanaged authenticationthat uses provider registrations managed by Azure. To enable more flexibility over the registration, you can override the defaults with a custom registration. Custom authentication also allows you toconfigure custom providersthat supportOpenID Connect. This configuration allows the registration of multiple external providers. Using any custom registrations disables all preconfigured providers. Note Custom authentication is only available in the",2024-07-08T22:33:00.000Z,concept-article,security,0.8,True,"Covers custom OpenID Connect provider registration, configuration fields, and behavior when overriding managed auth; highly product-specific security configuration.",unchanged
https://learn.microsoft.com/en-us/azure/static-web-apps/bitbucket,Bitbucket,Tutorial: Deploy Bitbucket repositories on Azure Static Web Apps,Deploy Bitbucket-hosted apps to Azure Static Web Apps,Use Bitbucket with Azure Static Web Apps,"Azure Static Web Apps has flexible deployment options that allow to work with various providers. In this tutorial, you deploy a web application hosted in Bitbucket to Azure Static Web Apps using a Linux virtual machine. Note The Static Web Apps pipeline task currently only works on Linux machines. In this tutorial, you learn to:",2024-07-24T22:05:00.000Z,quickstart,deployment,0.75,True,Covers Bitbucket pipeline configuration and notes Linux-only task support; includes provider- and platform-specific deployment constraints.,unchanged
https://learn.microsoft.com/en-us/azure/static-web-apps/branch-environments,Branch environments,Create branch preview environments in Azure Static Web Apps,Create branch-based preview environments with stable URLs,Expose stable URLs for specific branches to evaluate changes in Azure Static Web Apps,"You can configure your site to deploy every change made to branches that aren't a production branch. This preview deployment is published at a stable URL that includes the branch name. For example, if the branch is nameddev, then the environment is available at a location like<DEFAULT_HOST_NAME>-dev.<LOCATION>.azurestaticapps.net. You can delete a branch environment in the portal via theEnvironmentstab of your static web app.",2023-11-07T18:10:00.000Z,conceptual,deployment,0.7,True,Describes branch environment URL patterns and management in Static Web Apps; includes concrete hostname format and deletion behavior.,unchanged
https://learn.microsoft.com/en-us/azure/static-web-apps/build-configuration,Build configuration,Build configuration for Azure Static Web Apps,Configure CI/CD build YAML for Azure Static Web Apps,Learn how to control the build process for Azure Static Web Apps.,"The Azure Static Web Apps build configuration either uses GitHub Actions or Azure Pipelines. Each site has a YAML configuration file that controls how a site is built and deployed. This article explains the file's structure and options. The following table lists the available configuration settings. With these settings, you can set up GitHub Actions orAzure Pipelinesto run continuous integration/continuous delivery (CI/CD) for your static web app.",2024-11-04T23:02:00.000Z,conceptual,deployment,0.8,True,Explains YAML configuration structure and options for GitHub Actions/Azure Pipelines; includes tables of settings and constraints specific to Static Web Apps deployment.,unchanged
https://learn.microsoft.com/en-us/azure/static-web-apps/configuration,Application configuration,Configure Azure Static Web Apps,Configure staticwebapp.config.json for Azure Static Web Apps,Learn how to configure routes and enforce security rules and global settings for Azure Static Web Apps.,"You can define configuration for Azure Static Web Apps in thestaticwebapp.config.jsonfile, which controls the following settings: Note routes.jsonthat was previously used to configure routing is deprecated. Usestaticwebapp.config.jsonas described in this article to configure routing and other settings for your static web app. This document describes how to configure Azure Static Web Apps, which is a standalone product and separate from thestatic website hostingfeature of Azure Storage.",2024-05-24T20:19:00.000Z,conceptual,configuration,0.85,True,"Describes detailed configuration in staticwebapp.config.json including routes, security rules, headers, and networking; this file has specific keys and allowed values unique to the product.",unchanged
https://learn.microsoft.com/en-us/azure/static-web-apps/configuration-overview,Overview,Configuration overview for Azure Static Web Apps,,Learn about the different ways to configure Azure Static Web Apps.,"The following different concepts apply to configuring a static web app. Application configuration: Define rules in thestaticwebapp.config.jsonfile to control application behavior and features. Use this file to define route and security rules, custom headers, and networking settings. Build configuration: Define settings that control the build process. Application settings: Set application-level settings and environment variables that can be used by backend APIs.",2024-06-25T08:00:00.000Z,conceptual,,0.4,False,Configuration overview; conceptual description of configuration types without explicit mention of parameter tables or allowed values.,unchanged
https://learn.microsoft.com/en-us/azure/static-web-apps/custom-domain,About custom domains,Custom domains with Azure Static Web Apps,Configure custom domains for Azure Static Web Apps,Using a custom domain with Azure Static Web Apps,"Note Custom domain validation for Enterprise Grade Edge Static Web Apps now requires TXT token method - CNAME validation is no longer supported for new domains. By default, Azure Static Web Apps provides an autogenerated domain name for your website, but you can point a custom domain to your site. Free SSL/TLS certificates are automatically created for the autogenerated domain name and any custom domains you may add. When you map a custom domain to a static web app, you have a few options availa",2025-12-01T18:18:00.000Z,article,configuration,0.8,True,"Custom domain setup with TXT token requirement and options; involves DNS record types and service-specific behaviors, which are concrete configuration details.",unchanged
https://learn.microsoft.com/en-us/azure/static-web-apps/custom-domain-azure-dns,Set up a custom domain,Set up a custom domain with Azure DNS in Azure Static Web Apps,Set up Azure DNS custom domains for Static Web Apps,Use Azure DNS to manage your domain name for Azure Static Web Apps,"By default, Azure Static Web Apps provides an autogenerated domain name for your website, but you can point a custom domain to your site. Free SSL/TLS certificates are automatically created for the autogenerated domain name and any custom domains you may add. Suppose you buy the domainexample.comfrom a domain name registrar and then create a zone with the nameexample.comin Azure DNS. You wantwww.example.comto point to your Static Web Apps site.",2024-05-30T17:10:00.000Z,how-to,configuration,0.8,True,"Shows how to configure Azure DNS records (CNAME, TXT, etc.) to map domains to Static Web Apps; DNS record values and steps are product-specific configuration.",unchanged
https://learn.microsoft.com/en-us/azure/static-web-apps/custom-domain-default,Manage the default domain,Manage the default domain in Azure Static Web Apps,Manage default domain routing in Azure Static Web Apps,Learn to set and unset a default domain in Azure Static Web Apps,"Your static web app can be accessed using its automatically generated domain and any custom domains that you've configured. Optionally, you can configure your app to redirect all traffic to a default domain.",2022-02-14T23:02:00.000Z,conceptual,configuration,0.7,True,Covers how to set/unset a default domain and redirect traffic; involves specific settings/behaviors unique to Static Web Apps.,unchanged
https://learn.microsoft.com/en-us/azure/static-web-apps/custom-domain-external,Set up a custom domain,Set up a custom domain with external providers in Azure Static Web Apps,Use external DNS providers for Static Web Apps custom domains,Use an external provider to manage your custom domain in Azure Static Web Apps.,"By default, Azure Static Web Apps provides an autogenerated domain name for your website, but you can point a custom domain to your site. Free SSL/TLS certificates automatically get created for the autogenerated domain name and any custom domains that you might add. This article shows how to configure your domain name with thewwwsubdomain, using an external provider. There are multiple methods of configuring a custom domain for use with Static Web Apps:",2024-10-21T22:04:00.000Z,how-to,configuration,0.8,True,Explains DNS record configuration with external providers; includes specific record types and mapping patterns unique to Static Web Apps.,unchanged
