url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/azure-portal/admin-policies,Set admin policies for the Azure portal,Set Azure portal administrator policies - Azure portal,Configure tenant-wide Azure portal admin policies,Azure portal administrators can set options and policies for users in their organization.,Azure portal administrators (users with theGlobal Administrator role) can set policies that affect all users in the tenant. This article provides details on some of those options.,2025-11-18T16:11:00.000Z,how-to,security,0.65,True,"Targets portal-wide policies set by Global Administrator; likely includes specific policy options and their security impact, fitting product-specific security configuration.",unchanged
https://learn.microsoft.com/en-us/azure/azure-portal/azure-portal-add-remove-sort-favorites,"Add, remove, and sort favorites",Manage favorites in Azure portal - Azure portal,,Learn how to add or remove services from the Favorites list.,"TheFavoriteslist in the Azure portal lets you quickly go to the services you use most often. We've already added some common services to yourFavoriteslist, but you can customize it by adding or removing items. You're the only one who sees the changes you make toFavorites. You can view yourFavoriteslist in the Azure portal menu, or from theFavoritessection withinAll services.",2025-12-10T23:11:00.000Z,how-to,,0.1,False,Explains adding/removing favorites in the portal; purely UI usage without expert-level technical details.,unchanged
https://learn.microsoft.com/en-us/azure/azure-portal/azure-portal-dashboard-share-access,Share an Azure dashboard,Share Azure portal dashboards by using Azure role-based access control - Azure portal,Share Azure dashboards using Azure RBAC roles,This article explains how to share a dashboard in the Azure portal by using Azure role-based access control.,"After configuring a dashboard, you can publish it and share it with other users in your organization. When you share a dashboard, you can control who can view it by usingAzure role-based access control (Azure RBAC)to assign roles to either a single user or a group of users. You can select a role that allows them only to view the published dashboard, or a role that also allows them to modify it. Tip Within a dashboard, individual tiles enforce their own access control requirements based on the re",2025-06-19T08:00:00.000Z,how-to,security,0.7,True,"Explains sharing dashboards via Azure RBAC and mentions role selection; likely lists specific RBAC roles and access scopes, which are product-specific security details.",unchanged
https://learn.microsoft.com/en-us/azure/azure-portal/azure-portal-dashboards,Create an Azure dashboard,Create a dashboard in the Azure portal - Azure portal,,This article describes how to create and customize a dashboard in the Azure portal.,"Dashboards provide a focused and organized view of your cloud resources in the Azure portal. Use dashboards as a workspace where you can monitor resources and quickly launch tasks for day-to-day operations. For example, you can build custom dashboards based on projects, tasks, or user roles in your organization. The Azure portal provides a default dashboard as a starting point. You can edit this default dashboard, and you can create and customize additional dashboards. All dashboards are private",2026-05-27T17:14:00.000Z,how-to,,0.2,False,"Page is a how-to for creating and customizing Azure portal dashboards; no numeric limits, configuration parameter tables, error codes, or product-specific decision matrices are indicated.",unchanged
https://learn.microsoft.com/en-us/azure/azure-portal/azure-portal-dashboards-create-programmatically,Programmatically create an Azure dashboard,Programmatically create Azure Dashboards - Azure portal,Programmatically create Azure dashboards from JSON templates,Use a dashboard in the Azure portal as a template to programmatically create Azure Dashboards. Includes JSON reference.,This article shows you how to programmatically create and publish Azure dashboards. Use this process to create a deployable template based on any dashboard.,2026-02-02T23:11:00.000Z,how-to,configuration,0.75,True,Shows how to create/publish dashboards programmatically and includes JSON reference; contains concrete configuration fields and values for dashboard resources.,unchanged
https://learn.microsoft.com/en-us/azure/azure-portal/azure-portal-dashboards-structure,Structure of Azure dashboards,The structure of Azure dashboards - Azure portal,Understand Azure dashboard JSON structure and properties,Walk through the JSON structure of an Azure dashboard using an example dashboard. Includes reference to resource properties.,"This document walks through the structure of an Azure dashboard, using the following dashboard as an example: Since sharedAzure dashboards are resources, this dashboard can be represented as JSON. You can download the JSON representation of a dashboard by selectingExportand thenDownloadin the Azure portal.",2024-09-26T05:33:00.000Z,concept-article,configuration,0.8,True,Walks through JSON structure of dashboards and references resource properties; this is a configuration schema with specific property names and allowed values.,unchanged
https://learn.microsoft.com/en-us/azure/azure-portal/azure-portal-keyboard-shortcuts,Keyboard shortcuts,Azure portal keyboard shortcuts - Azure portal,Use global keyboard shortcuts in Azure portal,"The Azure portal supports global keyboard shortcuts to help you perform actions, navigate, and go to locations in the Azure portal.","This article lists keyboard shortcuts that work throughout the Azure portal. The letters that appear below represent letter keys on your keyboard. For example, to useG+N, hold down theGkey and then pressN.",2026-01-26T23:13:00.000Z,concept-article,configuration,0.7,True,Lists specific keyboard shortcut combinations and their actions; a detailed mapping of commands to keys unique to the portal.,unchanged
https://learn.microsoft.com/en-us/azure/azure-portal/azure-portal-markdown-tile,Use a custom markdown tile,Use a custom markdown tile on Azure dashboards - Azure portal,,Learn how to add a markdown tile to an Azure dashboard to display static content,"You can add a markdown tile to your Azure dashboards to display custom, static content. For example, you can show basic instructions, an image, or a set of hyperlinks on a markdown tile.",2025-06-19T08:00:00.000Z,how-to,,0.35,False,"Shows how to add a markdown tile; mostly UI and basic markdown usage, no product-specific limits or configuration matrices.",unchanged
https://learn.microsoft.com/en-us/azure/azure-portal/azure-portal-overview,What is the Azure portal?,What is the Azure portal? - Azure portal,,The Azure portal is a graphical user interface that you can use to manage your Azure services. Learn how to navigate and find resources in the Azure portal.,"The Azure portal is a web-based, unified console that you can use to create and manage all your Azure resources. By using the Azure portal, you can manage your Azure subscription through a graphical user interface. You can build, manage, and monitor everything from simple web apps to complex cloud deployments in the portal. For example, you can set up a new database, increase the compute power of your virtual machines, and monitor your monthly costs. You can review all available resources and us",2026-01-26T08:00:00.000Z,overview,,0.1,False,"High-level overview of the Azure portal UI and capabilities; no product-specific limits, configs, or detailed patterns.",unchanged
https://learn.microsoft.com/en-us/azure/azure-portal/azure-portal-quickstart-center,Get started with Azure Quickstart Center,Get started with the Azure Quickstart Center - Azure portal,,"Use the Azure Quickstart Center guided experience to get started with Azure. Learn to set up, migrate, and innovate.","Azure Quickstart Center is a guided experience in the Azure portal that helps you improve your Azure knowledge. For organizations new to Azure, it's the fastest way to set up a cloud environment.",2026-01-28T06:06:00.000Z,concept-article,,0.1,False,"Guided getting-started experience description; no detailed configuration parameters, limits, or decision matrices.",unchanged
