url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/virtual-wan/about-client-address-pools,About client address pools,About client address pools for P2S User VPN - Azure Virtual WAN,Plan P2S client address pools and scale for Virtual WAN,Learn about client address pools for P2S User VPN.,"This article describes Virtual WAN guidelines and requirements for allocating client address spaces. Point-to-site VPN gateways in a Virtual WAN hub are deployed with one or more highly available gateway instances. Each instance of a point-to-site VPN gateway can support up to 10,000 concurrent connections. As a result, for scale units greater than 40 (support for more than 10,000 concurrent connections), Virtual WAN deploys an extra gateway instance to service every 10,000 additional connecting",2023-03-01T23:04:00.000Z,concept-article,limits-quotas,0.95,True,"Explicitly states numeric limits: each P2S gateway instance supports up to 10,000 concurrent connections and describes scale-unit thresholds for adding instances.",unchanged
https://learn.microsoft.com/en-us/azure/virtual-wan/about-internet-routing,Internet access with routing intent,Securing Internet access with routing intent - Azure Virtual WAN,Routing intent patterns to secure internet access,Learn how to secure internet traffic with routing intent.,The following document describes different routing patterns you can use with Virtual WAN routing intent to inspect Internet-bound traffic.,2025-11-18T18:43:00.000Z,how-to,architecture-patterns,0.65,True,Describes concrete routing patterns for inspecting internet-bound traffic with routing intent; product-specific architecture guidance and trade-offs.,unchanged
https://learn.microsoft.com/en-us/azure/virtual-wan/about-nva-hub,Integrated NVAs in the virtual hub,About Network Virtual Appliances - Virtual WAN hub - Azure Virtual WAN,Use Network Virtual Appliances in a Virtual WAN hub,Learn about Network Virtual Appliances in a Virtual WAN hub.,"Customers can deploy select Network Virtual Appliances (NVAs) directly into a Virtual WAN hub in a solution that is jointly managed by Microsoft Azure and third-party Network Virtual Appliance vendors. Not all Network Virtual Appliances in Azure Marketplace can be deployed into a Virtual WAN hub. For a full list of available partners, see thePartnerssection of this article.",2026-05-26T08:00:00.000Z,concept-article,decision-making,0.65,True,"Explains which NVAs can be deployed directly into a Virtual WAN hub, references a specific partner list, and describes constraints and joint management behavior. This provides product-specific guidance on when and how to choose NVA-in-hub deployments versus other options, fitting decision-making around architecture choices.",unchanged
https://learn.microsoft.com/en-us/azure/virtual-wan/about-virtual-hub-routing,About virtual hub routing,About virtual hub routing - Azure Virtual WAN,Virtual hub routing capabilities and throughput limits,Learn about Virtual WAN virtual hub routing.,"The routing capabilities in a virtual hub are provided by a router that manages all routing between gateways using Border Gateway Protocol (BGP). A virtual hub can contain multiple gateways such as a Site-to-site VPN gateway, ExpressRoute gateway, Point-to-site gateway, Azure Firewall. This router also provides transit connectivity between virtual networks that connect to a virtual hub and can support up to an aggregate throughput of 50 Gbps. These routing capabilities apply to Standard Virtual ",2025-10-15T22:11:00.000Z,concept-article,limits-quotas,0.7,True,Describes virtual hub router capabilities including a specific aggregate throughput limit (50 Gbps) and scope of routing; numeric limit qualifies as expert quota information.,unchanged
https://learn.microsoft.com/en-us/azure/virtual-wan/about-virtual-hub-routing-preference,Virtual hub routing preference,Virtual WAN virtual hub routing preference - Azure Virtual WAN,Choose routing preference in Azure Virtual WAN hubs,Learn about Virtual WAN virtual hub routing preference.,"A Virtual WAN virtual hub connects to virtual networks (VNets) and on-premises using connectivity gateways, such as site-to-site (S2S) VPN gateway, ExpressRoute (ER) gateway, point-to-site (P2S) gateway, and SD-WAN Network Virtual Appliance (NVA). The virtual hub router provides central route management and enables advanced routing scenarios using route propagation, route association, and custom route tables. The virtual hub router takes routing decisions using built-in route selection algorithm",2026-03-24T17:13:00.000Z,concept-article,architecture-patterns,0.68,True,"The page describes how the virtual hub router makes routing decisions using a built-in route selection algorithm and advanced routing constructs (route propagation, association, custom route tables). This is product-specific routing/architecture guidance for Azure Virtual WAN rather than generic networking theory, and helps decide how to structure routing in a virtual hub. It does not focus on numeric limits, security, or deployment.",unchanged
https://learn.microsoft.com/en-us/azure/virtual-wan/about-vpn-profile-download,Extract and view profile information,Azure Virtual WAN: User VPN client profiles,Work with Azure Virtual WAN User VPN client profiles,This helps you work with the client profile file,The profile files contain information that is necessary to configure a VPN connection. This article helps you obtain and understand the information necessary for a User VPN client profile.,2025-02-05T05:33:00.000Z,how-to,configuration,0.7,True,Explains structure and fields of Virtual WAN User VPN client profile files; contains product-specific profile parameters and how they are used by clients.,unchanged
https://learn.microsoft.com/en-us/azure/virtual-wan/azure-monitor-insights,Azure Monitor Insights,Monitoring Virtual WAN using Azure Monitor Insights,,Learn about monitoring Azure Virtual WAN by using Azure Monitor Insights.,"Azure Monitor Insightsfor Azure Virtual WAN gives users and operators the ability to view the state and status of a Virtual WAN, presented via an autodiscovered topological map. Resource state and status overlays on the map give you a snapshot view of the overall health of the Virtual WAN. You can navigate resources on the map via one-click access to the resource configuration pages of the Virtual WAN portal. Virtual WAN resource-level metrics are collected and presented via a pre-packaged Virtu",2022-12-16T23:11:00.000Z,how-to,,0.2,False,"Describes Azure Monitor Insights view for Virtual WAN and its topology map; summary suggests UI overview rather than detailed configuration parameters, limits, or troubleshooting mappings.",unchanged
https://learn.microsoft.com/en-us/azure/virtual-wan/azure-vpn-client-linux-retirement,Migrate from the Azure VPN Client for Linux,Virtual WAN Azure VPN Client for Linux - Retirement Overview and Migration Guide - Azure Virtual WAN,Plan migration from Azure VPN Client for Linux,Learn how to migrate from the Azure VPN Client for Linux to a supported client for Azure Virtual WAN P2S connections.,"The Azure VPN Client for Linux (preview), which is the Microsoft-provided VPN client application used to establish Point-to-Site (P2S) connections from Linux machines to Azure VPN gateways (for both Virtual WAN and VPN Gateway), is being retired on August 31, 2026. The client remained in public preview since its release and doesn't have a path to general availability (GA). As part of Microsoft's ongoing effort to align Azure networking services with current security and reliability standards, we",2026-05-28T05:20:00.000Z,conceptual,decision-making,0.7,True,"Retirement and migration guide content typically includes concrete timelines, supported/unsupported paths, and specific replacement options, helping users decide which alternative clients and configurations to adopt; this is product- and date-specific expert knowledge not inferable from training.",unchanged
https://learn.microsoft.com/en-us/azure/virtual-wan/azure-vpn-client-optional-configurations,Configure optional settings,Azure VPN Client optional configuration steps: OpenVPN protocol - Azure Virtual WAN,Configure optional Azure VPN Client OpenVPN settings,Learn how to configure the Azure VPN Client optional configuration parameters for P2S OpenVPN connections.,"This article helps you configure optional settings for the Azure VPN Client for Virtual WAN User VPN point-to-site connections. You can configure DNS suffixes, custom DNS servers, custom routes, and VPN client-side forced tunneling. Note The Azure VPN Client is only supported for OpenVPN® protocol connections.",2025-03-07T23:05:00.000Z,how-to,configuration,0.8,True,"Details optional client-side parameters (DNS suffixes, custom DNS servers, custom routes, forced tunneling) with specific setting names and usage unique to Azure VPN Client.",unchanged
https://learn.microsoft.com/en-us/azure/virtual-wan/azure-vpn-client-prerequisites-check,Run Prerequisites Test,Azure VPN Client - prerequisites check - Azure Virtual WAN,Use Azure VPN Client prerequisites check for P2S,Learn how to run the Azure VPN Client prerequisites tool to identify missing prerequisites and mitigate them.,"If you're using the Azure VPN Client for Windows to connect to your point-to-site (P2S) VPN, you can run a prerequisites check to identify missing prerequisites and mitigate them. TheRun Prerequisites Testfeature checks the state of Windows services, background permissions for the client, local setting permissions, internet access, and user device time sync status. You can use this feature to do the following: TheRun Prerequisites Testfeature is available in the Azure VPN Client for Windows, ver",2025-03-17T17:02:00.000Z,how-to,troubleshooting,0.7,True,"Describes the Run Prerequisites Test feature, what it checks (specific Windows services, permissions, time sync) and how to mitigate failures—symptom-to-check mappings specific to Azure VPN Client.",unchanged
