url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/migrate/add-copilot-code-insights?view=migrate,Add code insights using GitHub Copilot modernization,Add Code Insights by Using GitHub Copilot Modernization - Azure Migrate,,Learn how to add code insights by using GitHub Copilot modernization and get a more accurate modernization strategy.,This article describes how to add code insights by using GitHub Copilot modernization when you're migrating applications to Azure services. Adding code insights helps you better assess migration readiness and get recommendations for migration strategies based on the code changes identified during the scan. Code insights for web apps provide changes required to modernize them to Azure Kubernetes Service (AKS) and Azure App Service. Code changes for an application are an aggregate of code changes ,2026-06-26T22:12:00.000Z,how-to,,0.2,False,"Procedural guide for adding GitHub Copilot-based code insights in Azure Migrate; no numeric limits, configuration parameter tables, error-code troubleshooting, or decision matrices. Primarily a how-to tutorial rather than expert-only reference content.",updated
https://learn.microsoft.com/en-us/azure/migrate/add-server-credentials?view=migrate,Provide server credentials,"Provide Server Credentials to Discover Software Inventory, Dependencies, Web apps, and SQL Server Instances and Databases - Azure Migrate",,Learn how to provide server credentials on appliance configuration manager.,"Follow this article to learn how to add multiple server credentials on the appliance configuration manager to perform software inventory (discover installed applications), agentless dependency analysis, and discover web apps, SQL Server instances, and databases. TheAzure Migrate applianceis a lightweight appliance used by Azure Migrate: Discovery and assessment to discover on-premises servers and send server configuration and performance metadata to Azure. The appliance can also be used to perfo",2026-06-14T17:24:00.000Z,how-to,,0.4,False,"How-to style guidance for adding server credentials on the Azure Migrate appliance; summary does not show detailed config parameter tables, security role names, or other expert-only specifics beyond standard procedural steps.",unchanged
https://learn.microsoft.com/en-us/azure/migrate/appcat/?view=migrate,Enable application and code assessment,Azure Migrate application and code assessment,,Learn about Azure Migrate application and code assessment.,Tools to assess application binaries and source code for cloud readiness.,2025-06-04T22:03:00Z,landing-page,,0.3,False,High-level entry page for application and code assessment tools; summary suggests conceptual overview rather than detailed config or limits.,unchanged
https://learn.microsoft.com/en-us/azure/migrate/appcat/appcat-7-cli-guide?view=migrate,CLI guide,CLI Command Guide for AppCAT 7 - Azure Migrate,Use AppCAT 7 CLI commands and options,Learn how to run the CLI for Azure Migrate application and code assessment tool.,This article describes the AppCAT CLI command usage.,2026-06-24T08:00:00.000Z,overview,configuration,0.7,True,"CLI command guide will enumerate commands, flags, and parameters specific to AppCAT 7, effectively serving as a configuration/options reference for running assessments; this is product-specific config knowledge.",updated
https://learn.microsoft.com/en-us/azure/migrate/appcat/appcat-7-interpret-report?view=migrate,Interpret the report,Interpret the AppCAT 7 Report - Azure Migrate,Interpret AppCAT 7 Java migration readiness reports,Learn how to interpret the AppCAT report.,This article guides you through the AppCAT report to help you understand it for assessing the readiness of your Java application for migration to Azure. The report provides a comprehensive overview of the application and its components. You can use this report to gain insights into the structure and dependencies of the application and to determine its suitability for replatforming and modernization.,2026-06-24T08:00:00.000Z,overview,decision-making,0.7,True,"Report interpretation guidance helps determine suitability for replatforming and modernization, mapping findings to migration decisions; this is product-specific decision-making support rather than generic concepts.",updated
https://learn.microsoft.com/en-us/azure/migrate/appcat/appcat-7-quickstart?view=migrate,Quickstart: Assess a Java project,Quickstart: Assess a Java Project using AppCAT 7 - Azure Migrate,,Learn how to assess a Java project using AppCAT 7.,"This quickstart shows you how to download, install, and run AppCAT 7 against a sample Java project.",2026-06-24T08:00:00.000Z,overview,,0.4,False,"Quickstart is a step-by-step tutorial for downloading, installing, and running AppCAT 7 on a sample project; it’s procedural rather than a catalog of limits, configs, or troubleshooting mappings.",updated
https://learn.microsoft.com/en-us/azure/migrate/appcat/appcat-7-release-notes?view=migrate,Release notes,Release Notes for AppCAT 7 - Azure Migrate,,Azure Migrate application and code assessment tool - release notes.,"This article provides the release notes for Azure Migrate application and code assessment for Java (AppCAT 7). It includes information about new features, bug fixes, and known issues.",2026-06-24T08:00:00.000Z,overview,,0.3,False,"Release notes typically list features, fixes, and known issues but not stable, reusable expert patterns like limits, configuration matrices, or troubleshooting mappings; content is version-changelog oriented.",updated
https://learn.microsoft.com/en-us/azure/migrate/appcat/appcat-7-rule-guide?view=migrate,Rule development guide,Rules Development Guide for AppCAT 7 - Azure Migrate,Develop custom YAML rules for AppCAT 7 assessments,Learn how to write and run custom rules for Azure Migrate application and code assessment tool.,"This guide is for engineers, consultants, and others who want to create custom YAML-based rules for Azure Migrate application and code assessment for Java version 7 (AppCAT) tools. For an overview, seeOverview of Azure Migrate Application and Code Assessment for Javaand for details, see theCLI command guide for AppCAT 7. AppCAT contains rule-based migration tools that analyze the APIs, technologies, and architectures used by the applications you plan to migrate. In fact, the AppCAT analysis proc",2026-06-24T08:00:00.000Z,overview,best-practices,0.7,True,"Rules development guide describes how to write and run custom YAML-based rules for AppCAT, including product-specific patterns and gotchas for rule authoring; this is actionable, tool-specific best-practice guidance.",updated
https://learn.microsoft.com/en-us/azure/migrate/appcat/dotnet?view=migrate,Assess .NET applications and code,Azure Migrate application and code assessment for .NET - Azure Migrate,Configure AppCAT for .NET application migration assessments,How to assess and replatform any type of .NET applications with the Azure Migrate application and code assessment tool to evaluate their readiness to migrate to Azure.,"Azure Migrate application and code assessment for .NET allows you to assess .NET source code, configurations, and binaries of your application to identify migration opportunities to Azure. It helps you identify any issues your application might have when ported to Azure and improve the performance, scalability, and security by suggesting modern, cloud-native solutions. It discovers application technology usage through static code analysis, supports effort estimation, and accelerates code replatf",2024-03-25T22:04:00.000Z,concept-article,configuration,0.68,True,Explains how the .NET assessment analyzes code/config/binaries and supports effort estimation; likely includes product-specific configuration and usage patterns for the tool.,unchanged
https://learn.microsoft.com/en-us/azure/migrate/appcat/faq?view=migrate,FAQ,Azure Migrate application and code assessment FAQ,,Answers to frequently asked questions about Azure Migrate application and code assessment.,"This article provides answers to some of the most common questions aboutAzure Migrate application and code assessment.
If your Azure issue isn't addressed in this article, visit the Azure forums onMicrosoft Q & A and Stack Overflow.
You can post your issue in these forums, or post to@AzureSupport on X.
You can also submit an Azure support request. To submit a support request, on theAzure support page, selectGet support.",2024-07-26T22:05:00.000Z,faq,,0.0,False,"FAQ description is high-level and support-oriented; no evidence of specific limits, configuration parameters, error codes, or other product-specific expert details.",unchanged
