url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/devops/artifacts/artifact-storage?view=azure-devops,Monitor storage consumption,Monitor Artifacts storage consumption - Azure Artifacts,Monitor and manage Azure Artifacts storage limits,Learn how to monitor Azure Artifacts storage usage at Organization and Project levels.,"Azure DevOps Services Azure Artifacts uses a consumption‑based billing model and supports storing various package types, including NuGet, npm, Python, Maven, Cargo, and Universal Packages. The free tier provides 2 GiB of storage but if you exceed this limit, you can either upgrade to a paid subscription or delete existing artifacts.
The artifact storage UI in your organization and project settings lets you monitor storage usage at both the organization and project levels. Storage is also grouped",2026-03-06T22:05:00.000Z,how-to,limits-quotas,0.78,True,"Page describes Azure Artifacts’ consumption-based storage with a specific free-tier limit (2 GiB) and what happens when that limit is exceeded, which is product- and tier-specific quota information not derivable from general knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/devops/artifacts/artifacts-key-concepts?view=azure-devops,Key concepts,Azure Artifacts key concepts - Azure Artifacts,,Understand the key concepts in Azure Artifacts.,Azure DevOps Services | Azure DevOps Server | Azure DevOps Server 2022 Azure Artifacts enable developers to host and share various types of packages to streamline collaboration and package distribution. This article covers the key concepts when working with Azure Artifacts.,2025-10-30T14:05:00.000Z,concept-article,,0.1,False,"Key concepts/overview page; no indication of numeric limits, config parameters, or troubleshooting content.",unchanged
https://learn.microsoft.com/en-us/azure/devops/artifacts/cargo/cargo-publish?view=azure-devops,Publish Cargo packages,Publish Cargo packages from the command line - Azure Artifacts,Publish Cargo packages from CLI to Azure Artifacts,Learn how to connect to your feed and publish your Cargo packages from the command line.,"Azure DevOps Services | Azure DevOps Server | Azure DevOps Server 2022 This article walks you through setting up your project, authenticating with your Azure Artifacts feed, and publishing Cargo packages from the command line.",2025-03-28T18:13:00.000Z,how-to,integrations,0.7,True,Shows Cargo publish configuration and Azure Artifacts registry endpoints.,unchanged
https://learn.microsoft.com/en-us/azure/devops/artifacts/cargo/cargo-restore?view=azure-devops,Restore Cargo packages,Restore Cargo packages (CLI) - Azure Artifacts,Restore Cargo packages from Azure Artifacts feeds,Learn how to connect to your feed and restore Cargo packages using the command line.,"Azure Artifacts enables developers to host various package types in a feed, whether published directly or saved from upstream sources. This guide helps you set up your project, authenticate with your Azure Artifacts feed, and use the command line to restore Cargo packages directly from your feed.",2025-08-18T22:39:00.000Z,how-to,integrations,0.7,True,"Shows how to configure Cargo to authenticate and pull from Azure Artifacts; likely includes .cargo/config entries, registry names, and Azure-specific endpoints.",unchanged
https://learn.microsoft.com/en-us/azure/devops/artifacts/cargo/cargo-upstream-source?view=azure-devops,Use packages from Crates.io,Consume Cargo packages from Crates.io - Azure Artifacts,Consume Cargo crates from Crates.io via Azure Artifacts,Learn how to consume Crates from Crates.io with Azure Artifacts.,Azure DevOps Services | Azure DevOps Server | Azure DevOps Server 2022 Azure Artifacts upstream sources enable developers to consume packages from public registries like Crates.io and nuget.org. This article will guide you through setting up your project and using the command line to consume Crates from Crates.io.,2025-10-07T18:04:00.000Z,quickstart,integrations,0.7,True,Guides configuring Cargo to use Crates.io through Azure Artifacts; includes registry configuration and Azure-specific endpoints.,unchanged
https://learn.microsoft.com/en-us/azure/devops/artifacts/cargo/project-setup-cargo?view=azure-devops,Project setup,Connect your Cargo project to an Azure Artifacts feed - Azure Artifacts,Connect Cargo projects to Azure Artifacts feeds,Learn how to set up your Cargo project and connect to an Azure Artifacts feed.,"Azure DevOps Services | Azure DevOps Server | Azure DevOps Server 2022 This article guides you through setting up your Cargo project, configuring the credential provider, and connecting to an Azure Artifacts feed.",2025-01-27T19:45:00.000Z,how-to,integrations,0.7,True,Cargo integration; includes credential provider setup and registry configuration unique to Azure Artifacts.,unchanged
https://learn.microsoft.com/en-us/azure/devops/artifacts/concepts/best-practices?view=azure-devops,Best practices,Azure Artifacts best practices - Azure Artifacts,Apply Azure Artifacts package management best practices,"Learn best practices for publishing, consuming, and managing packages with Azure Artifacts.","Azure DevOps Services | Azure DevOps Server | Azure DevOps Server 2022 Managing software packages can be a complex and time-consuming process, particularly when working with large-scale projects. Azure Artifacts provides a reliable package management solution that streamlines workflows and enhances team collaboration. To make the most of it, following best practices is essential to maintaining package integrity and quality. This article highlights key guidelines for creating, publishing, and con",2025-10-30T14:05:00.000Z,best-practice,best-practices,0.7,True,Explicitly a best-practices article; likely includes concrete DOs/DON’Ts and product-specific guidance for publishing and consuming packages.,unchanged
https://learn.microsoft.com/en-us/azure/devops/artifacts/concepts/feeds?view=azure-devops,What are feeds?,What are Azure Artifacts feeds? - Azure Artifacts,,"Learn what Azure Artifacts feeds are, explore the different feed types and how to manage them in Azure Artifacts.","Azure DevOps Services | Azure DevOps Server | Azure DevOps Server 2022 Azure Artifacts feeds are organizational constructs that allow you to store, manage, and share your packages while controlling access. A single feed can host multiple package types, including npm, NuGet, Maven, Python, Cargo, and Universal Packages packages.
Azure Artifacts feeds also support saving packages from public registries likenuget.orgthrough upstream sources, ensuring continued access to your packages even if the pu",2025-12-06T02:05:00.000Z,overview,,0.15,False,"Conceptual explanation of feeds and types; no evidence of limits, config matrices, or troubleshooting.",unchanged
https://learn.microsoft.com/en-us/azure/devops/artifacts/concepts/package-graph?view=azure-devops,Package graphs,Construct a complete package graph - Azure Artifacts,,Package graphs in Azure Artifacts,"Azure DevOps Services | Azure DevOps Server | Azure DevOps Server 2022 When releasing a package, it's crucial to ensure that all dependencies of that package are available in your feed by consuming them from an upstream source. Once you consume a package from an upstream source, a copy is saved to your feed. This ensures that even if the upstream source becomes inaccessible, your copy will continue to be available to both you and your feed consumers.",2025-05-28T22:18:00.000Z,quickstart,,0.4,False,"Conceptual explanation of package graphs and dependency availability; summary does not indicate concrete configuration values, limits, or error mappings.",unchanged
https://learn.microsoft.com/en-us/azure/devops/artifacts/concepts/symbols?view=azure-devops,Symbols overview,Symbol files - Azure Artifacts,,Working with symbols,"Azure DevOps Services | Azure DevOps Server | Azure DevOps Server 2022 To debug compiled executables from native languages like C and C++, you need symbol files that contain mapping information to the source code. These files are created from source code during compilation and generally have the PDB (program database) extension. Azure Artifacts offers a dedicated symbols server to publish your symbols.",2025-08-15T18:39:00.000Z,overview,,0.4,False,Conceptual explanation of symbol files and Azure Artifacts symbol server; summary does not indicate detailed configuration parameters or error mappings.,unchanged
