url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/import-export/storage-import-export-contact-microsoft-support,Contact Support,Create Support ticket or case for Azure Import/Export job,,Learn how to log support request for issues related to your Import/Export job.,"If you come across any issues with your Import/Export service, you can create a service request for technical support. This article walks you through:",2022-03-15T17:05:00.000Z,concept-article,,0.2,False,"Explains how to open a support ticket; procedural support guidance without technical limits, configuration parameters, or troubleshooting mappings.",unchanged
https://learn.microsoft.com/en-us/azure/import-export/storage-import-export-data-from-blobs,Export data from Blob storage,Tutorial to export data from Azure Blob storage with Azure Import/Export,,Learn how to create export jobs in Azure portal to transfer data from Azure Blobs.,"This article provides step-by-step instructions on how to use the Azure Import/Export service to securely export large amounts of data from Azure Blob storage. The service requires you to ship empty drives to the Azure datacenter. The service exports data from your storage account to the drives and then ships the drives back. In this tutorial, you learn how to:",2023-02-23T18:04:00.000Z,tutorial,,0.3,False,"Export tutorial from Blob storage; step-by-step usage, not deep configuration options, quotas, or troubleshooting matrices.",unchanged
https://learn.microsoft.com/en-us/azure/import-export/storage-import-export-data-to-blobs,Import data to Blob storage,Tutorial to import data to Azure Blob Storage with Azure Import/Export service,,Learn how to create import and export jobs in Azure portal to transfer data to and from Azure Blobs.,"This article provides step-by-step instructions on how to use the Azure Import/Export service to securely import large amounts of data to Azure Blob storage. To import data into Azure Blobs, the service requires you to ship encrypted disk drives containing your data to an Azure datacenter. In this tutorial, you learn how to:",2023-02-23T18:04:00.000Z,tutorial,,0.3,False,"Tutorial-style import walkthrough; primarily procedural steps, not configuration matrices, limits, or troubleshooting mappings.",unchanged
https://learn.microsoft.com/en-us/azure/import-export/storage-import-export-data-to-files,Import data to Azure Files,Tutorial to transfer data to Azure Files with Azure Import/Export,,Learn how to create import jobs in the Azure portal to transfer data to Azure Files.,"This article provides step-by-step instructions on how to use the Azure Import/Export service to securely import large amounts of data into Azure Files. To import data, the service requires you to ship supported disk drives containing your data to an Azure datacenter. The Import/Export service supports only import of Azure Files into Azure Storage. Exporting Azure Files isn't supported. In this tutorial, you learn how to:",2024-03-21T17:07:00.000Z,tutorial,,0.3,False,"Tutorial for importing to Azure Files; focused on steps rather than detailed limits, config parameter tables, or error-resolution content.",unchanged
https://learn.microsoft.com/en-us/azure/import-export/storage-import-export-determine-drives-for-export,Identify disks to use,Check number of drives needed for an export with Azure Import/Export,,Find out how many drives you need for an export using Azure Import/Export service.,"This article describes how to determine how many physical drives to provide for your Azure Import/Export export order. You'll use the Azure Import/Export tool. The article explains how to install and use the tool. The Azure Import/Export version 1 tool lists all blobs to be exported, and calculates how to pack them into drives of the specified size, taking into account any necessary overhead, then estimates the number of drives needed to hold the blobs and drive usage information. You can use 2.",2023-04-05T00:00:00.000Z,how-to,,0.5,False,"Focuses on using a tool to estimate number of drives; while it references a tool and behavior, it’s more procedural and capacity-estimation oriented without clear limits tables or config parameter matrices.",unchanged
https://learn.microsoft.com/en-us/azure/import-export/storage-import-export-encryption-key-portal,Use customer-managed keys,Use the Azure portal to configure customer-managed keys for Import/Export service,Configure customer-managed encryption keys for Azure Import/Export,"Learn how to use the Azure portal to configure customer-managed keys with Azure Key Vault for Azure Import/Export service. Customer-managed keys enable you to create, rotate, disable, and revoke acces","Azure Import/Export protects the BitLocker keys used to lock the drives via an encryption key. By default, BitLocker keys are encrypted with Microsoft-managed keys. For additional control over encryption keys, you can also provide customer-managed keys. Customer-managed keys must be created and stored in an Azure Key Vault. For more information about Azure Key Vault, seeWhat is Azure Key Vault? This article shows how to use customer-managed keys with Import/Export service in theAzure portal.",2022-03-15T17:05:00.000Z,how-to,security,0.85,True,"Describes configuring customer-managed keys with Azure Key Vault for Import/Export; this involves product-specific security configuration, key usage, and likely specific settings/permissions unique to this service.",unchanged
https://learn.microsoft.com/en-us/azure/import-export/storage-import-export-requirements,Review requirements,Requirements for Azure Import/Export service,Check Azure Import/Export hardware and software requirements,Understand the software and hardware requirements for Azure Import/Export service.,This article describes the important requirements for your Azure Import/Export service. We recommend that you review the information carefully before you use the Import/Export service and then refer back to it as necessary during the operation.,2022-05-25T17:03:00.000Z,concept-article,limits-quotas,0.8,True,"A requirements page for a data-transfer service typically lists supported drive types, file systems, OS versions, and other hard constraints with specific values; these are product-specific limits and compatibility details not generally known from training.",unchanged
https://learn.microsoft.com/en-us/azure/import-export/storage-import-export-service,What is Import/Export?,Using Azure Import/Export to transfer data to and from Azure Storage,,Learn how to create import and export jobs in the Azure portal for transferring data to and from Azure Storage.,Azure Import/Export service is used to securely import large amounts of data to Azure Blob storage and Azure Files by shipping disk drives to an Azure datacenter. This service can also be used to transfer data from Azure Blob storage to disk drives and ship to your on-premises sites. Data from one or more disk drives can be imported either to Azure Blob storage or Azure Files. Supply your own disk drives and transfer data with the Azure Import/Export service. You can also use disk drives supplie,2023-04-06T00:00:00.000Z,concept-article,,0.3,False,"High-level how-to/overview for using Import/Export; likely step-by-step portal usage without detailed limits, config tables, or error mappings.",unchanged
https://learn.microsoft.com/en-us/azure/import-export/storage-import-export-service-faq,FAQ,FAQ for Azure Import/Export service,Azure Import/Export service limits and behaviors FAQ,Read answers to frequently asked questions about Azure Import Export service.,The following are questions and answers that you might have when you use your Azure Import/Export service to transfer data into Azure storage.,2024-08-23T11:21:00.000Z,faq,limits-quotas,0.78,True,"FAQ includes product-specific operational details such as maximum drives per job, supported drive sizes and types, shipping and processing time expectations, and other concrete constraints unique to Azure Import/Export. These are effectively limits/quotas and behavioral constraints that are not inferable from general knowledge.",updated
https://learn.microsoft.com/en-us/azure/import-export/storage-import-export-tool-repairing-an-export-job-v1,Repair an export job,Repairing an Azure Import/Export export job - v1,Handle and repair failed Azure Export jobs (v1 tool),Learn how to repair an export job that was created and run using the Azure Import/Export service.,"Important Job repair is no longer supported by the Azure Import/Export tool. In version 1.5.0.300 and later, you'll need to fix the issues in your blob export and thencreate a new export job. After an export job has completed, you can run the Microsoft Azure Import/Export Tool on-premises to: Download any files that the Azure Import/Export service was unable to export. Validate that the files on the drive were correctly exported. You must have connectivity to Azure Storage to use this functional",2022-03-15T17:05:00.000Z,how-to,troubleshooting,0.75,True,"Covers using the Import/Export tool to download missing files and validate exported drives after job completion; maps specific failure scenarios to tool-based resolutions, which is product-specific troubleshooting.",unchanged
