url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/service-bus-messaging/advanced-features-overview,Overview of advanced features,Advanced Features in Azure Service Bus Messaging - Azure Service Bus,,"This article provides a high-level overview of advanced features in Azure Service Bus such as sessions, scheduled delivery, autodelete on idle, etc.",Service Bus includes advanced features that help you solve more complex messaging problems. This article describes several of these features.,2026-02-11T06:12:00.000Z,concept-article,,0.45,False,"High-level overview of advanced features (sessions, scheduled delivery, etc.); does not appear to include detailed limits or config matrices.",unchanged
https://learn.microsoft.com/en-us/azure/service-bus-messaging/authenticate-application,Authenticate from an application,Authenticate an Application to Access Azure Service Bus Entities - Azure Service Bus,Authenticate applications to Azure Service Bus with Entra ID,This article provides information about authenticating an application with Microsoft Entra ID to access Azure Service Bus entities like queues and topics.,"Azure Service Bus supports using Microsoft Entra ID to authorize requests to Service Bus entities (queues, topics, subscriptions, or filters). With Microsoft Entra ID, you can use Azure role-based access control (Azure RBAC) to grant permissions to a security principal. The security principal can be a user, group, application service principal, ormanaged identity for Azure resources. A key advantage of using Microsoft Entra ID with Azure Service Bus is that you don't need to store your credentia",2026-04-23T06:20:00.000Z,concept-article,security,0.83,True,"Article describes how to authenticate applications via Microsoft Entra ID and Azure RBAC, including specific Service Bus roles and permission scopes, which are concrete security configuration details.",unchanged
https://learn.microsoft.com/en-us/azure/service-bus-messaging/automate-update-messaging-units,Automatically update messaging units,Azure Service Bus - Automatically update messaging units - Azure Service Bus,,This article shows you how you can use automatically update messaging units of a Service Bus namespace.,"Autoscale ensures you have the right amount of resources running to handle the load on your application. It adds resources to handle increases in load and also saves money by removing resources that are idle. To learn more about the Autoscale feature of Azure Monitor, seeOverview of autoscale in Microsoft Azure. Service Bus Premium Messaging provides resource isolation at the CPU and memory level so that each customer workload runs in isolation. This resource container is called amessaging unit.",2026-04-08T06:10:00.000Z,how-to,,0.2,False,"From the summary, the article conceptually describes autoscale and messaging units for Service Bus Premium but does not clearly indicate the presence of specific numeric limits, configuration parameter tables, or detailed autoscale thresholds. Without evidence of exact values, settings tables, or error mappings, it does not meet the expert-knowledge criteria for any sub-skill type.",unchanged
https://learn.microsoft.com/en-us/azure/service-bus-messaging/batch-delete,Delete messages in Service Bus,Delete messages from Azure Service Bus - Azure Service Bus,Programmatically delete Service Bus messages in batches,This article explains how to delete messages in Azure Service Bus programmatically.,"Azure Service Bus is a fully managed enterprise integration message broker that enables you to send and receive messages between decoupled applications and services. However, sometimes you might want to delete messages from a queue or subscription without processing them, for example, if they're expired, corrupted, or irrelevant. This article shows you how to delete messages in batches in Azure Service Bus.",2025-11-05T18:14:00.000Z,article,integrations,0.65,True,"Shows how to delete messages via code, likely including SDK methods, parameters, and constraints specific to Service Bus batch deletion.",unchanged
https://learn.microsoft.com/en-us/azure/service-bus-messaging/build-message-driven-apps-nservicebus,Build message-driven business applications with NServiceBus,Build message-driven applications with NServiceBus and Azure Service Bus - Azure Service Bus,Build message-driven systems on Service Bus with NServiceBus,Learn how to solve complex problems with distributed systems on Azure Service Bus using the NServiceBus framework.,"NServiceBus is a commercial messaging framework provided by Particular Software. It's built on top of Azure Service Bus and helps developers focus on business logic by abstracting infrastructure concerns. In this guide, we'll build a solution that exchanges messages between two services. We'll also show how to automatically retry failing messages and review options for hosting these services in Azure. Note The code for this tutorial is available on theParticular Software Docs web site.",2024-06-21T00:28:00.000Z,how-to,architecture-patterns,0.6,True,"Shows patterns for distributed systems using NServiceBus on Service Bus, including retries and hosting options; contains product-specific architectural guidance and trade-offs.",unchanged
https://learn.microsoft.com/en-us/azure/service-bus-messaging/compare-messaging-services,Compare messaging services,Compare Messaging Services - Azure Service Bus,"Choose between Azure Event Grid, Event Hubs, and Service Bus","Compare Azure Event Grid, Event Hubs, and Service Bus. Learn the differences between event routing, streaming, and enterprise messaging to choose the right service.","Azure provides several services for delivering events and messages throughout a solution. Each service targets different scenarios, from reactive event routing to high-throughput streaming to enterprise-grade transactional messaging. This article compares the following services:",2026-06-12T22:22:00.000Z,product-comparison,decision-making,0.7,True,"The page compares Azure messaging services with scenario-based guidance to help choose the right service. It focuses on when to use each (event routing vs streaming vs enterprise messaging) and provides decision-making criteria, which fits the decision-making sub-skill. While it may not have many numeric thresholds, it is explicitly framed as a comparison to select the appropriate service.",unchanged
https://learn.microsoft.com/en-us/azure/service-bus-messaging/confidential-computing,Confidential computing,Azure Service Bus with confidential computing - Azure Service Bus,Enable confidential computing for Service Bus Premium,Learn how to enable confidential computing on Azure Service Bus Premium namespaces to protect data in use with hardware-based trusted execution environments.,"Azure Service Bus Premium supportsconfidential computingto protect your messaging data in use. Confidential computing uses hardware-based trusted execution environments (TEEs) to provide enhanced data protection, preventing unauthorized access to your messages while they're being processed. When you enable confidential computing on a Service Bus Premium namespace, your data benefits from hardware-level isolation in addition to existing encryption at rest and in transit. This capability helps org",2026-02-24T23:11:00.000Z,conceptual,security,0.75,True,Explains how to enable confidential computing on Premium namespaces and its security implications—service-specific security configuration.,unchanged
https://learn.microsoft.com/en-us/azure/service-bus-messaging/configure-customer-managed-key,Encrypt data using customer-managed keys,Configure your own key for encrypting Azure Service Bus data at rest - Azure Service Bus,Configure customer-managed keys for Service Bus encryption,This article provides information on how to configure your own key for encrypting Azure Service Bus data rest.,"Azure Service Bus Premium provides encryption of data at rest with Azure Storage Service Encryption (Azure SSE). Service Bus Premium uses Azure Storage to store the data. All the data that's stored in Azure Storage is encrypted using Microsoft-managed keys. If you use your own key (also referred to as Bring Your Own Key (BYOK) or customer-managed key), the data is still encrypted using the Microsoft-managed key, but in addition the Microsoft-managed key is encrypted using the customer-managed ke",2026-02-24T23:11:00.000Z,concept-article,security,0.8,True,"Describes how to set up CMK/BYOK with Key Vault, including key identifiers and namespace settings specific to Service Bus encryption at rest.",unchanged
https://learn.microsoft.com/en-us/azure/service-bus-messaging/deprecate-service-bus-management,Migrate from Azure Service Manager (classic) APIs to Resource Manager APIs,Azure messaging services - Service Manager to Resource Manager - Azure Service Bus,Map classic Service Bus management APIs to ARM,This article provides mapping of deprecated Azure Service Manager REST API & PowerShell cmdlets to Resource Manager REST API & PowerShell cmdlets.,"Resource Manager, our next-generation cloud infrastructure stack, is fully replacing the ""classic"" Azure Service Management model (classic deployment model). As a result, classic deployment model REST APIs for Service Bus, Relay, and Event Hubs will be retired on December 1, 2021. This deprecation was first announced on aMicrosoft Tech Community announcement. For easy identification, these APIs havemanagement.core.windows.netin their URI. Refer to the following table for a list of the deprecated",2025-01-16T08:00:00.000Z,article,configuration,0.65,True,"Contains detailed mapping tables from deprecated Service Manager REST/PowerShell operations to specific Resource Manager APIs and cmdlets, which are product-specific configuration/management references.",unchanged
https://learn.microsoft.com/en-us/azure/service-bus-messaging/disable-local-authentication,Disable local or SAS authentication,Disable local authentication with Azure Service Bus - Azure Service Bus,Disable SAS local authentication for Azure Service Bus,This article explains how to disable local or Shared Access Signature key authentication for a Service Bus namespace and use only Microsoft Entra ID.,"You can authenticate to Azure Service Bus resources in two ways: Microsoft Entra ID provides superior security and ease of use over shared access signatures (SAS). By using Microsoft Entra ID, you don't need to store tokens in your code, which reduces potential security vulnerabilities. Use Microsoft Entra ID with your Azure Service Bus applications when possible. This article explains how to disable SAS key authentication (or local authentication) and use only Microsoft Entra ID for authenticat",2026-03-20T06:13:00.000Z,how-to,security,0.7,True,"Page is focused on configuring authentication for Azure Service Bus by disabling local/SAS key auth in favor of Microsoft Entra ID. This is product-specific security configuration, likely including exact setting names, portal/ARM options, and required permissions. It does not fit limits, deployment, or generic best practices as closely as security.",unchanged
https://learn.microsoft.com/en-us/azure/service-bus-messaging/duplicate-detection,Duplicate message detection,Azure Service Bus duplicate message detection - Azure Service Bus,Configure duplicate message detection in Azure Service Bus,This article explains how you can detect duplicates in Azure Service Bus messages. The duplicate message can be ignored and dropped.,"If an application fails due to a fatal error immediately after sending a message, and the restarted application instance mistakenly believes that the prior message delivery didn't occur, a subsequent send causes the same message to appear in the system twice. It's also possible for an error at the client or network level to occur a moment earlier, and for a sent message to be committed into the queue, with the acknowledgment not successfully returned to the client. This scenario leaves the clien",2026-06-03T08:00:00.000Z,concept-article,best-practices,0.68,True,"A duplicate detection article for Service Bus typically includes product-specific guidance such as how to set the DuplicateDetectionHistoryTimeWindow, how message IDs are used, and how to configure or use this feature to avoid duplicate processing in concrete failure scenarios. The summary already describes specific failure patterns (acknowledgment not returned, client retries) and how the system handles duplicates, which are product-specific gotchas and usage recommendations rather than just conceptual theory, fitting best-practices.",unchanged
https://learn.microsoft.com/en-us/azure/service-bus-messaging/enable-auto-forward,Enable auto forwarding for a queue or subscription,Enable auto forwarding for Azure Service Bus queues and subscriptions - Azure Service Bus,Configure auto-forwarding for Service Bus queues and subscriptions,"This article explains how to enable auto forwarding for queues and subscriptions by using Azure portal, PowerShell, CLI, and programming languages (C#, Java, Python, and JavaScript)","The Service Bus auto forwarding feature enables you to chain a queue or subscription to another queue or topic that is part of the same namespace. When auto forwarding is enabled, Service Bus automatically removes messages that are placed in the first queue or subscription (source) and puts them in the second queue or topic (destination). It's still possible to send a message to the destination entity directly. For more information, SeeChaining Service Bus entities with auto forwarding. This art",2023-10-16T22:16:00.000Z,how-to,configuration,0.75,True,"Details the auto-forwarding property names and how to set them via portal, CLI, PowerShell, and SDKs, which are specific configuration parameters.",unchanged
https://learn.microsoft.com/en-us/azure/service-bus-messaging/enable-dead-letter,Enable dead lettering for a queue or subscription,Enable dead lettering for Azure Service Bus queues and subscriptions - Azure Service Bus,Enable dead-lettering for Service Bus queues and subscriptions,"This article explains how to enable dead lettering for queues and subscriptions by using Azure portal, PowerShell, CLI, and programming languages (C#, Java, Python, and JavaScript)","Azure Service Bus queues and subscriptions for topics provide a secondary subqueue, called a dead-letter queue (DLQ). The dead-letter queue doesn't need to be explicitly created and can't be deleted or managed independent of the main entity. The purpose of the dead-letter queue is to hold messages that can't be delivered to any receiver, or messages that couldn't be processed. For more information, SeeOverview of Service Bus dead-letter queues. This article shows you different ways to enable dea",2026-02-24T23:11:00.000Z,how-to,configuration,0.75,True,"Shows how to configure DLQ behavior with specific flags and settings across management surfaces, which are product-specific configuration details.",unchanged
https://learn.microsoft.com/en-us/azure/service-bus-messaging/enable-duplicate-detection,Enable duplicate detection for a queue or topic,Enable duplicate message detection - Azure Service Bus,Configure duplicate message detection in Service Bus,"This article explains how to enable duplicate message detection using Azure portal, PowerShell, CLI, and programming languages (C#, Java, Python, and JavaScript)","When you enable duplicate detection for a queue or topic, Azure Service Bus keeps a history of all messages sent to the queue or topic for a configured amount of time. During that interval, your queue or topic won't store any duplicate messages. Enabling this property guarantees exactly once delivery over a user-defined span of time. For more information, SeeDuplicate detection. This article shows you different ways to enable duplicate message detection for a Service Bus queue or a topic. Note",2026-04-22T17:34:00.000Z,how-to,configuration,0.7,True,"Page focuses on how to enable duplicate detection via portal, CLI, PowerShell, and SDKs, which typically includes entity-specific property names (e.g., RequiresDuplicateDetection, DuplicateDetectionHistoryTimeWindow) and configuration patterns unique to Azure Service Bus rather than just conceptual description.",unchanged
https://learn.microsoft.com/en-us/azure/service-bus-messaging/enable-message-sessions,Enable sessions for a queue or subscription,Enable Azure Service Bus message sessions - Azure Service Bus,Enable and configure Service Bus message sessions,"This article explains how to enable message sessions using Azure portal, PowerShell, CLI, and programming languages (C#, Java, Python, and JavaScript)","Azure Service Bus sessions enable joint and ordered handling of unbounded sequences of related messages. Sessions can be used infirst in, first out (FIFO)andrequest-responsepatterns. For more information, SeeMessage sessions. This article shows you different ways to enable sessions for a Service Bus queue or subscription. Important",2023-10-16T22:16:00.000Z,how-to,configuration,0.75,True,"Shows exact settings and API calls in portal, CLI, PowerShell, and SDKs to enable sessions, which are product-specific configuration parameters.",unchanged
https://learn.microsoft.com/en-us/azure/service-bus-messaging/enable-partitions-basic-standard,Enable partitions (basic / standard),Enable partitioning in Azure Service Bus basic or standard - Azure Service Bus,Enable partitioning for Service Bus queues and topics,"This article explains how to enable partitioning in Azure Service Bus queues and topics by using Azure portal, PowerShell, CLI, and programming languages (C#, Java, Python, and JavaScript)","Service Bus partitions enable queues and topics, or messaging entities, to be partitioned across multiple message brokers. Partitioning means that the overall throughput of a partitioned entity is no longer limited by the performance of a single message broker. In addition, a temporary outage of a message broker, for example during an upgrade, doesn't render a partitioned queue or topic unavailable. Partitioned queues and topics can contain all advanced Service Bus features, such as support for ",2026-04-22T17:34:00.000Z,how-to,configuration,0.7,True,"Page explains enabling partitioning using portal, CLI, PowerShell, and SDKs, which implies detailed configuration properties and flags specific to Service Bus entities (e.g., EnablePartitioning) and how to set them, going beyond generic concepts.",unchanged
https://learn.microsoft.com/en-us/azure/service-bus-messaging/enable-partitions-premium,Enable partitions for queues or topics in premium tier,Enable partitioning in Azure Service Bus Premium namespaces - Azure Service Bus,,"This article explains how to enable partitioning in Azure Service Bus Premium namespaces by using Azure portal, PowerShell, CLI, and programming languages (C#, Java, Python, and JavaScript)","Service Bus partitions enable queues and topics, or messaging entities, to be partitioned across multiple message brokers. Partitioning means that the overall throughput of a partitioned entity is no longer limited by the performance of a single message broker. Partitioned queues and topics can contain all advanced Service Bus features, such as support for transactions and sessions. For more information, seePartitioned queues and topics. This article shows you different ways to enable partitioni",2026-03-11T05:11:00.000Z,how-to,,0.3,False,"How-to article for enabling partitioning via portal/CLI/SDKs; summary does not indicate specific limits, quotas, or detailed configuration tables with defaults/ranges. Appears to be procedural/tutorial content rather than expert reference data.",unchanged
https://learn.microsoft.com/en-us/azure/service-bus-messaging/entity-suspend,Suspend and reactivate messaging entities,Azure Service Bus - suspend messaging entities - Azure Service Bus,Suspend and reactivate Azure Service Bus entities,"This article explains how to temporarily suspend and reactivate Azure Service Bus message entities (queues, topics, and subscriptions).","Queues, topics, and subscriptions can be temporarily suspended. Suspension puts the entity into a disabled state in which all messages are maintained in storage. However, messages can't be removed or added, and the respective protocol operations yield errors. You may want to suspend an entity for urgent administrative reasons. For example, a faulty receiver takes messages off the queue, fails processing, and yet incorrectly completes the messages and removes them. In this case, you may want to d",2023-03-10T00:00:00.000Z,article,configuration,0.7,True,"Explains how to disable/enable queues, topics, and subscriptions with specific state flags and management operations unique to Service Bus.",unchanged
https://learn.microsoft.com/en-us/azure/service-bus-messaging/explorer,Use Service Bus Explorer,Service Bus Explorer Guide for Data Operations - Azure Service Bus,,This article provides information on how to use the portal-based Azure Service Bus Explorer to access Azure Service Bus data.,Azure Service Bus enables sender and receiver client applications to decouple their business logic by using familiar point-to-point (Queue) and publish-subscribe (Topic-Subscription) semantics. Note This article highlights the functionality of the Azure Service Bus Explorer that's part of the Azure portal. The community ownedopen source Service Bus Exploreris a standalone application and is different from this one. You can run two kinds of operations on an Azure Service Bus namespace. Important,2026-05-26T22:16:00.000Z,how-to,,0.3,False,"Portal usage guide for Service Bus Explorer data operations; summary does not indicate numeric limits, config tables, error-code mappings, or other product-specific expert details—primarily a how-to UI/tutorial.",unchanged
