url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/azure-web-pubsub/concept-azure-ad-authorization,Microsoft Entra Authorization,Authorize access with Microsoft Entra ID for Azure Web PubSub,Authorize Web PubSub access with Microsoft Entra ID,This article provides information on authorizing access to Azure Web PubSub Service resources using Microsoft Entra ID.,"The Azure Web PubSub Service enables the authorization of requests to Azure Web PubSub resources by utilizing Microsoft Entra ID. By utilizing role-based access control (RBAC) with Microsoft Entra ID, permissions can be granted to a security principal[1]. Microsoft Entra authorizes this security principal and returns an OAuth 2.0 token, which Web PubSub resources can then use to authorize a request. Using Microsoft Entra ID for authorization of Web PubSub requests offers improved security and ea",2025-03-16T11:10:00.000Z,conceptual,security,0.85,True,"Covers RBAC with Entra ID, including specific roles, scopes, and token usage for Web PubSub—product-specific security configuration details.",unchanged
https://learn.microsoft.com/en-us/azure/azure-web-pubsub/concept-billing-model,Billing model,Billing model of Azure Web PubSub service,Understand Azure Web PubSub billing model,An overview of key concepts about billing model of Azure Web PubSub service.,The billing model for Azure Web PubSub service is based on the number of units allocated and the message count of outbound traffic. This article explains how units and outbound traffic (message count) are defined and counted for billing.,2023-08-01T11:17:00.000Z,conceptual,decision-making,0.7,True,Billing model article defines how units and outbound messages are counted; this supports cost/performance trade-off decisions and likely includes concrete pricing-related thresholds.,unchanged
https://learn.microsoft.com/en-us/azure/azure-web-pubsub/concept-client-protocols,Client protocol overview,WebSocket client protocols for Azure Web PubSub,,This article presents an overview of the client protocols for Azure Web PubSub.,Clients connect to Azure Web PubSub by using the standardWebSocketprotocol.,2026-04-01T08:46:00.000Z,conceptual,,0.3,False,"Overview of WebSocket client protocols; appears conceptual without detailed parameter tables, limits, or troubleshooting content.",unchanged
https://learn.microsoft.com/en-us/azure/azure-web-pubsub/concept-disaster-recovery,Disaster recovery,Resiliency and disaster recovery in Azure Web PubSub Service,Design resilient multi-region Azure Web PubSub,An overview on how to set up multiple Azure Web PubSub service instances to achieve resiliency and disaster recovery.,"Resiliency and disaster recovery is a common need for online systems. Azure Web PubSub Service already guarantees 99.9% availability, but it's still a regional service. When there is a region-wide outage, it is critical for the service to continue processing real-time messages in a different region. For regional disaster recovery, we recommend the following two approaches: Note To learn more about reliability in Azure Web PubSub, including how your solution can be resilient to various types of f",2023-08-23T11:20:00.000Z,concept-article,architecture-patterns,0.68,True,"The page goes beyond conceptual DR to recommend specific multi-instance patterns for Azure Web PubSub, including when to use each approach for regional outages. It provides product-specific architectural guidance for resiliency and disaster recovery rather than generic theory, fitting the architecture-patterns sub-skill.",unchanged
https://learn.microsoft.com/en-us/azure/azure-web-pubsub/concept-metrics,Metrics,Metrics in Azure Web PubSub service,Use metrics and alerts for Azure Web PubSub,Metrics in Azure Web PubSub service.,Azure Web PubSub service has some built-in metrics and you and sets upalertsbase on metrics.,2025-05-19T17:08:00.000Z,concept-article,configuration,0.65,True,"Metrics article will list metric names, dimensions, and units specific to Web PubSub, which are configuration/monitoring parameters not generally known.",unchanged
https://learn.microsoft.com/en-us/azure/azure-web-pubsub/concept-performance,Performance considerations,Performance guide for Azure Web PubSub Service,Plan Web PubSub performance and capacity,An overview of the performance and benchmark of Azure Web PubSub Service. Key metrics to consider when planning the capacity.,"One of the key benefits of using Azure Web PubSub Service is the ease of scaling. In a large-scale scenario, performance is an important factor. In this guide, we introduce the factors that affect Web PubSub service performance. We describe typical performance in different use-case scenarios.",2024-03-26T11:23:00.000Z,conceptual,limits-quotas,0.7,True,"Performance guide and benchmarks typically include concrete throughput, connection counts, and latency metrics per unit/tier, which are numeric limits and planning thresholds.",unchanged
https://learn.microsoft.com/en-us/azure/azure-web-pubsub/concept-service-internals,Service internals,Azure Web PubSub service internals,,"Learn about Azure Web PubSub Service internals, the architecture, the connections and how data is transmitted.",Azure Web PubSub Service provides an easy way to publish/subscribe messages using simpleWebSocketconnections.,2026-05-21T08:00:00.000Z,concept-article,,0.3,False,"Page appears to be a conceptual/architectural overview of Azure Web PubSub internals (connections, data flow, architecture) without clear evidence of numeric limits, configuration tables, error-code-based troubleshooting, or other product-specific expert details as defined by the sub-skill types.",unchanged
https://learn.microsoft.com/en-us/azure/azure-web-pubsub/concept-wildcard-group-roles,Wildcard group role patterns,Use wildcard group role patterns,Configure wildcard group role permissions in Azure Web PubSub,Learn how to grant Azure Web PubSub clients permissions to many groups using wildcard role patterns.,"Azure Web PubSub now supports wildcard pattern matching in client ""group"" roles so you can authorize a client for many related groups with a single role string. You can continue to use the existing literal roles: But you can now also use the new pattern roles: Where{pattern}follows the wildcard syntax below.",2026-04-01T08:46:00.000Z,conceptual,security,0.7,True,"Describes wildcard group role patterns for client authorization, which is product-specific security/authorization configuration. Likely includes concrete role string formats and pattern syntax unique to Azure Web PubSub.",unchanged
https://learn.microsoft.com/en-us/azure/azure-web-pubsub/howto-authorize-from-application,Authorize from an Azure application,Authorize an application request by using Microsoft Entra ID,Authorize Azure Web PubSub requests with Microsoft Entra applications,This article provides information about authorizing requests to Azure Web PubSub resources with Microsoft Entra applications.,Azure Web PubSub Service supports Microsoft Entra ID for authorizing requests withMicrosoft Entra applications. This article explains how to set up your resource and code to authenticate requests to the resource using a Microsoft Entra application.,2025-03-16T11:10:00.000Z,conceptual,security,0.7,True,Details how to configure Microsoft Entra applications and code to authorize Web PubSub requests; includes product-specific RBAC/auth patterns.,unchanged
https://learn.microsoft.com/en-us/azure/azure-web-pubsub/howto-authorize-from-managed-identity,Authorize from a managed identity,Authorize a managed identity request,Authorize Azure Web PubSub with managed identity,This article provides information about authorizing requests to Azure Web PubSub resources with Managed identities for Azure resources.,Azure Web PubSub Service supports Microsoft Entra ID for authorizing requests fromManaged identities for Azure resources. This article explains how to set up your resource and code to authorize requests to the resource using a managed identity.,2025-03-16T11:10:00.000Z,how-to,security,0.78,True,"How-to for configuring Microsoft Entra/managed identity auth to Web PubSub, likely includes specific role assignments, scopes, and endpoint/claim details that are product-specific security configuration.",unchanged
