url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/planetary-computer/add-stac-item-to-collection,Add a STAC item to a collection,Adding STAC Items to Collections in Microsoft Planetary Computer Pro,Ingest STAC items into GeoCatalog collections,Learn how to add and use STAC Items in Microsoft Planetary Computer Pro GeoCatalog and Python.,"In this quickstart, you ingest SpatioTemporal Asset Catalog (STAC) items to a collection in Microsoft Planetary Computer Pro GeoCatalog using the single item ingestion API. STAC items are the fundamental building block of STAC that contain properties for querying and links to the data assets.",2026-06-03T05:14:00.000Z,quickstart,integrations,0.65,True,"Quickstart for using the single-item ingestion API to add STAC items. This likely includes concrete API paths, JSON schemas, and parameters unique to the GeoCatalog ingestion API, fitting integrations & coding patterns.",unchanged
https://learn.microsoft.com/en-us/azure/planetary-computer/api-tutorial,Using the Microsoft Planetary Computer Pro APIs,Microsoft Planetary Computer Pro API Usage Guide,Use Planetary Computer Pro APIs for STAC data,"In this tutorial, you'll create and store satellite imagery within a Microsoft Planetary Computer Pro GeoCatalog","STAC (SpatioTemporal Asset Catalog) Collections are used within a GeoCatalog to index and store related spatiotemporal assets. In this end-to-end tutorial, you'll create a new STAC collection, ingest Sentinel-2 images into the collection, and query those images via GeoCatalog's APIs. In this tutorial, you: This tutorial shows and explains capabilities through code snippets, for an interactive notebook style experience,download this tutorial as a Jupyter notebook. Tip This tutorial demonstrates t",2026-06-03T05:14:00.000Z,tutorial,integrations,0.6,True,"End-to-end API usage tutorial for creating collections, ingesting Sentinel-2 imagery, and querying via GeoCatalog APIs. Likely contains concrete API endpoints, request/response schemas, and parameters unique to Planetary Computer Pro, fitting integrations & coding patterns.",unchanged
https://learn.microsoft.com/en-us/azure/planetary-computer/application-authentication,Application authentication,Application Authentication in Microsoft Planetary Computer Pro,Configure application authentication to Planetary Computer Pro with Entra ID,This article provides guidance on setting up application authentication and access to Microsoft Planetary Computer Pro using Microsoft Entra ID and managed identities.,"This article provides step-by-step guidance for developers and administrators to set up secure application authentication and access to Microsoft Planetary Computer Pro. By applying Microsoft Entra ID and managed identities, applications can authenticate seamlessly without managing credentials, ensuring secure interaction with Planetary Computer Pro resources. Whether your application runs on Azure or other environments, this guide outlines the necessary configurations, including role-based acce",2026-01-09T23:14:00.000Z,how-to,security,0.8,True,"Step-by-step application auth setup including Entra ID, managed identities, RBAC, and scopes—product-specific security configuration.",unchanged
https://learn.microsoft.com/en-us/azure/planetary-computer/assign-managed-identity-geocatalog-resource,Using managed identities with GeoCatalog resource,Using managed identities with GeoCatalog resource,Use managed identities with Planetary Computer GeoCatalog,"Learn how to add, update, or remove a user-assigned managed identity for a Microsoft Planetary Computer Pro GeoCatalog resource.","This article shows you how to add, update, or remove a user-assigned managed identity for a GeoCatalog resource using the Azure CLI or Azure SDKs.",2026-06-11T22:20:00.000Z,how-to,security,0.72,True,"The article describes how to add, update, or remove a user-assigned managed identity for GeoCatalog resources via Azure CLI/SDKs. This implies specific identity configuration steps, parameter names, and resource bindings that are product-specific security/identity configuration details rather than generic managed identity concepts.",new
https://learn.microsoft.com/en-us/azure/planetary-computer/authorize-cross-tenant-partner-applications,Authorizing Partner Cross-Tenant Application Access,Authorize cross-tenant partner applications for Microsoft Planetary Computer Pro,Authorize cross-tenant partner applications to access Planetary Computer Pro GeoCatalogs,Learn how to authorize third-party geospatial data and service provider applications to access your Microsoft Planetary Computer Pro GeoCatalogs.,"This article guides IT and cloud administrators through the process of authorizing a third-party partner application to access GeoCatalog resources. By completing these steps, you enable partner organizations—such as geospatial data providers or analytics services—to read from and write data to your Microsoft Planetary Computer Pro GeoCatalogs.",2026-02-04T06:14:00.000Z,how-to,security,0.8,True,"Guides admins through authorization of partner apps, including permissions and access scopes—product-specific security and access configuration.",unchanged
https://learn.microsoft.com/en-us/azure/planetary-computer/azure-batch,Azure Batch and Microsoft Planetary Computer Pro,Azure Batch Integration with Microsoft Planetary Computer Pro,Use Planetary Computer Pro GeoCatalog with Azure Batch,This quickstart shows you how to use Microsoft Planetary Computer Pro GeoCatalog in Azure Batch to process geospatial data.,"In this quickstart, you learn how to use a Microsoft Planetary Computer Pro GeoCatalog resource in Azure Batch to process geospatial data at scale. Azure Batch is a cloud-based job scheduling service that enables you to run large-scale parallel and high-performance computing (HPC) workloads. By combining Azure Batch with Microsoft Planetary Computer Pro, you can: This quickstart demonstrates how to set up a Batch pool with a user-assigned managed identity, configure permissions to access your Ge",2026-01-09T23:14:00.000Z,quickstart,integrations,0.7,True,"Describes using a GeoCatalog resource in Azure Batch with a user-assigned managed identity and configuring permissions. This is a product-specific integration pattern between Planetary Computer Pro and Azure Batch, likely including specific configuration parameters and identity wiring details.",unchanged
https://learn.microsoft.com/en-us/azure/planetary-computer/build-applications-with-planetary-computer-pro,Connect and build applications with your data,Connect and build applications with your data,Choose connection methods and integrations for Planetary Computer Pro data,"Learn how to connect to Microsoft Planetary Computer Pro from the built-in Explorer, desktop GIS applications, or custom applications using REST APIs.","Microsoft Planetary Computer Pro provides multiple ways to connect to your geospatial data—whether you want to explore it visually, integrate it with desktop GIS tools, or build custom applications. This article helps you choose the right integration approach for your needs.",2026-01-09T23:14:00.000Z,concept-article,decision-making,0.65,True,"Helps users choose between Explorer, desktop GIS, and custom REST integrations; decision-focused guidance on integration approaches.",unchanged
https://learn.microsoft.com/en-us/azure/planetary-computer/build-web-application,Build a web application,Quickstart: Build a web application with Microsoft Planetary Computer Pro,Build web apps using GeoCatalog STAC APIs and tiles,Learn how to build a web application that authenticates with Microsoft Entra ID and displays geospatial data from a GeoCatalog using STAC APIs and map tiles.,"In this quickstart, you build a web application that displays satellite imagery and geospatial data from your GeoCatalog on an interactive map. You authenticate users with Microsoft Entra ID, query STAC collections, and render map tiles—all from browser JavaScript. What you learn: The code patterns work with any modern JavaScript framework (React, Vue, Angular) or vanilla JavaScript. GeoCatalog APIs have full CORS support, so you can call them directly fromlocalhostduring development—no proxy re",2026-05-27T08:00:00.000Z,quickstart,integrations,0.65,True,"Quickstart for building a web app that authenticates with Entra ID and calls STAC APIs and tile endpoints from browser JavaScript. Likely includes concrete API URLs, auth flows, and CORS-related details specific to Planetary Computer Pro, fitting integrations.",unchanged
https://learn.microsoft.com/en-us/azure/planetary-computer/bulk-ingestion-api,Bulk ingestion,Bulk Data Ingestion in Microsoft Planetary Computer Pro,Bulk ingest geospatial data with GeoCatalog API,This article shows how to use the Microsoft Planetary Computer Pro Bulk Ingestion API to ingest a large volume of geospatial data into a GeoCatalog.,"This article shows you how to ingest many geospatial data assets at once into a GeoCatalog using the Bulk Ingestion API. First, we create and configure a GeoCatalog Ingestion Source. Creating an Ingestion Source establishes a secure connection between a GeoCatalog resource and the storage location for your existing geospatial data. Next, we create a SpatioTemporal Access Catalog (STAC) Collection within your GeoCatalog resource to store the data being ingested. Finally, we use the Bulk Ingestion",2026-06-03T05:14:00.000Z,how-to,integrations,0.7,True,"Describes using the Bulk Ingestion API, including creating ingestion sources and collections. This likely has detailed API usage, configuration of ingestion sources, and request formats specific to Planetary Computer Pro, which are expert integration patterns.",unchanged
https://learn.microsoft.com/en-us/azure/planetary-computer/collection-configuration-concept,Collection configuration overview,Collection configuration guide for Microsoft Planetary Computer Pro,Configure Planetary Computer Pro collections for Explorer visualization,This article describes collection configuration in Microsoft Planetary Computer Pro.,"To visualize your data in the Microsoft Planetary Computer Pro Explorer, you must first configure your collection. This configuration allows users to filter and save collection subsets that match specific attribute values, create and display of custom visualizations of data within a collection, set default zoom levels for better navigation, and define searchable attributes and valid data types for improved data management.",2025-05-19T15:23:00.000Z,concept-article,configuration,0.7,True,"Describes configuration options for collections (filters, zoom levels, searchable attributes, data types); product-specific configuration settings.",unchanged
https://learn.microsoft.com/en-us/azure/planetary-computer/configure-collection-web-interface,Configure collections for visualization,Configure collections for visualization in Microsoft Planetary Computer Pro,Configure collection visualization settings in Planetary Computer Pro portal,Learn how to configure collections in the Microsoft Planetary Computer Pro portal.,This quickstart explains how to configure a collection in Microsoft Planetary Computer Pro via the web interface.,2025-07-26T22:09:00.000Z,quickstart,configuration,0.65,True,Quickstart for configuring collections via web interface; likely includes specific configuration fields and allowed values for visualization.,unchanged
https://learn.microsoft.com/en-us/azure/planetary-computer/configure-cross-tenant-application,Authoring and Configuring a Partner Application,Quickstart: Configure a cross-tenant application for Microsoft Planetary Computer Pro,Configure cross-tenant app access to Planetary Computer Pro,Learn how to configure a multitenant application to read and write data to customer Microsoft Planetary Computer Pro GeoCatalogs.,"In this quickstart, you create and configure a multitenant Azure application that can access customer Microsoft Planetary Computer Pro GeoCatalogs. As a geospatial data or service provider, this process enables your application to read or write data from or to your customers' GeoCatalogs.",2026-02-04T06:14:00.000Z,quickstart,security,0.7,True,"Quickstart for configuring a multitenant Azure application to read/write GeoCatalogs will necessarily include product-specific AAD app settings, permission scopes, and possibly role assignments unique to Planetary Computer Pro. This is concrete security/identity configuration rather than generic auth theory.",unchanged
https://learn.microsoft.com/en-us/azure/planetary-computer/configure-qgis,Connect to QGIS,Configure QGIS to access Microsoft Planetary Computer Pro,Configure QGIS to connect to Planetary Computer Pro STAC collections,Learn how to configure and authenticate QGIS to read STAC data from Microsoft Planetary Computer Pro.,"This guide explains how to configure the open-sourceQGISdesktop GIS software to access geospatial datasets from the Microsoft Planetary Computer Pro GeoCatalog using Microsoft Entra ID authentication. QGIS enables direct interaction with STAC collections in Microsoft Planetary Computer Pro. With QGIS, you can visualize, analyze, and style data on the fly, and integrate it with local layers from Azure. All GeoCatalog assets can be downloaded to your desktop. Assets in Cloud Optimized GeoTIFF (COG",2026-02-12T08:00:00.000Z,how-to,integrations,0.75,True,Explains QGIS configuration and Entra ID auth to access GeoCatalog datasets; includes integration-specific settings and constraints.,unchanged
https://learn.microsoft.com/en-us/azure/planetary-computer/create-api-proxy-geocatalog,Create an API Proxy for GeoCatalogs,Create an API proxy for a GeoCatalog using Azure API Management,Secure GeoCatalog access via Azure API Management,Learn how to use Azure API Management to create an API proxy for a Microsoft Planetary Computer Pro GeoCatalog to enable anonymous access and collection-level access control.,"This article guides you through setting upAzure API Management(APIM) as an API proxy in front of a Microsoft Planetary Computer Pro GeoCatalog. With this configuration you can: The following diagram illustrates the architecture before and after adding the APIM proxy: BeforeEvery caller authenticates directly to the GeoCatalog: AfterAPIM sits between callers and the GeoCatalog, handling authentication and access control:",2026-05-27T08:00:00.000Z,how-to,security,0.68,True,"The article describes configuring Azure API Management as an authentication and access-control proxy in front of a Planetary Computer Pro GeoCatalog. This involves product-specific security configuration (APIM policies, auth flow, and access control behavior) that goes beyond generic concepts, fitting the security sub-skill.",unchanged
