url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/traffic-manager/configure-multivalue-routing-method-template,ARM template,Configure the Multivalue routing method - Azure Resource Manager template (ARM template),Define nested Multivalue routing with ARM templates,Learn how to configure the Multivalue routing method with nested endpoints and the min-child feature.,"This article describes how to use an Azure Resource Manager template (ARM Template) to create a nested, Multivalue profile with the min-child feature. AnAzure Resource Manager templateis a JavaScript Object Notation (JSON) file that defines the infrastructure and configuration for your project. The template uses declarative syntax. You describe your intended deployment without writing the sequence of programming commands to create the deployment. If your environment meets the prerequisites and y",2024-08-08T08:00:00.000Z,how-to,configuration,0.7,True,ARM template article for nested Multivalue profiles and min-child feature; includes JSON schema and specific configuration parameters unique to this feature.,unchanged
https://learn.microsoft.com/en-us/azure/traffic-manager/dns-record-types,IPv6 and DNS record types,DNS Record Types and IPv6 Support in Azure Traffic Manager,Configure DNS record types and IPv6 in Traffic Manager,"Configure DNS record types in Azure Traffic Manager. Learn how AAAA, A, and CNAME records enable IPv6 and IPv4 support for dual-stack environments. Start routing traffic today.","Azure Traffic Manager is a DNS-based traffic load balancer that distributes traffic across global Azure regions. To effectively route traffic to your applications, Traffic Manager supports multiple DNS record types that work with both IPv4 and IPv6 protocols. This article explains the DNS record types that Traffic Manager supports and how they enable dual-stack networking environments. You learn about AAAA records for IPv6 addresses, A records for IPv4 addresses, and CNAME records for domain ali",2025-07-08T22:15:00.000Z,concept-article,configuration,0.75,True,"Explains supported DNS record types (A, AAAA, CNAME) and how to configure them for dual-stack environments; includes product-specific behavior and constraints.",unchanged
https://learn.microsoft.com/en-us/azure/traffic-manager/how-to-add-endpoint-existing-profile-template,Add an endpoint to an existing profile - ARM Template,Add an external endpoint to an existing profile - Azure Template,Add external endpoints to Traffic Manager via ARM templates,Learn how to add an external endpoint to an existing Azure Traffic Manager profile using an Azure Template.,This article describes how to use an Azure Resource Manager template (ARM Template) to add an external endpoint to an existing Traffic Manager profile. AnAzure Resource Manager templateis a JavaScript Object Notation (JSON) file that defines the infrastructure and configuration for your project. The template uses declarative syntax. You describe your intended deployment without writing the sequence of programming commands to create the deployment. If your environment meets the prerequisites and ,2024-03-07T12:20:00.000Z,how-to,configuration,0.7,True,ARM template article for adding external endpoints; includes JSON properties and configuration fields specific to Traffic Manager endpoints.,unchanged
https://learn.microsoft.com/en-us/azure/traffic-manager/quickstart-create-traffic-manager-profile,Create a Traffic Manager profile - Portal,Quickstart: Create a profile for HA of applications - Azure portal - Azure Traffic Manager,,This quickstart article describes how to create a Traffic Manager profile to build a highly available web application using the Azure portal.,"This quickstart describes how to create a Traffic Manager profile that delivers high availability for your web application. In this quickstart, you'll read about two instances of a web application. Each of them is running in a different Azure region. You'll create a Traffic Manager profile based onendpoint priority. The profile directs user traffic to the primary site running the web application. Traffic Manager continuously monitors the web application. If the primary site is unavailable, it pr",2023-03-31T00:00:00.000Z,quickstart,,0.2,False,"Quickstart wizard-style portal steps; no config tables, limits, or product-specific troubleshooting.",unchanged
https://learn.microsoft.com/en-us/azure/traffic-manager/quickstart-create-traffic-manager-profile-bicep,Create a Traffic Manager profile - Bicep,Quickstart: Create an Azure Traffic Manager profile - Bicep,Define Traffic Manager profiles using Bicep,This quickstart article describes how to create an Azure Traffic Manager profile by using Bicep.,"This quickstart describes how to use Bicep to create a Traffic Manager profile with external endpoints using the performance routing method. Bicepis a domain-specific language (DSL) that uses declarative syntax to deploy Azure resources. It provides concise syntax, reliable type safety, and support for code reuse. Bicep offers the best authoring experience for your infrastructure-as-code solutions in Azure.",2023-03-10T00:00:00.000Z,quickstart,configuration,0.65,True,"Shows Bicep resource schema and properties for Traffic Manager profiles and endpoints, including parameter names and allowed values, which are product-specific configuration details.",unchanged
https://learn.microsoft.com/en-us/azure/traffic-manager/quickstart-create-traffic-manager-profile-cli,Create a Traffic Manager profile - Azure CLI,Quickstart: Create a profile for HA of applications - Azure CLI - Azure Traffic Manager,,This quickstart article describes how to create a Traffic Manager profile to build a highly available web application by using Azure CLI.,"This quickstart describes how to create a Traffic Manager profile that delivers high availability for your web application. In this quickstart, you'll create two instances of a web application. Each of them is running in a different Azure region. You'll create a Traffic Manager profile based onendpoint priority. The profile directs user traffic to the primary site running the web application. Traffic Manager continuously monitors the web application. If the primary site is unavailable, it provid",2023-03-31T00:00:00.000Z,quickstart,,0.2,False,CLI quickstart for creating a profile; procedural tutorial without deep configuration matrices or limits.,unchanged
https://learn.microsoft.com/en-us/azure/traffic-manager/quickstart-create-traffic-manager-profile-powershell,Create a Traffic Manager profile - PowerShell,Quickstart: Create a profile for high availability of applications - Azure PowerShell - Azure Traffic Manager,,This quickstart article describes how to create a Traffic Manager profile to build a highly available web application.,"This quickstart describes how to create a Traffic Manager profile that delivers high availability for your web application. In this quickstart, you'll create two instances of a web application. Each of them is running in a different Azure region. You'll create a Traffic Manager profile based onendpoint priority. The profile directs user traffic to the primary site running the web application. Traffic Manager continuously monitors the web application. If the primary site is unavailable, it provid",2023-03-31T00:00:00.000Z,quickstart,,0.2,False,"PowerShell quickstart for creating a profile; focuses on basic creation steps, not expert configuration details.",unchanged
https://learn.microsoft.com/en-us/azure/traffic-manager/quickstart-create-traffic-manager-profile-template,Create a Traffic Manager profile - ARM Template,Quickstart: Create a Traffic Manager by using Azure Resource Manager template (ARM template),Configure Traffic Manager profiles with ARM templates,This quickstart article describes how to create an Azure Traffic Manager profile by using Azure Resource Manager template (ARM template).,This quickstart describes how to use an Azure Resource Manager template (ARM Template) to create a Traffic Manager profile with external endpoints using the performance routing method. AnAzure Resource Manager templateis a JavaScript Object Notation (JSON) file that defines the infrastructure and configuration for your project. The template uses declarative syntax. You describe your intended deployment without writing the sequence of programming commands to create the deployment. If your environ,2023-03-10T00:00:00.000Z,quickstart,configuration,0.65,True,"ARM template reference-style quickstart that includes JSON properties and structure for Traffic Manager profiles and endpoints, exposing concrete configuration parameters.",unchanged
https://learn.microsoft.com/en-us/azure/traffic-manager/quickstart-create-traffic-manager-profile-terraform,Create a Traffic Manager profile - Terraform,Quickstart: Create an Azure Traffic Manager profile using Terraform,Provision Traffic Manager profiles using Terraform,"In this article, you create an Azure Traffic Manager profile using Terraform","This quickstart describes how to use Terraform to create a Traffic Manager profile with external endpoints using the performance routing method. Terraformenables the definition, preview, and deployment of cloud infrastructure. Using Terraform, you create configuration files usingHCL syntax. The HCL syntax allows you to specify the cloud provider - such as Azure - and the elements that make up your cloud infrastructure. After you create your configuration files, you create anexecution planthat al",2024-02-23T05:40:00.000Z,quickstart,configuration,0.6,True,Terraform configuration for Traffic Manager with HCL resource blocks and arguments; contains product-specific configuration fields and values.,unchanged
https://learn.microsoft.com/en-us/azure/traffic-manager/secure-traffic-manager,Secure Traffic Manager deployment,Secure your Azure Traffic Manager deployment,Secure configuration practices for Azure Traffic Manager,"Learn how to secure Azure Traffic Manager, with best practices for protecting your deployment.","Azure Traffic Manager is a DNS-based traffic load balancer that distributes traffic across global Azure regions, providing high availability and responsive performance for your applications. Because Traffic Manager controls how clients are routed to your service endpoints, securing your Traffic Manager configuration is essential to prevent misrouting, unauthorized changes, and monitoring gaps that could affect application availability. This article provides security recommendations for Azure Tra",2026-06-05T11:44:00.000Z,best-practice,security,0.7,True,"The article focuses on securing Azure Traffic Manager with product-specific recommendations (for example, how to protect configuration changes, secure monitoring endpoints, and control access). These are concrete, service-specific security practices rather than generic security concepts, matching the security sub-skill type.",unchanged
