url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/azure-signalr/concept-connection-string,Connection string,Connection strings in Azure SignalR Service,Configure Azure SignalR Service connection strings in apps,"This article gives an overview of connection strings in Azure SignalR Service, how to generate one, and how to configure one in an app server.","A connection string contains information about how to connect to Azure SignalR Service. In this article, you learn the basics of connection strings and how to configure one in your application. Important Raw connection strings appear in this article for demonstration purposes only. A connection string includes the authorization information required for your application to access Azure SignalR Service. The access key inside the connection string is similar to a root password for your service. In ",2024-12-11T23:02:00.000Z,conceptual,configuration,0.7,True,"Details structure, generation, and app configuration of SignalR connection strings; includes specific setting names and usage patterns.",unchanged
https://learn.microsoft.com/en-us/azure/azure-signalr/concept-service-mode,Service mode,Service mode in Azure SignalR Service,Choose the right Azure SignalR Service mode,An overview of service modes in Azure SignalR Service.,"Service mode is an important concept in Azure SignalR Service. SignalR Service currently supports three service modes:Default,Serverless, andClassic. Your SignalR Service resource behaves differently in each mode. In this article, you learn how to choose the right service mode based on your scenario.",2024-09-10T17:10:00.000Z,conceptual,decision-making,0.7,True,"Explains Default, Serverless, and Classic modes and how to choose based on scenario; mode-selection guidance is product-specific decision-making content.",unchanged
https://learn.microsoft.com/en-us/azure/azure-signalr/concept-upstream,Configure upstream endpoints,Upstream endpoints in Azure SignalR Service,Configure upstream endpoints and protocols in Azure SignalR,Introduction to upstream endpoints settings and upstream message protocols.,The upstream endpoints feature allows Azure SignalR Service to send messages and connection events to a set of endpoints in serverless mode. You can use upstream endpoints to invoke a hub method from clients in serverless mode to notify endpoints when client connections are connected or disconnected. Note Upstream endpoints can only be configured in serverless mode.,2022-12-19T23:04:00.000Z,conceptual,configuration,0.75,True,"Describes upstream endpoint settings and message protocols, including serverless-mode-only constraint; clearly product-specific configuration behavior.",unchanged
https://learn.microsoft.com/en-us/azure/azure-signalr/howto-custom-domain,Custom domain,Configure a Custom Domain for Azure SignalR Service - Azure SignalR Service,Configure custom domains for Azure SignalR Service,Learn how to configure a custom domain for Azure SignalR Service.,"In addition to the default domain provided with Azure SignalR Service, you can also add a custom Domain Name System (DNS) domain to your service. In this article, you learn how to add a custom domain to your Azure SignalR Service resource.",2025-04-03T05:16:00.000Z,how-to,configuration,0.65,True,"Custom domain setup for SignalR involves specific resource settings (hostnames, certificates, bindings) that are product-specific configuration details.",unchanged
https://learn.microsoft.com/en-us/azure/azure-signalr/howto-disable-local-auth,Disable local authentication,Disable local (access key) authentication with Azure SignalR Service,Disable access key auth and enforce Entra ID for SignalR,This article provides information about how to disable access key authentication and use only Microsoft Entra authorization with Azure SignalR Service.,"There are two ways to authenticate to Azure SignalR Service resources: Microsoft Entra ID and access key. Microsoft Entra ID offers superior security and ease of use compared to the access key method. With Microsoft Entra ID, you don't need to store tokens in your code, reducing the risk of potential security vulnerabilities. We highly recommend using Microsoft Entra ID for your Azure SignalR Service resources whenever possible. Important Disabling local authentication can have the following con",2023-10-13T22:42:00.000Z,conceptual,security,0.8,True,"Explains how to disable local key authentication and rely solely on Entra ID, including implications and configuration steps; this is a product-specific security configuration.",unchanged
https://learn.microsoft.com/en-us/azure/azure-signalr/howto-enable-geo-replication,Geo-replication,How to enable geo-replication,,How to enable geo-replication for Azure SignalR service,"Companies seeking local presence or requiring a robust failover system often choose to deploy services across multiple Azure regions. With the integration of geo-replication in Azure SignalR, managing multi-region scenarios has become significantly easier.",2024-10-25T05:41:00.000Z,how-to,,0.2,False,"High-level guidance on enabling geo-replication; summary suggests conceptual and procedural content without product-specific limits, configs, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/azure-signalr/howto-network-access-control,Manage network access control,Configure network access control - Azure SignalR Service,Configure network access control for Azure SignalR,Configure network access control for your Azure SignalR Service.,"Azure SignalR Service allows you to secure and manage access to your service endpoint based on request types and network subsets. When you configure network access control rules, only applications making requests from the specified networks can access your SignalR Service. Important An application that accesses a SignalR Service when network access control rules are in effect still requires proper authorization for the request.",2024-12-27T12:22:00.000Z,how-to,security,0.75,True,Network access control rules for SignalR are security settings with product-specific rule types and scopes; article likely details allowed request types and network subsets as concrete configuration.,unchanged
https://learn.microsoft.com/en-us/azure/azure-signalr/howto-private-endpoints,Use Azure Private Endpoints,Use private endpoints - Azure SignalR Service,Secure Azure SignalR with private endpoints,Overview of private endpoints for secure access to Azure SignalR Service from virtual networks.,"You can useprivate endpointsfor your Azure SignalR Service to allow clients on a virtual network (VNet) to securely access data over aPrivate Link. The private endpoint uses an IP address from the VNet address space for your Azure SignalR Service. Network traffic between the clients on the VNet and Azure SignalR Service traverses over a private link on the Microsoft backbone network, eliminating exposure from the public internet. Using private endpoints for your Azure SignalR Service enables you",2026-05-14T06:18:00.000Z,how-to,security,0.7,True,"Private endpoints for Azure SignalR involve product-specific network security configuration (VNet integration, Private Link behavior, endpoint usage). These are concrete, service-specific security settings beyond generic concepts, so it fits the security sub-skill. The summary indicates configuration of private endpoints and traffic routing over the Microsoft backbone, which are implementation details an LLM is unlikely to fully infer without documentation.",updated
https://learn.microsoft.com/en-us/azure/azure-signalr/howto-service-tags,Use Azure Service Tags,Use service tags - Azure SignalR Service,Use Azure SignalR service tags in NSGs,Use service tags to allow outbound traffic to your Azure SignalR Service,"You can useService Tagsto identify Azure SignalR Service traffic. A service tag represents a group of IP address prefixes. Azure SignalR Service manages a service tag calledAzureSignalRfor both inbound and outbound traffic. A service tag can be used when for configuringNetwork Security Group. Alternatively, you can query the IP address prefixes usingService Tag Discovery API.",2024-03-14T11:16:00.000Z,how-to,security,0.7,True,Describes the AzureSignalR service tag for inbound/outbound traffic and how to use it in NSGs; this is product-specific network security configuration with named tags and usage patterns.,unchanged
https://learn.microsoft.com/en-us/azure/azure-signalr/howto-shared-private-endpoints,Secure outbound traffic through Shared Private Endpoints,Secure Azure SignalR outbound traffic through shared private endpoints - Azure SignalR Service,Secure SignalR outbound traffic via shared private endpoints,How to secure outbound traffic through shared private endpoints to avoid traffic go to public network,"When you're usingserverless modein Azure SignalR Service,  you can create outboundprivate endpoint connectionsto an upstream service. Upstream services, such as Azure Web App and Azure Functions, can be configured to accept connections from a list of virtual networks and refuse outside connections that originate from a public network. To reach these endpoints, you can create an outbound private endpoint connection. This outbound method is subject to the following requirements: In this article, y",2022-12-15T12:15:00.000Z,how-to,security,0.7,True,Describes outbound private endpoint connections from SignalR in serverless mode with specific requirements; this is a product-specific secure networking pattern.,unchanged
