url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://github.com/Azure/azure-sdk-for-python/blob/main/sdk/ml/azure-ai-ml/CHANGELOG.md,Python SDK (v1) release notes,azure-sdk-for-python/sdk/ml/azure-ai-ml/CHANGELOG.md at main · Azure/azure-sdk-for-python,,This repository is for active development of the Azure SDK for Python. For consumers of the SDK we recommend visiting our public developer docs at https://learn.microsoft.com/python/azure/ or our vers,,,,,0.5,False,SDK changelog in GitHub; versioned change log rather than stable expert knowledge like configuration matrices or limits.,unchanged
https://learn.microsoft.com/en-us/azure/machine-learning/algorithm-cheat-sheet?view=azureml-api-1,Algorithm cheat sheet,Machine Learning Algorithm Cheat Sheet - designer - Azure Machine Learning,Choose Azure ML designer algorithms with cheat sheet,A printable Machine Learning Algorithm Cheat Sheet helps you choose the right algorithm for your predictive model in Azure Machine Learning designer.,"Important This article provides information on using the Azure Machine Learning SDK v1. SDK v1 is deprecated as of March 31, 2025. Support for it will end on June 30, 2026. You can install and use SDK v1 until that date. Your existing workflows using SDK v1 will continue to operate after the end-of-support date. However, they could be exposed to security risks or breaking changes in the event of architectural changes in the product. We recommend that you transition to the SDK v2 before June 30, ",2025-08-13T22:08:00.000Z,concept-article,decision-making,0.7,True,"Cheat sheet gives concrete, product-specific guidance on when to choose each Azure ML designer algorithm for different data/problem types; this is decision support rather than generic theory.",unchanged
https://learn.microsoft.com/en-us/azure/machine-learning/apache-spark-azure-ml-concepts?view=azureml-api-2,Overview,Apache Spark in Azure Machine Learning - Azure Machine Learning,,This article explains the available options to access Apache Spark in Azure Machine Learning.,Azure Machine Learning integration with Azure Synapse Analytics provides easy access to distributed computation resources through the Apache Spark framework. This integration offers these Apache Spark computing experiences:,2025-11-13T08:00:00.000Z,concept-article,,0.4,False,Conceptual overview of Apache Spark options in Azure ML; primarily descriptive without detailed config tables or limits.,unchanged
https://learn.microsoft.com/en-us/azure/machine-learning/azure-machine-learning-ci-image-release-notes?view=azureml-api-2,Compute instance image release notes,Compute instance image release notes - Azure Machine Learning,,Release notes for the Azure Machine Learning compute instance images,"In this article, learn about Azure Machine Learning compute instance image releases. Azure Machine Learning maintains host operating system images forAzure Machine Learning compute instanceandData Science Virtual Machines. Due to the rapidly evolving needs and package updates, we target to release new images every month. Azure Machine Learning checks and validates any machine learning packages that might require an upgrade. Updates incorporate the latest OS-related patches from Canonical as the ",2025-07-04T17:04:00.000Z,release-notes,,0.5,False,"Compute instance image release notes; time-bound change log, not stable expert knowledge such as limits, configuration matrices, or error mappings.",unchanged
https://learn.microsoft.com/en-us/azure/machine-learning/azure-machine-learning-glossary?view=azureml-api-2,Glossary,Azure Machine Learning glossary - Azure Machine Learning,,Glossary of terms for the Azure Machine Learning platform.,"The Azure Machine Learning glossary is a short dictionary of terminology for the Machine Learning platform. For general Azure terminology, see also:",2025-03-07T18:02:00.000Z,overview,,0.1,False,"Glossary of terms; definitions only, no expert configuration, limits, or troubleshooting guidance.",unchanged
https://learn.microsoft.com/en-us/azure/machine-learning/azure-machine-learning-release-notes-cli-v2?view=azureml-api-2,CLI (v2) release notes,CLI (v2) release notes - Azure Machine Learning,,Learn about the latest updates to Azure Machine Learning CLI (v2),"APPLIES TO:Azure CLI ml extensionv2 (current) In this article, learn about Azure Machine Learning CLI (v2) releases. RSS feed: Get notified when this page is updated by copying and pasting the following URL into your feed reader:https://learn.microsoft.com/api/search/rss?search=%22Azure+machine+learning+release+notes-v2%22&locale=en-us",2025-05-09T17:01:00.000Z,release-notes,,0.5,False,"CLI v2 release notes; versioned change log rather than reusable expert knowledge like limits, configs, or troubleshooting mappings.",unchanged
https://learn.microsoft.com/en-us/azure/machine-learning/component-reference-v2/classification?view=azureml-api-2,Classification,AutoML Classification - Azure Machine Learning,Configure AutoML Classification component with ML Tables,Learn how to use the AutoML Classification component in Azure Machine Learning to create a classifier using ML Table data.,This article describes a component in Azure Machine Learning designer. Use this component to create a machine learning model that is based on the AutoML Classification.,2024-08-28T16:59:00.000Z,reference,configuration,0.7,True,"AutoML Classification component reference will list configuration fields (task type, metric, iteration limits, featurization settings) with defaults and allowed values, which are product-specific configuration details.",unchanged
https://learn.microsoft.com/en-us/azure/machine-learning/component-reference-v2/component-reference-v2?view=azureml-api-2,Designer algorithms & components (v2),Algorithm & component reference (v2) - Azure Machine Learning,,Learn about the Azure Machine Learning designer components that you can use to create your own machine learning projects. (v2),APPLIES TO:Python SDK azure-ai-mlv2 (current) Azure Machine Learning designer components (Designer) allow users to create machine learning projects using a drag and drop interface. Follow this link to reach the Designer studio. Follow this link tolearn more about Designer. This reference content provides background on each of the custom components (v2) available in Azure Machine Learning designer. You can navigate to Custom components in Azure Machine Learning studio as shown in the following im,2024-08-28T16:59:00.000Z,reference,,0.3,False,High-level index/reference overview of designer components; primarily navigation and conceptual description without detailed parameter tables or limits.,unchanged
https://learn.microsoft.com/en-us/azure/machine-learning/component-reference-v2/forecasting?view=azureml-api-2,Forecasting,AutoML Forecasting Component in Microsoft Azure Machine Learning Designer - Azure Machine Learning,Configure AutoML Forecasting component in designer,Learn how to use the AutoML Forecasting component in Azure Machine Learning to create a classifier using ML Table data.,This article describes a component in Azure Machine Learning designer. Use this component to create a machine learning model that is based on the AutoML Forecasting.,2025-11-24T23:11:00.000Z,reference,configuration,0.7,True,"Forecasting component reference will expose parameters like forecast horizon, frequency, target column, and time column as named settings with constraints, which are expert configuration details.",unchanged
https://learn.microsoft.com/en-us/azure/machine-learning/component-reference-v2/image-classification-multilabel?view=azureml-api-2,Image Classification Multilabel,AutoML Image Classification Multi-label - Azure Machine Learning,Configure AutoML Image Multi-label Classification,Learn how to use the AutoML Image Classification Multi-label component in Azure Machine Learning to create a classifier using ML Table data.,This article describes a component in Azure Machine Learning designer. Use this component to create a machine learning model that is based on the AutoML Image Classification Multi-label. Multi-label image classification is a computer vision task where the goal is to predict a set of labels associated with each individual image. You may consider using multi-label classification where you need to determine several properties of a given image.,2024-08-28T16:59:00.000Z,reference,configuration,0.74,True,"Covers how to set up multi-label image classification with component parameters (label columns, thresholds, training options), which are concrete configuration details unique to this component.",unchanged
