url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/azure-arc/azure-firewall-explicit-proxy,Azure Firewall Explicit proxy,Access Azure Arc resources over Azure Firewall Explicit Proxy (public preview) - Azure Arc,Secure Azure Arc access via Azure Firewall Explicit Proxy,Learn about using Azure Arc without exposing your on-premises environment to the public internet.,TheAzure Firewall Explicit proxy featurecan route all Azure Arc traffic securely through your private connection (ExpressRoute or Site-to-Site VPN) to Azure. This feature allows you to use Azure Arc without exposing your on-premises environment to the public internet. This article explains the steps to configure Azure Firewall with the Explicit Proxy feature as the forward proxy for your Arc-enabled servers or Kubernetes resources. Important Azure Firewall Explicit proxy is currently in PREVIEW.,2025-04-22T08:00:00.000Z,how-to,security,0.7,True,Describes configuring Azure Firewall Explicit Proxy as forward proxy for Arc traffic; likely includes specific network/security settings and URL patterns unique to this integration.,unchanged
https://learn.microsoft.com/en-us/azure/azure-arc/choose-service,Choosing the right Azure Arc service,Choosing the right Azure Arc service for machines - Azure Arc,Choose the right Azure Arc service for machines,Learn about the different services offered by Azure Arc and how to choose the right one for your machines.,"Azure Arc offers different services based on your existing IT infrastructure and management needs. Before onboarding your resources to Azure Arc-enabled servers, you should investigate the different Azure Arc offerings to determine which best suits your requirements. Choosing the right Azure Arc service provides the best possible inventorying and management of your resources. There are several different ways you can connect your existing Windows and Linux machines to Azure Arc: Each of these ser",2025-05-07T08:00:00.000Z,concept-article,decision-making,0.65,True,Guides selection between multiple Azure Arc server connection options based on infrastructure and management needs; contains product-specific decision guidance rather than generic concepts.,unchanged
https://learn.microsoft.com/en-us/azure/azure-arc/container-storage/blobs-not-uploaded,Blobs not uploaded or mirrored when using Managed Identity,Blobs not uploaded or mirrored when using Managed Identity - Azure Container Storage enabled by Azure Arc,Fix blob upload and mirroring issues with managed identity,Learn how to troubleshoot an issue in which blobs aren't uploaded or mirrored when using Managed Identity.,"When using Managed Identity for authentication, you might encounter issues where blobs fail to upload or mirror as expected. This article helps you identify and resolve common causes of blob upload and mirroring failures when using Managed Identity authentication. Microsoft is aware of this issue and is actively working on a fix. In the meantime, please follow the mitigation steps in this article.",2025-10-24T22:12:00.000Z,troubleshooting,troubleshooting,0.88,True,Focused on a specific failure mode (blobs not uploaded/mirrored with Managed Identity) and provides mitigation steps; this is symptom → cause → solution troubleshooting content.,unchanged
https://learn.microsoft.com/en-us/azure/azure-arc/container-storage/disconnected-operations,Understand disconnected operations,Disconnected operations - Azure Container Storage enabled by Azure Arc,Disconnected operation behavior for Arc container storage,"Learn about disconnected operations in Azure Container Storage enabled by Azure Arc, including their benefits and use cases.","Azure Container Storage enabled by Azure Arc is architected to support your disconnected operational needs. In this context, disconnection refers to your local Kubernetes cluster losing network connection to Azure. This feature set is intended for use cases where the cluster is intended to be connected to the network always, but could experience intentional or accidental outages lasting up to72 hours. In this case, Local Shared Volumes and Ingest Subvolumes continue to receive writes from your a",2025-06-30T17:15:00.000Z,concept-article,limits-quotas,0.7,True,"Explicitly mentions outages lasting up to 72 hours and describes behavior of Local Shared Volumes and Ingest Subvolumes during disconnection, which is a product-specific operational limit.",unchanged
https://learn.microsoft.com/en-us/azure/azure-arc/container-storage/faq,FAQ,Azure Container Storage enabled by Azure Arc (preview) frequently asked questions - Azure Container Storage enabled by Azure Arc,,This article provides a list of frequently asked questions (FAQ) for Azure Container Storage enabled by Azure Arc (preview) and their answers.,This article provides a list of frequently asked questions (FAQ) for Azure Container Storage enabled by Azure Arc (preview) and their answers.,2026-03-18T17:34:00Z,faq,,0.0,False,"FAQ page summary only; no evidence of detailed limits, configuration tables, error-code mappings, or other product-specific expert data per the defined categories.",unchanged
https://learn.microsoft.com/en-us/azure/azure-arc/container-storage/howto-azure-monitor-kubernetes,Monitor with Azure Monitor,Azure Monitor and Kubernetes monitoring - Azure Container Storage enabled by Azure Arc,Configure Azure Monitor for Arc container storage clusters,Learn how to monitor your deployment using Azure Monitor and Kubernetes monitoring in Azure Container Storage enabled by Azure Arc.,This article describes how to monitor your deployment using Azure Monitor and Kubernetes monitoring.,2025-09-29T22:13:00.000Z,how-to,configuration,0.65,True,"Monitoring how-to for Azure Container Storage with Azure Monitor and Kubernetes monitoring; typically includes specific config steps, namespaces, metrics/log categories, and settings unique to this product.",unchanged
https://learn.microsoft.com/en-us/azure/azure-arc/container-storage/howto-blob-index-metadata-tags,Generate blob index and metadata tags,Blob index and metadata tags - Azure Container Storage enabled by Azure Arc,Configure blob index and metadata tags from Edge Volumes,Learn about blob index and metadata tags in Edge Volumes.,"Cloud Ingest Edge Volumes now supports the ability to generate blob index tags and blob metadata tags directly from Azure Container Storage enabled by Azure Arc. This process involves incorporating extended attributes to the files within your Cloud Ingest Edge Volume, where Edge Volumes translates that into your selected index or metadata tag.",2025-09-29T22:13:00.000Z,how-to,configuration,0.7,True,Shows how to generate blob index and metadata tags via extended attributes; includes product-specific mapping and configuration behavior.,unchanged
https://learn.microsoft.com/en-us/azure/azure-arc/container-storage/howto-configure-cloud-ingest-subvolumes,Configure Cloud Ingest subvolumes,Configure Cloud Ingest subvolumes (preview) - Azure Container Storage enabled by Azure Arc,Configure Cloud Ingest subvolumes for Azure Arc Edge Volumes,Learn how to configure Cloud Ingest subvolumes for Azure Container Storage enabled by Azure Arc (preview).,"This article describes how to configure Cloud Ingest subvolumes (blob upload with local purge) in Azure Container Storage enabled by Azure Arc. A Cloud Ingest subvolume facilitates limitless data ingestion from edge to blob, including ADLSgen2. Files written to this storage type are seamlessly transferred to blob storage and once confirmed uploaded, are then purged locally. This removal ensures space availability for new data. Moreover, this storage option supports data integrity in disconnected",2025-09-29T22:13:00.000Z,how-to,configuration,0.75,True,Describes configuring Cloud Ingest subvolumes with blob upload and local purge; includes product-specific settings and behavior.,unchanged
https://learn.microsoft.com/en-us/azure/azure-arc/container-storage/howto-configure-cloud-mirror-subvolumes,Configure Cloud Mirror subvolumes,Configure Cloud Mirror subvolumes (preview) - Azure Container Storage enabled by Azure Arc,Configure Cloud Mirror subvolumes and sync frequency,Configure Cloud Mirror subvolumes for Azure Container Storage enabled by Azure Arc.,"This article describes how to configure Cloud Mirror subvolumes (syncing data from the cloud to the edge) in Azure Container Storage enabled by Azure Arc. Conceptually, a Cloud Mirror subvolume is a location thatmirrorsdata from a cloud destination to the edge as a read only copy. The frequency controls when a mirror sync occurs without direct user intervention, for instance, every hour, or once a day at a certain time. The OneShot functionality allows a user to perform a syncright nowat a time ",2025-09-29T22:13:00.000Z,how-to,configuration,0.8,True,"Details Cloud Mirror subvolume configuration, including sync frequency and OneShot behavior; product-specific configuration parameters.",unchanged
https://learn.microsoft.com/en-us/azure/azure-arc/container-storage/howto-configure-local-shared-edge-volumes,Configure Local Shared volumes,Configure Local Shared volumes (preview) - Azure Container Storage enabled by Azure Arc,Configure Local Shared Edge Volumes in Azure Container Storage,Learn how to configure Local Shared volumes for Azure Container Storage enabled by Azure Arc (preview).,"This article describes how to configure Local Shared Edge Volumes (highly available, durable local storage) in Azure Container Storage enabled by Azure Arc.",2025-09-29T22:13:00.000Z,how-to,configuration,0.7,True,How-to configuration article for Local Shared Edge Volumes; includes product-specific parameters and setup steps.,unchanged
