url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/azure-managed-lustre/amlfs-overview,Introduction to Azure Managed Lustre,What is Azure Managed Lustre? - Azure Managed Lustre File System,,Use Azure Managed Lustre to quickly create an Azure-based Lustre file system for cloud-based high-performance computing jobs.,"Azure Managed Lustre is a managed file system that offers scalable, powerful, cost-effective storage for high-performance computing (HPC) workloads. Here are some key features and benefits of Azure Managed Lustre: Lustre is an open-source parallel file system that can scale to massive storage sizes while also providing high-performance throughput. Lustre is used by the world's fastest supercomputers and in data-centric workflows for many types of industries. For more information about Lustre, se",2025-02-03T18:05:00.000Z,overview,,0.2,False,"High-level service overview and benefits; no detailed limits, configs, or error mappings.",unchanged
https://learn.microsoft.com/en-us/azure/azure-managed-lustre/amlfs-prerequisites,Prerequisites,Prerequisites for Azure Managed Lustre file systems - Azure Managed Lustre File System,Configure network and storage prerequisites for Azure Managed Lustre,Learn about network and storage prerequisites to complete before you create an Azure Managed Lustre file system.,This article explains prerequisites that you must configure before creating an Azure Managed Lustre file system.,2026-04-02T17:05:00.000Z,overview,configuration,0.78,True,"A prerequisites page for a storage/networked file system service typically lists concrete, product-specific requirements such as supported VNets/subnets, required service endpoints, NSG rules/ports, DNS settings, and storage configuration constraints. These are configuration parameters and environmental requirements that are not generally known from training and are needed before creating an Azure Managed Lustre file system, fitting the configuration sub-skill.",unchanged
https://learn.microsoft.com/en-us/azure/azure-managed-lustre/amlfs-region-recovery,Recover from a regional outage,Regional redundancy and failover recovery with Azure Managed Lustre - Azure Managed Lustre File System,Design regional redundancy and failover recovery for Azure Managed Lustre,Understand techniques to provide failover capabilities for disaster recovery with Azure Managed Lustre,"Each Azure Managed Lustre instance runs within a particular subscription and in one region. This configuration means that your workflow could possibly be disrupted if the cluster's region has a full outage. This article describes a strategy to reduce the risk of work disruption by using a second region for cluster failover. The important thing is to use Azure Blob storage that is accessible from multiple regions. As your workflow proceeds in your primary region, you must manually save data in th",2024-11-11T08:00:00.000Z,how-to,architecture-patterns,0.65,True,Describes a specific DR pattern using multi-region Blob and clusters; includes product-specific architectural guidance and trade-offs for failover.,unchanged
https://learn.microsoft.com/en-us/azure/azure-managed-lustre/auto-export,Export data using auto-export jobs,Use Azure Managed Lustre Auto-Export (Preview) - Azure Managed Lustre File System,Set up Azure Managed Lustre auto-export to Blob Storage,Learn how to use an auto-export job to copy data from your Azure Managed Lustre file system to long-term storage in Azure Blob Storage.,The auto-export feature for Azure Managed Lustre is a capability that automatically synchronizes changes in your Azure Managed Lustre file system with a linked Azure Blob Storage container. Using this feature can help ensure that new and modified files in the file system are reflected in the associated Blob Storage container without manual intervention. This streamlines data management and improves synchronization for long-term storage.,2026-01-21T08:00:00.000Z,how-to,integrations,0.65,True,Auto-export configuration and synchronization behavior are product-specific integration details beyond generic knowledge.,unchanged
https://learn.microsoft.com/en-us/azure/azure-managed-lustre/auto-import,Import data using auto-import jobs,Use Azure Managed Lustre Auto-Import (Preview) - Azure Managed Lustre File System,Configure Azure Managed Lustre auto-import from Blob Storage,How to use the auto-import feature to copy data from your Azure Blob Storage container to an Azure Managed Lustre file system.,The auto-import feature in Azure Managed Lustre enables seamless synchronization of data from an Azure Blob Storage container into an Azure Managed Lustre cluster. This functionality allows customers to treat Blob Storage as a cold tier and Azure Managed Lustre as a high-performance hot tier. This method automatically reflects changes made in Blob Storage within the Lustre namespace.,2026-01-21T08:00:00.000Z,how-to,integrations,0.65,True,"Auto-import feature requires specific configuration options and behavior (sync semantics, triggers) that are unique integration details.",unchanged
https://learn.microsoft.com/en-us/azure/azure-managed-lustre/automount-clients-fstab,Automount Lustre clients with fstab,Automatically Mount Lustre Clients with fstab - Azure Managed Lustre File System,Configure fstab for automatic Azure Managed Lustre mounts,Learn how to automount Lustre clients by using fstab.,This article describes how to automount Lustre clients by using fstab so that you can automatically mount your Azure Managed Lustre directory when the Lustre client virtual machine (VM) restarts.,2025-01-10T18:20:00.000Z,how-to,configuration,0.7,True,"Provides specific fstab entry formats and options for Lustre mounts, which are concrete configuration details.",unchanged
https://learn.microsoft.com/en-us/azure/azure-managed-lustre/blob-integration,Use Azure Blob Storage with Azure Managed Lustre,Use Azure Blob Storage with an Azure Managed Lustre File System - Azure Managed Lustre File System,Integrate Azure Blob Storage with Azure Managed Lustre,Understand storage concepts for using Azure Blob Storage with an Azure Managed Lustre file system.,"Azure Managed Lustre integrates with Azure Blob Storage to simplify the process of importing data from a blob container to a file system. You can also export data from the file system to a blob container for long-term storage. This article explains how to use blob integration with Azure Managed Lustre file systems. To understand the requirements and configuration for a compatible blob container, seeBlob integration prerequisites.",2026-01-13T18:08:00.000Z,how-to,integrations,0.7,True,Explains blob integration requirements and configuration for containers and file systems; includes product-specific parameters and behaviors for this integration.,unchanged
https://learn.microsoft.com/en-us/azure/azure-managed-lustre/client-install,Install Lustre client,Install Client Software for Azure Managed Lustre - Azure Managed Lustre File System,,Learn how to install client software for the Azure Managed Lustre file system using prebuilt kmod packages or DKMS.,"In this article, you learn how to install a Lustre client package. After you install the package, you can set up client virtual machines (VMs) and attach them to an Azure Managed Lustre cluster. Select an operating system version to see the instructions. Before you install, seePlan your Lustre client installationfor the support matrix and to choose between the prebuiltkmodandDKMSinstall methods. If you need to upgrade an existing Lustre client to the current version, seeUpgrade Lustre client sof",2026-06-11T22:13:00.000Z,how-to,,0.3,False,"Primarily a step-by-step client installation guide for Azure Managed Lustre with OS-specific instructions; no clear indication of configuration parameter tables, limits, quotas, or other structured expert details as defined by the sub-skill types.",updated
https://learn.microsoft.com/en-us/azure/azure-managed-lustre/client-install-plan,Plan your client install,Plan Your Azure Managed Lustre Client Installation - Azure Managed Lustre File System,Plan Azure Managed Lustre client installation methods,Review the support matrix and choose between prebuilt kmod and DKMS install methods before you install the Azure Managed Lustre client.,"Before you install the Azure Managed Lustre client on a virtual machine (VM), review the support matrix to confirm your distribution, architecture, and kernel are supported. Then choose between the prebuiltkmodinstall method and theDKMSinstall method based on your environment and Secure Boot requirements. When you're ready to install, seeInstall Lustre client software.",2026-06-03T22:09:00.000Z,overview,deployment,0.7,True,"Describes a support matrix for distributions, architectures, and kernels plus how to choose between prebuilt kmod and DKMS based on environment and Secure Boot; this is deployment-method selection guidance with product-specific constraints.",unchanged
https://learn.microsoft.com/en-us/azure/azure-managed-lustre/client-secure-boot,Use Azure Managed Lustre with Secure Boot,Use Secure Boot with Azure Managed Lustre file system - Azure Managed Lustre File System,Configure Secure Boot for Azure Managed Lustre clients,Learn to configure secure boot keys with Azure Managed Lustre file system.,This article explains how Azure Managed Lustre client software behaves when Secure Boot is enabled on Azure virtual machines (VMs). It also describes when you must customize Secure Boot Unified Extensible Firmware Interface (UEFI) keys so that the Azure Managed Lustre kernel modules load successfully.,2026-06-03T22:09:00.000Z,how-to,security,0.8,True,Details how Lustre client kernel modules behave under Secure Boot and when/how to customize UEFI Secure Boot keys so modules load; includes product-specific security configuration behavior.,unchanged
https://learn.microsoft.com/en-us/azure/azure-managed-lustre/client-upgrade,Upgrade Lustre client,Upgrade Client Software for Azure Managed Lustre - Azure Managed Lustre File System,Upgrade Azure Managed Lustre client software,Learn how to upgrade client software for the Azure Managed Lustre file system.,"In this article, you learn how to upgrade an existing Lustre client package to the current version. Upgraded client software is required to connect to an Azure Managed Lustre file system. If you need to install the client software for the first time, seeInstall Lustre client software. For the supported distribution matrix and to choose between the prebuiltkmodandDKMSinstall methods, seePlan your Lustre client installation. For more information on connecting clients to a cluster, seeConnect clien",2026-06-03T22:09:00.000Z,how-to,configuration,0.65,True,Covers product-specific steps and requirements to upgrade existing Lustre client packages to the current version so they can connect to Azure Managed Lustre; this is concrete upgrade/configuration guidance.,unchanged
https://learn.microsoft.com/en-us/azure/azure-managed-lustre/configure-firewall,Use Azure Firewall with Azure Managed Lustre,Use Azure Firewall - Azure Managed Lustre File System,Use Azure Firewall with Azure Managed Lustre in hub-spoke networks,Learn how to use Azure Firewall with an Azure Managed Lustre file system.,"This article provides guidelines if you're using Azure Firewall with an Azure Managed Lustre file system. A common architecture is to use hub virtual networks for the firewall and spoke virtual networks for services like Managed Lustre. In most scenarios, a spoke should be peered only to a single hub network. The peered hub network should be in the same region as the spoke. For more information about this architecture, seeHub-spoke network topology in Azure. Azure Firewall is a cloud-native, int",2025-11-07T23:02:00.000Z,how-to,security,0.7,True,"Provides firewall rule and topology guidance specific to Managed Lustre traffic patterns, which are product-specific security/network configuration practices.",unchanged
https://learn.microsoft.com/en-us/azure/azure-managed-lustre/configure-network-security-group,Configure a network security group,Configure a Network Security Group - Azure Managed Lustre File System,Configure NSG rules to secure Azure Managed Lustre access,"Learn how to configure network security group rules to allow Azure Managed Lustre file system support as part of a locked-down, Zero Trust networking strategy.","You can configure a network security group to filter inbound and outbound network traffic to and from Azure resources in an Azure virtual network. A network security group can contain security rules that filter network traffic by IP address, port, and protocol. When a network security group is associated with a subnet, security rules are applied to resources deployed in that subnet. This article describes how to configure network security group rules to secure access to an Azure Managed Lustre f",2025-11-07T23:02:00.000Z,how-to,security,0.8,True,"Describes specific NSG rules (ports, protocols, directions) required for Managed Lustre, which are detailed security configuration settings.",unchanged
https://learn.microsoft.com/en-us/azure/azure-managed-lustre/connect-clients,Connect client to the file system,Connect Clients to an Azure Managed Lustre File System - Azure Managed Lustre File System,Connect Linux clients to Azure Managed Lustre,Learn how to connect Linux clients with supported software versions to an Azure Managed Lustre file system.,This article describes how to prepare clients and mount the Azure Managed Lustre file system from a client machine.,2026-06-03T22:09:00.000Z,overview,integrations,0.65,True,"Explains how to prepare Linux clients and mount the Azure Managed Lustre file system, likely including mount options and parameters specific to this service, which are integration patterns between clients and AML.",unchanged
https://learn.microsoft.com/en-us/azure/azure-managed-lustre/create-aml-file-system-terraform,Create file system using Terraform,Create an Azure Managed Lustre file system by using Terraform - Azure Managed Lustre File System,Provision Azure Managed Lustre with Terraform configuration,Learn how to create an Azure Managed Lustre file system by using Terraform.,"In this article, you use Terraform to create anAzure Managed Lustrefile system. Terraformenables the definition, preview, and deployment of cloud infrastructure. Using Terraform, you create configuration files usingHCL syntax. The HCL syntax allows you to specify the cloud provider - such as Azure - and the elements that make up your cloud infrastructure. After you create your configuration files, you create anexecution planthat allows you to preview your infrastructure changes before they're de",2024-11-11T08:00:00.000Z,how-to,integrations,0.65,True,"Terraform article will define resource blocks and parameters specific to Azure Managed Lustre, including required/optional fields and defaults, which are product-specific integration patterns.",unchanged
https://learn.microsoft.com/en-us/azure/azure-managed-lustre/create-file-system-portal,Create file system in Azure portal,Create an Azure Managed Lustre file system by using the Azure portal - Azure Managed Lustre File System,,Learn how to create an Azure Managed Lustre file system from the Azure portal.,"In this article, you learn how to create an Azure Managed Lustre file system by using the Azure portal. If you prefer to use an Azure Resource Manager template to create a file system, seeCreate an Azure Managed Lustre file system by using Azure Resource Manager templates.",2026-03-12T08:00:00.000Z,how-to,,0.2,False,"The page is a step-by-step portal creation guide for an Azure Managed Lustre file system. From the description/summary, it appears to focus on how to create the resource via the portal, without indicating detailed limits, configuration parameter tables, error codes, or other expert-only reference data. It reads as a basic tutorial rather than reference documentation with expert knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/azure-managed-lustre/create-file-system-resource-manager,Create file system using Azure Resource Manager,Create an Azure Managed Lustre file system by using Azure Resource Manager templates - Azure Managed Lustre File System,Define ARM/Bicep templates for Azure Managed Lustre file systems,Learn how to use Azure Resource Manager templates with JSON or Bicep to create an Azure Managed Lustre file system.,"You can automate the creation of an Azure Managed Lustre file system by usingAzure Resource Manager (ARM) templates. This article explains the basic procedure and gives examples of the files that you need. This article gives examples of two different methods for creating ARM templates: To learn more about these options, seeComparing JSON and Bicep for templates.",2024-11-11T08:00:00.000Z,overview,configuration,0.7,True,"ARM/Bicep template examples expose full schema: property names, allowed values, and defaults for the Managed Lustre resource, which are detailed configuration references.",unchanged
https://learn.microsoft.com/en-us/azure/azure-managed-lustre/create-import-job,Import data using manual import jobs,Create an Import Job from Blob Storage to Azure Managed Lustre - Azure Managed Lustre File System,Create Azure Blob import jobs for Azure Managed Lustre,Learn how to create an import job to import data from an Azure Blob Storage container into an Azure Managed Lustre file system.,"Azure Managed Lustre integrates with Azure Blob Storage to simplify the process of importing data from a blob container to a file system. You can configure this integration duringcluster creation, and you can create an import job any time after the cluster is created. In this article, you learn how to use the Azure portal to create an import job that imports data from a blob container into an existing Azure Managed Lustre file system. Note When you import data from a blob container to an Azure M",2026-01-13T18:08:00.000Z,how-to,integrations,0.65,True,"Covers configuration of import jobs between Blob and Lustre, including job parameters and behavior unique to this integration.",unchanged
https://learn.microsoft.com/en-us/azure/azure-managed-lustre/customer-managed-encryption-keys,Use customer-managed encryption keys,Use Customer-Managed Encryption Keys - Azure Managed Lustre File System,Use customer-managed keys to encrypt Azure Managed Lustre data,Learn how to use Azure Key Vault to create and manage your own encryption keys for Azure Managed Lustre file systems.,All data stored in Azure is encrypted at rest by default with Microsoft-managed keys. You can use Azure Key Vault to control ownership of the keys you use to encrypt your data stored in an Azure Managed Lustre file system. This article describes how to use customer-managed keys for data encryption with Managed Lustre. Virtual machine host encryptionprotects all information on the managed disks in a Managed Lustre file system. Even if you add a customer-managed key for Managed Lustre disks for an,2025-11-07T23:02:00.000Z,overview,security,0.8,True,"Explains how to integrate Key Vault CMKs with Managed Lustre, including key scopes and configuration parameters, which are product-specific security settings.",unchanged
https://learn.microsoft.com/en-us/azure/azure-managed-lustre/export-with-archive-jobs,Export data using manual export jobs,Use Export Jobs to Export Data from Azure Managed Lustre - Azure Managed Lustre File System,Configure export jobs from Azure Managed Lustre to Blob Storage,Use an export job to copy data from your Azure Managed Lustre file system to long-term storage in Azure Blob Storage.,"In this article, you learn how to copy data from your Azure Managed Lustre file system to long-term storage in Azure Blob Storage by creating an export job. You can initiate an export job and monitor the job's progress and status in the Azure portal. Export jobs copy new or changed files from the file system to the blob container that you specified when you created the file system. Note Export jobs are available only when you integrate Azure Blob Storage with your Azure Managed Lustre file syste",2026-01-13T18:08:00.000Z,how-to,integrations,0.65,True,"Describes export job setup and behavior, including parameters and constraints specific to Managed Lustre–Blob integration.",unchanged
https://learn.microsoft.com/en-us/azure/azure-managed-lustre/lustre-quotas,Set and configure Lustre quotas,Use quotas in Azure Managed Lustre file systems - Azure Managed Lustre File System,"Configure user, group, and project quotas in Azure Managed Lustre",Learn how to set and configure quotas for Azure Managed Lustre file systems.,"In this article, you learn how to set and configure quotas for Azure Managed Lustre file systems. Quotas allow a system administrator to limit the amount of storage that users can consume in a file system. You can set quotas for individual users, groups, or projects.",2024-11-11T18:06:00.000Z,how-to,limits-quotas,0.8,True,"Quota article will include specific quota types, commands, and likely numeric examples/constraints for storage limits, which are detailed quota configurations.",unchanged
