url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/devops/repos/enterprise-live-migrations/cut-over-to-github?view=azure-devops,5. Cutover to GitHub,Cutover to GitHub for an Enterprise Live Migrations (ELM) - Azure DevOps,Execute cutover for Enterprise Live Migrations,"Schedule and complete cutover from Azure DevOps to GitHub Enterprise Cloud, review unresolved failures, and approve a Review for cutover.","Azure DevOps Services After the initial sync finishes, your repository is ready for cutover. Complete cutover within 21 days of starting the initial sync. Important Cutover typically completes in under 30 minutes, during which the Azure DevOps repository is read-only. While the repository is read-only, pushes and pull request updates are blocked, but users can still browse and clone. Notify all affected teams before you schedule cutover.",2026-06-03T20:26:00.000Z,how-to,limits-quotas,0.8,True,"Contains concrete operational limits and timing details (cutover must complete within 21 days of initial sync, typical cutover duration under 30 minutes, repository read-only behavior during that period); these are precise service constraints.",unchanged
https://learn.microsoft.com/en-us/azure/devops/repos/enterprise-live-migrations/elm-cli-reference?view=azure-devops,ELM CLI reference,Enterprise Live Migrations (ELM) CLI reference - Azure DevOps,Use Azure DevOps CLI for ELM operations,Complete command and parameter reference for the Azure DevOps CLI commands you use to run Enterprise Live Migrations (ELM).,"Azure DevOps Services This article lists the Azure DevOps CLI commands and parameters you use to run Enterprise Live Migrations (ELM), along with status and stage values the CLI returns during a migration.",2026-06-03T20:26:00.000Z,reference,configuration,0.85,True,"CLI reference listing commands, parameters, and status/stage values for Enterprise Live Migrations; this is a configuration/API parameter reference unique to this product, matching the integrations/configuration pattern, with stronger fit to configuration due to parameter tables.",unchanged
https://learn.microsoft.com/en-us/azure/devops/repos/enterprise-live-migrations/monitor-migration?view=azure-devops,4. Monitor the migration,Monitor an Enterprise Live Migrations (ELM) - Azure DevOps,Monitor Enterprise Live Migration sync windows,"Monitor sync progress, pause and resume, and cancel an Enterprise Live Migrations (ELM) from Azure DevOps to GitHub Enterprise Cloud.","Azure DevOps Services The initial sync can take several hours or even days to complete, depending on the size of your repository. After the initial synchronization finishes, ELM continues to perform periodic syncs for up to 21 days to capture ongoing updates. During this 21-day window, you must run the cutover to finalize the migration. Note All steps in this article use the Azure DevOps CLI. To see which repositories are in each phase, runaz devops migrations listand filter by thestagefield. Er",2026-06-03T20:26:00.000Z,how-to,limits-quotas,0.8,True,"Includes explicit time constraints (periodic syncs for up to 21 days, requirement to cut over within that window) and guidance on monitoring via specific CLI commands; these numeric windows and behaviors are service-specific limits.",unchanged
https://learn.microsoft.com/en-us/azure/devops/repos/enterprise-live-migrations/overview?view=azure-devops,1. Learn about Enterprise Live Migrations,Introduction to Enterprise Live Migrations (ELM) - Azure DevOps,Plan Enterprise Live Migrations from Azure DevOps,Learn how Enterprise Live Migrations (ELM) helps you migrate Azure DevOps repositories to GitHub Enterprise Cloud with data residency.,"Azure DevOps Services Enterprise Live Migrations (ELM) helps you migrate Azure DevOps repositories to GitHub Enterprise Cloud with data residency with minimal disruption. ELM continuously synchronizes the source and target repositories, so your teams can keep working in Azure DevOps Services until you're ready to cutover. Note ELM is currently in private preview. If you're interested in joining,sign up here. Run ELM from the command line using the Azure DevOps CLI. All migration operations - val",2026-06-02T16:12:00.000Z,overview,decision-making,0.65,True,"Overview of a specific migration product and workflow, including how ELM operates (continuous sync, cutover behavior, data residency) and when to use it; this is specialized migration decision guidance not generally known, though not heavy on numbers.",unchanged
https://learn.microsoft.com/en-us/azure/devops/repos/enterprise-live-migrations/post-migration?view=azure-devops,6. Complete post-migration tasks,Post-migration activities for Enterprise Live Migrations (ELM) - Azure DevOps,Validate and finalize post-ELM GitHub migrations,"Validate the migrated GitHub repository, review branch rulesets, reclaim mannequins, and prepare teams to work from GitHub after ELM cutover.","Azure DevOps Services After cutover, complete the following post-migration tasks to validate the GitHub repository, restore expected protections, and prepare teams to work from GitHub as the new system of record. Perform these tasks in the GitHub portal.",2026-06-02T16:12:00.000Z,how-to,best-practices,0.65,True,"Provides product-specific post-migration steps (validating GitHub repo, branch rulesets, mannequin reclamation, preparing teams) that are concrete operational recommendations tailored to ELM migrations.",unchanged
https://learn.microsoft.com/en-us/azure/devops/repos/enterprise-live-migrations/prerequisites?view=azure-devops,2. Complete prerequisites,Prerequisites for Enterprise Live Migrations (ELM) - Azure DevOps,Prepare Azure DevOps and GitHub for ELM,"Review the source and target requirements, access, authentication, tooling, and agent setup needed before you start an Enterprise Live Migrations (ELM).","Azure DevOps Services Before you use ELM, ensure the following requirements are met across Azure DevOps Services and GitHub Enterprise Cloud with data residency. Note Prerequisite setup uses both the Azure DevOps portal and GitHub UI (for one-time tasks such as creating a service connection, registering an agent, and creating a PAT) and the command line (for installing tooling). Each section is labeled so you know where to work.",2026-06-03T20:26:00.000Z,how-to,configuration,0.7,True,"Details concrete prerequisites such as required access, authentication setup, service connections, PATs, and agent configuration for Enterprise Live Migrations; these are product-specific configuration requirements beyond generic knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/devops/repos/enterprise-live-migrations/start-migration?view=azure-devops,3. Start the migration,Start an Enterprise Live Migrations (ELM) - Azure DevOps,Authenticate and start Enterprise Live Migration sync,"Authenticate into Azure DevOps, validate your repository, and start the initial synchronization for an Enterprise Live Migrations (ELM).","Azure DevOps Services After you complete theprerequisites, authenticate into Azure DevOps and start the initial synchronization for your repository. Use the service connection ID you created in the prerequisites when you start the migration. Note All steps in this article use the Azure DevOps CLI. The only exception is checking that your self-hosted Linux agent is online, which you can do from the Azure DevOps portal.",2026-06-02T16:12:00.000Z,how-to,configuration,0.65,True,"Describes specific Azure DevOps CLI commands and parameters to validate and start ELM synchronization, including use of service connection IDs; this is product-specific operational configuration rather than generic tutorial content.",unchanged
https://learn.microsoft.com/en-us/azure/devops/repos/enterprise-live-migrations/troubleshoot?view=azure-devops,Troubleshoot ELM,Troubleshoot Enterprise Live Migrations (ELM) - Azure DevOps,Diagnose and fix Enterprise Live Migration errors,"Resolve creation, validation, synchronization, cutover, CLI, and post-migration errors for Enterprise Live Migrations (ELM).","Azure DevOps Services Use this article to diagnose and resolve common errors that occur during an Enterprise Live Migration (ELM). For most failures, check theerrorMessagefield in the JSON output ofaz devops migrations status.",2026-06-03T20:26:00.000Z,troubleshooting,troubleshooting,0.9,True,"Organized around ELM failures (creation, validation, sync, cutover, CLI, post-migration) with guidance to inspect specific fields like errorMessage in az devops migrations status output and map symptoms to causes and resolutions; this is product-specific troubleshooting content.",unchanged
https://learn.microsoft.com/en-us/azure/devops/repos/get-started/?view=azure-devops,Use Azure Repos,Guide for getting started with Azure Repos - Azure Repos,,Sign up and get started using Azure Repos,"Azure DevOps Services | Azure DevOps Server | Azure DevOps Server 2022 Azure Repos offers free unlimited private Git repositories, making it easy to try. Git is the most commonly used version control system today and is quickly becoming the standard for version control. It is a distributed version control system, meaning that your local copy of code is a complete version control repository. These fully functional local repositories make it easy to work offline or remotely. You can commit your wo",2026-02-18T02:04:00.000Z,get-started,,0.2,False,"Getting-started guide and overview; no detailed configuration tables, limits, or troubleshooting content.",unchanged
https://learn.microsoft.com/en-us/azure/devops/repos/get-started/sign-up-invite-teammates?view=azure-devops,Sign up for Azure Repos,Sign up for Azure Repos - Azure DevOps,,How to sign up for Azure Repos.,"Azure DevOps Services Sign up for Azure Repos. For more information, seeWhat is Azure Repos?",2026-02-06T23:56:00.000Z,how-to,,0.1,False,"Simple sign-up instructions; no expert-level configuration, limits, or troubleshooting.",unchanged
