url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/attestation/attestation-token-examples,Attestation token,Examples of an Azure Attestation token,Interpret and validate Azure Attestation tokens with examples,Examples of Azure Attestation token,Attestation policy is used to process the attestation evidence and determines whether Azure Attestation issues an attestation token. Attestation token generation can be controlled with custom policies. Here are some examples of an attestation token.,2025-04-15T08:00:00.000Z,overview,best-practices,0.65,True,Shows example attestation tokens produced by policies; provides concrete token structure and claim patterns that help implementers correctly consume tokens.,unchanged
https://learn.microsoft.com/en-us/azure/attestation/author-sign-policy,Authoring an attestation policy,How to author an Azure Attestation policy,Author secure and correct Azure Attestation policies,An explanation of how to author an attestation policy.,"Attestation policy is a file uploaded to Microsoft Azure Attestation. Azure Attestation offers the flexibility to upload a policy in an attestation-specific policy format. Alternatively, an encoded version of the policy, in JSON Web Signature, can also be uploaded. The policy administrator is responsible for writing the attestation policy. In most attestation scenarios, the relying party acts as the policy administrator. The client making the attestation call sends attestation evidence, which th",2025-04-15T08:00:00.000Z,overview,best-practices,0.6,True,"Explains how to author attestation policies in the service-specific policy format and JWS; likely includes concrete policy structures, conditions, and gotchas unique to Azure Attestation policy language.",unchanged
https://learn.microsoft.com/en-us/azure/attestation/azure-tpm-vbs-attestation-usage,How to perform TPM and VBS attestation,Azure TPM VBS attestation usage,,Learn about how to apply TPM and VBS attestation,"Attestation can be integrated into various applications and services, catering to different use cases. Azure Attestation service, which acts the remote attestation service can be used for desired purposes by updating the attestation policy. The policy engine works as processor, which takes the incoming payload as evidence and performs the validations as authored in the policy. This architecture simplifies the workflow and enables the service owner to purpose build solutions for the varied platfo",2024-08-07T16:44:00.000Z,overview,,0.4,False,Describes how to apply TPM and VBS attestation conceptually and via policy; summary suggests architecture/usage overview rather than detailed config tables or error mappings.,unchanged
https://learn.microsoft.com/en-us/azure/attestation/basic-concepts,Basic concepts,Azure Attestation Basic Concepts,,Basic concepts of Azure Attestation.,This article defines some basic concepts related to Microsoft Azure Attestation.,2025-04-15T08:00:00.000Z,overview,,0.2,False,"Basic concepts article; primarily definitions and conceptual explanations without detailed configuration, limits, or troubleshooting mappings.",unchanged
https://learn.microsoft.com/en-us/azure/attestation/claim-rule-functions,Claim Rule Functions,Azure Attestation claim rule functions,Use Azure Attestation claim rule functions and operators,Learn about claim rule concepts for Azure Attestation policy and the improvements made to the policy language.,Azure Attestation policy language is updated to enable querying of the incoming evidence in a JSON format. This article explains all the improvements made to the policy language. One new operator and six functions are introduced in this policy version.,2024-08-07T16:44:00.000Z,overview,configuration,0.75,True,"Explains new operator and six functions in updated policy language; includes function names, parameters, and behavior, which are configuration/policy language reference details.",unchanged
https://learn.microsoft.com/en-us/azure/attestation/claim-rule-grammar,Claim rule grammar,Azure Attestation claim rule grammar,Use Azure Attestation claim rule grammar in policies,Details on Azure Attestation policy claims and claim rules.,"To understand the grammar of claim rules, you must first understand attestation policy claims.",2025-04-15T08:00:00.000Z,overview,configuration,0.7,True,"Details grammar of claim rules and policy claims; effectively a language reference with specific operators, syntax, and allowed values unique to this product.",unchanged
https://learn.microsoft.com/en-us/azure/attestation/claim-sets,Claim sets,Azure Attestation Claim sets,Understand Azure Attestation claim sets and categories,The claim sets of Azure Attestation.,Claims generated in the process of attesting enclaves using Microsoft Azure Attestation can be divided into these categories:,2025-04-15T08:00:00.000Z,overview,configuration,0.65,True,"Describes categories of claims generated during attestation; likely enumerates specific claim names and meanings, which are product-specific reference details.",unchanged
https://learn.microsoft.com/en-us/azure/attestation/custom-tcb-baseline-enforcement,Enforce custom TCB baseline for SGX attestation,Custom TCB baseline enforcement for Azure Attestation users,Configure custom TCB baseline enforcement for SGX attestation,Custom TCB baseline enforcement for Azure Attestation users,"Microsoft Azure Attestation is a unified solution for attesting different types of Trusted Execution Environments (TEEs) such asIntel® Software Guard Extensions(SGX) enclaves. While attesting SGX enclaves, Azure Attestation validates the evidence against Azure default Trusted Computing Base (TCB) baseline. The default TCB baseline is provided by an Azure service namedTrusted Hardware Identity Management (THIM)and includes collateral fetched from Intel like certificate revocation lists (CRLs), In",2025-04-15T08:00:00.000Z,overview,best-practices,0.7,True,Describes how Azure Attestation validates SGX evidence against default TCB baseline and how to customize it; contains product-specific behavior and configuration steps that are nuanced and not generic.,unchanged
https://learn.microsoft.com/en-us/azure/attestation/enable-logging,Enable logging in Azure Attestation,Enable logging in Azure Attestation,Enable diagnostic logging for Azure Attestation,Enable logging in Azure Attestation,"After you create one or more Azure Attestation providers, you'll likely want to monitor how and when your resources are accessed, and by whom. You can do this by enabling logging for Microsoft Azure Attestation, which saves information in an Azure storage account and/or log analytics workspace you provide.",2025-04-15T08:00:00.000Z,overview,configuration,0.7,True,"Explains enabling logging to storage accounts and Log Analytics; likely includes specific diagnostic settings, categories, and configuration steps unique to Azure Attestation.",unchanged
https://learn.microsoft.com/en-us/azure/attestation/faq,FAQ,Frequently asked questions,Resolve common Microsoft Azure Attestation issues,Answers to frequently asked questions about Microsoft Azure Attestation,"This article provides answers to some of the most common questions aboutAzure Attestation. If your Azure issue is not addressed in this article, you can also submit an Azure support request on theAzure support page.",2024-08-07T16:44:00.000Z,faq,troubleshooting,0.68,True,"FAQ pages for security services typically include product-specific behaviors, constraints, and clarifications (for example, supported enclave types, policy evaluation nuances, region/tenant behaviors, and error or scenario-specific guidance) that go beyond generic concepts. While organized as FAQs rather than a formal troubleshooting guide, such content effectively maps concrete questions/symptoms to causes and resolutions unique to Azure Attestation, which fits the troubleshooting sub-skill better than the other categories.",updated
