url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/devtest-labs/activity-logs,View activity logs,Activity logs - Azure DevTest Labs,View and interpret DevTest Labs activity logs,This article provides steps to view activity logs for Azure DevTest Labs.,"After you create one or more labs, you'll likely want to monitor how and when your labs are accessed, modified, and managed, and by whom. Azure DevTest Labs uses Azure Monitor, specificallyactivity logs, to provide information these operations against labs. This article explains how to view  activity logs for a lab in Azure DevTest Labs.",2022-03-31T17:03:00.000Z,how-to,configuration,0.7,True,"Explains how DevTest Labs uses Azure Monitor activity logs; likely includes specific operation names, categories, and filters relevant to DevTest Labs resources.",unchanged
https://learn.microsoft.com/en-us/azure/devtest-labs/add-artifact-repository,Add an artifact repository to a lab,Add an Artifact Repository to Your Lab - Azure DevTest Labs,,Learn how to add a private artifact repository to your lab to store your custom artifacts.,"This article describes how to add anartifactrepository to your lab in Azure DevTest Labs. Artifacts are tools or applications to install on virtual machines (VMs). You define artifacts in a JSON file that you load from a GitHub or Azure Repos Git repository. The publicDevTest Labs GitHub artifact repositoryprovides many common artifacts for Windows and Linux. The artifacts in this public repository are available by default in DevTest Labs. For information about adding artifacts to VMs, seeAdd ar",2025-07-25T17:09:00.000Z,how-to,,0.3,False,Primarily a how-to for wiring a Git repo as an artifact source; likely step-by-step UI instructions without detailed parameter tables or product-specific limits.,unchanged
https://learn.microsoft.com/en-us/azure/devtest-labs/add-artifact-vm,Add artifacts to a VM,Add artifacts to VMs - Azure DevTest Labs,Add and configure artifacts on DevTest Labs VMs,Learn how to add or configure artifacts on lab virtual machines (VM) in Azure DevTest Labs by using the Azure portal or Azure PowerShell.,"This article describes how to addartifactsto Azure DevTest Labs virtual machines (VMs) by using the Azure portal or Azure PowerShell. Artifacts are tools, actions, or software you can add to lab VMs. For example, artifacts can run Windows PowerShell scripts or Bash commands, install tools or applications, or take other actions like joining a domain. DevTest Labs artifacts can come from thepublic DevTest Labs Git repositoryor from private Git repositories. Lab users cancreate their own custom art",2025-04-04T05:11:00.000Z,how-to,configuration,0.65,True,"Describes artifact configuration via portal and PowerShell, including artifact sources and parameters; these are product-specific configuration patterns.",unchanged
https://learn.microsoft.com/en-us/azure/devtest-labs/add-vm-use-shared-image,Create a VM using an image from shared image gallery,Add a VM using a shared image - Azure DevTest Labs,,Learn how to add a virtual machine (VM) using an image from the attached shared image gallery in Azure DevTest Labs,"Azure DevTest Labs allows you to attach a shared image gallery to your lab and then use images in the gallery as bases for the VMs you create in the lab. To learn how to attach a shared image gallery to your lab, seeConfigure shared image gallery. This article shows you how to add a VM to your lab by using an image from the attached shared image gallery as a base.",2025-02-28T08:00:00.000Z,how-to,,0.55,False,How-to for adding a VM from shared image gallery; mostly procedural portal steps without detailed config matrices or limits.,unchanged
https://learn.microsoft.com/en-us/azure/devtest-labs/automate-add-lab-user,Automate adding a lab user,Automate adding a lab user - Azure DevTest Labs,"Automate adding DevTest Labs users via ARM, PowerShell, and CLI","This article shows you how to automate adding a user to a lab in Azure DevTest Labs using Azure Resource Manager templates, PowerShell, and CLI.","Azure DevTest Labs allows you to quickly create self-service dev-test environments by using the Azure portal. However, if you have several teams and several DevTest Labs instances, automating the creation process can save time.Azure Resource Manager templatesallow you to create labs, lab VMs, custom images, formulas, and add users in an automated fashion. This article specifically focuses on adding users to a DevTest Labs instance. To add a user to a lab, you add the user to theDevTest Labs User",2023-04-13T11:17:00.000Z,how-to,integrations,0.7,True,"Shows how to automate user addition using ARM templates, PowerShell, and CLI; includes specific API/SDK parameters and patterns.",unchanged
https://learn.microsoft.com/en-us/azure/devtest-labs/best-practices-distributive-collaborative-development-environment,Best practices,Distributed collaborative development of Azure DevTest Labs resources - Azure DevTest Labs,Set up distributed DevTest Labs resource development,Provides best practices for setting up a distributed and collaborative development environment to develop DevTest Labs resources.,"Distributed collaborative development allows different teams or people to develop and maintain a code base. To be successful, the development process depends on the ability to create, share, and integrate information. This key development principle can be used within Azure DevTest Labs. There are several types of resources within a lab that are commonly distributed between different labs within an enterprise. The different types of resources are focused into two areas: This document describes so",2025-09-19T22:11:00.000Z,conceptual,best-practices,0.7,True,"Explicitly framed as best practices for distributed collaborative development of DevTest Labs resources; likely includes product-specific recommendations and patterns for managing artifacts, images, and repos.",unchanged
https://learn.microsoft.com/en-us/azure/devtest-labs/configure-lab-identity,Configure lab identity ,Configure a lab identity - Azure DevTest Labs,Configure managed identity for Azure DevTest Labs,Learn how to configure a lab identity in Azure DevTest.,"A common challenge when building cloud applications is how to manage the credentials in your code for authenticating to cloud services. Keeping the credentials secure is an important task. Ideally, the credentials never appear on developer workstations and aren't checked into source control. Azure Key Vault provides a way to securely store credentials, secrets, and other keys, but your code must authenticate to Key Vault to retrieve them. The managed identities for Azure resources feature in Mic",2024-11-21T05:37:00.000Z,how-to,security,0.75,True,Covers configuring lab identity using managed identities and Key Vault; includes product-specific security configuration steps and parameters.,unchanged
https://learn.microsoft.com/en-us/azure/devtest-labs/configure-lab-remote-desktop-gateway,Configure a lab to use a remote desktop gateway,Secure Labs by Using Remote Desktop Gateways - Azure DevTest Labs,Secure DevTest Labs access with Remote Desktop Gateway,Learn how to configure a remote desktop gateway in Azure DevTest Labs for secure access to lab VMs without exposing RDP ports.,This article describes how to set up and use a gateway for secureremote desktopaccess to lab virtual machines (VMs) in Azure DevTest Labs. Using a gateway improves security because you don't expose the VMs' Remote Desktop Protocol (RDP) ports to the internet. This remote desktop gateway solution also supports token authentication. DevTest Labs provides a central place for lab users to view and connect to their VMs. SelectingConnect>Connect via RDPon a lab VM'sOverviewpage creates a machine-speci,2025-07-17T08:00:00.000Z,how-to,security,0.75,True,"Describes configuring an RDP gateway for secure VM access, including token auth and connection behavior; product-specific security configuration.",unchanged
https://learn.microsoft.com/en-us/azure/devtest-labs/configure-shared-image-gallery,Configure a shared image gallery,Configure a shared image gallery - Azure DevTest Labs,Configure Azure Compute Gallery for DevTest Labs images,"Learn how to configure a shared image gallery in Azure DevTest Labs, so users can access virtual machine images from a shared location.","DevTest Labs supports storing and sharing images withAzure Compute Gallery. A shared image gallery makes it easy to maintain a large number of managed images and make them widely available. It's also a great way to provide standardized images with current software for your users. Both specialized and generalized images are supported. By using a shared image gallery, you can build structure and organization around your custom-managed virtual machine (VM) images. This article describes how to atta",2024-06-11T11:24:00.000Z,how-to,configuration,0.7,True,"Details attaching and using a shared image gallery, including settings and structure for custom images.",unchanged
https://learn.microsoft.com/en-us/azure/devtest-labs/connect-environment-lab-virtual-network,Connect an environment to your lab's virtual network,Connect environments to a lab's vnet - Azure DevTest Labs,,Learn how to connect an environment (like Service Fabric cluster) to your lab's virtual network in Azure DevTest Labs,Azure DevTest Labs makes it easy to create VMs in a lab withbuilt-in networking. It has a great deal of flexibility with the ability tocreate multi-VM environments. This article shows you how to connect VMs in an environment to the lab virtual network. One scenario where you use this feature is setting up an N-tier app with a SQL Server data tier that is connected to the lab VNet allowing test VMs in the lab to access it.,2026-06-16T22:28:00.000Z,how-to,,0.3,False,"Shows how to connect environment VMs to a lab virtual network, likely as a step-by-step tutorial. Summary does not indicate presence of detailed config tables, limits, or security role definitions.",unchanged
https://learn.microsoft.com/en-us/azure/devtest-labs/connect-linux-virtual-machine,Connect to a Linux VM,Connect to your Linux virtual machines - Azure DevTest Labs,,Learn how to connect to your Linux virtual machine in a lab (Azure DevTest Labs),This article shows you how to connect to Linux VM in your lab.,2023-05-04T11:24:00.000Z,how-to,,0.4,False,Basic SSH connection instructions to Linux VMs; generic and not focused on product-specific configs or limits.,unchanged
https://learn.microsoft.com/en-us/azure/devtest-labs/connect-virtual-machine-through-browser,Connect to your VM through a browser,Connect to lab VMs via Azure Bastion - Azure DevTest Labs,Secure DevTest Labs VM access via Azure Bastion,Learn how to connect to Azure DevTest Labs virtual machines (VMs) through an internet browser if Azure Bastion is enabled for the lab.,This article describes how to connect to your DevTest Labs virtual machine (VM) by usingAzure Bastion. Bastion provides secure remote desktop protocol (RDP) or secure shell (SSH) access without using public IP addresses or exposing RDP or SSH ports to the internet.,2025-12-16T12:11:00.000Z,how-to,security,0.65,True,Describes connecting via Bastion for DevTest Labs; likely includes Bastion-specific connection settings and security-related configuration steps for this product context.,unchanged
https://learn.microsoft.com/en-us/azure/devtest-labs/connect-windows-virtual-machine,Connect to a Windows VM,Connect to your Windows virtual machines - Azure DevTest Labs,,Learn how to connect to your Windows virtual machine in a lab (Azure DevTest Labs),This article shows you how to connect to a Windows VM in your lab.,2022-03-31T17:03:00.000Z,how-to,,0.4,False,"Basic connection instructions (RDP) to Windows VMs; generic pattern LLM already knows, unlikely to contain DevTest-specific expert details.",unchanged
https://learn.microsoft.com/en-us/azure/devtest-labs/create-alerts,Create activity log alerts,Create activity log alerts for labs - Azure DevTest Labs,Configure activity log alerts for DevTest Labs events,Learn how to create activity log alerts and configure alert rules for labs in Azure DevTest Labs.,This article explains how to create activity log alerts for labs in Azure DevTest Labs (for example: when a virtual machine is created or deleted).,2024-05-01T11:18:00.000Z,how-to,configuration,0.7,True,"Creating alerts for lab events requires specific signal types, scopes, and conditions tied to DevTest Labs operations, which are product-specific configuration details.",unchanged
https://learn.microsoft.com/en-us/azure/devtest-labs/create-environment-service-fabric-cluster,Create a Service Fabric cluster environment,Create a Service Fabric cluster environment - Azure DevTest Labs,,Learn how to create an environment with a self-contained Service Fabric cluster. See how to start and stop the cluster by using schedules.,This article provides information on how to create an environment with a self-contained Service Fabric cluster in Azure DevTest Labs.,2026-06-16T22:28:00.000Z,how-to,,0.3,False,"Appears to be a how-to tutorial for creating a Service Fabric cluster environment and using schedules. No indication of detailed configuration parameter tables, limits, or error-code-based troubleshooting.",unchanged
https://learn.microsoft.com/en-us/azure/devtest-labs/create-lab-windows-vm-bicep,Create a lab - Bicep,Create a lab in Azure DevTest Labs using Bicep - Azure DevTest Labs,,Use Bicep to create a lab that has a virtual machine in Azure DevTest Labs.,"This quickstart uses Bicep to create a lab in Azure DevTest Labs that has one Windows Server 2019 Datacenter virtual machine (VM) in it. Bicepis a domain-specific language (DSL) that uses declarative syntax to deploy Azure resources. It provides concise syntax, reliable type safety, and support for code reuse. Bicep offers the best authoring experience for your infrastructure-as-code solutions in Azure. In this quickstart, you:",2025-12-18T06:10:00.000Z,quickstart,,0.4,False,"Quickstart using Bicep to create a lab; primarily example template and basic deployment flow, not a catalog of configuration options or limits.",unchanged
https://learn.microsoft.com/en-us/azure/devtest-labs/create-lab-windows-vm-template,Create a lab - ARM template,Create labs from ARM templates - Azure DevTest Labs,,Create labs with virtual machines in Azure DevTest Labs by using Azure Resource Manager (ARM) templates.,"In this quickstart, you use an Azure Resource Manager (ARM) template to create a lab in Azure DevTest Labs that has one Windows Server 2019 Datacenter virtual machine (VM) in it. AnAzure Resource Manager templateis a JavaScript Object Notation (JSON) file that defines the infrastructure and configuration for your project. The template uses declarative syntax. You describe your intended deployment without writing the sequence of programming commands to create the deployment. DevTest Labs can use ",2024-06-19T22:02:00.000Z,quickstart,,0.4,False,"ARM template quickstart for a single lab/VM scenario; focuses on example deployment, not exhaustive configuration or limits.",unchanged
https://learn.microsoft.com/en-us/azure/devtest-labs/deliver-proof-concept,Deliver proof of concept,Deliver a proof of concept - Azure DevTest Labs,Plan and execute a DevTest Labs proof of concept,Use a proof of concept or pilot deployment to investigate incorporating Azure DevTest Labs into an enterprise environment.,"Enterprises are rapidly adopting the cloud because ofbenefitsthat include agility, flexibility, and economics. The first steps are often development and test workloads. Azure DevTest Labs providesfeaturesthat benefit the enterprise and supportkey dev/test scenarios. This article describes how an enterprise can deliver a successful proof of concept or pilot for an Azure DevTest Labs deployment. Proof of concept uses a concentrated effort from a single team to establish organizational value. Every",2023-10-11T05:36:00.000Z,how-to,decision-making,0.65,True,Guides enterprises on when and how to run a PoC/pilot; likely includes scenario-based recommendations and decision criteria for adopting DevTest Labs in an organization.,unchanged
https://learn.microsoft.com/en-us/azure/devtest-labs/deploy-nested-template-environments,Configure test environments with nested templates,Nested ARM templates for lab environments - Azure DevTest Labs,,Learn about using nested Azure Resource Manager (ARM) templates to deploy Azure DevTest Labs environments.,"An Azure DevTest Labsenvironmentconsists of multiple infrastructure-as-a-service (IaaS) virtual machines (VMs) with platform-as-a-service (PaaS) resources installed. You can provision and deploy DevTest Labs environments by using Azure Resource Manager (ARM) templates. To deploy complex solutions like environments, you can break a template into secondary templates, and deploy these templates through a main template. This article describes usingnested templatesto deploy a DevTest Labs environment",2026-06-16T22:28:00.000Z,how-to,,0.4,False,"Explains using nested ARM templates for DevTest Labs environments. While it is implementation-focused, the summary suggests general ARM nesting usage rather than product-specific configuration matrices or limits.",unchanged
https://learn.microsoft.com/en-us/azure/devtest-labs/devtest-lab-add-claimable-vm,Create and manage claimable VMs,Create and manage claimable VMs - Azure DevTest Labs,,"Learn how to add a claimable virtual machine in Azure DevTest Labs, including claiming and unclaiming a VM and attached data disks.","This article describes how to add a claimable virtual machine (VM) to a lab in DevTest Labs by using the Azure portal. A claimable VM is added to a lab in a similar manner to how youadd a standard VM. The base for the claimable VM can be acustom image,formula, orMarketplace image. After you add the VM, you can claim it and later unclaim it, as needed.",2024-06-11T11:24:00.000Z,how-to,,0.55,False,Describes claimable VMs and portal steps; mostly workflow guidance without deep config tables or limits.,unchanged
https://learn.microsoft.com/en-us/azure/devtest-labs/devtest-lab-add-devtest-user,Add lab owners and users,Add and configure lab users with role-based access control (RBAC) - Azure DevTest Labs,Configure DevTest Labs RBAC roles and user access,"Learn about the Azure DevTest Labs Owner, Contributor, and DevTest Labs User roles, and how to add members to lab roles by using the Azure portal or Azure PowerShell.","Azure DevTest Labs has three built-in roles:Owner,Contributor, andDevTest Labs User, that define the access necessary to do specific lab tasks. Lab owners use Azurerole-based access control(RBAC) to add lab users with assigned roles. This article lists the tasks each role can do, and describes how Lab Owners can add members to lab roles by using the Azure portal or an Azure PowerShell script.",2025-04-04T05:11:00.000Z,how-to,security,0.8,True,"Describes built-in DevTest Labs roles (Owner, Contributor, DevTest Labs User), their permissions, and how to assign them; matches security criteria with specific RBAC roles.",unchanged
https://learn.microsoft.com/en-us/azure/devtest-labs/devtest-lab-add-tag,Configure tags,Add tags to a lab - Azure DevTest Labs,Add and manage tags on Azure DevTest Labs resources,Learn how to create custom tags in Azure DevTest Labs and use tags to categorize resources. You can see all the resources in your subscription that have a tag.,"You can create custom tags and apply them to your DevTest Labs resources to logically categorize your resources. Later, you can quickly and easily see all the resources in your subscription that have that tag. Tags are helpful when you need to organize resources for billing or management. Resources that are supported by tags include You can apply tags when youCreate a laband later manage them through the Tags blade under Configuration and settings. Every tag is made up of aname/valuepair. For ex",2022-03-31T17:03:00.000Z,how-to,configuration,0.65,True,"Explains tag usage, supported resources, and how to configure tags; product-specific configuration behavior.",unchanged
https://learn.microsoft.com/en-us/azure/devtest-labs/devtest-lab-add-vm,Azure portal,Create and add a VM to a lab - Azure DevTest Labs,,"Learn how to use the Azure portal to add a virtual machine (VM) to a lab in Azure DevTest Labs. Configure basic settings, artifacts, and advanced settings.","This article describes how to create Azure virtual machines (VMs) in Azure DevTest Labs by using the Azure portal. You can also create DevTest Labs VMs by usingPowerShell,Azure CLI, anARM template, or from ashared image gallery.",2025-03-27T22:02:00.000Z,how-to,,0.5,False,"Portal-based VM creation walkthrough; mostly generic provisioning steps without detailed config tables, limits, or troubleshooting mappings.",unchanged
https://learn.microsoft.com/en-us/azure/devtest-labs/devtest-lab-announcements,Post announcement in a lab,Post an announcement to a lab - Azure DevTest Labs,,Learn how to post a custom announcement in an existing lab to notify users about recent changes or additions to the lab in Azure DevTest Labs.,"As a lab administrator, you can post a custom announcement in an existing lab to notify users about recent changes or additions to the lab. For example, you might want to inform users about: Once posted, the announcement is displayed on the lab's Overview page and the user can select it for more details. The announcement feature is meant to be used for temporary notifications.  You can easily disable an announcement after it is no longer needed.",2023-04-13T11:17:00.000Z,how-to,,0.3,False,Announcement posting feature is mostly UI-driven and conceptual; lacks detailed configuration parameters or limits.,unchanged
https://learn.microsoft.com/en-us/azure/devtest-labs/devtest-lab-artifact-author,Create custom artifacts,Create custom artifacts for VMs - Azure DevTest Labs,Author custom DevTest Labs VM artifact definitions,Learn how to create and use artifacts to deploy and set up applications on DevTest Labs virtual machines (VMs).,"Artifacts are tools, actions, or software you can add to Azure DevTest Labs VMs. For example, artifacts can run scripts, install tools, or take actions like joining a domain. DevTest Labs users canadd artifacts to their VMs, and lab administrators canspecify mandatory artifacts to be added to all lab VMs. This article describes how to create artifacts that provision lab VMs. An artifact consists of an artifact definition JSON file and other script files stored in a Git repository folder. You can",2025-12-16T12:11:00.000Z,how-to,configuration,0.7,True,"Custom artifact creation uses an artifact definition JSON schema and script structure that are product-specific configuration details (parameter names, structure, and usage) that go beyond generic knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/devtest-labs/devtest-lab-attach-detach-data-disk,Attach and detach data disks,Attach or detach data disks for lab VMs - Azure DevTest Labs,,Learn how to use the Azure portal to attach or detach a data disk for an Azure DevTest Labs virtual machine (VM).,"This article explains how to attach and detach a lab virtual machine (VM) data disk in Azure DevTest Labs by using the Azure portal. Depending on the VM size, you can create, attach, detach, and reattach multipledata disks. Data disks let you manage storage or software separately from individual VMs.",2025-03-27T22:02:00.000Z,how-to,,0.55,False,Attach/detach data disks via portal; may mention that number of disks depends on VM size but not as a structured limits table; primarily procedural.,unchanged
https://learn.microsoft.com/en-us/azure/devtest-labs/devtest-lab-auto-shutdown,Configure auto-shutdown of lab VMs,Configure autoshutdown for lab virtual machines - Azure DevTest Labs,Configure autoshutdown policies for DevTest Labs VMs,Learn how to set autoshutdown schedules and policies to shut down all or individual Azure DevTest Labs lab virtual machines (VMs) at a specific time daily.,"Autoshutdown in Azure DevTest Labs helps minimize waste by automatically shutting down a lab's VMs at a specific time of day or night. As a lab owner, you can configure an autoshutdown schedule for all your lab VMs. Lab owners can also set a central autoshutdown policy to control whether lab users can configure autoshutdown schedules for their own VMs. This article explains how to set autoshutdown schedules and policies for labs and lab VMs in the Azure portal. The article also describes how to ",2025-03-18T22:06:00.000Z,how-to,configuration,0.7,True,"Explains autoshutdown schedules and policies, including configuration options and behavior specific to DevTest Labs.",unchanged
