url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/asn-asset-filters,ASN asset filters,ASN Asset Filters - Defender ASN domain asset filters,Filter ASN assets in Defender EASM inventory,"This article outlines the filter functionality available in Microsoft Defender External Attack Surface Management for ASN assets specifically, including operators and applicable field values.","This article lists the available filters for Autonomous System Number (ASN) assets in Microsoft Defender External Attack Surface Management. It describes each filter's purpose, expected value format, and supported operators so you can refine your Defender EASM inventory searches to locate a specific ASN or group of ASNs.",2026-06-22T17:36:00.000Z,how-to,configuration,0.9,True,"Describes ASN filters, expected value formats, and operators; again a configuration parameter reference that constitutes expert knowledge.",updated
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/contact-asset-filters,Contact asset filters,Contact Asset Filters - Defender EASM contact asset filters,Configure contact asset filters in Defender EASM,"This article outlines the filter functionality available in Microsoft Defender External Attack Surface Management for contact assets specifically, including operators and applicable field values.",These filters specifically apply to contact assets. Use these filters when searching for a specific contact.,2026-05-18T17:39:00.000Z,how-to,configuration,0.8,True,"Contact asset filters article describes filter fields and operators for contact assets, providing detailed configuration options unique to Defender EASM.",unchanged
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/data-connections,Leverage data connections,Defender EASM Data Connections,Configure Defender EASM data connections to Log Analytics and ADX,The data connector sends Defender EASM asset data to Log Analytics and Azure Data Explorer. You can export Defender EASM data to either tool.,This article discusses the data connections feature in Microsoft Defender External Attack Surface Management (Defender EASM).,2026-05-18T17:39:00.000Z,how-to,configuration,0.65,True,"Data connections article for exporting EASM asset data to Log Analytics and Azure Data Explorer likely includes connector configuration options, parameter names, and possibly default behaviors, which are product-specific configuration details.",unchanged
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/deploying-the-defender-easm-azure-resource,Deploy the Defender EASM Azure resource,Create a Defender EASM Azure Resource,,This article explains how to create a Microsoft Defender External Attack Surface Management (Defender EASM) Azure resource by using the Azure portal.,"This article explains how to create a Microsoft Defender External Attack Surface Management (Defender EASM) Azure resource by using the Azure portal. Users can begin their usage of Defender EASM with a 30-day free trial. Once the trial is nearing expiration, you will be notified via banners and push notifications. Creating the Defender EASM Azure resource involves two steps:",2026-05-18T17:39:00.000Z,quickstart,,0.4,False,"Explains how to create a Defender EASM Azure resource via portal and mentions trial notifications; appears as a step-by-step creation guide without deployment matrices, limits, or detailed configuration tables.",unchanged
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/discovering-your-attack-surface,Discover your attack surface,Discover Your Attack Surface,,"Microsoft has preemptively configured the attack surfaces of many organizations, mapping their initial attack surface by discovering infrastructure that’s connected to known assets.",,2026-05-18T17:39:00.000Z,tutorial,,0.25,False,Describes preemptive configuration of attack surfaces by Microsoft; summary suggests a conceptual/marketing-style description rather than detailed technical configuration or limits.,unchanged
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/domain-asset-filters,Domain asset filters,Domain Asset Filters - Defender EASM domain asset filters,Apply domain-specific filters in Defender EASM,"This article outlines the filter functionality available in Microsoft Defender External Attack Surface Management for domain assets specifically, including operators and applicable field values.","This article lists the filters that specifically apply to domain assets in Microsoft Defender External Attack Surface Management. Use these filters to refine your inventory searches and locate a specific subset of domain assets. Each filter entry describes the filter's purpose, provides example values, and lists the applicable operators. Some filters offer predefined values from a drop-down list, while others require you to manually enter a value.",2026-06-25T17:35:00.000Z,how-to,configuration,0.9,True,"Lists domain asset filters, their purposes, operators, and example values—detailed parameter reference that fits configuration and is product-specific.",updated
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/easm-copilot,Microsoft Security Copilot and Defender EASM,Microsoft Security Copilot in Defender EASM,,Learn how to use Microsoft Security Copilot to get information about your Microsoft Defender External Attack Surface Management (Defender EASM) data.,"Microsoft Defender External Attack Surface Management (Defender EASM) continuously discovers and maps your digital attack surface to provide an external view of your online infrastructure. This visibility helps security and IT teams identify unknowns, prioritize risk, eliminate threats, and extend vulnerability and exposure control beyond the firewall. Attack surface insights are generated by analyzing vulnerability and infrastructure data to showcase the key areas of concern for your organizati",2026-04-24T17:58:00.000Z,integration,,0.35,False,Explains using Microsoft Security Copilot with Defender EASM data; appears as a feature overview/integration usage without detailed parameter tables or error codes.,unchanged
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/host-asset-filters,Host asset filters,Host Asset Filters - Defender EASM host asset filters,Use host asset filters in Defender EASM,"This article outlines the filter functionality available in Microsoft Defender External Attack Surface Management for host assets specifically, including operators and applicable field values.","This article is a reference for the inventory filters that apply specifically to host assets in Microsoft Defender External Attack Surface Management (Defender EASM). Use these filters to narrow your inventory results when searching for a specific subset of host assets. The article covers two categories of filters: defined value filters that offer predefined drop-down options, and free form filters that accept manually entered values.",2026-06-22T17:36:00.000Z,how-to,configuration,0.9,True,"Provides a reference of host asset filters, including defined vs freeform filters and supported operators; clear configuration parameter catalog.",updated
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/inventory-filters,Inventory filters overview,Inventory Filters Overview - Defender EASM inventory filters overview,Use Defender EASM inventory filter parameters,This article outlines the filter functionality available in Defender EASM to help you find specific subsets of inventory assets based on selected parameters.,This article outlines the filter functionality available in Microsoft Defender External Attack Surface Management (Defender EASM). Filtering helps you find specific subsets of inventory assets based on selected parameters. This article outlines each filter and operator and provides guidance on input options that yield the best results. It also explains how to save queries for easy accessibility to the filtered results.,2026-06-15T08:00:00.000Z,how-to,configuration,0.85,True,"Explicitly a reference for filters and operators, with guidance on input options; this is a configuration-style parameter catalog unique to Defender EASM.",updated
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/ip-address-asset-filters,IP address asset filters,IP Address Asset Filters - Defender EASM IP address asset filters,Filter IP address assets in Defender EASM,"This article outlines the filter functionality available in Microsoft Defender External Attack Surface Management for IP address assets specifically, including operators and applicable field values.","This article provides a comprehensive reference for all filters that apply specifically to IP address assets in Microsoft Defender External Attack Surface Management. Use these filters when searching your inventory for a specific subset of IP addresses based on criteria such as port status, geolocation, web components, banners, and CVE scores. The following sections organize the available filters into defined value filters with predefined options and freeform filters that accept custom input, al",2026-06-22T17:36:00.000Z,how-to,configuration,0.9,True,"Comprehensive reference of IP address filters, including criteria like port status, geolocation, CVE scores, and operator support—rich configuration detail.",updated
