url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/iot-edge/about-iot-edge,About Azure IoT Edge,What is Azure IoT Edge,,"Learn how Azure IoT Edge enables you to deploy, run, and monitor containerized Linux applications at the edge for better business insights and offline decision-making.","Applies to:IoT Edge 1.5 Important IoT Edge 1.5 LTS is thesupported release. IoT Edge 1.4 LTS reached end of life on November 12, 2024. If you're using an earlier release, seeUpdate IoT Edge. Azure IoT Edge is a device-focused runtime that enables you to deploy, run, and monitor containerized Linux applications, bringing analytics closer to your devices for faster insights and offline decision-making. Analytics drives business value in IoT solutions, but not all analytics need to be in the cloud.",2026-04-13T22:10:00.000Z,overview,,0.1,False,"High-level overview of Azure IoT Edge capabilities and concepts without product-specific limits, configuration parameters, or detailed operational guidance.",unchanged
https://learn.microsoft.com/en-us/azure/iot-edge/configure-connect-verify-gpu,"Configure, connect, and verify a GPU",Configure and connect an IoT Edge module with a GPU,,Configure your environment to connect and verify your GPU to process modules from your IoT Edge device.,"Applies to:IoT Edge 1.5 Important IoT Edge 1.5 LTS is thesupported release. IoT Edge 1.4 LTS reached end of life on November 12, 2024. If you're using an earlier release, seeUpdate IoT Edge. This tutorial shows you how to build a GPU-enabled virtual machine (VM). From the VM, you run an IoT Edge device that allocates work from one of its modules to your GPU. Use the Azure portal, the Azure Cloud Shell, and your VM's command line to:",2026-04-13T22:10:00.000Z,tutorial,,0.4,False,"Tutorial-style guidance for using a GPU with IoT Edge; likely focuses on step-by-step setup rather than structured configuration tables, limits, or error-code-based troubleshooting.",unchanged
https://learn.microsoft.com/en-us/azure/iot-edge/configure-device,Configure device settings,Configure Azure IoT Edge device settings,Configure Azure IoT Edge device settings via config.toml,This article shows you how to configure Azure IoT Edge device settings and options using the config.toml file.,"Applies to:IoT Edge 1.5 Important IoT Edge 1.5 LTS is thesupported release. IoT Edge 1.4 LTS is end of life as of November 12, 2024. If you are on an earlier release, seeUpdate IoT Edge. This article shows settings and options for configuring the IoT Edge/etc/aziot/config.tomlfile of an IoT Edge device. IoT Edge uses theconfig.tomlfile to initialize settings for the device. Each of the sections of theconfig.tomlfile has several options. Not all options are mandatory, as they apply to specific sc",2025-05-14T08:00:00.000Z,how-to,configuration,0.9,True,"Detailed reference of config.toml sections, option names, and allowed values for IoT Edge devices.",unchanged
https://learn.microsoft.com/en-us/azure/iot-edge/debug-module-vs-code,Debug modules with VS Code,Debug Azure IoT Edge modules using Visual Studio Code,,Debug Azure IoT Edge modules in Visual Studio Code with step-by-step guidance for multiple programming languages and device architectures.,"Applies to:IoT Edge 1.5 Important IoT Edge 1.5 LTS is thesupported release. IoT Edge 1.4 LTS is end of life as of November 12, 2024. If you are on an earlier release, seeUpdate IoT Edge. This article explains how to use Visual Studio Code to debug IoT Edge modules in multiple languages. On your development computer, use Visual Studio Code to attach and debug your module in a local or remote module container. This article includes steps for two IoT Edge development tools. Select the tool version ",2025-05-08T08:00:00.000Z,concept-article,,0.45,False,"Debugging tutorial in VS Code for IoT Edge modules; mainly step-by-step IDE usage and attach instructions, not structured troubleshooting mappings or product-specific error code references.",unchanged
https://learn.microsoft.com/en-us/azure/iot-edge/deploy-confidential-applications,Confidential computing,Confidential applications as Azure IoT Edge modules,Deploy confidential computing applications as IoT Edge modules,Use the Open Enclave SDK and API to write confidential applications and deploy them as IoT Edge modules for confidential computing,"Applies to:IoT Edge 1.5 Important IoT Edge 1.5 LTS is thesupported release. IoT Edge 1.4 LTS is end of life as of November 12, 2024. If you are on an earlier release, seeUpdate IoT Edge. Azure IoT Edge supports confidential applications that run within secure enclaves on the device. Encryption provides security for data while in transit or at rest, but enclaves provide security for data and workloads while in use. IoT Edge supports Open Enclave as a standard for developing confidential applicati",2026-02-20T08:00:00.000Z,concept-article,security,0.7,True,"Describes using Open Enclave and secure enclaves with IoT Edge, including confidential application deployment patterns.",unchanged
https://learn.microsoft.com/en-us/azure/iot-edge/development-environment,Development environment,Azure IoT Edge development environment,,Learn about the supported systems and first-party development tools that help you create IoT Edge modules,"Applies to:IoT Edge 1.5 Important IoT Edge 1.5 LTS is thesupported release. IoT Edge 1.4 LTS is end of life as of November 12, 2024. If you are on an earlier release, seeUpdate IoT Edge. IoT Edge moves your existing business logic to devices operating at the edge. To prepare your applications and workloads to run asIoT Edge modules, you need to build them as containers. This article provides guidance on how to configure your development environment so that you can successfully create an IoT Edge",2026-02-27T23:17:00.000Z,concept-article,,0.45,False,Development environment overview; likely lists supported tools and OS but not in a deployment/tier matrix form.,unchanged
https://learn.microsoft.com/en-us/azure/iot-edge/gpu-acceleration,GPU acceleration,GPU acceleration for Azure IoT Edge for Linux on Windows,Enable GPU acceleration for IoT Edge for Linux on Windows,Learn about how to configure your Azure IoT Edge for Linux on Windows virtual machines to use host device GPUs.,"Applies to:IoT Edge 1.5 Important IoT Edge 1.5 LTS is thesupported release. IoT Edge 1.4 LTS is end of life as of November 12, 2024. If you are on an earlier release, seeUpdate IoT Edge. GPUs are a popular choice for artificial intelligence computations because they offer parallel processing capabilities and often run vision-based inferencing faster than CPUs. To support artificial intelligence and machine learning applications, Azure IoT Edge for Linux on Windows (EFLOW) exposes a GPU to the vi",2025-06-06T05:14:00.000Z,concept-article,configuration,0.8,True,"Explains how to configure EFLOW to use host GPUs, including EFLOW- and Hyper-V-specific configuration parameters and constraints that are not generic GPU concepts.",unchanged
https://learn.microsoft.com/en-us/azure/iot-edge/how-to-access-built-in-metrics,Access built-in metrics,Access built-in metrics in Azure IoT Edge,Configure and access Azure IoT Edge built-in metrics,Access built-in metrics from IoT Edge runtime components to monitor device health.,"Applies to:IoT Edge 1.5 Important IoT Edge 1.5 LTS is thesupported release. IoT Edge 1.4 LTS reached end of life on November 12, 2024. If you're using an earlier release, seeUpdate IoT Edge. The IoT Edge runtime components, IoT Edge hub, and IoT Edge agent, produce built-in metrics in thePrometheus exposition format. Access these metrics remotely to monitor and understand the health of an IoT Edge device. Use your own solution to access these metrics, or use themetrics-collector module, which co",2026-03-02T08:00:00.000Z,concept-article,configuration,0.7,True,"Page is a how-to for accessing IoT Edge runtime metrics in Prometheus format and via the metrics-collector module. These docs typically include product-specific endpoint paths, port numbers, metric names, and configuration parameters for exposing and scraping metrics—details that are configuration-focused and not just conceptual. It is not primarily troubleshooting, limits, or architecture guidance.",unchanged
https://learn.microsoft.com/en-us/azure/iot-edge/how-to-access-dtpm,Access TPM secrets,dTPM access for Azure IoT Edge for Linux on Windows,Configure dTPM access for IoT Edge on Windows,Learn about how to configure access the dTPM on your  Azure IoT Edge for Linux on Windows virtual machine.,"Applies to:IoT Edge 1.5 Important IoT Edge 1.5 LTS is thesupported release. IoT Edge 1.4 LTS reached end of life on November 12, 2024. If you're using an earlier release, seeUpdate IoT Edge. A trusted platform module (TPM) chip is a secure crypto-processor that carries out cryptographic operations. This technology provides hardware-based security functions. The Azure IoT Edge for Linux on Windows (EFLOW) virtual machine doesn't have a virtual TPM attached. However, you can enable or disable the ",2026-04-01T08:00:00.000Z,concept-article,configuration,0.7,True,"Page describes how to enable/disable and configure access to the device TPM from the Azure IoT Edge for Linux on Windows VM. This is product-specific configuration, likely including concrete settings/commands unique to EFLOW and TPM access, which qualifies as expert configuration knowledge rather than a generic overview.",unchanged
https://learn.microsoft.com/en-us/azure/iot-edge/how-to-access-host-storage-from-module,Give modules access to a device's local storage,Use Azure IoT Edge device local storage from a module,Configure IoT Edge modules to use host local storage,Use environment variables and create options to enable module access to IoT Edge device local storage.,"Applies to:IoT Edge 1.5 Important IoT Edge 1.5 LTS is thesupported release. IoT Edge 1.4 LTS is end of life as of November 12, 2024. If you are on an earlier release, seeUpdate IoT Edge. IoT Edge modules can use storage on the host IoT Edge device itself for improved reliability, especially when operating offline.",2026-02-20T18:12:00.000Z,concept-article,configuration,0.7,True,Uses environment variables and create options to mount host storage into modules; contains IoT Edge–specific configuration names and patterns for storage access.,unchanged
