url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/event-hubs/add-custom-data-event,Add custom data to events,Add custom data to events in Azure Event Hubs - Azure Event Hubs,Add custom metadata to Event Hubs events,This article shows you how to add custom data to events in Azure Event Hubs.,"Because an event consists mainly of an opaque set of bytes, it may be difficult for consumers of those events to make informed decisions about how to process them. To allow event publishers to offer better context for consumers, events may also contain custom metadata, in the form of a set of key-value pairs. One common scenario for the inclusion of metadata is to provide a hint about the type of data contained by an event, so that consumers understand its format and can deserialize it appropria",2021-07-05T11:30:00.000Z,how-to,integrations,0.65,True,Explains how to attach key-value metadata to EventData objects and how consumers use it; includes product-specific event structure and coding patterns.,unchanged
https://learn.microsoft.com/en-us/azure/event-hubs/apache-kafka-configurations,Apache Kafka configurations,Apache Kafka client configurations for Azure Event Hubs - Azure Event Hubs,Configure Apache Kafka clients for Azure Event Hubs compatibility,Recommended Kafka client configurations when migrating from Apache Kafka to Azure Event Hubs. Learn which settings to adjust and which defaults to keep.,"This guide helps Kafka developers configure their client applications when migrating from Apache Kafka to Azure Event Hubs. Event Hubs provides a Kafka-compatible endpoint, allowing you to use existing Kafka client libraries with minimal configuration changes.",2026-01-28T06:18:00.000Z,reference,integrations,0.9,True,"Explicitly about Kafka client configurations when migrating to Event Hubs; contains parameter names, recommended values, and defaults unique to this integration.",unchanged
https://learn.microsoft.com/en-us/azure/event-hubs/apache-kafka-developer-guide,Kafka developer guide for Event Hubs,Apache Kafka developer guide for Event Hubs - Azure Event Hubs,,"A comprehensive guide for Kafka developers building applications with Azure Event Hubs, including quickstarts, tutorials, and integration patterns.","This guide helps Kafka developers build and migrate applications to Azure Event Hubs. Whether you're connecting an existing Kafka application or building a new streaming solution, you'll find quickstarts, tutorials, and integration patterns organized by your development journey.",2026-01-28T06:18:00.000Z,article,,0.3,False,High-level developer guide aggregating quickstarts and tutorials; mostly navigation/overview without deep config tables or error mappings.,unchanged
https://learn.microsoft.com/en-us/azure/event-hubs/apache-kafka-frequently-asked-questions,FAQ - Event Hubs for Kafka,Frequently asked questions - Azure Event Hubs for Apache Kafka,Resolve common Azure Event Hubs Kafka migration issues,This article answers frequent questions asked about Azure Event Hubs' support for Apache Kafka clients not covered elsewhere.,This article provides answers to some of the frequently asked questions on migrating to Event Hubs for Apache Kafka.,2025-03-06T23:16:00.000Z,faq,troubleshooting,0.7,True,"Kafka-specific FAQ for Event Hubs typically includes concrete interoperability details, protocol/version support, and error/symptom explanations when using Kafka clients against Event Hubs. These are product-specific behaviors and edge cases that function as troubleshooting guidance beyond generic concepts.",updated
https://learn.microsoft.com/en-us/azure/event-hubs/apache-kafka-migration-guide,Kafka migration guide for Event Hubs,Migrate to Azure Event Hubs for Apache Kafka - Azure Event Hubs,Plan migration from Apache Kafka to Event Hubs,"A concise guide for migrating Apache Kafka workloads to Azure Event Hubs, including assessment, configuration changes, and validation steps.","This guide provides a clear path for migrating your Apache Kafka applications to Azure Event Hubs. Event Hubs exposes a Kafka-compatible endpoint, allowing you to connect existing Kafka clients with configuration changes only—no code modifications required.",2026-01-28T06:18:00.000Z,article,decision-making,0.7,True,"Migration guide with assessment, configuration changes, and validation; provides concrete guidance on when/how to move workloads and what to change.",unchanged
https://learn.microsoft.com/en-us/azure/event-hubs/apache-kafka-streams,Kafka Streams for Azure Event Hubs,Kafka Streams for Apache Kafka in Event Hubs on Azure Cloud - Azure Event Hubs,Use Kafka Streams with Azure Event Hubs,Learn about how to use the Apache Kafka Streams API with Event Hubs service on Azure Cloud.,This article provides details on how to use theKafka Streamsclient library with Azure Event Hubs. Note Kafka Streams functionality is available inPublic Previewfor Event Hubs Premium and Dedicated tiers only.,2025-03-06T08:00:00.000Z,overview,integrations,0.75,True,"Details using Kafka Streams client library with Event Hubs, including tier limitations (Premium/Dedicated, Public Preview) and configuration; product-specific integration.",unchanged
https://learn.microsoft.com/en-us/azure/event-hubs/apache-kafka-transactions,Transactions in Apache Kafka for Azure Event Hubs,Transactions for Apache Kafka in Event Hubs on Azure Cloud - Azure Event Hubs,Use Kafka transactions with Azure Event Hubs,Learn about the transactional API in Apache Kafka and how to use that in Apache Kafka applications with Event Hubs service on Azure Cloud.,This article provides detail on how to use theApache Kafkatransactional API with Azure Event Hubs.,2025-03-06T23:16:00.000Z,overview,integrations,0.75,True,"Explains how to use Kafka transactional API against Event Hubs, including configuration and behavioral nuances; product-specific integration pattern.",unchanged
https://learn.microsoft.com/en-us/azure/event-hubs/apache-kafka-troubleshooting-guide,Kafka troubleshooting guide for Event Hubs,Troubleshoot issues with Azure Event Hubs for Apache Kafka - Azure Event Hubs,Troubleshoot Azure Event Hubs for Apache Kafka,This article shows how to troubleshoot issues with Azure Event Hubs for Apache Kafka,This article provides troubleshooting tips for issues that you might run into when using Event Hubs for Apache Kafka.,2025-06-06T05:14:00.000Z,article,troubleshooting,0.8,True,Focused on diagnosing and resolving Kafka-on-Event-Hubs issues; likely includes specific error patterns and resolutions unique to this integration.,unchanged
https://learn.microsoft.com/en-us/azure/event-hubs/associate-network-security-perimeter,Associate a network security perimeter,Associate Network Security Perimeter With Event Hubs - Azure Event Hubs,Associate network security perimeters with Event Hubs namespaces,Discover step-by-step instructions to associate a network security perimeter with your Azure Event Hubs namespace and secure your data streams.,"You can associate a network security perimeter (NSP) with an Azure Event Hubs namespace to enhance the security of your event streaming infrastructure. This association restricts access to the Event Hubs namespace based on the defined security perimeter, allowing you to: Note For conceptual information, seeNetwork security perimeter for Azure Event Hubs.",2026-02-04T23:15:00.000Z,how-to,security,0.75,True,"Describes binding an NSP to Event Hubs with specific configuration steps and constraints, which are product-specific security settings.",unchanged
https://learn.microsoft.com/en-us/azure/event-hubs/authenticate-application,Authenticate from an application,Authenticate an Application with Microsoft Entra ID to Access Event Hubs Resources - Azure Event Hubs,Authenticate applications with Entra ID for Event Hubs,Learn how to authenticate an application with Microsoft Entra ID to securely access Azure Event Hubs resources. Improve security and simplify access.,"Microsoft Azure provides integrated access control management for resources and applications based on Microsoft Entra ID. A key advantage of using Microsoft Entra ID with Azure Event Hubs is that you don't need to store credentials in code. Instead, request an OAuth 2.0 access token from the Microsoft identity platform. The resource name to request a token ishttps://eventhubs.azure.net/, and it's the same for all clouds/tenants (For Kafka clients, the resource to request a token ishttps://<names",2025-07-28T22:10:00.000Z,concept-article,security,0.85,True,"Provides Event Hubs-specific OAuth resource identifiers and flows (e.g., https://eventhubs.azure.net/ and Kafka-specific resource); concrete security parameters.",unchanged
https://learn.microsoft.com/en-us/azure/event-hubs/authenticate-managed-identity,Authenticate with a managed identity,Authenticate using managed identity - Azure Event Hubs,Authenticate to Event Hubs using managed identities,This article provides information about authenticating a managed identity with Microsoft Entra ID to access Azure Event Hubs resources,"Azure Event Hubs supports Microsoft Entra authentication withmanaged identities for Azure resources. Managed identities for Azure resources can authorize access to Event Hubs resources using Microsoft Entra credentials from applications running in Azure Virtual Machines (VMs), Function apps, Virtual Machine Scale Sets, and other services. By using managed identities for Azure resources together with Microsoft Entra authentication, you can avoid storing credentials with your applications that run",2025-02-11T23:03:00.000Z,concept-article,security,0.85,True,"Describes how managed identities interact with Event Hubs and Microsoft Entra, including resource scopes and usage patterns; product-specific security configuration.",unchanged
https://learn.microsoft.com/en-us/azure/event-hubs/authenticate-shared-access-signature,Authenticate with a shared access signature,SAS Authentication for Azure Event Hubs Resources - Azure Event Hubs,Authenticate to Event Hubs using SAS tokens,"Learn how to authenticate access to Azure Event Hubs resources using shared access signatures (SAS). Get granular control over permissions and security. Includes code examples in C#, Java, and Node.js","Shared access signature (SAS) gives you granular control over the type of access you grant to the clients. Here are some of the controls you can set in a SAS: This article covers authenticating the access to Event Hubs resources using SAS. To learn aboutauthorizingaccess to Event Hubs resources using SAS, seethis article. Note We recommend that you use Microsoft Entra credentials when possible as a security best practice, rather than using the shared access signatures, which can be more easily c",2025-07-25T08:00:00.000Z,conceptual,security,0.8,True,Explains SAS authentication for Event Hubs with product-specific parameters and code examples; includes concrete security configuration details.,unchanged
https://learn.microsoft.com/en-us/azure/event-hubs/authorize-access-azure-active-directory,Authorize access with Microsoft Entra ID,Authorize Azure Event Hubs Access With Microsoft Entra ID - Azure Event Hubs,Authorize Event Hubs access using Entra RBAC roles,Learn how to authorize access to Azure Event Hubs resources using Microsoft Entra ID with Azure role-based access control (RBAC) for secure authentication and permissions.,"Azure Event Hubs supports using Microsoft Entra ID to authorize requests to Event Hubs resources, providing secure authentication and granular access control. With Microsoft Entra ID, you can use Azure role-based access control (RBAC) to grant permissions to security principals, including users and application service principals. This approach eliminates the need for shared access keys and provides better security for your Event Hubs implementations. To learn more about roles and role assignment",2025-07-25T08:00:00.000Z,concept-article,security,0.85,True,Details Event Hubs-specific RBAC roles and how to use Microsoft Entra ID for authorization; matches security criteria with role names and scopes.,unchanged
