url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/application-gateway/add-http-header-rewrite-rule-powershell,Azure PowerShell,Rewrite HTTP headers in Azure Application Gateway,Configure HTTP header rewrite in Application Gateway via PowerShell,This article provides information on how to rewrite HTTP headers in Azure Application Gateway by using Azure PowerShell,"This article describes how to use Azure PowerShell to configure anApplication Gateway v2 SKUinstance to rewrite HTTP headers in requests and responses. Header rewriting enables you to add, remove, or update HTTP headers while the request and response packets move between the client and backend pools. If you don't have an Azure subscription, create afree accountbefore you begin.",2025-07-15T22:19:00.000Z,how-to,configuration,0.64,True,PowerShell-based configuration of header rewrite rules for v2 SKU; includes specific rule and header settings unique to Application Gateway.,unchanged
https://learn.microsoft.com/en-us/azure/application-gateway/application-gateway-autoscaling-zone-redundant,Autoscaling v2 SKU,Scaling and Zone-redundant Application Gateway v2,Configure autoscaling and zone redundancy for Application Gateway v2,This article introduces the Azure Application Standard_v2 and WAF_v2 SKU Autoscaling and Zone-redundant features.,"Application Gateway and WAF can be configured to scale in two modes: Note If the maximum instance count is updated to a value less than the current instance count, the new setting will not take immediate effect. The newly updated maximum will only be enforced after a scale-in operation brings  the  current count below newly updated maximum count. If the scale-in operation does not occur because the autoscaling  scale in thresholds are not met, the new maximum setting will not be applied. Note Th",2026-02-24T18:11:00.000Z,concept-article,limits-quotas,0.7,True,"Describes autoscaling modes and behavior when changing maximum instance counts; includes product-specific scaling constraints and timing behavior, which are effectively limits/quotas.",unchanged
https://learn.microsoft.com/en-us/azure/application-gateway/application-gateway-backend-health,Backend health,Backend health - Azure Application Gateway,Use backend health reports in Azure Application Gateway,Learn how to use Backend health report in Azure Application Gateway,"Application Gateway health probes (default and custom) continuously monitor all the backend servers in a pool to ensure the incoming traffic is sent only to the servers that are up and running. These health checks enable a seamless data plane operation of a gateway. When a backend server can receive traffic, the probe is successful and considered healthy. Otherwise, it's considered unhealthy. The precise representation of the health probes report is also made available for your consumption throu",2024-05-30T08:00:00.000Z,concept-article,configuration,0.64,True,Details how health probe results are represented and accessed via backend health report and APIs; product-specific monitoring/reporting configuration.,unchanged
https://learn.microsoft.com/en-us/azure/application-gateway/application-gateway-components,Application Gateway components,Application gateway components,,This article provides information about the various components in an application gateway,"An application gateway serves as the single point of contact for clients. It distributes incoming application traffic across multiple backend pools, which include Azure VMs, virtual machine scale sets, Azure App Service, and on-premises/external servers. To distribute traffic, an application gateway uses several components described in this article.",2025-05-21T08:00:00.000Z,concept-article,,0.3,False,"Describes components (listeners, backend pools, etc.) at a conceptual level; no detailed parameter tables or numeric constraints.",unchanged
https://learn.microsoft.com/en-us/azure/application-gateway/application-gateway-configure-listener-specific-ssl-policy,Listener specific SSL policy,Configure listener-specific SSL policies on Azure Application Gateway through portal,Set listener-specific TLS/SSL policies on Application Gateway,Learn how to configure listener-specific SSL policies on Application Gateway through portal,"This article describes how to use the Azure portal to configure listener-specific SSL policies on your Azure Application Gateway. Listener-specific SSL policies allow you to configure specific listeners to use different SSL policies from each other. You can still set a default SSL policy that all listeners use unless overridden by the listener-specific SSL policy.
This article describes how to use the Azure portal to configure listener-specific SSL policies on your Application Gateway. Listener-",2025-07-16T22:08:00.000Z,how-to,security,0.8,True,Explains configuring different SSL policies per listener and default vs override behavior; these are product-specific security configuration patterns.,unchanged
https://learn.microsoft.com/en-us/azure/application-gateway/application-gateway-configure-ssl-policy-powershell,Configure SSL policy,Configure TLS policy using PowerShell - Azure Application Gateway,Configure TLS protocol and cipher suite policy on Application Gateway,This article provides instructions to configure TLS Policy on Azure Application Gateway,"Learn how to configure TLS/SSL policy versions and cipher suites on Application Gateway. You can select from a list of predefined policies that contain different configurations of TLS policy versions and enabled cipher suites. You also have the ability to define acustom TLS policybased on your requirements. Important We recommend using TLS 1.2 as your minimum TLS protocol version for better security on your Application Gateway. StartingAugust 31, 2025, all clients and backend servers interacting",2025-07-15T11:09:00.000Z,how-to,security,0.85,True,"Provides instructions and recommendations for configuring TLS versions and cipher suites, including predefined vs custom policies and a hard date when TLS 1.0/1.1 will be blocked; this is precise security configuration guidance.",unchanged
https://learn.microsoft.com/en-us/azure/application-gateway/application-gateway-create-probe-classic-ps,Classic PowerShell,Create a custom probe using the Classic deployment model - Azure Application Gateway,Configure custom probe in classic Application Gateway via PowerShell,Learn how to create a custom probe for Application Gateway by using PowerShell in the classic deployment model,"In this article, you add a custom probe to an existing application gateway with PowerShell. Custom probes are useful for applications that have a specific health check page or for applications that do not provide a successful response on the default web application. Important Azure has two different deployment models for creating and working with resources:Resource Manager and Classic. This article covers using the Classic deployment model. Microsoft recommends that most new deployments use the ",2023-04-09T00:00:00.000Z,how-to,configuration,0.68,True,Classic deployment model custom probe configuration with specific probe parameters; product- and model-specific configuration details.,unchanged
https://learn.microsoft.com/en-us/azure/application-gateway/application-gateway-create-probe-portal,Portal,Create a custom probe using the portal - Azure Application Gateway,Create custom health probe in Application Gateway portal,Learn how to create a custom probe for Application Gateway by using the portal,"Important Application Gateway v2 SKU is the current and recommended version. Application Gateway v1 SKU was deprecated on April 28, 2023, and will be retired on April 28, 2026. If you're using Application Gateway v1, plan your migration to v2 now. For more information, seeMigrate your Application Gateways from V1 SKU to V2 SKU. In this article, you add a custom health probe to an existing application gateway through the Azure portal. Azure Application Gateway uses health probes to monitor the he",2025-07-16T22:08:00.000Z,how-to,configuration,0.72,True,"Covers configuring custom health probes with specific probe settings (path, interval, timeout, thresholds) in the portal; product-specific configuration options.",unchanged
https://learn.microsoft.com/en-us/azure/application-gateway/application-gateway-create-probe-ps,Resource Manager PowerShell,Create a custom probe using PowerShell - Azure Application Gateway,Configure custom probe in Application Gateway via PowerShell,Learn how to create a custom probe for Application Gateway by using PowerShell in Resource Manager,"In this article, you add a custom probe to an existing application gateway with PowerShell. Custom probes are useful for applications that have a specific health check page or for applications that do not provide a successful response on the default web application. Note We recommend that you use the Azure Az PowerShell module to interact with Azure. To get started, seeInstall Azure PowerShell. To learn how to migrate to the Az PowerShell module, seeMigrate Azure PowerShell from AzureRM to Az.",2023-04-09T00:00:00.000Z,how-to,configuration,0.7,True,Resource Manager-based custom probe configuration; includes probe settings and PowerShell parameter names unique to Application Gateway.,unchanged
https://learn.microsoft.com/en-us/azure/application-gateway/application-gateway-diagnostics,Diagnostic logs,Diagnostic logs - Azure Application Gateway,Configure and interpret Application Gateway diagnostic logs,Explore how to use Azure Monitor to collect and analyze Application Gateway logs for better troubleshooting and data visualization.,"Application Gateway logs provide detailed information for events related to a resource and its operations. These logs are available for events such as Access, Activity, Firewall, and Performance (only for V1). The granular information in logs is helpful when troubleshooting a problem or building an analytics dashboard by consuming this raw data. Logs are available for all resources of Application Gateway; however, to consume them, you must enable their collection in a storage location of your ch",2026-01-07T19:08:00.000Z,concept-article,configuration,0.7,True,"Diagnostic log categories, schema fields, and sink configuration for Application Gateway are product-specific configuration details that an LLM is unlikely to know exactly from training.",unchanged
