url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/cdn/cdn-create-a-storage-account-with-cdn,Integrate with Azure CDN,Quickstart: Integrate an Azure Storage account with Azure Content Delivery Network,,"In this quickstart, learn how to use the Azure content delivery network to deliver high-bandwidth content by caching blobs from Azure Storage.","Important Azure CDN Standard from Microsoft (Classic) doesn't support profile creation, new domain onboarding, or managed certificates and retires onSeptember 30, 2027. To avoid service disruption, ⁠migrate to Azure Front Door Standard or Premium. For more information, see ⁠Azure CDN Standard from Microsoft (classic) retirement. In this quickstart, you enableAzure Content Delivery Networkto cache content from Azure Storage. Azure Content Delivery Network offers developers a global solution for d",2026-02-25T23:33:00.000Z,quickstart,,0.2,False,"Quickstart/tutorial for integrating Azure Storage with Azure CDN; primarily step-by-step UI guidance without detailed limits, configuration matrices, or product-specific patterns beyond what an LLM would already know.",unchanged
https://learn.microsoft.com/en-us/azure/storage-actions/overview,What is Azure Storage Actions?,About Azure Storage Actions - Azure Storage Actions,,Learn how to perform operations on blobs in Azure Storage accounts based on a set of conditions that you define.,"Azure Storage Actions is a fully managed platform designed to automate data management tasks for Azure Blob Storage and Azure Data Lake Storage. You can use it to perform common data operations on millions of objects across multiple storage accounts without provisioning extra compute capacity and without requiring you to write code. You can use Azure Storage Actions to automate tasks such as moving data to more cost-effective tiers, manage the retention of versions, snapshots or sensitive data s",2025-08-01T05:11:00.000Z,overview,,0.2,False,"High-level service overview without product-specific limits, configs, or error diagnostics.",unchanged
https://learn.microsoft.com/en-us/azure/storage-actions/storage-actions-plan-manage-costs,Costs and billing,Plan to manage costs for Azure Storage Actions,Plan and manage Azure Storage Actions cost drivers,Learn how to plan for and manage costs for Azure Storage Actions.,"This article describes how you plan for and manage costs for Azure Storage Actions. Costs for Azure Storage Actions are only a portion of the monthly costs in your Azure bill. Although this article explains how to plan for and manage costs for Azure Storage Actions, you're billed for all Azure services and resources used in your Azure subscription, including the third-party services.",2025-05-07T05:16:00.000Z,how-to,decision-making,0.65,True,"Cost-planning article likely includes how usage patterns, operations, and tiers affect billing, helping choose configurations and usage strategies.",unchanged
https://learn.microsoft.com/en-us/azure/storage-actions/storage-tasks/,Azure Storage Actions documentation,Azure Storage Actions documentation,,Azure Storage Actions documentation hub page. Points to service documentation for using the Azure Storage Actions to perform operations on containers and blobs in Azure Storage accounts based on a set,Azure Storage Actions is a serverless framework that you can use to perform common data operations on millions of objects across multiple storage accounts. The current release of Azure Storage Actions enables you to create storage tasks that can perform operations on blobs in Azure Storage accounts based on a set of conditions that you define.,2026-05-14T22:12:00Z,landing-page,,0.2,False,"Hub/overview page for Azure Storage Actions documentation; no indication of detailed limits, configs, or error mappings.",unchanged
https://learn.microsoft.com/en-us/azure/storage-actions/storage-tasks/monitor-storage-tasks,Monitor storage tasks,Monitor Azure Storage Actions - Azure Storage Actions,Configure monitoring for Azure Storage Actions with Azure Monitor,Start here to learn how to monitor Azure Storage Actions.,"When you have critical applications and business processes relying on Azure resources, you want to monitor those resources for their availability, performance, and operation. This article describes the monitoring data generated by Azure Storage Actions. Azure Storage Actions usesAzure Monitor. If you're unfamiliar with the features of Azure Monitor common to all Azure services that use it, readMonitoring Azure resources with Azure Monitor.",2025-05-05T08:00:00.000Z,concept-article,configuration,0.65,True,"Monitoring article typically lists metrics, logs, and diagnostic settings specific to the service, which are configuration references for observability.",unchanged
https://learn.microsoft.com/en-us/azure/storage-actions/storage-tasks/storage-task-assignment,Storage task assignment,Storage task assignment - Azure Storage Actions,Configure Azure Storage Task assignments and scope,Learn storage task assignments. An assignment applies a storage task to the data in a storage account.,"To use a storage task, you must create astorage task assignment. The assignment is saved as part of the storage account resource instance, and defines among other settings, a subset of objects to target, when and how often a task runs against those objects, and where the execution reports are stored. To create an assignment, your identity must be assigned the appropriate Azure built-in role or a custom role with the appropriate RBAC actions. SeeAzure roles required to assign tasks. To learn how ",2026-05-14T22:12:00.000Z,concept-article,configuration,0.7,True,"Describes how a storage task assignment defines target objects, schedule, and report locations plus required RBAC roles; this is product-specific configuration and permission detail.",unchanged
https://learn.microsoft.com/en-us/azure/storage-actions/storage-tasks/storage-task-assignment-create,Create and manage an assignment,Create and manage a storage task assignment - Azure Storage Actions,,"Learn how to create an assignment, and then enable that assignment to run.","Anassignmentidentifies a storage account and a subset of objects in that account that the task will target. An assignment also defines when the task runs and where execution reports are stored. This article helps you create an assignment, and then enable that assignment to run. To learn more about storage task assignments, seeStorage task assignments. Important Before you enable storage task assignment, make sure that you grant access to trusted Azure services in the network settings of each tar",2025-05-07T05:16:00.000Z,how-to,,0.45,False,"How-to for creating and enabling assignments; mostly procedural, with core config semantics covered in other reference pages.",unchanged
https://learn.microsoft.com/en-us/azure/storage-actions/storage-tasks/storage-task-authorization-roles,Azure roles required to edit a task,Azure roles for storage tasks - Azure Storage Actions,Use Azure RBAC roles for Storage Tasks access,"Learn about the least privileged built-in Azure roles or RBAC actions required to read, update, delete, and assign a storage task.","This article describes the least privileged built-in Azure roles or RBAC actions required to read, update, or delete a storage task and to view task assignments.",2026-06-02T19:32:00.000Z,reference,security,0.86,True,"The article is specifically about the least-privileged built-in Azure roles and/or RBAC actions required to read, update, delete, and view storage tasks. This is product-specific security guidance that lists concrete role names and required permissions, which qualifies as expert knowledge under the security sub-skill.",unchanged
https://learn.microsoft.com/en-us/azure/storage-actions/storage-tasks/storage-task-authorization-roles-assign,Azure roles for assignments,Azure roles required to assign storage tasks - Azure Storage Actions,Assign Storage Tasks with correct Azure roles,Learn about the roles required to create a storage task assignment and the roles required by the managed identity of a storage task to operate on a storage account.,This article describes the least privileged built-in Azure roles or RBAC actions required to manage a storage task assignment.,2026-06-02T19:32:00.000Z,reference,security,0.86,True,"The page details which Azure roles or RBAC actions are required both to create/manage storage task assignments and for the managed identity of a storage task to operate on a storage account. It provides specific role requirements and permission scopes, which is product-specific security configuration information.",unchanged
https://learn.microsoft.com/en-us/azure/storage-actions/storage-tasks/storage-task-best-practices,Best practices,Storage task best practices - Azure Storage Actions,Apply best practices for Azure Storage Tasks,Review best practices for using storage tasks.,This article provides you with best practice guidelines for using storage tasks.,2026-05-14T22:12:00.000Z,best-practice,best-practices,0.7,True,"Explicitly a best practices article for storage tasks; likely contains product-specific DOs/DON’Ts, configuration guidance, and edge cases beyond generic advice.",unchanged
https://learn.microsoft.com/en-us/azure/storage-actions/storage-tasks/storage-task-conditions,Conditions,Storage task conditions - Azure Storage Actions,Configure JSON conditions for Azure storage tasks,Learn about the elements of a storage task condition.,"A storage task contains a set of conditions and operations. This article describes the JSON format of a condition.  Understanding that format is important if you plan to create a storage task by using a tool other than the Azure portal (For example: Azure PowerShell, or Azure CLI). This article also lists the properties and operators that you can use to compose the clauses of a condition. This article focuses onconditions. To learn more aboutoperations, seeStorage task operations.",2025-05-07T05:16:00.000Z,concept-article,configuration,0.9,True,Details JSON format of conditions plus properties and operators; this is a configuration reference with specific field names and allowed values.,unchanged
https://learn.microsoft.com/en-us/azure/storage-actions/storage-tasks/storage-task-conditions-operations-edit,Compose a condition,Define storage task conditions & operations - Azure Storage Actions,,Learn how to define the conditions and operations of a storage task by using a visual editor.,"You can use a visual editor to define the conditions and operations of a storage task. Anoperationis an action taken on each object that meets the conditions defined in the task. Aconditioncontains one or more conditionalclauses. Each clause defines the relationship between a property and a value. To execute an operation defined in the storage task, the terms of that relationship must be met by each object.",2025-05-07T05:16:00.000Z,how-to,,0.45,False,Visual editor how-to; focuses on UI steps rather than exhaustive configuration tables or limits.,unchanged
https://learn.microsoft.com/en-us/azure/storage-actions/storage-tasks/storage-task-create,Create a storage task,Create a storage task - Azure Storage Actions,,Learn how to create a storage task. A storage task can perform on blobs in one or more Azure Storage accounts.,"A storage task can perform operations on blobs in an Azure Storage account. As you create a task, you can define the conditions that must be met by each object (container or blob), and the operations to perform on the object. You can also identify one or more Azure Storage account targets. SeeWhat are Azure Storage Actions? In this how-to article, you'll learn how to create a storage task.",2025-05-07T05:16:00.000Z,how-to,,0.45,False,How-to for creating a storage task; likely procedural without full parameter/limits reference beyond what’s in dedicated condition/operation docs.,unchanged
https://learn.microsoft.com/en-us/azure/storage-actions/storage-tasks/storage-task-known-issues,Known issues and limitations,Known issues and limitations with storage tasks - Azure Storage Actions,Review Azure Storage Task limitations and issues,Learn about limitations and known issues of storage tasks.,This article describes limitations and known issues of storage tasks. The issues that appear in this article reflect the current state of the service. This list will change over time as support continues to expand.,2026-05-14T22:12:00.000Z,limits-and-quotas,limits-quotas,0.7,True,"A dedicated limitations/known issues article typically enumerates concrete constraints (unsupported scenarios, caps, behaviors) that are product-specific expert knowledge; fits limits-quotas best among available types.",unchanged
https://learn.microsoft.com/en-us/azure/storage-actions/storage-tasks/storage-task-mock-run,Mock runs for storage task assignments,Mock Runs for Storage Task Assignments,,"Run a mock run for storage task assignments to validate conditions, preview impacted blobs, and estimate cost before production.",,2026-05-14T22:12:00.000Z,concept-article,,0.4,False,"Short conceptual description of mock runs; likely a conceptual/overview page pointing to the how-to article, without detailed configs or limits.",unchanged
https://learn.microsoft.com/en-us/azure/storage-actions/storage-tasks/storage-task-mock-run-create,Create and use a mock run,Create and Use a Storage Task Mock Run,,Create a mock run for a storage task assignment to evaluate blob conditions and expected results safely before execution.,"This article shows you how to create a mock run for a storage task assignment. A mock run simulates task execution by scanning and evaluating blobs against your conditions without performing any operations. For a conceptual overview of mock runs, seeMock runs for storage task assignments.",2026-05-14T22:12:00.000Z,feature-guide,,0.4,False,"Described as a how-to for creating a mock run; based on summary it’s primarily procedural tutorial content without explicit mention of parameter tables, limits, or error mappings.",unchanged
https://learn.microsoft.com/en-us/azure/storage-actions/storage-tasks/storage-task-operations,Operations,Storage task operations - Azure Storage Actions,Define JSON operations for Azure storage tasks,Learn about the elements of a storage task operation.,"A storage task contains a set of conditions and operations. An operation is an action that a storage task performs on each object that meets the requirements of each condition. This article describes the JSON format of a storage task operation. Understanding that format is important if you plan to create a storage task by using a tool other than the Azure portal (For example: Azure PowerShell, or Azure CLI). This article also lists the operations, operation parameters, and the allowable values o",2025-05-07T05:16:00.000Z,conceptual,configuration,0.9,True,"Describes JSON format of operations, including operation types and allowable parameter values; a configuration reference for this product.",unchanged
https://learn.microsoft.com/en-us/azure/storage-actions/storage-tasks/storage-task-quickstart-arm,ARM,Quickstart: Create a storage task by using an Azure Resource Manager template (ARM template) - Azure Storage Actions,,Learn how to create a storage task by using Azure Resource Manager template (ARM template).,This quickstart describes how to create a storage task by using an Azure Resource Manager template (ARM template). AnAzure Resource Manager templateis a JavaScript Object Notation (JSON) file that defines the infrastructure and configuration for your project. The template uses declarative syntax. You describe your intended deployment without writing the sequence of programming commands to create the deployment. If your environment meets the prerequisites and you're familiar with using ARM templa,2025-05-07T05:16:00.000Z,quickstart-arm,,0.3,False,ARM template quickstart; shows one deployment example rather than full configuration reference.,unchanged
https://learn.microsoft.com/en-us/azure/storage-actions/storage-tasks/storage-task-quickstart-bicep,Bicep,Quickstart: Create a storage task by using Bicep - Azure Storage Actions,,Learn how to create a storage task by using Bicep.,"This quickstart describes how to create a storage task by using Bicep. Bicepis a domain-specific language (DSL) that uses declarative syntax to deploy Azure resources. It provides concise syntax, reliable type safety, and support for code reuse. Bicep offers the best authoring experience for your infrastructure-as-code solutions in Azure.",2025-05-07T05:16:00.000Z,quickstart-bicep,,0.3,False,"Bicep quickstart; demonstrates a template, but not a comprehensive config or limits reference.",unchanged
https://learn.microsoft.com/en-us/azure/storage-actions/storage-tasks/storage-task-quickstart-cli,Azure CLI,Quickstart: Create and run a storage task (Azure CLI) - Azure Storage Actions,,"Learn how to create your first storage task by using Azure CLI. You'll also assign that task to a storage account, queue the task to run, and then view the results of the run.","In this quickstart, you learn how to use Azure CLI to create a storage task and assign it to an Azure Storage account. Then, you'll review the results of the run. The storage task applies a time-based immutability policy any Microsoft Word documents that exist in the storage account.",2025-05-07T05:16:00.000Z,quickstart,,0.3,False,"Quickstart using Azure CLI; focuses on basic usage, not exhaustive configuration or limits.",unchanged
https://learn.microsoft.com/en-us/azure/storage-actions/storage-tasks/storage-task-quickstart-dotnet,.NET,Create and run a storage task (.NET) - Azure Storage Actions,,"In this quickstart, you learn how to create your first storage task by using the Azure Storage client library for .NET.","In this quickstart, you learn how to use the Azure Storage Actions client library for .NET to create a storage task and assign it to an Azure Storage account. Then, you'll review the results of the run. The storage task applies a time-based immutability policy on any Microsoft Word documents that exist in the storage account. API reference documentation|Library source code|Package (NuGet)|Samples",2025-05-07T05:16:00.000Z,quickstart,,0.35,False,".NET quickstart; likely shows basic client usage, not a full SDK parameter or config reference.",unchanged
https://learn.microsoft.com/en-us/azure/storage-actions/storage-tasks/storage-task-quickstart-portal,Azure portal,"Quickstart: Create, assign, and run a storage task - Azure Storage Actions",,"Learn how to create your first storage task. You'll also assign that task to a storage account, queue the task to run, and then view the results of the run.","In this quickstart, you learn how to use theAzure portalto create a storage task and assign it to an Azure Storage account. Then, you'll review the results of the run. The storage task applies a time-based immutability policy any Microsoft Word documents that exist in the storage account.",2025-05-07T05:16:00.000Z,quickstart,,0.3,False,Quickstart using Azure portal; likely step-by-step tutorial without deep config tables or limits.,unchanged
https://learn.microsoft.com/en-us/azure/storage-actions/storage-tasks/storage-task-quickstart-powershell,PowerShell,Create and run a storage task (PowerShell) - Azure Storage Actions,,"Learn how to create your first storage task by using PowerShell. You'll also assign that task to a storage account, queue the task to run, and then view the results of the run.","In this quickstart, you learn how to use Azure PowerShell to create a storage task and assign it to an Azure Storage account. Then, you'll review the results of the run. The storage task applies a time-based immutability policy on any Microsoft Word documents that exist in the storage account.",2025-05-07T05:16:00.000Z,quickstart,,0.3,False,"Quickstart using PowerShell; primarily procedural, not a reference of parameters, limits, or troubleshooting.",unchanged
