url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ai-agents/,Agents,AI Agent Adoption Guidance for Organizations - Cloud Adoption Framework,Adopt organization-wide AI agents with CAF,"Discover how to adopt AI agents effectively with a step-by-step framework for planning, governance, integration, and measurement to maximize business impact.","This guidance provides a structured framework to help organizations successfully adopt AI agents as part of their broaderAI adoption strategy. It addresses the unique considerations that AI agents introduce. The series highlights Microsoft 365 agents and guidance for building custom agents using Microsoft Foundry and Microsoft Copilot Studio. It also includes strategies for designing an organization-wide data architecture to support AI agents at scale. Through this guidance, leaders will gain ac",2025-12-04T03:20:00.000Z,concept-article,scenarios,0.7,True,"Provides detailed, prescriptive guidance for adopting AI agents (a specific workload scenario) including planning, governance, integration, and measurement, plus data architecture strategies and concrete patterns for Microsoft 365 agents and custom agents with Foundry/Copilot Studio. This is a workload-specific CAF adaptation for AI agents, which maps to the scenarios sub-skill and includes expert, step-by-step adoption practices.",unchanged
https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ai-agents/build-secure-process,Process to build agents,Process to build agents across your organization with Microsoft Foundry and Copilot Studio - Cloud Adoption Framework,Standardize process to build secure AI agents,"Learn how to build and secure AI agents across your organization using Microsoft Foundry and Microsoft Copilot Studio. Follow a strategic framework for consistent, governed development.","This article outlines the standardized process that teams must follow to build AI agents consistently across the organization. This guidance focuses on the governance and structural decisions required to support development teams, rather than the technical implementation of individual workloads. Understanding this process is the final component of theBuild agentsphase in the AI agent adoption process (see figure 1). Figure 1. Microsoft's AI agent adoption process. Without a unified development p",2025-12-03T13:31:00.000Z,concept-article,adoption-patterns,0.85,True,"Outlines a standardized, governed process for building AI agents with Microsoft Foundry and Copilot Studio, focusing on repeatable development and security patterns.",unchanged
https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ai-agents/business-strategy-plan,Business plan,Business plan for AI agents - Cloud Adoption Framework,Create a business plan for AI agent adoption,"Discover how to identity use cases for AI agents that align with organizational goals, enhances operations, and drives innovation.","Successful AI agent adoption starts with a clear business plan. Every organization should create one before exploring tools or building solutions. This plan sets the direction for where to invest, which problems to solve, and how to measure success. It prevents scattered efforts and helps the organization focus on work that produces strong, repeatable value. Figure 1. Microsoft's AI agent adoption process.",2026-04-10T18:03:00.000Z,concept-article,strategy,0.78,True,"Focuses on identifying AI agent use cases aligned to business goals, defining value and success metrics, and structuring an adoption plan—business drivers and outcome definition for AI agents.",unchanged
https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ai-agents/data-architecture-plan,Data architecture,Data architecture for AI agents across your organization - Cloud Adoption Framework,Plan enterprise data architecture to support AI agents,"Explore how Microsoft Fabric and OneLake enable AI agents to operate on unified, trusted data for better decision-making and automation.","This article outlines how to prepare your data estate for AI agents, ensuring they operate on a unified, secure, and governed foundation. Because agents synthesize information rather than create it, their accuracy depends entirely on the quality and accessibility of underlying sources. Fragmented or ungoverned data leads to misleading results and security risks. This planning is the final step in thePlan for agentsphase of AI agent adoption (see figure 1). Figure 1. Microsoft's AI agent adoption",2026-03-10T22:09:00.000Z,concept-article,planning,0.8,True,"Focused on preparing the data estate for AI agents, using Microsoft Fabric and OneLake to create a unified, secure, governed data foundation. Positioned as the final step in the Plan for agents phase, it provides concrete planning guidance for data architecture and estate preparation rather than runtime security or landing zone setup. This aligns with planning (estate assessment and planning for adoption) and contains detailed, product-specific planning patterns.",unchanged
https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ai-agents/governance-security-across-organization,2. Govern & secure agents,Govern and secure AI agents AI agents across the organization - Cloud Adoption Framework,Establish governance and security baseline for AI agents,"Explore best practices for governing AI agents, from data residency laws to corporate compliance, to ensure secure and responsible AI deployment.","AI agents are software systems that can access data, make decisions, and take actions across business systems. They operate with delegated authority and can affect multiple systems at once. This capability creates organizational risk that differs from traditional applications. Decision makers must define baseline policies that apply to every agent so that risk remains controlled as adoption grows. A governance and security baseline sets the minimum requirements that every agent must meet before ",2026-06-26T20:04:00.000Z,concept-article,governance,0.78,True,"Provides prescriptive, scenario-specific governance and security practices for AI agents (delegated authority, cross-system risk, baseline policies, compliance considerations). This is governance-focused expert guidance tailored to AI agents that goes beyond generic concepts.",new
https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ai-agents/integrate-manage-operate,4. Manage agents,Manage AI agents across your organization - Cloud Adoption Framework,Integrate and operate AI agents across organization,"Learn how to integrate and operate AI agents across your organization to enhance workflows, ensure security, and optimize costs with Microsoft tools.","This article provides guidance on integrating AI agents into business workflows and managing their lifecycle from deployment to retirement. Operational excellence ensures that agents deliver consistent value while maintaining security, compliance, and cost efficiency at scale. Learning how toManage agentsis the final step in the AI agent adoption process (see figure 1). Figure 1. Microsoft's AI agent adoption process. Integrating agents into daily operations requires an approach that balances ad",2025-12-04T00:54:00.000Z,concept-article,operations,0.85,True,"Covers lifecycle management, integration into workflows, and operational excellence for AI agents, including security, compliance, and cost efficiency—operations and management focus.",unchanged
https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ai-agents/organization-people-readiness-plan,Organizational readiness,Organizational readiness for AI agents - Cloud Adoption Framework,Prepare organizational structures for AI agents,"Explore strategies for organizational readiness, including platform governance, workload alignment, and AI Center of Excellence integration.","This article outlines strategies for organizational readiness, including platform governance, workload alignment, and AI Center of Excellence integration. Organizational readiness is the third step in thePlan for agentsphase of AI agent adoption (see figure 1). Figure 1. Microsoft's AI agent adoption process. Organizational readiness aligns team structures and skills to support AI agent development. It establishes clear responsibilities and governance models that enable scalable innovation. With",2025-12-04T00:54:00.000Z,concept-article,organization,0.85,True,"Details organizational readiness for AI agents, including platform governance, workload alignment, and AI CoE integration—team structures and responsibilities.",unchanged
https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ai-agents/single-agent-multiple-agents,Single or multiple agents?,Choosing Between Building a Single-Agent System or Multi-Agent System - Cloud Adoption Framework,Choose single-agent vs multi-agent AI architectures,Explore decision criteria for selecting single-agent or multi-agent architectures to optimize AI-powered solutions for your organization.,"This article provides criteria to help you decide whether to build single-agent or multi-agent systems across your organization. Organizations face this decision during theBuild agentsphase of AI agent adoption (see figure 1). Figure 1. Microsoft's AI agent adoption process. While workload teams need flexibility to make design decisions, organizations benefit from having a standard set of expectations. These expectations help guide how many agents are created and what will need to be governed an",2025-12-10T21:03:00.000Z,concept-article,adoption-patterns,0.8,True,Provides decision criteria and patterns for selecting single-agent or multi-agent system designs for AI workloads—workload deployment and architecture pattern guidance.,unchanged
https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ai-agents/technology-solutions-plan-strategy,Technology plan,Technology Plan for AI Agents across your organization using the Microsoft Ecosystem - Cloud Adoption Framework,Define technology plan for AI agents on Microsoft,"Learn how to define a technology plan for AI agents across your organization using Microsoft SaaS agents, Microsoft Foundry, and Copilot Studio","This article provides guidance on how to select the right technology platform for each of your potential agent use cases. It covers adopting a ready-to-use SaaS agent or building a custom agent with Microsoft Foundry (PaaS) or Microsoft Copilot Studio (SaaS). Developing a technology plan is the second step in thePlan for agentsphase of AI agent adoption (see figure 1). Figure 1. Microsoft's AI agent adoption process. Effective technology adoption aligns goals with cost, level of effort, and cust",2025-12-18T18:50:00.000Z,concept-article,planning,0.85,True,"Gives concrete decision guidance for choosing between SaaS agents, Microsoft Foundry, and Copilot Studio per use case, aligning cost, effort, and customization—technology planning detail.",unchanged
https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ai/strategy,AI adoption,AI strategy - Guidance to set your organization's AI strategy - Cloud Adoption Framework,Define and align an enterprise AI strategy,"Get guidance to set your organization's AI strategy: Identify use cases, choose Microsoft AI solutions, and build a responsible, data-driven AI strategy.","AI goal:Every organization wants AI to add value to its people and processes. That value has to come from AI that stays secure and runs efficiently. It must fit the skills and data you already have and stay within budget.AI challenge:The goal is clear but reaching that value isn't always straightforward. Teams often experiment a great deal and see little return. Some build conflicting solutions across the organization. In other places, security concerns and low confidence restrict what people ca",2026-06-26T20:04:00.000Z,concept-article,strategy,0.78,True,"Page focuses on identifying AI business drivers, selecting AI use cases, mapping them to Microsoft AI solutions, and building a responsible, data-driven AI strategy. It includes organization-level outcome definition and alignment guidance specific to AI adoption, which goes beyond generic LLM knowledge and fits the CAF 'strategy' sub-skill.",new
