url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/openshift/azure-redhat-openshift-release-notes,What's new with Azure Red Hat OpenShift?,What's new with Azure Red Hat OpenShift? - Azure Red Hat OpenShift,,This article has release notes for Azure Red Hat OpenShift.,"Microsoft Azure Red Hat OpenShift receives improvements on an ongoing basis. To stay up to date with the most recent developments, this article provides you with information about the latest releases.",2026-05-27T08:00:00.000Z,whats-new,,0.3,False,"Release notes summarize new features and changes over time but are not organized as limits, configuration references, troubleshooting guides, or other structured expert-knowledge categories defined here. They typically lack stable numeric limits, decision matrices, or configuration tables; instead they list version-specific updates, which fall outside the targeted sub-skill types.",unchanged
https://learn.microsoft.com/en-us/azure/openshift/best-practices-openshift-virtualization,Best practices for virtual machine deployments,Best practices for virtual machine deployments on OpenShift Virtualization - Azure Red Hat OpenShift,Optimize VM deployments on OpenShift Virtualization in ARO,Learn about best practices for deploying virtual machines (VMs) using OpenShift Virtualization in Azure Red Hat OpenShift.,This document provides guidance for optimizing performance and cost efficiency when deploying virtual machines (VMs) using OpenShift Virtualization on Azure Red Hat OpenShift. This guidance also addresses any concerns around application performance and provides actionable steps for successful deployment.,2026-02-16T18:04:00.000Z,how-to,best-practices,0.85,True,Explicit best practices for performance and cost with VMs on OpenShift Virtualization; includes product-specific recommendations and tuning guidance.,unchanged
https://learn.microsoft.com/en-us/azure/openshift/built-in-container-registry,Use the built-in container registry,Configure built-in container registry for Azure Red Hat OpenShift 4 - Azure Red Hat OpenShift,Configure built-in container registry on ARO 4,Configure built-in container registry for Azure Red Hat OpenShift 4,"Azure Red Hat OpenShift provides anintegrated container image registrythat adds the ability to automatically provision new image repositories on demand. This registry provides users with a built-in location for their application builds to push the resulting images. In this article, you'll configure the built-in container image registry for an Azure Red Hat OpenShift 4 cluster. You'll learn how to:",2025-08-07T22:06:00.000Z,concept-article,configuration,0.75,True,"Covers configuration of integrated image registry, including how repositories are provisioned and used; product-specific registry configuration.",unchanged
https://learn.microsoft.com/en-us/azure/openshift/cluster-wide-proxy-configure,Configure cluster-wide proxy,Configure a cluster-wide proxy in an Azure Red Hat OpenShift cluster - Azure Red Hat OpenShift,Configure cluster-wide HTTP/HTTPS proxy in ARO,Discover how to configure a cluster-wide proxy in Azure Red Hat OpenShift.,"This article describes the process for enabling a cluster-wide proxy on an Azure Red Hat OpenShift cluster. This feature allows production environments to deny direct access to the internet and instead have an HTTP or HTTPS proxy available. This article details the specific configuration steps necessary for an Azure Red Hat OpenShift cluster. For more information about how the cluster-wide proxy feature works for the OpenShift Container Platform, see theRed Hat documentation. When configuring a ",2025-03-06T05:31:00.000Z,how-to,configuration,0.8,True,"Details proxy configuration for ARO clusters, including specific settings and behavior; product-specific network configuration.",unchanged
https://learn.microsoft.com/en-us/azure/openshift/concepts-egress-lockdown,Overview of egress lockdown,Overview of Azure Red Hat OpenShift egress lockdown - Azure Red Hat OpenShift,,Overview of egress lockdown for Azure Red Hat OpenShift clusters,"Egress lockdown provides access to the URLs and endpoints an Azure Red Hat OpenShift cluster needs to function effectively. Egress lockdown ensures that you have access to URLs, such as management.azure.com, so you can create another worker node backed by Azure VMs. Egress lockdown ensures access even if the outbound (egress) traffic is restricted by a firewall appliance or other means. Egress lockdown takes a collection of domains required for an Azure Red Hat OpenShift cluster to function and ",2026-05-20T22:09:00.000Z,overview,,0.3,False,"Described as an overview of egress lockdown; based on the summary it focuses on conceptual explanation of required access/URLs rather than detailed endpoint lists, configuration tables, or numeric constraints.",unchanged
https://learn.microsoft.com/en-us/azure/openshift/concepts-networking,Networking,Concepts - Networking diagram for Azure Red Hat OpenShift 4 - Azure Red Hat OpenShift,Understand networking layout and endpoints for Azure Red Hat OpenShift,Networking diagram and overview for Azure Red Hat OpenShift networking,"This guide covers an overview of Azure Red Hat OpenShift networking on OpenShift 4 clusters, along with a diagram and a list of important endpoints. For more information on core OpenShift networking concepts, see theAzure Red Hat OpenShift 4 networking documentation. When you deploy Azure Red Hat OpenShift on OpenShift 4, your entire cluster is contained within a virtual network. Within this virtual network, your control plane nodes and worker nodes each live in their own subnet. Each subnet use",2025-06-30T08:00:00.000Z,tutorial,configuration,0.62,True,Networking diagram and list of important endpoints for ARO 4; endpoint lists and network structure are product-specific configuration knowledge.,unchanged
https://learn.microsoft.com/en-us/azure/openshift/concepts-ovn-kubernetes,Overview of OVN-Kubernetes,Overview of OVN-Kubernetes network provider for Azure Red Hat OpenShift clusters - Azure Red Hat OpenShift,,Overview of OVN-Kubernetes network provider for Azure Red Hat OpenShift clusters.,"The OpenShift Container Platform cluster uses a virtualized network for pod and service networks. The OVN-Kubernetes Container Network Interface (CNI) plug-in is a network provider for the default cluster network. OVN-Kubernetes, which is based on the Open Virtual Network (OVN), provides an overlay-based networking implementation. A cluster that uses the OVN-Kubernetes network provider also runs Open vSwitch (OVS) on each node. OVN configures OVS on each node to implement the declared network co",2025-02-25T18:01:00.000Z,concept-article,,0.45,False,High-level overview of OVN-Kubernetes as network provider; likely conceptual without detailed parameter tables or numeric thresholds.,unchanged
https://learn.microsoft.com/en-us/azure/openshift/confidential-containers-overview,Use Confidential Containers to protect sensitive data,Confidential containers with Azure Red Hat OpenShift - Azure Red Hat OpenShift,,Learn about the security features of confidential containers to protect sensitive data in a Microsoft Azure Red Hat OpenShift cluster.,"Confidential containers, a feature of Red Hat OpenShift sandboxed containers, offer a robust solution to protect sensitive data within cloud environments. When you use hardware-based trusted execution environments (TEEs), confidential containers provide a secure enclave within the host system, isolating applications and their data from potential threats. This isolation ensures that even if the host system is compromised, the confidential data remains protected. This article describes the benefit",2026-02-11T23:11:00.000Z,concept-article,,0.4,False,"Primarily an overview of confidential containers benefits and concepts; no clear indication of concrete configuration parameters, limits, or error mappings.",unchanged
https://learn.microsoft.com/en-us/azure/openshift/configure-azure-ad-cli,Configure Microsoft Entra authentication (CLI),Configure Microsoft Entra authentication using Azure CLI - Azure Red Hat OpenShift,Configure Microsoft Entra auth for ARO via CLI,Learn how to use Azure CLI to set up Microsoft Entra authentication for an Azure Red Hat OpenShift cluster.,"In this article, you use Azure CLI to set up Microsoft Entra authentication for an Azure Red Hat OpenShift cluster. You create variables that are used in commands that create anOAuthcallback URL, an application registration and client secret, and update the application's permissions.",2025-08-05T08:00:00.000Z,article,security,0.78,True,"CLI-based configuration of Entra authentication for ARO with specific commands, permissions, and callback URLs; clearly product-specific security configuration.",unchanged
https://learn.microsoft.com/en-us/azure/openshift/configure-azure-ad-ui,Configure Microsoft Entra authentication (Portal),Configure Microsoft Entra authentication using Azure portal - Azure Red Hat OpenShift,Configure Microsoft Entra auth for ARO via portal,Learn how to configure Microsoft Entra authentication for an Azure Red Hat OpenShift cluster using Azure portal and OpenShift web console.,"In this article, you use Azure portal to set up Microsoft Entra authentication for an Azure Red Hat OpenShift cluster. You create variables that are used in commands that create anOAuthcallback URL, create an application registration and client secret, and sign in to the cluster's web console using the Microsoft Entra authentication.",2025-08-06T08:00:00.000Z,article,security,0.78,True,"Covers Entra app registration, callback URL, client secret, and OpenShift console integration; includes product-specific auth configuration values and scopes.",unchanged
