url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/information-protection/about-aip-client,Deploying the client,Learn about the Azure Information Protection (AIP) unified labeling client,,Status of the Azure Information Protection (AIP) unified labeling client,"The Azure Information Protection (AIP) unified labeling client is now replaced with theMicrosoft Purview Information Protection client, and theOffice add-in for labeling in Word, Excel, PowerPoint, and Outlook is retired. For the latest release information and support timelines, seeMicrosoft Purview Information Protection client - Release management and supportability. For more information about the new client, seeExtend sensitivity labeling on Windows.",2024-05-13T17:14:00.000Z,article,,0.3,False,Status and retirement overview for the AIP unified labeling client; mostly lifecycle and pointer content without detailed configuration or troubleshooting data.,unchanged
https://learn.microsoft.com/en-us/azure/information-protection/active-directory-rights-manage-mobile-device,Active Directory Mobile Device Extensions,Active Directory rights management services mobile device extension for AIP,,Learn about Active Directory mobile device extensions for AIP,"Note We're retiring the RMS sharing app for MacOS and the Azure Information Protection app for iOS and Android starting May 30, 2025, and ending May 30, 2026. Instead, we recommend opening protected non-Office files in other productivity apps. For more information, see the blog post announcementRetirement notification for the Azure Information Protection mobile viewer and RMS Sharing App. You can download the Active Directory Rights Management Services (AD RMS) mobile device extension from theMi",2022-08-02T05:54:00.000Z,conceptual,,0.3,False,Describes AD RMS mobile device extension and retirement of mobile apps; appears to be overview/announcement rather than detailed configuration or error mapping.,unchanged
https://learn.microsoft.com/en-us/azure/information-protection/compare-on-premise,Comparison with the Azure Rights Management service,Compare the Azure Rights Management service with & AD RMS,Decide between Azure Rights Management and AD RMS,"Compare the Azure Rights Management service from Microsoft Purview Information Protection with the older on-premises version, Active Directory Rights Management Services (AD RMS).","Note Are you looking forMicrosoft Purview Information Protection, formerly Microsoft Information Protection (MIP)? The Azure Information Protection add-in isretiredand replaced with labels that arebuilt in to your Microsoft 365 apps and services. Learn more about thesupport status of other Azure Information Protection components. TheMicrosoft Purview Information Protection client(without the add-in) isgenerally available. If you have previously deployed Active Directory Rights Management Service",2025-09-01T22:31:00.000Z,conceptual,decision-making,0.7,True,Comparison of Azure RMS vs on-prem AD RMS for organizations with existing deployments; provides product-specific decision guidance on when to choose each.,unchanged
https://learn.microsoft.com/en-us/azure/information-protection/configure-servers-rms-connector,Overview,Configure servers for the Rights Management connector - AIP,Configure on-premises servers to use the RMS connector,Information to help you configure your on-premises servers that will use the Azure Rights Management (RMS) connector. These procedures cover step 5 from Deploying the Microsoft Rights Management conne,"Use the following information to help you configure your on-premises servers that will use the Azure Rights Management (RMS) connector. These procedures cover step 5 fromDeploying the Microsoft Rights Management connector. Prerequisites: Before you begin, make sure that you have:
- Installed and configured the RMS connector
- Checked anyprerequisitesrelevant for the servers that will use the connector.",2022-08-02T05:54:00.000Z,conceptual,deployment,0.7,True,"Server-side configuration steps (Exchange, SharePoint, file servers) to integrate with RMS connector; specialized deployment/integration configuration.",unchanged
https://learn.microsoft.com/en-us/azure/information-protection/deploy-rms-connector,Overview,Deploy the Rights Management connector - AIP,Deploy the Azure RMS connector for on-premises servers,"Instructions to deploy the RMS connector, which provides the data protection service for existing on-premises deployments that use Exchange Server, SharePoint Server, or Windows Server and File Classi","Use this information to learn about the Microsoft Rights Management connector, and then how to successfully deploy it for your organization. This connector provides data protection for existing on-premises deployments that use MicrosoftExchange Server,SharePoint Server, or file servers that run Windows Server andFile Classification Infrastructure(FCI).",2026-06-26T00:32:00.000Z,how-to,deployment,0.7,True,"The page provides detailed, product-specific deployment instructions for the Rights Management connector (RMS connector) used with on-premises Exchange, SharePoint, and file servers. It includes expert operational steps and constraints unique to this connector deployment scenario, beyond generic knowledge of how to deploy software.",updated
https://learn.microsoft.com/en-us/azure/information-protection/develop/deprecation-notice,Rights Management SDKs deprecation notice,RMS SDK 4.2 Deprecation notice,,RMS SDK 4.2 Deprecation notice,,2025-04-14T08:00:00.000Z,conceptual,,0.2,False,"Deprecation notice for RMS SDK 4.2; lifecycle/announcement content without technical configuration, limits, or troubleshooting details.",unchanged
https://learn.microsoft.com/en-us/azure/information-protection/how-to-guides,Overview,How-to instructions for the Azure Rights Management service,,Resources to configure the Azure Rights Management service.,"Note Are you looking forMicrosoft Purview Information Protection, formerly Microsoft Information Protection (MIP)? The Azure Information Protection add-in isretiredand replaced with labels that arebuilt in to your Microsoft 365 apps and services. Learn more about thesupport status of other Azure Information Protection components. TheMicrosoft Purview Information Protection client(without the add-in) isgenerally available. Instructions to configure the Azure Rights Management service from Microso",2025-08-26T22:31:00.000Z,conceptual,,0.3,False,"Landing/how-to navigation page listing resources; does not itself contain concrete configuration parameters, limits, or troubleshooting content.",unchanged
https://learn.microsoft.com/en-us/azure/information-protection/install-configure-rms-connector,Install and configure the connector,Install & configure the Rights Management connector - AIP,Install and configure the RMS connector for AIP,Information to help you install and configure the Azure Rights Management (RMS) connector. These procedures cover steps 1 though 4 from Deploying the Microsoft Rights Management connector.,Use the following information to help you install and configure the Microsoft Rights Management (RMS) connector. These procedures cover steps 1 though 4 fromDeploying the Microsoft Rights Management connector. Before you begin: Make sure that you have reviewed and checked theprerequisitesfor this deployment. Make sure you are aware of thecorrect Azure sovereign cloud instancefor your connector to be able to complete setup and configuration.,2022-08-02T05:54:00.000Z,conceptual,deployment,0.75,True,"Concrete installation and configuration steps for the RMS connector, including sovereign cloud instance selection; product-specific deployment configuration.",unchanged
https://learn.microsoft.com/en-us/azure/information-protection/migrate-from-ad-rms-phase1,Phase 1 - Preparation,Migrate AD RMS-Azure Information Protection - Phase 1,Prepare environment for Phase 1 AD RMS to AIP migration,"Phase 1 of migrating from AD RMS to Azure Information Protection, covering steps 1 through 3 from Migrating from AD RMS to Azure Information Protection.",Use the following information for Phase 1 of migrating from AD RMS to Azure Information Protection. These procedures cover steps 1 through 3 fromMigrating from AD RMS to Azure Information Protectionand prepare your environment for migration without any effect to your users.,2024-02-13T18:33:00.000Z,how-to,deployment,0.7,True,Phase 1 of a multi-phase migration with concrete procedural steps unique to AD RMS → Azure RMS deployment; specialized migration/deployment knowledge.,unchanged
https://learn.microsoft.com/en-us/azure/information-protection/migrate-from-ad-rms-phase2,Overview,Migrate AD RMS-Azure Information Protection - Phase 2,Execute Phase 2 of AD RMS to AIP migration,"Phase 2 of migrating from AD RMS to Azure Information Protection, covering steps 4 though 6 from Migrating from AD RMS to Azure Information Protection.",Use the following information for Phase 2 of migrating from AD RMS to Azure Information Protection. These procedures cover steps 4 though 6 fromMigrating from AD RMS to Azure Information Protection.,2022-08-02T05:54:00.000Z,how-to,deployment,0.7,True,Phase 2 migration instructions (steps 4–6) for AD RMS to Azure RMS; product-specific deployment/migration sequence beyond generic knowledge.,unchanged
https://learn.microsoft.com/en-us/azure/information-protection/migrate-from-ad-rms-phase3,Phase 3 - Client-side configuration,Migrate AD RMS-Azure Information Protection - Phase 3,Complete Phase 3 of AD RMS to AIP migration,"Phase 3 of migrating from AD RMS to Azure Information Protection, covering step 7 from Migrating from AD RMS to Azure Information Protection.",Use the following information for Phase 3 of migrating from AD RMS to Azure Information Protection. These procedures cover step 7 fromMigrating from AD RMS to Azure Information Protection.,2022-08-02T05:54:00.000Z,how-to,deployment,0.7,True,Phase 3 instructions (step 7) in the AD RMS to AIP migration sequence; contains specialized deployment steps not covered by generic knowledge.,unchanged
https://learn.microsoft.com/en-us/azure/information-protection/migrate-from-ad-rms-phase4,Phase 4 - Supporting services configuration,Migrate AD RMS-Azure Information Protection - phase 4,Run Phase 4 tasks for AD RMS to AIP migration,"Phase 4 of migrating from AD RMS to Azure Information Protection, covering steps 8 through 9 from Migrating from AD RMS to Azure Information Protection",Use the following information for Phase 4 of migrating from AD RMS to Azure Information Protection. These procedures cover steps 8 through 9 fromMigrating from AD RMS to Azure Information Protection.,2025-09-01T17:32:00.000Z,how-to,deployment,0.7,True,"Phase 4 migration steps (8–9) for AD RMS to Azure RMS; detailed, product-specific deployment/migration operations.",unchanged
https://learn.microsoft.com/en-us/azure/information-protection/migrate-from-ad-rms-phase5,Phase 5 - Post migration tasks,Migrate AD RMS-Azure Information Protection - Phase 5,Finalize Phase 5 of AD RMS to AIP migration,"Phase 5 of migrating from AD RMS to Azure Information Protection, covering steps 10 through 12 from Migrating from AD RMS to Azure Information Protection.",Use the following information for Phase 5 of migrating from AD RMS to Azure Information Protection. These procedures cover steps 10 through 12 fromMigrating from AD RMS to Azure Information Protection.,2025-08-29T05:02:00.000Z,how-to,deployment,0.7,True,Phase 5 instructions (steps 10–12) to complete AD RMS to AIP migration; specialized deployment and cutover guidance.,unchanged
https://learn.microsoft.com/en-us/azure/information-protection/migrate-from-ad-rms-to-azure-rms,Overview,Migrate AD RMS-Azure Information Protection,Migrate AD RMS deployments to Azure Information Protection,"Instructions to migrate your Active Directory Rights Management Services (AD RMS) deployment to Azure Information Protection. After the migration, users still have access to documents and email messag","Use the following set of instructions to migrate your Active Directory Rights Management Services (AD RMS) deployment to Azure Information Protection. After the migration, your AD RMS servers are no longer in use but users still have access to documents and email messages that your organization protected by using AD RMS. Newly protected content will use the Azure Rights Management service (Azure RMS) from Azure Information Protection.",2025-09-01T17:32:00.000Z,conceptual,deployment,0.7,True,"Stepwise migration guidance from AD RMS to Azure RMS; contains product-specific migration path and post-migration behavior, which is specialized deployment/migration knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/information-protection/migrate-hsmkey-to-hsmkey,HSM key to HSM key,Migrate HSM-protected key to HSM-protected key - AIP,Migrate HSM-protected AD RMS key to AIP HSM key,"Instructions that are part of the migration path from AD RMS to Azure Information Protection, and applicable only if your AD RMS key is HSM-protected and you want to migrate to Azure Information Prote","These instructions are part of themigration path from AD RMS to Azure Information Protection, and are applicable only if your AD RMS key is HSM-protected and you want to migrate to Azure Information Protection with a HSM-protected tenant key in Azure Key Vault. If this is not your chosen configuration scenario, go back toStep 4. Export configuration data from AD RMS and import it to Azure RMSand choose a different configuration. Note These instructions assume your AD RMS key is module-protected.",2022-08-02T05:54:00.000Z,how-to,deployment,0.65,True,Product-specific steps for migrating HSM-protected keys into Azure Key Vault for AIP; specialized deployment and migration configuration.,unchanged
https://learn.microsoft.com/en-us/azure/information-protection/migrate-softwarekey-to-hsmkey,Software key to HSM key,Migrate software-protected key to HSM-protected key  - AIP,Migrate software-protected AD RMS key to AIP HSM key,"Instructions that are part of the migration path from AD RMS to Azure Information Protection, and are applicable only if your AD RMS key is software-protected and you want to migrate to Azure Informat","These instructions are part of themigration path from AD RMS to Azure Information Protection, and are applicable only if your AD RMS key is software-protected and you want to migrate to Azure Information Protection with a HSM-protected tenant key in Azure Key Vault. If this is not your chosen configuration scenario, go back toStep 4. Export configuration data from AD RMS and import it to Azure RMSand choose a different configuration. It’s a four-part procedure to import the AD RMS configuration ",2022-08-02T05:54:00.000Z,how-to,deployment,0.65,True,Four-part procedure for changing key protection model (software → HSM) during AD RMS to AIP migration; detailed deployment/migration guidance.,unchanged
