url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/ai-services/content-moderator/api-reference,Content Moderator REST API,API reference - Content Moderator - Azure AI services,Content Moderator REST API operations reference,Learn about the content moderation APIs for Content Moderator.,You can get started with Azure Content Moderator APIs by doing the following: You can use the followingContent Moderator APIsto set up your post-moderation workflows.,2025-06-12T08:00:00.000Z,reference,integrations,0.8,True,"API reference pages enumerate operations, parameters, and constraints specific to the product, which are concrete integration details not inferable from general knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/content-moderator/client-libraries,Using the client library or REST API,Quickstart: Use the Content Moderator client library - Azure AI services,Integrate Content Moderator via .NET client library,The Content Moderator API offers client libraries that make it easy to integrate Content Moderator into your applications.,"Important Azure Content Moderator is deprecated as of February 2024 and will be retired on March 15, 2027. It is replaced byAzure AI Content Safety, which offers advanced AI features and enhanced performance. Azure AI Content Safety is a comprehensive solution designed to detect harmful user-generated and AI-generated content in applications and services. Azure AI Content Safety is suitable for many scenarios such as online marketplaces, gaming companies, social messaging platforms, enterprise m",2025-06-12T08:00:00.000Z,quickstart,integrations,0.65,True,"Client library quickstart typically shows SDK methods, parameters, and configuration patterns specific to Content Moderator.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/content-moderator/encrypt-data-at-rest,Use customer-managed keys,Content Moderator encryption of data at rest - Azure AI services,,Content Moderator encryption of data at rest.,"Content Moderator automatically encrypts your data when it is persisted to the cloud, helping to meet your organizational security and compliance goals.",2025-06-13T05:29:00.000Z,how-to,,0.2,False,"High-level statement that data is encrypted at rest; no indication of specific configuration parameters, roles, or algorithms.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/content-moderator/export-delete-data,Export or delete account data,Export or delete user data - Content Moderator - Azure AI services,,"You have full control over your data. Learn how to view, export or delete your data in Content Moderator.","Important Azure Content Moderator is deprecated as of February 2024 and will be retired on March 15, 2027. It is replaced byAzure AI Content Safety, which offers advanced AI features and enhanced performance. Azure AI Content Safety is a comprehensive solution designed to detect harmful user-generated and AI-generated content in applications and services. Azure AI Content Safety is suitable for many scenarios such as online marketplaces, gaming companies, social messaging platforms, enterprise m",2025-06-12T08:00:00.000Z,how-to,,0.2,False,"Data export/delete overview; likely procedural and policy-focused without detailed limits, config tables, or error mappings.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/content-moderator/image-lists-quickstart-dotnet,Check images against custom lists,Check images against custom lists in C# - Content Moderator - Azure AI services,Use Content Moderator image lists within quota limits,How to moderate images with custom image lists using the Content Moderator SDK for C#.,"This article provides information and code samples to help you get started using
theContent Moderator SDK for .NETto: Note There is a maximum limit of5 image listswith each listnot to exceed 10,000 images. The console application for this guide simulates some of the tasks you
can perform with the image list API. If you don't have an Azure subscription, create afree accountbefore you begin.",2025-06-12T08:00:00.000Z,how-to,limits-quotas,0.85,True,"States maximum of 5 image lists with up to 10,000 images each—explicit numeric quotas for a specific feature.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/content-moderator/image-moderation-api,Image moderation,Image Moderation - Content Moderator - Azure AI services,Call Content Moderator image moderation APIs,Use Content Moderator's machine-assisted image moderation to moderate images for adult and racy content.,"Use Content Moderator's machine-assisted image moderation to moderate images for adult and racy content. Scan images for text content and extract that text, and detect faces. You can match images against custom lists, and take further action.",2025-06-12T08:00:00.000Z,concept-article,integrations,0.6,True,"Image Moderation API article typically includes request/response schemas and parameter names specific to this service, which are product-specific integration details.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/content-moderator/language-support,Language support,Language support - Content Moderator API - Azure AI services,Use supported languages in Content Moderator API,This is a list of natural languages that the Content Moderator API supports.,"Note For thelanguageparameter, assignengor leave it empty to see the machine-assistedclassificationresponse (preview feature).This feature supports English only. Forprofanity termsdetection, use theISO 639-3 codeof the supported languages listed in this article, or leave it empty.",2025-06-12T08:00:00.000Z,concept-article,limits-quotas,0.7,True,Language support page lists supported languages and ISO codes; these are concrete capability constraints and parameter values.,unchanged
https://learn.microsoft.com/en-us/azure/ai-services/content-moderator/overview,What is Content Moderator?,What is Azure Content Moderator? - Azure AI services,,"Learn how to use Content Moderator to track, flag, assess, and filter inappropriate material in user-generated content.","Important Azure Content Moderator is deprecated as of February 2024 and will be retired on March 15, 2027. It is replaced byAzure AI Content Safety, which offers advanced AI features and enhanced performance. Azure AI Content Safety is a comprehensive solution designed to detect harmful user-generated and AI-generated content in applications and services. Azure AI Content Safety is suitable for many scenarios such as online marketplaces, gaming companies, social messaging platforms, enterprise m",2025-06-12T08:00:00.000Z,overview,,0.2,False,Service overview and deprecation notice for Content Moderator; conceptual description without detailed technical parameters in the summary.,unchanged
https://learn.microsoft.com/en-us/azure/ai-services/content-moderator/samples-dotnet,.NET SDK samples,"Code samples - Content Moderator, .NET - Azure AI services",Apply Content Moderator .NET samples with list limits,Learn how to use Content Moderator in your .NET applications through the SDK.,"The following list includes links to the code samples built using the Azure Content Moderator SDK for .NET. Note There is a maximum limit of5 image listswith each list tonot exceed 10,000 images. Note There is a maximum limit of5 term listswith each list tonot exceed 10,000 terms. See all .NET samples at theContent Moderator .NET samples on GitHub.",2025-06-12T08:00:00.000Z,sample,limits-quotas,0.85,True,"Explicitly states maximum of 5 image lists and 5 term lists with up to 10,000 items each—clear numeric quotas.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/content-moderator/samples-rest,REST API samples in C#,"Code samples - Content Moderator, C# - Azure AI services",Call Content Moderator REST APIs from C# samples,Use Content Moderator feature based samples in your applications through REST API calls.,"The following list includes links to code samples built using the Azure Content Moderator API. For walkthroughs of these samples, check out theon-demand webinar.",2025-06-12T08:00:00.000Z,sample,integrations,0.6,True,"REST samples show concrete request formats, endpoints, and parameters specific to Content Moderator.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/content-moderator/term-lists-quickstart-dotnet,Check text against custom terms,Check text against a custom term list in C# - Content Moderator - Azure AI services,Use .NET SDK term lists with Content Moderator,How to moderate text with custom term lists using the Content Moderator SDK for C#.,"The default global list of terms in Azure Content Moderator is sufficient for most content moderation needs. However, you might need to screen for terms that are specific to your organization. You can use theContent Moderator SDK for .NETto create custom lists of terms to use with the Text Moderation API. This article provides information and code samples to help you get started using
the Content Moderator SDK for .NET to: If you don't have an Azure subscription, create afree accountbefore you b",2025-06-12T08:00:00.000Z,how-to,integrations,0.65,True,"Quickstart shows concrete C# SDK usage for custom term lists, including specific API operations and parameters unique to Content Moderator, which are product-specific integration details beyond generic SDK knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/content-moderator/text-moderation-api,Text moderation,Text Moderation - Content Moderator - Azure AI services,Use Content Moderator text moderation APIs,"Use text moderation to detect potentially unwanted text, personal data, and custom lists of terms.","Important Azure Content Moderator is deprecated as of February 2024 and will be retired on March 15, 2027. It is replaced byAzure AI Content Safety, which offers advanced AI features and enhanced performance. Azure AI Content Safety is a comprehensive solution designed to detect harmful user-generated and AI-generated content in applications and services. Azure AI Content Safety is suitable for many scenarios such as online marketplaces, gaming companies, social messaging platforms, enterprise m",2025-06-12T08:00:00.000Z,concept-article,integrations,0.6,True,"Text Moderation API page is an operational reference that usually documents endpoints, parameters, and options unique to this service, fitting integrations & coding patterns.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/content-moderator/video-moderation-api,Check video content,Analyze video content for objectionable material in C# - Content Moderator - Azure AI services,Moderate video content using Content Moderator .NET SDK,How to analyze video content for various objectionable material using the Content Moderator SDK for .NET,"This article provides information and code samples to help you get started using theContent Moderator SDK for .NETto scan video content for adult or racy content. If you don't have an Azure subscription, create afree accountbefore you begin.",2025-06-12T08:00:00.000Z,how-to,integrations,0.7,True,"Provides code and parameter usage for video moderation APIs, which are product-specific integration patterns.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/content-understanding/audio/overview,Audio Overview,Azure Content Understanding in Foundry Tools audio overview - Foundry Tools,,Learn about Azure Content Understanding in Foundry Tools audio solutions,"Audio analyzers enable transcription and diarization for conversational audio and extract structured fields such as summaries, sentiment, and key topics. Customize an audio analyzer template for your needs in theFoundry portalto start generating results. Here are common scenarios for conversational audio data processing:",2026-01-31T06:05:00.000Z,overview,,0.4,False,"Audio overview; describes scenarios and high-level capabilities, not specific configuration parameters or quotas.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/content-understanding/choosing-right-ai-tool,Choose the right tool for document processing,Choose the right Azure AI tool for document processing - Foundry Tools,Choose Azure AI tool for document processing,"Learn about Azure Content Understanding in Foundry Tools, Azure Document Intelligence in Foundry Tools and Azure large language model (LLM) solutions, processes, workflows, use-cases, and field extrac","As organizations increasingly use Generative AI to manage documents and unstructured data, it's essential to select the right tool for building robust, secure, and scalable document processing workflows. This is a comparative overview of the leading Azure AI solutions for intelligent document processing (IDP) to help you evaluate and choose the most effective approach for your business requirements. This article compares the following options:",2026-03-23T08:00:00.000Z,overview,decision-making,0.7,True,"Comparative guidance between Content Understanding, Document Intelligence, and LLM solutions for intelligent document processing; described as a comparative overview to help evaluate and choose the most effective approach, which fits decision-making criteria even though specific numbers aren’t visible in the summary.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/content-understanding/concepts/analyzer-reference,What are analyzers?,Azure Content Understanding in Foundry Tools - What is an analyzer? Configuration and reference - Foundry Tools,Configure and reference analyzers in Azure Content Understanding,"Learn about Azure Content Understanding in Foundry Tools analyzers, how to configure them, and the parameters you can set when creating custom analyzers.","Ananalyzerin Azure Content Understanding in Foundry Tools is a configurable processing unit that defines how your content is analyzed and what information is extracted. An analyzer defines: Analyzers are the core building blocks of Content Understanding. They combine content extraction, AI-powered analysis, and structured data output into a single, reusable configuration. You can use prebuilt analyzers for common scenarios or create custom analyzers tailored to your specific needs. Content Under",2026-04-21T11:03:00.000Z,overview,configuration,0.8,True,"Analyzer reference and configuration article is likely to include parameter names, allowed values, and possibly tables of configuration options for custom analyzers, which are product-specific configuration details.",updated
https://learn.microsoft.com/en-us/azure/ai-services/content-understanding/concepts/best-practices,Best practices,Best practices for using Content Understanding - Foundry Tools,Apply best practices for Content Understanding accuracy,"Learn how to best use Azure Content Understanding in Foundry Tools for document, image, video, and audio file content and field extractions.","Azure Content Understanding in Foundry Tools uses generative AI to process documents, images, videos, and audio, transforming them into structured output formats. This article provides best practices to maximize accuracy and efficiency.",2026-01-29T08:00:00.000Z,overview,best-practices,0.8,True,"Explicit best practices article; expected to include product-specific recommendations, configuration tips, and edge cases for maximizing accuracy and efficiency.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/content-understanding/concepts/classifier,What are classifiers?,Azure Content Understanding in Foundry Tools Classifier Overview - Foundry Tools,,Learn about Azure Content Understanding in Foundry Tools classifier solutions.,Content Understanding lets you implement classification and splitting as part of the analyzer operation request. You can perform content classification and content extraction as part of a single API call. The global concept ofanalyzernow includes the concept ofcontentCategoriesandenableSegmentto classify and split the input data you process within your application. This analyzer feature can perform classification of an input file as a whole. It can also identify multiple documents or multiple in,2026-03-23T08:00:00.000Z,overview,,0.3,False,"Classifier overview describing concepts like analyzer, contentCategories, and enableSegment; appears conceptual without detailed configuration tables, numeric thresholds, or error mappings.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/content-understanding/concepts/models-deployments,Foundry model deployments,Model deployment options for Content Understanding analyzers - Foundry Tools,Choose model deployment options for Content Understanding analyzers,"Learn how Content Understanding maps analyzer models to Foundry deployments, and how defaults and request-level overrides interact.","Azure Content Understanding in Foundry Tools uses your Foundry model deployments for all operations that require a generative AI model. This approach helps you maximize provisioned capacity and consolidate capacity into fewer deployments, if needed. You can also choose the model that best fits your scenario for price and latency. You're billed for all tokens (input and output) processed by the connected deployment, and Content Understanding only bills you for Content Understanding-specific meter",2026-04-21T11:03:00.000Z,concept-article,deployment,0.7,True,"Describes how analyzers map to Foundry model deployments, including defaults and request-level overrides; this typically involves product-specific deployment behaviors, constraints, and selection logic not covered by generic knowledge.",updated
https://learn.microsoft.com/en-us/azure/ai-services/content-understanding/concepts/prebuilt-analyzers,Prebuilt analyzers,Azure Content Understanding in Foundry Tools prebuilt analyzers - Foundry Tools,Use and customize Content Understanding prebuilt analyzers,"Learn about prebuilt analyzers, base analyzers, RAG analyzers, vertical analyzers, and how to use and customize them in Azure Content Understanding in Foundry Tools.","Azure Content Understanding prebuilt analyzers provide a set of domain-specific extraction capabilities that go beyond predefined schemas. They're powered by knowledge bases of real-world document examples. They understand how information is structured and used, adapting to the nuances of each content type. Prebuilt analyzers are ready-to-use tools that streamline common content processing tasks. You can use them for content ingestion in search and retrieval-augmented generation (RAG) workflows.",2026-01-29T08:00:00.000Z,overview,configuration,0.7,True,"Describes prebuilt analyzers and how to customize them; likely includes analyzer names, options, and configuration fields specific to this service.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/content-understanding/concepts/secure-communications,Security features,Secure your Content Understanding analyzers and data - Foundry Tools,Secure Content Understanding with keys and identities,Configure security features such as customer-managed keys and managed identities to secure your data and applications.,Content Understanding is part of Microsoft Foundry and provides the same security and privacy features available to all Foundry services. These capabilities help protect your data and ensure compliance with Microsoft security standards.,2026-02-25T02:49:00.000Z,concept-article,security,0.7,True,Describes configuring customer-managed keys and managed identities; these involve specific security configuration parameters and scopes unique to the service.,unchanged
https://learn.microsoft.com/en-us/azure/ai-services/content-understanding/concepts/standard-pro-modes,Modes: standard and pro (Preview),Azure Content Understanding in Foundry Tools standard and pro modes (preview) - Foundry Tools,,Learn about Azure Content Understanding in Foundry Tools standard and pro modes.,"Note Content Understanding APIs versions2024-12-01-previewand2025-05-01-previeware currently in public preview. These previews are provided without a service-level agreement and are not recommended for production workloads. For more information, seeSupplemental Terms of Use for Microsoft Azure Previewsand theMicrosoft Products and Services Data Protection Addendum(""DPA""). Azure Content Understanding in Foundry Tools is a generative AI service designed to derive structured insights from multimoda",2026-04-13T17:17:00.000Z,overview,,0.3,False,"Described as a conceptual explanation of standard vs pro modes; without evidence of numeric thresholds, decision matrices, or config tables, it appears to be an overview rather than expert-knowledge guidance for any specific sub-skill type.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/content-understanding/document/analyzer-improvement,Analyzer Improvement,"Document analysis with confidence, grounding, and labeled samples - Foundry Tools",Improve document extraction with confidence and grounding,Learn about Azure Content Understanding in Foundry Tools features that can improve extraction quality and performance.,"Processing unstructured documents (such as contracts and statements of work) or structured documents (such as invoices and insurance forms) is critical for intelligent document processing (IDP) workflows and retrieval-augmented generation (RAG) scenarios. Extracting data reliably at scale requires more than text extraction. For high-quality automation, you often need to know what was extracted, where it came from, whether it matches your intent, and how reliable the extraction is. Most enterpris",2026-01-31T06:05:00.000Z,overview,best-practices,0.7,True,"Focuses on improving extraction quality and performance using specific features (confidence, grounding, labeled samples); likely includes concrete usage patterns and recommendations.",unchanged
