url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/azure-relay/authenticate-application,Authenticate from an application,Authenticate from an application - Azure Relay,Authenticate applications to Azure Relay with Entra ID,This article provides information about authenticating an application with Microsoft Entra ID to access Azure Relay resources.,"Azure Relay supports using Microsoft Entra ID to authorize requests to Azure Relay entities (Hybrid Connections, WCF Relays). With Microsoft Entra ID, you can use Azure role-based access control (Azure RBAC) to grant permissions to a security principal, which may be a user, group, or application service principal. To learn more about roles and role assignments, seeUnderstanding the different roles. Note This feature is generally available in all regions except Microsoft Azure operated by 21Viane",2026-01-24T08:00:00.000Z,article,security,0.8,True,Details Entra ID auth for Relay entities and Azure RBAC usage; likely lists specific RBAC roles or scopes unique to Relay.,unchanged
https://learn.microsoft.com/en-us/azure/azure-relay/authenticate-managed-identity,Authenticate with managed identities,Authenticate with managed identities for Azure Relay resources - Azure Relay,Use managed identities to access Azure Relay,This article describes how to use managed identities to access with Azure Relay resources.,"Managed identities for Azure resourcesis a cross-Azure feature that enables you to create a secure identity associated with the deployment under which your application code runs. You can then associate that identity with access-control roles that grant custom permissions for accessing specific Azure resources that your application needs. With managed identities, the Azure platform manages this runtime identity. You don't need to store and protect access keys in your application code or configura",2026-01-24T08:00:00.000Z,article,security,0.75,True,"Covers using managed identities with Azure Relay, including Relay-specific role assignments or scopes; this is product-specific security configuration.",unchanged
https://learn.microsoft.com/en-us/azure/azure-relay/diagnostic-logs,Set up diagnostic logs,Diagnostics logs for Hybrid Connections - Azure Relay,,This article provides an overview of all the activity and diagnostics logs that are available for Azure Relay.,"When you start using your Azure Relay Hybrid Connections, you might want to monitor how and when your listeners and senders are opened and closed, and how your Hybrid Connections are created and messages are sent. This article provides an overview of activity and diagnostics logs provided by the Azure Relay service. You can view two types of logs for Azure Relay:",2026-01-24T08:00:00.000Z,how-to,,0.5,False,Diagnostics logs overview; describes available logs but summary does not indicate detailed error-code mappings or config parameter tables.,unchanged
https://learn.microsoft.com/en-us/azure/azure-relay/ip-firewall-virtual-networks,Configure IP firewall,Configure IP firewall for Azure Relay namespace - Azure Relay,Configure IP firewall rules for Azure Relay,This article describes how to Use firewall rules to allow connections from specific IP addresses to Azure Relay namespaces.,"By default, Relay namespaces are accessible from internet as long as the request comes with valid authentication and authorization. With IP firewall, you can restrict it further to only a set of IPv4 addresses or IPv4 address ranges inCIDR (Classless Inter-Domain Routing)notation. This feature is helpful in scenarios in which Azure Relay should be only accessible from certain well-known sites. Firewall rules enable you to configure rules to accept traffic originating from specific IPv4 addresses",2026-01-24T08:00:00.000Z,how-to,security,0.85,True,"Explains Relay IP firewall with CIDR ranges; likely includes rule behavior, precedence, and Relay-specific constraints—product-specific security configuration.",unchanged
https://learn.microsoft.com/en-us/azure/azure-relay/move-across-regions,Move across regions,Move an Azure Relay namespace to another region - Azure Relay,,This article shows you how to move an Azure Relay namespace from the current region to another region.,"This article shows you how to move an Azure Relay namespace from one region to another region. Here are the high-level steps: Exportthe Relay namespace to an Azure Resource Manager template. Update location (region)for resources in the template. Also, delete anydynamicWindows Communication Foundation (WCF) relays from the template. WCF relays have two modes. In the first mode, the WCF relay is  explicitly created using the Azure portal or Azure Resource Manager template. On theWCF Relayspage of ",2026-01-24T08:00:00.000Z,how-to,,0.4,False,"Describes moving a namespace across regions; mostly procedural ARM template steps without clear limits, matrices, or config tables in the summary.",unchanged
https://learn.microsoft.com/en-us/azure/azure-relay/network-security,Network security,Network security for Azure Relay - Azure Relay,Configure network security for Azure Relay,This article describes how to use security features - IP firewall rules and private endpoints - supported by Azure Relay.,This article describes how to use the following security features with Azure Relay: Note Azure Relay doesn't support network service endpoints.,2026-01-24T08:00:00.000Z,concept-article,security,0.8,True,Explains IP firewall rules and private endpoints for Relay; contains product-specific network security settings and constraints.,unchanged
https://learn.microsoft.com/en-us/azure/azure-relay/private-link-service,Configure private endpoints,Integrate Azure Relay with Azure Private Link Service - Azure Relay,Secure Azure Relay with Private Link Service,This article describes how to integrate Azure Relay with Azure Private Link Service to secure access to Azure Relay resources only from a private network.,"AzurePrivate Link Serviceenables you to access Azure services (for example, Azure Relay, Azure Service Bus, Azure Event Hubs, Azure Storage, and Azure Cosmos DB) and Azure hosted customer/partner services over a private endpoint in your virtual network. For more information, seeWhat is Azure Private Link? Aprivate endpointis a network interface that allows your workloads running in a virtual network to connect privately and securely to a service that has aprivate link resource(for example, a Rel",2026-01-24T08:00:00.000Z,how-to,security,0.75,True,Details integrating Relay with Private Link Service and private endpoints; includes Relay-specific security and network configuration patterns.,unchanged
https://learn.microsoft.com/en-us/azure/azure-relay/relay-api-overview,Available APIs,Azure Relay API overview - Azure Relay,,"This article provides an overview of available Azure Relay APIs (.NET Standard, .NET Framework, Node.js, etc.)",,2026-01-24T08:00:00.000Z,article,,0.3,False,"API overview page; high-level listing of available APIs, not detailed parameter tables or error mappings.",unchanged
https://learn.microsoft.com/en-us/azure/azure-relay/relay-authentication-and-authorization,Overview (authentication and authorization),Azure Relay authentication and authorization - Azure Relay,Configure SAS and Entra ID auth for Azure Relay,This article provides an overview of Shared Access Signature (SAS) authentication with the Azure Relay service.,There are two ways to authenticate and authorize access to Azure Relay resources: Microsoft Entra ID and Shared Access Signatures (SAS). This article gives you details on using these two types of security mechanisms.,2026-01-24T08:00:00.000Z,concept-article,security,0.7,True,"Describes SAS and Entra ID authentication specifics for Relay; likely includes token formats, claim scopes, and Relay-specific auth details beyond generic security concepts.",unchanged
https://learn.microsoft.com/en-us/azure/azure-relay/relay-create-namespace-portal,Create a namespace,Create a Relay namespace using the Azure portal - Azure Relay,,This article provides a walkthrough that shows you how to create a Relay namespace using the Azure portal.,"A namespace is a scoping container for all your Azure Relay components. Multiple relays can reside in a single namespace, and namespaces often serve as application containers. There are currently two different ways to create a relay namespace:",2026-01-24T08:00:00.000Z,how-to,,0.3,False,"Portal walkthrough to create a namespace; likely UI steps, not detailed configuration parameter reference.",unchanged
https://learn.microsoft.com/en-us/azure/azure-relay/relay-exceptions,Exceptions,Azure Relay exceptions and how to resolve them - Azure Relay,Resolve common Azure Relay exceptions,List of Azure Relay exceptions and suggested actions you can take to help resolve them.,"This article lists some exceptions that might be generated by the Azure Relay APIs. This reference is subject to change, so check back for updates.",2026-01-24T08:00:00.000Z,article,troubleshooting,0.9,True,Explicitly lists Azure Relay exceptions with suggested actions; matches symptom → cause → solution troubleshooting pattern.,unchanged
