url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/networking/architecture-guides,Architecture guides,Azure Networking architecture documentation,,Learn about the reference architecture documentation available for Azure networking services.,This article provides information about architecture guides that can help you explore the different networking services in Azure available to you for building your applications.,2026-04-22T19:06:00.000Z,concept-article,,0.05,False,"Navigation page pointing to architecture guides; does not itself contain patterns, thresholds, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/networking/azure-for-network-engineers,Azure for network engineers,Azure for Network Engineers,,This page explains to traditional network engineers how networks work in Azure.,"As a conventional network engineer you have dealt with physical assets such as routers, switches, cables, firewalls to build infrastructure. At a logical layer you have configured virtual LAN (VLAN), Spanning Tree Protocol (STP), routing protocols (RIP, OSPF, BGP). You have managed your network using management tools and CLI. Networking in the cloud is different where network endpoints are logical and use of routing protocols is minimum. You will work with Azure Resource Manager API, Azure CLI, ",2021-08-16T17:04:00.000Z,article,,0.1,False,"Conceptual explanation of how networking in Azure differs from traditional networking; no concrete configs, limits, or troubleshooting content.",unchanged
https://learn.microsoft.com/en-us/azure/networking/azure-network-latency,Azure network latency,Azure network round-trip latency statistics,Use Azure region round-trip latency statistics,Learn about round-trip latency statistics between Azure regions.,This article provides round-trip latency statistics between Azure regions to help you optimize your cloud architecture and deployment decisions. The data comes from continuous network monitoring across Azure's global infrastructure and represents real-world performance measurements. Use these statistics to:,2026-07-02T17:11:00.000Z,concept-article,limits-quotas,0.85,True,"Provides measured round-trip latency values between specific Azure regions, which are numeric performance constraints useful for architecture and capacity decisions.",updated
https://learn.microsoft.com/en-us/azure/networking/create-zero-trust-network-web-apps,Zero Trust network for web applications,Deploy a Zero Trust Virtual Network for Web Applications,Deploy a Zero Trust virtual network for web apps,"Deploy a Zero Trust virtual network configuration for web applications in Azure using Azure Firewall, Azure Application Gateway, Web Application Firewall, and other virtual network services.",,2023-01-23T12:15:00.000Z,how-to,architecture-patterns,0.7,True,"Shows a concrete Zero Trust VNet configuration pattern using Azure Firewall, Application Gateway, WAF, and other services, specific to Azure web workloads.",new
https://learn.microsoft.com/en-us/azure/networking/cross-service-scenarios/design-secure-hub-spoke-network,Design a secure hub-spoke network,Design a secure hub-spoke network for regional web applications in Azure,Design a secure hub-spoke network for Azure web apps,"Learn how to build a secure-by-default network foundation for regional web applications using a minimal hub-spoke topology with Application Gateway, WAF, DDoS Protection, Bastion, NSGs, and virtual ne","When you host a web application in Azure, the network design you choose determines how much of your infrastructure is exposed to attack. Without an intentional design, teams commonly leave default configurations in place, expose management ports to the internet, or skip application-layer inspection—all of which increase the attack surface. This article explains a repeatable architecture pattern that uses a minimalhub-spoke topologyto build a secure-by-default foundation for single-region web app",2026-03-24T22:22:00.000Z,concept-article,architecture-patterns,0.78,True,"Describes a repeatable, product-specific hub-spoke architecture pattern for regional web applications using Application Gateway, WAF, DDoS Protection, Bastion, NSGs, and VNet peering. Focuses on how to design a secure-by-default topology and when to use these components together, which is architecture guidance beyond generic concepts.",unchanged
https://learn.microsoft.com/en-us/azure/networking/design-guide/app-delivery,Application delivery,Application delivery and performance - Azure Virtual Network,Choose Azure load balancing and app delivery options,"Choose the right Azure load balancing service. Compare Azure Load Balancer, Application Gateway, and Front Door for regional and global traffic distribution.","This article helps you select the right Azure load balancing service for your workload. It compares Azure Load Balancer, Application Gateway, and Azure Front Door for regional and global traffic distribution. It also explains when to combine them.",2026-07-01T13:16:00.000Z,concept-article,decision-making,0.8,True,"Provides comparison and guidance on when to use Load Balancer, Application Gateway, and Front Door, including when to combine them for specific traffic patterns.",new
https://learn.microsoft.com/en-us/azure/networking/design-guide/azure-firewall,Azure Firewall,Azure Firewall and traffic inspection,Design Azure Firewall tiers and traffic inspection,"Design your network security with Azure Firewall. Compare Basic, Standard, and Premium tiers for centralized traffic inspection and threat protection.","Azure Firewall is a managed, cloud-native network security service that provides centralized traffic inspection and filtering for your Azure virtual networks. Unlike network security groups that operate at Layer 4, Azure Firewall inspects traffic at Layers 3 through 7. This capability enables fully qualified domain name (FQDN) filtering, threat intelligence, intrusion detection and prevention (IDPS), and TLS inspection. You deploy Azure Firewall in a dedicated subnet within your hub virtual netw",2026-07-01T13:16:00.000Z,concept-article,security,0.8,True,"Explains Azure Firewall capabilities and compares Basic, Standard, and Premium tiers with product-specific security and inspection features.",new
https://learn.microsoft.com/en-us/azure/networking/design-guide/azure-virtual-network-manager,Centralized network management,Centralized management with Azure Virtual Network Manager,Manage Azure VNets centrally with Virtual Network Manager,"Manage Azure virtual networks at scale with Azure Virtual Network Manager. Learn about network groups, connectivity, security admin rules, and IPAM.","Azure Virtual Network Manager groups, configures, deploys, and manages virtual networks at scale across subscriptions. Instead of configuring each virtual network individually, define management intent centrally, and Azure Virtual Network Manager applies it consistently across your environment. Scope an Azure Virtual Network Manager instance to a management group or subscription, and manage all virtual networks within that scope through a single control plane. This article explains the four core",2026-07-01T13:16:00.000Z,concept-article,configuration,0.7,True,"Describes Azure Virtual Network Manager constructs (network groups, connectivity, security admin rules, IPAM) and centralized configuration patterns across subscriptions.",new
https://learn.microsoft.com/en-us/azure/networking/design-guide/cross-cloud,Cross-cloud,Azure Networking Design Guide - Cross-cloud,Plan cross-cloud connectivity with Azure networking,"A guided reading path through the Azure Networking Design Guide for customers connecting Azure to AWS, Google Cloud, or migrating from another cloud.","This guide provides a sequenced reading path through the Azure Networking Design Guide for customers connecting Azure to Amazon Web Services (AWS), Google Cloud, or migrating workloads from another cloud provider. Follow the numbered steps to design secure, monitored connectivity between Azure and your existing cloud infrastructure.",2026-07-01T13:16:00.000Z,concept-article,decision-making,0.65,True,"Provides a guided path for connecting Azure to AWS/Google Cloud or migrating from other clouds, including scenario-based connectivity choices.",new
https://learn.microsoft.com/en-us/azure/networking/design-guide/cross-region,Cross-region and cross-cloud,Cross-region and multicloud connectivity - Azure Virtual Network,Plan cross-region and multicloud connectivity in Azure,"Connect Azure resources across regions and to other clouds. Compare Global VNet Peering, Virtual WAN, ExpressRoute Global Reach, and cross-cloud VPN options.",This article helps you connect Azure workloads across multiple regions and extend connectivity to other cloud providers such as Amazon Web Services (AWS) and Google Cloud.,2026-07-01T13:16:00.000Z,concept-article,decision-making,0.75,True,"Compares Global VNet Peering, Virtual WAN, ExpressRoute Global Reach, and cross-cloud VPN options to guide connectivity choices across regions and clouds.",new
