url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/ai-services/speech-service/audio-processing-model-based-echo-cancellation,Model-based acoustic echo cancellation,Model-based echo cancellation audio processing - Speech service - Foundry Tools,,An overview of model-based echo cancellation (V2) audio processing with the Microsoft Audio Stack for improved acoustic echo suppression.,"The Microsoft Audio Stack (MAS) provides a model-based echo cancellation pipeline (AUDIO_INPUT_PROCESSING_ENABLE_V2) that uses machine learning models for enhanced acoustic echo suppression in voice call scenarios. This pipeline replaces the traditional DSP-based echo cancellation in thedefault audio processing pipelinewith a deep learning model, delivering improved echo suppression in challenging acoustic environments. Important This feature is only available on Windows x64 and ARM64 platforms.",2026-04-10T22:08:00.000Z,how-to,,0.2,False,"Overview of model-based echo cancellation pipeline and its availability on specific platforms; no evidence of detailed configuration options, limits, or error-resolution mappings in the summary.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/speech-service/audio-processing-overview,Audio processing,Audio processing - Speech service - Foundry Tools,,An overview of audio processing pipelines and capabilities of the Microsoft Audio Stack.,"The Microsoft Audio Stack (MAS) is a set of audio processing enhancements optimized for speech processing scenarios such as keyword recognition and speech recognition. The Speech SDK integrates MAS, allowing any application or product to use its audio processing capabilities on input audio.",2026-04-10T22:08:00.000Z,overview,,0.1,False,"High-level overview of Microsoft Audio Stack pipelines and capabilities without specific limits, configuration parameters, error codes, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/speech-service/audio-processing-speech-sdk,Use the Microsoft Audio Stack (MAS),DSP-based audio processing with the Microsoft Audio Stack - Speech service - Foundry Tools,,"An overview of DSP-based audio processing features, capabilities, and restrictions using the Speech SDK.","The default DSP-based pipeline (AUDIO_INPUT_PROCESSING_ENABLE_DEFAULT) in the Microsoft Audio Stack uses traditional digital signal processing algorithms to enhance input audio. See theAudio processing overviewfor a comparison of available pipelines. For model-based echo cancellation, seeModel-based echo cancellation with the Microsoft Audio Stack.",2026-04-10T22:08:00.000Z,how-to,,0.2,False,"Described as an overview of DSP-based audio processing features and restrictions, but summary indicates conceptual comparison of pipelines without concrete numeric limits, configuration tables, or troubleshooting details.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/speech-service/batch-synthesis,Use batch synthesis for text to speech,Batch synthesis API for text to speech - Speech service - Foundry Tools,Use Batch synthesis API for long-form text-to-speech,Learn how to use the batch synthesis API for asynchronous synthesis of long-form text to speech.,"The Batch synthesis API can synthesize a large volume of text input (long and short) asynchronously. Publishers and audio content platforms can create long audio content in a batch. For example: audio books, news articles, and documents. The batch synthesis API can create synthesized audio longer than 10 minutes. Important The Batch synthesis API is generally available. The Long Audio API will be retired on April 1st, 2027. For more information, seeMigrate to batch synthesis API. The batch synth",2026-02-25T08:00:00.000Z,how-to,deployment,0.65,True,"Covers asynchronous batch synthesis for long audio, including retirement/migration from Long Audio API and constraints like >10-minute audio, which are product-specific deployment/usage details.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/speech-service/batch-synthesis-properties,Batch synthesis properties,Batch synthesis properties for text to speech - Speech service - Foundry Tools,Configure Batch synthesis properties for text-to-speech,Learn about the batch synthesis properties for text to speech.,"Important The Batch synthesis API is generally available. The Long Audio API will be retired on April 1st, 2027. For more information, seeMigrate to batch synthesis API. The Batch synthesis API can synthesize a large volume of text input (long and short) asynchronously. Publishers and audio content platforms can create long audio content in a batch. For example: audio books, news articles, and documents. The batch synthesis API can create synthesized audio longer than 10 minutes. Some properties",2026-02-25T08:00:00.000Z,conceptual,configuration,0.8,True,"Explicitly about batch synthesis properties; likely includes property names, allowed values, and defaults, which are product-specific configuration details.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/speech-service/batch-transcription,Batch transcription overview,Batch transcription overview - Speech service - Foundry Tools,Plan large-scale transcription with batch processing,"Batch transcription is ideal if you want to transcribe a large quantity of audio in storage, such as Azure blobs. Then you can asynchronously retrieve transcriptions.","Use batch transcription to transcribe a large amount of audio data in storage. Both theSpeech to text REST APIandSpeech CLIsupport batch transcription. You should provide multiple files per request or point to an Azure Blob Storage container with the audio files to transcribe. The batch transcription service can handle a large number of submitted transcriptions. The service transcribes the files concurrently, which reduces the turnaround time.",2025-11-21T23:11:00.000Z,overview,decision-making,0.6,True,"Describes when to use batch transcription, concurrency behavior, and turnaround characteristics; guides selection vs other modes for large workloads.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/speech-service/batch-transcription-audio-data,Part 1: Locate audio files in storage,Locate audio files for batch transcription - Speech service - Foundry Tools,Prepare and locate audio data for batch transcription,Batch transcription is used to transcribe a large amount of audio in storage. You should provide multiple files per request or point to an Azure Blob Storage container with the audio files to transcri,"Use batch transcription to transcribe a large amount of audio data in storage. Batch transcription can access audio files from inside or outside of Azure. When you store source audio files outside of Azure, the service can access them through a public URI (such ashttps://crbn.us/hello.wav). Make sure you can access files directly: the service doesn't support URIs that require authentication or that invoke interactive scripts before the file can be accessed. Access audio files stored in Azure Blo",2026-03-30T08:00:00.000Z,how-to,best-practices,0.65,True,"Describes how to structure and expose audio files for batch transcription, including specifics like using Azure Blob Storage containers, using public URIs, and the constraint that URIs requiring authentication or interactive scripts are not supported. These are product-specific gotchas and actionable recommendations about where and how to host audio, fitting best-practices.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/speech-service/batch-transcription-create,Part 2: Create a batch transcription,Create a batch transcription - Speech service - Foundry Tools,,"Learn how to use Azure Speech in Foundry Tools for batch transcriptions, where you submit audio and then retrieve transcription results asynchronously.","With batch transcriptions, you submitaudio datain a batch. The service transcribes the audio data and stores the results in a storage container. You can thenretrieve the resultsfrom the storage container. Batch transcription completion can take several minutes to hours, depending on the size of the audio data and the number of files submitted. Even the same size of audio data can take different amounts of time to transcribe, depending on service load and other factors. The service doesn't provid",2026-04-03T22:09:00.000Z,how-to,,0.4,False,"Explains the batch transcription flow and mentions that completion time varies with data size and service load, but the summary does not indicate concrete limits, configuration parameters, or error codes. Appears to be procedural/overview without expert-only details.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/speech-service/batch-transcription-get,Part 3: Get batch transcription results,Get batch transcription results - Speech service - Foundry Tools,Check status and retrieve batch transcription results,"With batch transcription, the Speech service transcribes the audio data and stores the results in a storage container. You can then retrieve the results from the storage container.","To get transcription results, first check thestatusof the transcription job. If the job is completed, you canretrievethe transcriptions and transcription report.",2025-12-19T08:00:00.000Z,how-to,configuration,0.65,True,Describes status values and how to retrieve outputs from storage; product-specific job lifecycle and result access patterns.,unchanged
https://learn.microsoft.com/en-us/azure/ai-services/speech-service/bring-your-own-storage-speech-resource,Set up BYOS Speech resource,Set up the Bring your own storage (BYOS) Speech resource - Foundry Tools,Configure BYOS storage for Azure Speech resources,Learn how to set up Bring your own storage (BYOS) Speech resource.,"Bring your own storage (BYOS) is an Azure AI technology for customers, who have high requirements for data security and privacy. The core of the technology is the ability to associate an Azure Storage account, that the user owns and fully controls with the Speech resource. The Speech resource then uses this storage account for storing different artifacts related to the user data processing, instead of storing the same artifacts within the Speech service premises as it is done in the regular case",2025-10-31T08:00:00.000Z,how-to,security,0.7,True,Explains how to associate a customer-owned storage account with a Speech resource for data artifacts; BYOS wiring and required settings are product-specific security/compliance configuration.,unchanged
