url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/azure-vmware/arc-enable-guest-management,Enable guest management and install extensions on Arc-enabled VMs,Enable guest management and install extensions on Arc-enabled VMs - Azure VMware Solution,Configure guest management and extensions on Arc-enabled VMs,Learn how to set up and enable guest management and install extensions on Arc-enabled VMs.,"In this article, you learn how to enable guest management and install extensions on Arc-enabled virtual machines (VMs) in Azure VMware Solution. Use guest management to manage the guest operating system of your VM, including installing and managing extensions. This feature is available for Arc-enabled VMware VMs in Azure VMware Solution private clouds.",2026-03-10T08:00:00.000Z,how-to,configuration,0.68,True,"How-to article for enabling guest management and installing extensions on Arc-enabled VMware VMs. This typically includes product-specific steps, required settings, and parameter values (for Arc agent/extension enablement) that go beyond generic knowledge, fitting the configuration sub-skill.",unchanged
https://learn.microsoft.com/en-us/azure/azure-vmware/architecture-api-management,API Management,Architecture - API Management - Azure VMware Solution,Integrate Azure VMware Solution into hub-spoke networks,Learn how API Management protects APIs running on Azure VMware Solution virtual machines (VMs),"Microsoft AzureAPI Managementlets you securely publish to external or internal consumers. Only the Developer (development) and Premium (production) SKUs allow Azure Virtual Network integration to publish APIs that run on Azure VMware Solution workloads. In addition, both SKUs enable the connectivity between the API Management service and the backend. The API Management configuration is the same for backend services that run on Azure VMware Solution virtual machines (VMs) and on-premises. API Man",2026-01-14T08:00:00.000Z,concept-article,architecture-patterns,0.6,True,"Provides recommendations for integrating AVS into hub-and-spoke architectures in hybrid scenarios, which is a product-specific architecture pattern.",unchanged
https://learn.microsoft.com/en-us/azure/azure-vmware/architecture-design-public-internet-access,Internet connectivity design considerations,Architecture - Internet connectivity design considerations - Azure VMware Solution,Apply network design patterns for Azure VMware Solution,Options for Azure VMware Solution Internet Connectivity.,"There are three primary patterns to create outbound access to the Internet from Azure VMware Solution and to enable inbound  Internet access to resources on your Azure VMware Solution private cloud. Your requirements for security controls, visibility, capacity, and operations drive the selection of the appropriate method for delivery of Internet access to the Azure VMware Solution private cloud.",2026-01-14T08:00:00.000Z,concept-article,architecture-patterns,0.7,True,Network design considerations and solutions for AVS-specific use cases constitute product-specific architecture patterns.,unchanged
https://learn.microsoft.com/en-us/azure/azure-vmware/architecture-hub-and-spoke,Hub and spoke,Architecture - Integrate an Azure VMware Solution deployment in a hub and spoke architecture - Azure VMware Solution,Design hub-and-spoke integration for Azure VMware Solution,Learn about integrating an Azure VMware Solution deployment in a hub and spoke architecture on Azure.,This article provides recommendations for integrating an Azure VMware Solution deployment in an existing or a newHub and Spoke architectureon Azure. The Hub and Spoke scenario assume a hybrid cloud environment with workloads on:,2026-05-06T08:00:00.000Z,concept-article,architecture-patterns,0.7,True,"Architecture guidance for integrating Azure VMware Solution into a hub-and-spoke topology in hybrid environments. Likely includes product-specific network patterns, routing considerations, and when to use particular connectivity options, which are detailed, service-specific design decisions beyond generic hub-and-spoke concepts.",unchanged
https://learn.microsoft.com/en-us/azure/azure-vmware/architecture-identity,Access and identity,Architecture - Identity and access - Azure VMware Solution,Choose API Management SKUs for Azure VMware workloads,Learn about the identity and access concepts of Azure VMware Solution,"Azure VMware Solution private clouds are provisioned with a vCenter Server and NSX Manager. You use vCenter Server to manage virtual machine (VM) workloads and NSX Manager to manage and extend the private cloud. The Cloud admin role is used for vCenter Server. With restricted permissions, the Cloud admin role is used for NSX Manager.",2026-02-19T23:10:00.000Z,concept-article,decision-making,0.6,True,"Explains which API Management SKUs (Developer, Premium) support VNet integration for AVS workloads and when to use them, a product-specific selection guide.",unchanged
https://learn.microsoft.com/en-us/azure/azure-vmware/architecture-migrate,Migrate,Architecture – Migration considerations with VMware HCX - Azure VMware Solution,Enable and configure Managed SNAT for Azure VMware workloads,Learn about VMware HCX migration considerations for Azure VMware Solution.,VMware HCX offers five options with the HCX Enterprise Edition license when migrating VMware vSphere virtual machines to the Azure VMware Solution: The cost of the VMware HCX Enterprise Edition license is included in the cost of the Azure VMware Solution service.,2026-01-15T08:00:00.000Z,concept-article,configuration,0.7,True,"Contains product-specific behavior (ICMP disabled, interaction with default routes) and configuration steps for Managed SNAT.",unchanged
https://learn.microsoft.com/en-us/azure/azure-vmware/architecture-network-design-considerations,Network design considerations,Architecture - Network design considerations - Azure VMware Solution,Configure networking and interconnectivity for Azure VMware Solution,Learn about network design considerations for Azure VMware Solution,Azure VMware Solution offers a VMware private cloud environment that users and applications can access from on-premises and Azure-based environments or resources. Networking services such as Azure ExpressRoute and virtual private network (VPN) connections deliver the connectivity. There are several networking considerations to review before you set up your Azure VMware Solution environment. This article provides solutions for use cases that you might encounter when you're using Azure VMware Solu,2026-01-16T08:00:00.000Z,concept-article,configuration,0.7,True,"Discusses required address ranges and firewall ports plus management/workload network constructs, which are concrete configuration details.",unchanged
https://learn.microsoft.com/en-us/azure/azure-vmware/architecture-networking,Networking and interconnectivity,Architecture - Network interconnectivity - Azure VMware Solution,Plan storage architecture for Azure VMware Solution private clouds,Learn about key concepts and use cases of networking and interconnectivity in Azure VMware Solution.,"Azure VMware Solution offers a private cloud environment accessible from on-premises sites and Azure-based resources. Services such as Azure ExpressRoute, VPN connections, or Azure Virtual WAN deliver the connectivity. However, these services require specific network address ranges and firewall ports for enabling the services. When you deploy a private cloud, private networks for management, provisioning, and vMotion get created. You use these private networks to access VMware vCenter Server and",2026-01-27T08:00:00.000Z,concept-article,architecture-patterns,0.6,True,"Covers vSAN-based storage, policies, fault tolerance, and Azure Storage integration, which are AVS-specific architecture and design patterns.",unchanged
https://learn.microsoft.com/en-us/azure/azure-vmware/architecture-private-clouds,Private clouds and clusters,Architecture for Private Clouds and Clusters - Azure VMware Solution,Design Azure VMware Solution vSAN stretched clusters,Understand the key capabilities of Azure VMware Solution software-defined datacenters and VMware vSphere clusters.,"Azure VMware Solution provides VMware-based private clouds in Azure. The private cloud hardware and software deployments are fully integrated and automated in Azure. Deploy and manage the private cloud through the Azure portal, the Azure CLI, or PowerShell. A private cloud includes clusters with: Private clouds are installed and managed within an Azure subscription. The number of private clouds within a subscription is scalable. Initially, there's a limit of one private cloud per subscription. T",2026-01-19T18:12:00.000Z,concept-article,architecture-patterns,0.7,True,Design considerations for vSAN stretched clusters are product-specific architecture patterns with when-to-use guidance.,unchanged
https://learn.microsoft.com/en-us/azure/azure-vmware/architecture-storage,Storage,Architecture - Storage - Azure VMware Solution,Design storage architecture for Azure VMware Solution,"Learn about storage capacity, storage policies, fault tolerance, and storage integration in Azure VMware Solution private clouds.","Azure VMware Solution private clouds provide native, cluster-wide storage with VMware vSAN. Local storage from each host in a cluster is used in a vSAN datastore, and data-at-rest encryption is available and enabled by default. You can use Azure Storage resources to extend storage capabilities of your private clouds.",2026-04-09T08:00:00.000Z,concept-article,architecture-patterns,0.68,True,"Architecture-focused page describing how Azure VMware Solution private clouds use vSAN, local host storage, data-at-rest encryption defaults, and Azure Storage integration. This is product-specific architectural guidance about storage capacity, policies, and fault tolerance rather than generic concepts, fitting architecture-patterns best among the available categories.",unchanged
https://learn.microsoft.com/en-us/azure/azure-vmware/architecture-stretched-clusters,Multi-AZ with stretched clusters,Architecture - Design considerations for vSAN stretched clusters - Azure VMware Solution,Configure identity and access for Azure VMware Solution,Learn about how to use stretched clusters for Azure VMware Solution.,"In this article, learn how to design a vSAN stretched cluster for an Azure VMware Solution private cloud.",2026-01-08T08:00:00.000Z,concept-article,security,0.7,True,"Covers vCenter/NSX access, Cloud admin role and restricted permissions, which are product-specific IAM/security configuration details.",unchanged
https://learn.microsoft.com/en-us/azure/azure-vmware/attach-azure-netapp-files-to-azure-vmware-solution-hosts,Attach Azure NetApp Files datastores to Azure VMware Solution hosts,Attach Azure NetApp Files datastores to Azure VMware Solution hosts - Azure VMware Solution,Configure Azure NetApp Files NFS datastores for AVS hosts,Learn how to create Azure NetApp Files-based NFS datastores for Azure VMware Solution hosts.,"Azure NetApp Filesis an enterprise-class, high-performance, metered file storage service. The service supports the most demanding enterprise file-workloads in the cloud: databases, SAP, and high-performance computing applications, with no code changes. For more information on Azure NetApp Files, seeAzure NetApp Filesdocumentation. Azure VMware Solutionsupports attaching Network File System (NFS) datastores as a persistent storage option. You can create NFS datastores with Azure NetApp Files volu",2026-05-12T17:16:00.000Z,how-to,configuration,0.68,True,"The page is a how-to for attaching Azure NetApp Files NFS datastores to Azure VMware Solution hosts and typically includes product-specific configuration steps and parameters (such as required network settings, datastore/volume properties, and AVS-side configuration). This is concrete, service-specific configuration knowledge rather than a conceptual overview, but it does not primarily focus on limits, troubleshooting, or architecture patterns.",unchanged
https://learn.microsoft.com/en-us/azure/azure-vmware/azure-security-integration,Integrate Microsoft Defender for Cloud,Integrate Microsoft Defender for Cloud with Azure VMware Solution - Azure VMware Solution,Integrate Microsoft Defender for Cloud with Azure VMware Solution,Learn how to protect your Azure VMware Solution VMs with Azure's native security tools from the workload protection dashboard.,"Microsoft Defender for Cloud provides advanced threat protection across your Azure VMware Solution and on-premises virtual machines (VMs). It assesses the vulnerability of Azure VMware Solution VMs and raises alerts as needed. These security alerts can be forwarded to Azure Monitor for resolution. You can define security policies in Microsoft Defender for Cloud. For more information, seeWorking with security policies. Microsoft Defender for Cloud offers many features, including: The diagram show",2026-03-12T08:00:00.000Z,how-to,security,0.75,True,"Covers product-specific security integration between Defender for Cloud and AVS, including how alerts flow, how policies are applied, and how to protect AVS VMs. Such content typically includes concrete configuration steps and security settings unique to this integration.",unchanged
https://learn.microsoft.com/en-us/azure/azure-vmware/azure-vmware-solution-citrix,Deploy Citrix on Azure VMware Solution,Deploy Citrix on Azure VMware Solution - Azure VMware Solution,Deploy Citrix Virtual Apps and Desktops on Azure VMware Solution,Learn how to deploy VMware Citrix on Azure VMware Solution.,Citrix Virtual Apps and Desktop service supports Azure VMware Solution. Azure VMware Solution provides cloud infrastructure containing vSphere clusters created by Azure infrastructure. You can apply the Citrix Virtual Apps and Desktop Service to use Azure VMware Solution for provisioning yourVirtual Delivery Agent (VDA)workload in the same way you'd use vSphere in on-premises environments. Learn more about Citrix virtual apps and desktops Deployment guide Solution brief FAQ (review Q&As) Q. Can ,2026-03-09T22:17:00.000Z,how-to,deployment,0.62,True,"Focuses on deploying Citrix Virtual Apps and Desktops service on Azure VMware Solution. Citrix-on-AVS is a specific deployment scenario with product-specific requirements and constraints (e.g., supported models, topology, and AVS usage patterns) that go beyond generic deployment knowledge, fitting the deployment sub-skill for a particular platform integration.",unchanged
https://learn.microsoft.com/en-us/azure/azure-vmware/azure-vmware-solution-horizon,Deploy Horizon on Azure VMware Solution,Deploy Horizon on Azure VMware Solution - Azure VMware Solution,Deploy VMware Horizon on Azure VMware Solution,Learn how to deploy VMware Horizon on Azure VMware Solution.,"Note This document focuses on the VMware Horizon product, formerly known as Horizon 7. Horizon is a different solution than Horizon Cloud on Azure, although there are some shared components. Key advantages of the Azure VMware Solution include both a more straightforward sizing method and the integration of Software-Defined Data Center (SDDC) private cloud management into the Azure portal. VMware Horizon®, a virtual desktop and applications platform, runs in the data center and provides simple an",2026-05-22T08:00:00.000Z,how-to,deployment,0.6,True,Guide for deploying Horizon on Azure VMware Solution with product-specific sizing and SDDC integration considerations; this is concrete deployment guidance rather than generic overview.,updated
https://learn.microsoft.com/en-us/azure/azure-vmware/azure-vmware-solution-known-issues,Known issues,Azure VMware Solution known issues - Azure VMware Solution,Resolve Azure VMware Solution known issues and workarounds,This article provides details about the known issues of Azure VMware Solution.,"This article describes the currently known issues with Azure VMware Solution. Refer to the table to find details about resolution dates or possible workarounds. For more information about the different feature enhancements and bug fixes in Azure VMware Solution, seeWhat's New. In this article, you learned about the current known issues with the Azure VMware Solution. For more information, seeAbout Azure VMware Solution.",2026-04-13T22:10:00.000Z,reference,troubleshooting,0.7,True,"The page is a product-specific known issues list that maps concrete symptoms to resolutions or workarounds and sometimes includes timing for fixes. This is effectively troubleshooting guidance (symptom → cause → workaround) that an LLM wouldn't reliably know from training, so it qualifies as expert knowledge under the troubleshooting sub-skill.",unchanged
https://learn.microsoft.com/en-us/azure/azure-vmware/azure-vmware-solution-nsx-scale-and-performance-recommendations-for-vmware-hcx,NSX Scale and Performance Recommendations for VMware HCX,NSX Scale and Performance Recommendations - Azure VMware Solution,Optimize NSX performance for HCX migrations in Azure VMware Solution,Learn about the default NSX Topology in Azure VMware Solution and recommended practices to mitigate performance issues around HCX migration use cases.,"In this article, learn about the default NSX topology in Azure VMware Solution and NSX data path performance characteristics. Learn how to identify NSX data path resource limits. Learn about recommended configurations to help mitigate resource limits and optimize overall data path performance for HCX migrations.",2026-03-30T17:14:00.000Z,how-to,best-practices,0.75,True,"Focuses on NSX topology, data path performance characteristics, identifying resource limits, and recommended configurations to mitigate performance issues for HCX migrations. This is product-specific, actionable guidance with configuration recommendations and edge-case considerations, fitting best-practices.",unchanged
https://learn.microsoft.com/en-us/azure/azure-vmware/azure-vmware-solution-platform-updates,What's new,What's new in Azure VMware Solution - Azure VMware Solution,,Learn about the platform updates to Azure VMware Solution.,"Microsoft regularly applies important updates to the Azure VMware Solution for new features and software lifecycle management. You should receive a notification through Azure Service Health that includes the timeline of the maintenance. For more information, seeHost maintenance and lifecycle management.",2026-05-21T08:00:00.000Z,reference,,0.2,False,"A 'what's new' / platform updates page; primarily lifecycle and feature announcements without detailed limits, configuration parameters, error codes, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/azure-vmware/azure-vmware-solution-private-cloud-maintenance,Azure VMware Solution private cloud maintenance,Private Cloud Maintenance - Azure VMware Solution,Maintain Azure VMware Solution private clouds safely,"Ensuring seamless, reliably maintaintenance of Azure VMware Solution private cloud","Azure VMware Solution undertakes periodic maintenance of the private cloud. This maintenance includes security patches, minor and major updates to VMware software stack. This page describes the host monitoring, remediation, and mandatory steps that keep the private cloud ready for maintenance.",2026-05-22T22:13:00.000Z,concept-article,best-practices,0.68,True,"The page describes Azure VMware Solution–specific maintenance behavior (host monitoring, remediation flow, mandatory customer steps before/after maintenance) that are unique to this managed service. It provides concrete, product-specific operational guidance and gotchas (for example, what customers must or must not change, how maintenance is orchestrated on hosts/clusters) rather than generic concepts, fitting best under best-practices.",unchanged
https://learn.microsoft.com/en-us/azure/azure-vmware/backup-azure-netapp-files-datastores-vms,Backup Azure NetApp Files datastores and VMs,Back up Azure NetApp Files datastores and VMs using Cloud Backup - Azure VMware Solution,Configure Cloud Backup policies for AVS datastores and VMs,Learn how to back up datastores and Virtual Machines to the cloud.,"From the VMware vSphere client, you can back up datastores and Virtual Machines (VMs) to the cloud. This article explains how to configure your subscription, create a backup policy, and create and back up a resource group.",2026-01-30T08:00:00.000Z,how-to,configuration,0.7,True,"Covers subscription configuration, backup policy creation, and resource grouping for AVS; includes product-specific backup settings.",unchanged
https://learn.microsoft.com/en-us/azure/azure-vmware/backup-azure-vmware-solution-virtual-machines,Backup private cloud VMs with Backup Server,Back up Azure VMware Solution VMs with Azure Backup Server - Azure VMware Solution,Back up AVS VMware virtual machines with Azure Backup Server,Configure your Azure VMware Solution environment to back up virtual machines by using Azure Backup Server.,"This article shows you how to back up VMware virtual machines (VMs) running on Azure VMware Solution with Azure Backup Server. First, thoroughly go throughSet up Microsoft Azure Backup Server for Azure VMware Solution. Then, walk through all of the necessary procedures to:",2026-01-30T08:00:00.000Z,how-to,configuration,0.7,True,Stepwise configuration of backup jobs for AVS VMs using Azure Backup Server; includes product-specific options and constraints.,unchanged
https://learn.microsoft.com/en-us/azure/azure-vmware/bitnami-appliances-deployment,Bitnami appliance deployment,Deploy Bitnami virtual appliances - Azure VMware Solution,,Learn about the virtual appliances packed by Bitnami to deploy in your Azure VMware Solution private cloud.,"Bitnami by VMware provides a rich catalog of turnkey virtual appliances. You can deploy any vSphere compatible appliance by Bitnami available in theVMware Marketplace, including many of the most common open-source software projects. In this article, learn how to install and configure the following virtual appliances packaged by Bitnami on your Azure VMware Solution private cloud: LAMP Jenkins PostgreSQL NGINX RabbitMQ",2026-03-04T08:00:00.000Z,how-to,,0.25,False,"Explains how to deploy Bitnami virtual appliances (LAMP, Jenkins, PostgreSQL, NGINX, RabbitMQ) on Azure VMware Solution. The summary suggests a guided installation/configuration tutorial, but not detailed configuration parameter tables, limits, or troubleshooting mappings; it reads as deployment guidance rather than deep, product-specific expert reference.",unchanged
https://learn.microsoft.com/en-us/azure/azure-vmware/configure-alerts-for-azure-vmware-solution,Configure alerts and work with metrics,Configure alerts and work with metrics in Azure VMware Solution - Azure VMware Solution,Configure alerts and metrics monitoring for Azure VMware Solution,Learn how to use alerts to receive notifications. Also learn how to work with metrics to gain deeper insights into your Azure VMware Solution private cloud.,"In this article, learn how to configureAzure Action GroupsinMicrosoft Azure Alertsto receive notifications of triggered events that you define. Also learn about usingAzure Monitor Metricsto gain deeper insights into your Azure VMware Solution private cloud. Note For incidents that affect the availability of an Azure VMware Solution host and its corresponding restoration, the following actions occur. The incidents are sent automatically to the Account Administrator, Service Administrator (Classic",2026-02-04T08:00:00.000Z,how-to,configuration,0.75,True,"Explains configuring Azure Alerts, Action Groups, and Metrics for AVS, including incident behavior and AVS-specific monitoring settings.",unchanged
https://learn.microsoft.com/en-us/azure/azure-vmware/configure-azure-elastic-san,Configure Azure Elastic SAN,Use Azure VMware Solution with Azure Elastic SAN - Azure VMware Solution,Use Azure Elastic SAN as AVS iSCSI datastore,Learn how to use Elastic SAN  with Azure VMware Solution.,"This article explains how to use Azure Elastic SAN as backing storage for Azure VMware Solution.Azure VMware Solutionsupports attaching iSCSI datastores as a persistent storage option. You can create Virtual Machine File System (VMFS) datastores with Azure Elastic SAN volumes and attach them to clusters of your choice. By using VMFS datastores backed by Azure Elastic SAN, you can expand your storage instead of scaling the clusters. Azure Elastic storage area network (SAN) addresses the problem o",2026-04-23T22:13:00.000Z,how-to,configuration,0.7,True,"Explains how to back AVS VMFS datastores with Azure Elastic SAN volumes, including AVS-specific storage configuration patterns and constraints for attaching iSCSI datastores, which are detailed configuration/integration steps beyond generic knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/azure-vmware/configure-azure-monitor-for-resource-health-for-azure-vmware-solution,Configure Azure Monitor for Resource Health alerts,Create an Azure Monitor resource health alert rule for Azure VMware Solution - Azure VMware Solution,Create Azure Monitor resource health alerts for AVS,Learn about configuring Azure Monitor alerts for Resource Health for your Azure VMware Solution private cloud.,"This article shows you how to create or edit a resource health alert rule in Azure Monitor for your Azure VMware Solution private cloud. To learn more about alerts, see thealerts overview. Alerts triggered by these alert rules contain a payload that uses thecommon alert schema.",2025-08-05T11:10:00.000Z,how-to,configuration,0.7,True,"Shows how to create/edit resource health alert rules for AVS in Azure Monitor. Such pages typically include alert rule parameters, scopes, conditions, and schema details that are product-specific configuration knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/azure-vmware/configure-azure-native-pure-storage-cloud,Configure Azure Native Pure Storage Cloud,Azure Native Pure Storage Cloud - Azure VMware Solution,Integrate Azure Native Pure Storage Cloud with AVS,Learn how to use Azure Native Pure Storage Cloud with Azure VMware Solution.,,2026-05-07T08:00:00.000Z,how-to,integrations,0.7,True,"How-to content for using Azure Native Pure Storage Cloud with Azure VMware Solution is an integration scenario between a specific storage offering and AVS. It likely includes product-specific configuration steps, parameters, and patterns that are not generic SDK usage.",unchanged
https://learn.microsoft.com/en-us/azure/azure-vmware/configure-azure-vmware-solution-metrics,Configure Newest Metrics for Azure VMware Solution,Configure the latest iteration of Azure VMware Solution private cloud performance and health metrics - Azure VMware Solution,Configure Azure VMware Solution performance and health metrics,Learn how to take advantage of the latest improvements made to Azure VMware Solution private cloud performance and health metrics,"In this article, you learn how to take advantage of the latest iteration of metrics available to monitor your Azure VMware Solution private cloud. Azure VMware Solution provides users with an array of high-level health and performance metrics to provide visibility into the health and performance of an Azure VMware Solution private cloud. In 2024, a set of identical metrics labeled as ""new"" were introduced. The ""new"" metrics, which include a series of enhancements to the stability, reliability, a",2026-02-19T23:10:00.000Z,how-to,configuration,0.65,True,"How-to configuration article for the 'latest iteration' of AVS metrics. Likely includes specific metric names, dimensions, and configuration steps unique to AVS monitoring, which are product-specific details beyond generic monitoring knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/azure-vmware/configure-cloud-backup-virtual-machine,Configure Cloud Backup for Virtual Machines,Configure Cloud Backup for Virtual Machines - Azure VMware Solution,Manage AVS datastores and VMDKs with Cloud Backup,"Configure Cloud Backup for Virtual Machines enables you to mount and unmount datastores, and attach and detach VMDKs.",Learn how to mount and unmount datastores and attach and detach virtual machine disks (VMDKs) using Cloud Backup for Virtual Machines.,2026-02-19T23:10:00.000Z,how-to,configuration,0.7,True,Explains mounting/unmounting datastores and attaching/detaching VMDKs via Cloud Backup; involves specific operations and parameters.,unchanged
https://learn.microsoft.com/en-us/azure/azure-vmware/configure-customer-managed-keys,Configure customer-managed key encryption at rest,Configure CMK encryption at rest in Azure VMware Solution - Azure VMware Solution,Configure customer-managed key encryption for AVS vSAN,Learn how to encrypt data in Azure VMware Solution with customer-managed keys by using Azure Key Vault.,"This article illustrates how to encrypt VMware vSAN key encryption keys (KEKs) with customer-managed keys (CMKs) managed by a customer-owned Azure Key Vault instance. When CMK encryptions are enabled on your Azure VMware Solution private cloud, Azure VMware Solution uses the CMK from your key vault to encrypt the vSAN KEKs. Each ESXi host that participates in the vSAN cluster uses randomly generated disk encryption keys (DEKs) that ESXi uses to encrypt disk data at rest. vSAN encrypts all DEKs w",2026-02-09T08:00:00.000Z,how-to,security,0.8,True,Details how to use Azure Key Vault CMKs to encrypt vSAN KEKs/DEKs; includes specific key and vault configuration unique to AVS.,unchanged
https://learn.microsoft.com/en-us/azure/azure-vmware/configure-dhcp-azure-vmware-solution,Configure DHCP server or relay,Configure DHCP for Azure VMware Solution - Azure VMware Solution,Configure DHCP options for Azure VMware Solution,Learn how to configure DHCP by using either NSX Manager to host a DHCP server or use a third-party external DHCP server.,Applications and workloads running in a private cloud environment require name resolution and DHCP services for lookup and IP address assignments. A proper DHCP and DNS infrastructure are required to provide these services. You can configure a virtual machine to provide these services in your private cloud environment. Use the DHCP service built-in to NSX-T Data Center or use a local DHCP server in the private cloud instead of routing broadcast DHCP traffic over the WAN back to on-premises. Impo,2026-05-13T08:00:00.000Z,how-to,configuration,0.7,True,"Describes concrete ways to configure DHCP for Azure VMware Solution using NSX-T or external DHCP, including product-specific configuration steps and settings rather than generic DHCP concepts.",unchanged
https://learn.microsoft.com/en-us/azure/azure-vmware/configure-dns-azure-vmware-solution,Configure DNS forwarder,Configure DNS forwarder for Azure VMware Solution - Azure VMware Solution,,Learn how to configure DNS forwarder for Azure VMware Solution using the Azure portal.,"Important For Azure VMware Solution private clouds created on or after July 1, 2021, you now have the ability to configure private DNS resolution. For private clouds created before July 1, 2021, that need private DNS resolution, open asupport requestand request Private DNS configuration. By default, Azure VMware Solution management components such as vCenter Server can only resolve name records available through Public DNS. However, certain hybrid use cases require Azure VMware Solution manageme",2026-02-10T08:00:00.000Z,how-to,,0.4,False,Network extension creation is a straightforward procedural step; summary does not indicate detailed config tables or constraints.,unchanged
https://learn.microsoft.com/en-us/azure/azure-vmware/configure-external-identity-source-nsx-t,Set an external identity source for NSX,Set an external identity source for VMware NSX - Azure VMware Solution,Configure external LDAP identity source for NSX on AVS,Learn how to use Azure VMware Solution to set an external identity source for VMware NSX.,"In this article, learn how to set up an external identity source for VMware NSX in an instance of Azure VMware Solution. You can set up NSX to use an external Lightweight Directory Access Protocol (LDAP) directory service to authenticate users. A user can sign in by using their Windows Server Active Directory account credentials or credentials from a non-Microsoft LDAP server. Then, the account can be assigned an NSX role, like in an on-premises environment, to provide role-based access for NSX ",2026-03-26T08:00:00.000Z,how-to,security,0.8,True,"Explains how to configure VMware NSX in Azure VMware Solution to use external LDAP/Active Directory for authentication, including mapping accounts to NSX roles. This is product-specific identity and RBAC configuration, matching the security sub-skill type.",unchanged
