url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/healthcare-apis/access-healthcare-apis,Access Azure Health Data Services,Access Azure Health Data Services,Access FHIR and DICOM APIs with cURL and SDKs,"Learn how to access the FHIR and DICOM services in Azure Health Data Services by using cURL, REST Client, and programming languages like Python and C# for efficient data management.","After you deploy a FHIR® or DICOM® service, you can then access it in your applications by using tools like cURL, REST Client in Visual Studio Code, or with programming languages such as Python or C#.",2026-02-25T08:00:00.000Z,concept-article,integrations,0.65,True,"Shows how to call the services via cURL, REST Client, Python, and C#; likely includes endpoint formats, headers, and request parameters unique to these APIs, fitting integrations & coding patterns.",unchanged
https://learn.microsoft.com/en-us/azure/healthcare-apis/authentication-authorization,Manage user access and permissions,Authentication and authorization in Azure Health Data Services,Configure authentication and authorization for Health Data Services,"Learn how to manage access to Azure Health Data Services by using Microsoft Entra ID, assign application roles, and secure your data with OAuth 2.0 protocols and managed identities.",,2026-02-25T08:00:00.000Z,overview,security,0.8,True,"Covers Microsoft Entra ID, OAuth 2.0, managed identities, and application roles for this product; likely lists specific roles, scopes, and auth settings, which are security configuration details.",unchanged
https://learn.microsoft.com/en-us/azure/healthcare-apis/availability-zones,Availability zones,Azure Health Data Services Availability Zones,,Overview of Availability Zones for Azure Health Data Services,"The goal of high availability in Azure Health Data Services is to minimize impact on customer workloads from service maintenance operations and outages. Azure Health Data Services provides zone redundant availability using availability zones (AZs) for high availability and business continuity. To understand more about availability zones, visitWhat are Azure availability zones? Zone redundant availability provides resiliency by protecting against outages within a region. This is achieved using zo",2025-07-23T22:09:00.000Z,conceptual,,0.3,False,Availability Zones overview; describes high availability conceptually without specific numeric thresholds or configuration parameter tables.,unchanged
https://learn.microsoft.com/en-us/azure/healthcare-apis/azure-api-for-fhir/autoscale-azure-api-fhir,Autoscale,Autoscale for Azure API for FHIR,Use autoscale with Azure API for FHIR,This article describes the autoscale feature for Azure API for FHIR.,"Important Azure API for FHIR will be retired on September 30, 2026.Follow themigration strategiesto transition toAzure Health Data Services FHIR® serviceby that date. Due to the retirement of Azure API for FHIR, new customer deployments won't be allowed beginning April 1, 2025.Azure Health Data Services FHIR serviceis the evolved version of Azure API for FHIR that enables customers to manageFHIRandDICOMservices with integrations into other Azure services. Azure API for FHIR, as a managed service",2025-09-29T17:17:00.000Z,concept-article,limits-quotas,0.7,True,"Autoscale article typically includes specific scale thresholds, instance limits, and configuration ranges for this managed service.",unchanged
https://learn.microsoft.com/en-us/azure/healthcare-apis/azure-api-for-fhir/azure-active-directory-identity-configuration,Microsoft Entra ID and Azure API for FHIR,Microsoft Entra identity configuration for Azure API for FHIR,Configure Entra identity and auth for Azure API for FHIR,"Learn the principles of identity, authentication, and authorization for Azure FHIR servers.","Important Azure API for FHIR will be retired on September 30, 2026.Follow themigration strategiesto transition toAzure Health Data Services FHIR® serviceby that date. Due to the retirement of Azure API for FHIR, new customer deployments won't be allowed beginning April 1, 2025.Azure Health Data Services FHIR serviceis the evolved version of Azure API for FHIR that enables customers to manageFHIRandDICOMservices with integrations into other Azure services. When you're working with healthcare data",2025-07-24T08:00:00.000Z,conceptual,security,0.8,True,"Covers identity, authentication, and authorization principles for FHIR servers; likely includes specific app roles, scopes, and configuration parameters, fitting security.",unchanged
https://learn.microsoft.com/en-us/azure/healthcare-apis/azure-api-for-fhir/azure-api-fhir-access-token-validation,Access token validation,Azure API for FHIR access token validation,Validate and troubleshoot Azure API for FHIR access tokens,Walks through token validation and gives tips on how to troubleshoot access issues,"Important Azure API for FHIR will be retired on September 30, 2026.Follow themigration strategiesto transition toAzure Health Data Services FHIR® serviceby that date. Due to the retirement of Azure API for FHIR, new customer deployments won't be allowed beginning April 1, 2025.Azure Health Data Services FHIR serviceis the evolved version of Azure API for FHIR that enables customers to manageFHIRandDICOMservices with integrations into other Azure services. How Azure API for FHIR® validates the ac",2025-07-24T08:00:00.000Z,conceptual,troubleshooting,0.85,True,"Walks through token validation and troubleshooting access issues, likely including specific error messages, claims requirements, and diagnostic steps.",unchanged
https://learn.microsoft.com/en-us/azure/healthcare-apis/azure-api-for-fhir/azure-api-fhir-resource-manager-template,Using ARM template,Quickstart: Deploy Azure API for FHIR using an ARM template,Deploy Azure API for FHIR with ARM templates,"In this quickstart, learn how to deploy Azure API for Fast Healthcare Interoperability Resources (FHIR®), by using an Azure Resource Manager template (ARM template).","Important Azure API for FHIR will be retired on September 30, 2026.Follow themigration strategiesto transition toAzure Health Data Services FHIR® serviceby that date. Due to the retirement of Azure API for FHIR, new customer deployments won't be allowed beginning April 1, 2025.Azure Health Data Services FHIR serviceis the evolved version of Azure API for FHIR that enables customers to manageFHIRandDICOMservices with integrations into other Azure services. In this quickstart, you learn how to use",2025-07-24T08:00:00.000Z,quickstart,deployment,0.65,True,"ARM template quickstart typically includes resource schema, properties, and deployment-specific constraints for this service, which are product-specific deployment knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/healthcare-apis/azure-api-for-fhir/bulk-delete-operation,$bulk-delete,Bulk delete resources from the Azure API for FHIR service in Azure Health Data Services,Configure bulk delete operations for Azure FHIR,Learn how to bulk delete resources from the Azure API for FHIR service in Azure Health Data Services.,"The bulk delete capability enables you to delete resources from a FHIR® service asynchronously. The FHIR service supports bulk delete capability with two operations:$bulk-deleteand$bulk-delete-soft-deleted. The$bulk-deleteoperation deletes resources in the FHIR service, except for soft deleted resources. To delete soft deleted FHIR resources, use the$bulk-delete-soft-deletedoperation.",2026-03-25T22:12:00.000Z,feature-guide,configuration,0.7,True,"Describes product-specific FHIR $bulk-delete and $bulk-delete-soft-deleted operations, including how they behave differently for soft-deleted resources and how to use them asynchronously. These are detailed, service-specific operational semantics that go beyond generic LLM knowledge and map to configuration/operation of specific API operations rather than general concepts.",unchanged
https://learn.microsoft.com/en-us/azure/healthcare-apis/azure-api-for-fhir/carin-implementation-guide-blue-button-tutorial,CARIN implementation for Blue Button,CARIN Blue Button Implementation Guide for Blue Button - Azure API for FHIR,Configure Azure API for FHIR for CARIN Blue Button,This tutorial walks through the steps of setting up Azure API for FHIR to pass the Touchstone tests for the CARIN Implementation Guide for Blue Button (C4BB IG).,"Important Azure API for FHIR will be retired on September 30, 2026.Follow themigration strategiesto transition toAzure Health Data Services FHIR® serviceby that date. Due to the retirement of Azure API for FHIR, new customer deployments won't be allowed beginning April 1, 2025.Azure Health Data Services FHIR serviceis the evolved version of Azure API for FHIR that enables customers to manageFHIRandDICOMservices with integrations into other Azure services. In this tutorial, we walk through settin",2025-07-24T08:00:00.000Z,tutorial,configuration,0.7,True,"Tutorial for passing Touchstone tests for CARIN C4BB; requires specific FHIR profiles, capabilities, and configuration settings unique to this implementation guide.",unchanged
https://learn.microsoft.com/en-us/azure/healthcare-apis/azure-api-for-fhir/centers-for-medicare-tutorial-introduction,CMS interoperability and patient access rule,Tutorial - Centers for Medicare and Medicaid Services (CMS) introduction - Azure API for FHIR,,This overview introduces a series of tutorials that pertains to the Center for Medicare and Medicaid Services (CMS) Interoperability and Patient Access rule.,"Important Azure API for FHIR will be retired on September 30, 2026.Follow themigration strategiesto transition toAzure Health Data Services FHIR® serviceby that date. Due to the retirement of Azure API for FHIR, new customer deployments won't be allowed beginning April 1, 2025.Azure Health Data Services FHIR serviceis the evolved version of Azure API for FHIR that enables customers to manageFHIRandDICOMservices with integrations into other Azure services. In this series of tutorials, we cover a ",2025-07-24T08:00:00.000Z,tutorial,,0.2,False,Series introduction/overview for CMS interoperability tutorials; high-level description without detailed configuration or limits.,unchanged
