url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/azure-functions/functions-bindings-cache,Using Azure Functions to create a write-behind cache,Using Azure Functions for Azure Cache for Redis,Integrate Azure Functions with Azure Redis services using bindings,Learn how to use Azure Functions Azure Cache for Redis,"This article describes how to use either Azure Managed Redis or Azure Cache for Redis with Azure Functions to create optimized serverless and event-driven architectures. Azure Functions provides an event-driven programming model where triggers and bindings are key features. With Azure Functions, you can easily build event-driven serverless applications. Azure Redis services (Azure Managed Redis and Azure Cache for Redis) provide a set of building blocks and best practices for building distribute",2025-08-18T22:33:00.000Z,reference,integrations,0.7,True,Describes using Azure Functions triggers/bindings with Azure Managed Redis/Azure Cache for Redis; such docs include binding configuration parameters and connection settings unique to this integration.,unchanged
https://learn.microsoft.com/en-us/azure/redis/architecture,Azure Managed Redis architecture,Azure Managed Redis Architecture - Azure Managed Redis,,Learn how Azure Managed Redis is architected,"Azure Managed Redis runs on theRedis Enterprisestack, which provides significant advantages over the community edition of Redis. The following information provides greater detail about how Azure Managed Redis is architected, including information that can be useful to power users.",2026-03-11T08:00:00.000Z,article,,0.2,False,"Architecture description appears conceptual (how the service is built) without explicit mention of numeric thresholds, configuration parameters, or decision/diagnostic tables required for any sub-skill type.",unchanged
https://learn.microsoft.com/en-us/azure/redis/aspnet,ASP.NET app,Create an ASP.NET web app with an Azure Managed Redis cache - Azure Managed Redis,Secure ASP.NET Core Web API with Azure Managed Redis,"In this quickstart, you learn how to create an ASP.NET Core web app with an Azure Managed Redis cache.","This sample shows how to connect an ASP.NET Core Web API to Azure Managed Redis by using Microsoft Entra ID authentication  with theDefaultAzureCredentialflow. The application avoids traditional connection string-based authentication in favor of token-based, Microsoft Entra ID access, which aligns with modern security best practices. The application is a minimal ASP.NET Core 8.0 Web API that:",2026-02-01T12:13:00.000Z,quickstart,integrations,0.7,True,Shows ASP.NET Core integration using DefaultAzureCredential and Entra ID for Redis; includes product-specific auth and connection patterns.,unchanged
https://learn.microsoft.com/en-us/azure/redis/aspnet-core-output-cache-provider,Use ASP.NET core output cache,ASP.NET Core output cache provider for Azure Cache for Redis - Azure Managed Redis,Configure ASP.NET Core output caching with Azure Cache for Redis,Use the Redis Output Cache Provider to cache ASP.NET Core page output out of process by using Azure Cache for Redis.,"This article explains how to configure Redis output caching middleware in an ASP.NET Core app. The output caching middleware enables caching of HTTP responses. The benefits of using output caching include: The benefits of using Azure Cache for Redis as your output cache include: You can use the output caching middleware in all types of ASP.NET Core apps: minimal API, web API with controllers, Model-View-Controller (MVC), and Razor Pages. For a detailed walkthrough of output caching syntax and fe",2025-03-31T22:36:00.000Z,tutorial,integrations,0.75,True,"Explains configuring Redis output caching middleware in ASP.NET Core; likely includes middleware options, configuration keys, and Redis-specific settings—an integration/coding pattern.",unchanged
https://learn.microsoft.com/en-us/azure/redis/best-practices-client-libraries,Client libraries best practices,Best practices using client libraries with Azure Managed Redis - Azure Managed Redis,Apply client library best practices for Azure Managed Redis,Learn about client libraries for Azure Managed Redis.,"This article helps you choose and use the best client libraries for Azure Managed Redis. You learn which libraries to use for your programming language, how to handle clustering policies, and avoid common connection issues. Azure Managed Redis is based on the popular in-memory data store, Redis. Redis clients for many programming languages can access Azure Managed Redis. Each client library has its own API that makes calls to Redis server using Redis commands, but the client libraries are built ",2026-02-01T12:13:00.000Z,article,best-practices,0.8,True,"Explicit best-practices article with guidance on library choice, clustering policies, and avoiding connection issues; highly product-specific.",unchanged
https://learn.microsoft.com/en-us/azure/redis/best-practices-connection,Connection resilience best practices,Best practices for connection resilience for Azure Managed Redis - Azure Managed Redis,Design resilient connections to Azure Managed Redis,Learn how to make your Azure Managed Redis connections resilient.,"In this article, we discuss how to make resilient connections to your cache.",2025-05-19T17:08:00.000Z,conceptual,best-practices,0.75,True,"Connection resilience best-practices are product-specific, covering retry patterns, timeouts, and failover behaviors.",unchanged
https://learn.microsoft.com/en-us/azure/redis/best-practices-development,Development best practice,Best practices for development for Azure Managed Redis - Azure Managed Redis,Apply development best practices for Azure Managed Redis,Learn how to develop code for Azure Managed Redis.,This article discusses how to develop code for Azure Managed Redis.,2026-05-15T05:53:00.000Z,best-practice,best-practices,0.8,True,"The page explicitly focuses on best practices for developing against Azure Managed Redis, which is likely to include concrete DOs/DON’Ts, recommended code patterns, and service-specific guidance not covered by generic Redis or programming knowledge.",updated
https://learn.microsoft.com/en-us/azure/redis/best-practices-kubernetes,Kubernetes-hosted client applications best practices,Best practices for hosting a Kubernetes client application for Azure Managed Redis - Azure Managed Redis,Host Kubernetes clients for Azure Managed Redis effectively,Learn how to host a Kubernetes client application that uses Azure Managed Redis.,,2025-05-19T17:08:00.000Z,best-practice,best-practices,0.7,True,"Kubernetes hosting guidance will include product-specific networking, connection, and scaling recommendations.",unchanged
https://learn.microsoft.com/en-us/azure/redis/best-practices-memory-management,Memory management best practice,Best practices for memory management for Azure Managed Redis - Azure Managed Redis,Optimize memory management in Azure Managed Redis,Learn how to manage your Azure Managed Redis memory effectively with Azure Managed Redis.,"In this article, we discuss effective memory management of an Azure Managed Redis cache.",2026-04-06T22:10:00.000Z,best-practice,best-practices,0.8,True,"The page focuses on effective memory management for Azure Managed Redis, which usually includes concrete, product-specific guidance such as eviction policy choices, key design, and memory usage patterns unique to the managed offering. This is actionable, service-specific advice rather than conceptual theory, so it fits the best-practices sub-skill.",unchanged
https://learn.microsoft.com/en-us/azure/redis/best-practices-performance,Performance testing best practice,Best practices for performance testing for Azure Managed Redis - Azure Managed Redis,Run performance testing for Azure Managed Redis,Learn how to test the performance of Azure Managed Redis.,"Testing the performance of a Redis instance can be a complicated task. The performance of a Redis instance can vary based on parameters such as the number of clients, the size of data values, and whether pipelining is being used. There also can be a tradeoff between optimizing throughput or latency. Fortunately, several tools exist to make benchmarking Redis easier. Two of the most popular tools areredis-benchmarkandmemtier-benchmark. This article focuses on memtier_benchmark, often calledmemtie",2025-11-10T08:00:00.000Z,conceptual,best-practices,0.75,True,"Performance testing article uses specific tools and recommended parameters for this service, including throughput/latency trade-offs.",unchanged
